drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Addes,M,shoemaker_apprentice,crafts,lower_class,"
            
ADDES:

            
Nit zuem Beschte. Sie het starik gebrenzelt.

          
",1,bastian-dr-maischter-hett-gewunne,11,1,0.0909090909090909,,,,,,,,,,,
comedy,Addes,M,shoemaker_apprentice,crafts,lower_class,"
            
ADDES:

            
Dis hab ich nit gschbanne. Pfüi Deifel.

          
",2,bastian-dr-maischter-hett-gewunne,11,2,0.1818181818181818,,,,,,,,,,,
comedy,Eddes,M,shoemaker_apprentice,crafts,lower_class,"
            
EDDES:

            
D'r Maischter hett sichs gemüetlich uff d'r Deller g'schöpft. No maant'r annoch: Agath, ich glaub
            dü hesch Gänsgries kocht? Haha, ich hab dich jo gschtupft mit-em Fuess, awer...

          
",3,bastian-dr-maischter-hett-gewunne,37,4,0.1081081081081081,,,,,,,,,,,
comedy,Addes,M,shoemaker_apprentice,crafts,lower_class,"
            
ADDES:

            
Wenn's an's Esse geht, kenn ich nix. Ja zuem Dunder, d' Maischtere isch doch als Junggsel Köche
            gsin uff 'me grosse Herrschaftsguet.

          
",3,bastian-dr-maischter-hett-gewunne,30,2,0.0666666666666666,,,,,,,,,,,
comedy,Eddes,M,shoemaker_apprentice,crafts,lower_class,"
            
EDDES

            
(zündet eine Zigarette an):

            
Jo siewe Johr hett sie de Söüi kocht, awer nit in d'r Herrschaft.

          
",4,bastian-dr-maischter-hett-gewunne,23,2,0.0869565217391304,0.0,0.0,0.6003575720228684,0.0,0.6929127363643135,0.0,0.7188348171973498,0.0,0.0,0.0,0.8530026544309912
comedy,Eddes,M,shoemaker_apprentice,crafts,lower_class,"
            
EDDES:

            
Jo, d'r Maischter isch e patentierter Simpel.

          
",5,bastian-dr-maischter-hett-gewunne,11,2,0.1818181818181818,0.0,0.0,0.6003575720228684,0.0,0.6929127363643135,0.0,0.7188348171973498,0.0,0.0,0.0,0.8530026544309912
comedy,Eddes,M,shoemaker_apprentice,crafts,lower_class,"
            
EDDES:

            
Allez, am heilige Mondaa! Do macht er e Bierreisel, Commissiönle, kauft Loterieloos mit Zahle wo
            gewinne könnte, waisch so Loos mit 3, 5, 7, 9. Der verspielt noch d' ganz Büdik.

          
",6,bastian-dr-maischter-hett-gewunne,42,7,0.1666666666666666,0.0,0.08873360496385459,1.0053895490651035,0.11221396231622491,1.1608193225758825,0.08279200878209277,0.8725846052662745,0.0,0.0,0.2597633612380197,1.2998663991023534
comedy,Addes,M,shoemaker_apprentice,crafts,lower_class,"
            
ADDES:

            
Wenn'r nume sini Alt zerscht verspiele dät, diss alt Rabbyse. Zaj loss mich au e bissel fümme.

          
",6,bastian-dr-maischter-hett-gewunne,22,1,0.0454545454545454,0.3841738982692321,0.873500986004918,1.418538559028557,0.48261623945531423,1.3221861361544536,0.7103903895396753,0.7277970351862867,0.6274360054772908,0.36633323445483007,0.4863747102441874,1.4210061832637455
comedy,Eddes,M,shoemaker_apprentice,crafts,lower_class,"
            
EDDES:

            
Wart noch e Schluck — dä. Dü, Addes, gescht bin ich uff-em Messti gsin un hab gedanzt wie e Lumpe
            am Stecke. Dü, ächt mit e're gfitzte Schäftelmachere, waisch aani vun unsere Branche. Die soll mich
            nit gschlüdert han, e Dielewelter nochemol. Un wie der Walzer gschbielt isch worre: « O Susanna, wie
            bist du doch so schön », waisch so mit, so ebbs for 's Herz, mit Schwung 
            
(will's vormachen)
 ah, au! 
            
(Hält sich die Seiten.)

          
",7,bastian-dr-maischter-hett-gewunne,101,9,0.0891089108910891,0.4403616054940782,1.1058146122773658,1.1947747727808902,0.5174699827890489,1.061442382146854,0.7278792785434354,0.24230200810786168,0.6284947811268703,0.4058658791666776,0.6144773086013917,1.0266866523697282
comedy,Eddes,M,shoemaker_apprentice,crafts,lower_class,"
            
EDDES:

            
Un wie mir so im siewete Himmel erumbamble, stellt mir so e Canaille d'r Fuess, mir burzle anne,
            ich schlaa d'r Schmecker uff d'r Bodde, dass ich d'r Himmel for e Laischte angsehne hab.

          
",8,bastian-dr-maischter-hett-gewunne,41,6,0.1463414634146341,0.4403616054940782,1.1058146122773658,1.746101180963717,0.5174699827890489,1.8206271119443236,0.7278792785434354,1.057237543982051,0.7168741535097777,0.4058658791666776,1.0383587089361561,2.020186890992996
