Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel :

        
(züend mit e’re Velolamp erum)

        
Kumme Sie, Herr Architekt.

      
",0,bastian-s-gaischtert-im-huss,15,2,0.339519196011635,0.13333333333333333
2,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Deschto besser. Un? Han Sie min Hüs genau unter- suecht?

      
",2,bastian-s-gaischtert-im-huss,16,3,0.0,0.1875
3,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Gewissehaft, ja.

      
",3,bastian-s-gaischtert-im-huss,6,2,0.0,0.3333333333333333
4,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Un ’s Resultat?

      
",4,bastian-s-gaischtert-im-huss,6,1,0.0,0.16666666666666666
10,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Sin Sie im Keller gsin, uff d'r Büehn?

      
",10,bastian-s-gaischtert-im-huss,12,1,0.0,0.08333333333333333
12,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Hm! E unheimlichi Gschicht... wo mich e Vermöje koscht... noch meh! Ja, wo mich rüiniert.

      
",12,bastian-s-gaischtert-im-huss,23,4,0.0,0.17391304347826086
14,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Guet ze verstehn. Bedenke Sie, e füenfstöckigs Hüss, modern yngericht, mit grossem Garte vorne un hinte, d’rzue noch in e’re freie, herrliche Gejed; e füenfstöckigs Hüss wo ken Mensch meh nynzeije will, wo verruefe isch! Bedenke Sie der Zinsverluscht!

      
",14,bastian-s-gaischtert-im-huss,52,5,0.0,0.09615384615384616
15,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Rächt han sie.

      
",15,bastian-s-gaischtert-im-huss,6,1,0.0,0.16666666666666666
16,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Ganz abgsehne vun d'r Ambediererei vun de Jour- naliste, wo aane Daa un Nacht üss lütter Wunderfitz ken Ruehj lonn. Gott, was sin schun Artikel üewer des Hüss lanciert worre. Un photographiert! Meh als e Minischter.

      
",16,bastian-s-gaischtert-im-huss,45,7,0.6139874187182555,0.15555555555555556
17,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ich hab e Idee. Verkaufe Sie diss Hüss.

      
",17,bastian-s-gaischtert-im-huss,12,1,0.0,0.08333333333333333
18,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Glich, glich, wenn’s numme Jemes wott. Alli An- nonce han bis dato nix genutzt. Im Gejedail... Stromswies komme Fremdi for diss Hüss ze betrachte. Jede Sunndaa sieht mer hunderti vun Automobil im Städtel. Wisse Sie, M. Meter, wer d' beschte Gschäfte do d’rbie macht?

      
",18,bastian-s-gaischtert-im-huss,59,5,0.0,0.0847457627118644
20,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Die Herre Wirt, d' Hôtelier, d' Beck, d'r Metzjer, d'r Patissier. So ebbs zuesehn ze müehn, diss geht aam an d' Niere.

      
",20,bastian-s-gaischtert-im-huss,31,2,0.0,0.06451612903225806
