Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          

          
(zehlt wenn dr „Kückück“ rueft)
 Äins, zwäi, drey, vier, fünef, sechs! Schun sechs — Jetz
          isch’s ganz finschter drüsse un der käiwe Xaverel isch noch nitt do. Wie der widder erumspangelt, wann
          ne numme dr Hanstrapp verwitsche dät.

        
",0,clemens-chrischtowe,54,3,0.0,0.05555555555555555
1,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Grossbabbe, ich bin glich erin wie’s finschter isch worre. Ich hab Angscht dr Hanstrapp kummt.

        
",1,clemens-chrischtowe,21,3,0.0,0.14285714285714285
4,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Dü wäisch ass d’Hütt füer de Grossbabbe isch.

        
",4,clemens-chrischtowe,12,1,0.0,0.08333333333333333
5,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Gib’s em numme wann-r se garn hett — Awer der Bohnekaffe schmeckt so guet, diss esch doch kenn
          Ersatz meh, diss schmeckt ganz andersch ass wie der Wiedegrund.

        
",5,clemens-chrischtowe,34,4,0.0,0.11764705882352941
6,tale,Marikel,FEMALE,,,,"
          
Marikel:

          

          
(fuehrt de Grossbabbe an de Disch)
 Ich hab ne bekumme vun dr Madam Lefèvre, sie hett mr
          äu schöens Wissmahl gann. Ich hab e natt’s Küechel gebache. 
          
(Alli drey drinke Kaffe — s’Marikel schnied Brot)

        
",6,clemens-chrischtowe,46,6,0.43106697069619715,0.13043478260869565
8,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Näin, näin Buwele — der isch fuer morje. Wäisch morje-n-isch Wihnachte un do hett uns d’Mamme als äu
          Kueche gebache.

        
",8,clemens-chrischtowe,28,4,0.0,0.14285714285714285
9,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Mäinsch kummt hitt Owe äu s’Chrischtkindel zue uns ? Ich hab alle Nacht gebatt ass-es mir ebs
          Schöens bringe soll.

        
",9,clemens-chrischtowe,24,1,0.0,0.041666666666666664
10,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Na, wenn dü brav gebatt hesch no bringt’s dir äu ebs Natt’s — Was wottsch am Liebschte vum
          Chrischtkindel ?

        
",10,clemens-chrischtowe,25,5,0.0,0.2
11,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Am liebschte wott ich, ass d’Mamme widder kumme dätt — un no e Farwelad — un no sott dr Babbe kumme.
          Wann’s numme boll kumme duet — ich hab kenn Angscht vor-em Hanstrapp. 
          
(Mr höert drüsse boldere)
 U — Marikel! 
          
(versteckelt sich hinterem Marikel)

        
",11,clemens-chrischtowe,56,8,0.0,0.14285714285714285
12,tale,Xaverel,MALE,,,,"
          
Xaverel:

          

          
(höert mr drüsse brüele)
 Kumm numme einer häre wann-r z’Harz hett! 
          
(Kummt erin)
 Denne hawi de Äpfel gedroffe, im Langhalseschüll haw i äini uf d’Nas
          gebämmert un em Stumpevälte haw i e blöj Gückel ghäue, der isch gezäicht uf d’Wihnachte.

        
",12,clemens-chrischtowe,53,7,0.0,0.1320754716981132
13,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Was isch dann widder — was isch dann widder ?

        
",13,clemens-chrischtowe,12,1,0.0,0.08333333333333333
14,tale,Xaverel,MALE,,,,"
          
Xaverel:

          
Äi sie ruefe mr alli e Üwername. Dr Schuelmäischter hett mi gfröjt wie „der Ofen“ häisst — no hawi
          gsäit „Furneau“ 
          
(deutsch aussprechend)
 jetz ruefe mr alli „Dr Furneau“ awer ich hab ne de Furneau
          inghäizt !

        
",14,clemens-chrischtowe,48,1,0.0,0.020833333333333332
15,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Un dü bisch dracket ! 
          
(bürscht na ab)
 Un der hett d’Hosse verisse ! 
          
(ziwelt-em d’Ohre)
 Witt dü ball andersch wäre un brav sinn, hä ?

        
",15,clemens-chrischtowe,35,2,1.1355586521439078,0.05714285714285714
17,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Awer Xaverel kannsch denn dü nitt folje un brav sinn. Jetz machsch dim Schweschterle widder Arwäit
          un ass muess schun alles alläin mache, zitter ass d’Mamme dot isch — dü sottsch dich schäme e so böeser
          Bue ze sinn. Duesch a so dinn Verspracha halte, wie de dr Mamme uf-em Dotsbett gann hesch ? Hesch ere
          nitt versproche allewill brav ze sinn un im Marikel an d’Hand ze gehn. Un wann de an de Babbe dänke
          dätsch, wie mr schun vier Johr nix meh vum wisse, ze sottsch di schäme — wär wäis ob-r noch am
          Läwe-n-isch.

        
",17,clemens-chrischtowe,111,15,0.19240550070468673,0.13513513513513514
18,tale,Xaverel,MALE,,,,"
          
Xaverel:

          

          
(hielt)
 Grossbabbe ich will brav sinn, ich will nix meh anstelle ! — — — Un ich hab
          Hunger !

        
",18,clemens-chrischtowe,25,3,0.0,0.12
19,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Do sitz an dine Platz, dir fählt dr Babbe, dass de gezöje dätsch wäre. 
          
(schenkt-em Kaffe in)

        
",19,clemens-chrischtowe,24,2,0.0,0.08333333333333333
20,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Dät mich dr Babbe äu zeje — Ja mäinsch kummt-er jetz boll?

        
",20,clemens-chrischtowe,15,3,0.0,0.2
21,tale,Xaverel,MALE,,,,"
          
Xaverel:

          
Dr Kaffe isch jo gar nitt süess — denne will ich nitt — 
          
(bätzich)
 Ich will noch Zucker, ich will Zucker.

        
",21,clemens-chrischtowe,27,1,0.0,0.037037037037037035
22,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Dü hesch Zucker genuej, ich mues spare dran. Dü verdiensch üewerhäubt kenn Zucker, dü Räiwer.

        
",22,clemens-chrischtowe,21,1,0.0,0.047619047619047616
24,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Mildebibb noch emol! Witt jetz stille sinn un de Kaffe drinke, dü ungarschticher Bue, dü! Grad
          säisch dü witt brav sinn un jetz fangsch schun widder an —

        
",24,clemens-chrischtowe,34,4,0.0,0.11764705882352941
25,tale,Schorschel,MALE,,,,"
          
Schorschel:

          
Wenn de Hanstrapp kummt, der wurd di fitze mi dere lange Ruet. Ich bin brav ich hab kenn Angscht
          vor-em 
          
(es klopft)
 U — Marikel, es hett geklopft, s’Chrischtkindel kummt! 
          
(versteckelt sich hinterem Marikel)
.

        
",25,clemens-chrischtowe,47,4,0.0,0.0851063829787234
26,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Entrez !

        
",26,clemens-chrischtowe,4,1,0.0,0.25
27,tale,Spähnelänz,MALE,,,,"
          
Spähnelänz:

          
Guete-n-Owe biesamme’! 
          
(Alli danke-n-em)
 Wie geht’s wie steht’s ? Drüsse haw i e Wall Holz un e Sack Spähne füer
          ejch, ass macht kalt — ass de fiere kannsch.

        
",27,clemens-chrischtowe,42,5,0.0,0.11904761904761904
28,tale,Marikel,FEMALE,,,,"
          
Marikel:

          
Merci äu Spähnelänz, ihr danke doch als äu noch an uns, ich bin froh no brüch ich nitt in de Wald
          üewer d’Fierdäy.

        
",28,clemens-chrischtowe,29,2,0.0,0.06896551724137931
29,tale,Spähnelänz,MALE,,,,"
          
Spähnelänz:

          
Joo, ich due allewäj im Voltz-Märtel sini Familie vergasse, ar isch äu e gueter Kärl un hett mir
          viel Gfalle gedoon.

        
",29,clemens-chrischtowe,26,4,0.2944297268836387,0.15384615384615385
31,tale,Spähnelänz,MALE,,,,"
          
Spähnelänz:

          
Näin, näin, Mäidel, ich hab schun e Schnäpsel gepackt. Awer ich will mich e bissel wärme un e bissel
          babble mit-em Grossvater.

        
",31,clemens-chrischtowe,29,3,0.0,0.10344827586206896
32,tale,Dr Grossbabbe,MALE,,,,"
          
Grossbabbe:

          
Dü besch doch e gueter Kärl, dü luejsch als doch noch uns do hüsse, in unserem Misere.

        
",32,clemens-chrischtowe,22,2,0.0,0.09090909090909091
