Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(sitzt im Fauteuil und liest in einem grossen dicken Buche)

          
Die Gesundheit ist des Menschen höchstes und teuerstes Gut. 
          
(spricht)
 Stimmt, diss Buch red't d'Wohrheit, denn e kranker Mensch isch niemols g'sund,
          un wie d'r Mensch nit füer sini G'sundheit sorit, no hett's... 
          
(es schellt)
 g'schellt.... stimmt, no hett's g'schellt ! 
          
(ruft)
 Daniel, Daniel! 
          
(es schellt wieder ; Steinle steht auf, geht an die Türe links und ruft hinaus)
 Daniel
          !

        
",0,clemens-gift,97,6,0.0,0.061855670103092786
3,comedy,Daniel,M,domestic_worker,elementary_professions,lower_class,"
          
Daniel:

          
I-ich hab grad d' Müsfall g'stellt, no haw-ich mr noch d'r Finger verquetscht.

        
",1,clemens-gift,17,1,0.0,0.058823529411764705
4,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
's wurd nit g'fährli sinn — gehn un mache-n-uff. 
          
(Daniel rechts ab: Steinle legt das Buch auf den Tisch.)
 Wer wurd diss sinn, wo jetzt
          kummt, allewäj d'r Barickes !

        
",2,clemens-gift,41,2,0.0,0.04878048780487805
5,comedy,Anselm,M,,,,"
          
Anselm :

          
(von rechts kommend)

          
Buschur. Herr Steinle, ich will fröje, ob ich Eich ebs mit soll bringe üs d'r Stadt, ich fahr doch
          grad nin mit-em Tram, e Kommission mache.

        
",2,clemens-gift,39,4,0.21133585538892455,0.10256410256410256
6,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle:

          
Doch, Anselm, diss isch grad recht, ass-r fröje... Ihr kennte m'r üs d'r Drogerie von dem Gift
          ""Ratten- und Mäusetod"" mitbringe. Ich hab in letschter Zitt so schrecklich viel Mies in mim Hüss, bis
          in d' Stubb kumme se m'r sogar ; es isch vun nix andersch als vun d'r Mälzerei do newe-n-uns.

        
",3,clemens-gift,67,7,0.31343194623671894,0.1044776119402985
8,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(gibt ihm Geld)

          
Ebä, do Anselm, bringe mir e Päckel mit für e Franke, will Ihr doch grad in d' Stadt fahre,
          gelle!... Un wie isch's mit-em Eise do hinte am Hals, isch-r noch nit zitti ?

        
",4,clemens-gift,49,3,0.0,0.061224489795918366
9,comedy,Anselm,M,,,,"
          
Anselm :

          
Ich glaub, ass-r jetz doch uffgeht... es wär au ball Zitt, es isch jetzt schun in d'r vierte Wuch,
          dass ich ne hab.

        
",4,clemens-gift,30,2,0.0,0.06666666666666667
10,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Nurre nit verzwifelt, Anselm, ich bring-ne schun uf, numme d' Bäbb vun Hanfsoot un Söjbohnemehl so
          heiss ufgelajt, wie Ihr's verlide kenne ; — uf muss-r un wenn alles hin geht.

        
",5,clemens-gift,39,5,0.0,0.1282051282051282
11,comedy,Anselm,M,,,,"
          
Anselm :

          
(kratzt sich hinter dem Ohr)

          
Jo, jo — — wenn ich awer emol zuem Dokter dätt gehn...

        
",5,clemens-gift,23,1,0.0,0.043478260869565216
12,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(böse werdend)

          
Seje mr still, kenn Wort vom Dokter ; den der geht anne un schnied Ejch glich e Stück üss-em Hals un
          verderbt Ejch's Blüet mit Salwe. — — Do, noch dem Buech tu ich Ejch küriere, diss isch meh wert wie
          zehn Dokter !... Ah, un was ich noch fröje will, hann-r die Nacht guet kenne schlofe uf dene Tee, wo
          ich Ejch gänn hab ?

        
",6,clemens-gift,81,12,0.8158908052600179,0.14814814814814814
13,comedy,Anselm,M,,,,"
          
Anselm :

          
Nit vum Beschte, ich hab mich d' ganz Nacht vun einere Sitt uf d' ander gewälzt.

        
",6,clemens-gift,20,2,0.0,0.1
14,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
So, so — — 
          
(schaut im Buche nach)
 no browiere mrs emol hienicht mit 
          
(liest)
""Mohn mit echtem Bienenhonig"" 
          
(spricht)
 Mohn, diss isch Maashüchel — diss trinke-nr, no schlofe-nr wie e Roller ! 
          
(holt im Büffet eine Flasche mit Schnaps und zwei Gläschen)
 Jetz welle-mr noch e Träwerle
          päckle. 
          
(schenkt ein)
 G'sundheit, Anselm ! 
          
(trinken)
 Der isch famos, hä ?—

        
",7,clemens-gift,83,2,0.0,0.024096385542168676
15,comedy,Anselm,M,,,,"
          
Anselm :

          
Exelänt isch'r, Herr Steinle ; wisse-nr, ich versteh ebs vum Schnaps, miner Babbe isch früehjer
          Fuhrmann g'sinn in-ere Schnapsbrennerej ..... ja, un ich will mich uf d' Hinterfüess mache, alle, merci
          au ...

        
",7,clemens-gift,41,5,0.16906868431113964,0.12195121951219512
16,comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Nit d'rwärt, Anselm, un vergesse mr diss Gift nit !

        
",8,clemens-gift,15,2,1.0970118118285164,0.13333333333333333
