drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(sitzt im Fauteuil und liest in einem grossen dicken Buche)

          
Die Gesundheit ist des Menschen höchstes und teuerstes Gut. 
          
(spricht)
 Stimmt, diss Buch red't d'Wohrheit, denn e kranker Mensch isch niemols g'sund,
          un wie d'r Mensch nit füer sini G'sundheit sorit, no hett's... 
          
(es schellt)
 g'schellt.... stimmt, no hett's g'schellt ! 
          
(ruft)
 Daniel, Daniel! 
          
(es schellt wieder ; Steinle steht auf, geht an die Türe links und ruft hinaus)
 Daniel
          !

        
",0,clemens-gift,97,6,0.0618556701030927,,,,,,,,,,,
comedy,Daniel,M,domestic_worker,elementary_professions,lower_class,"
          
Daniel:

          
I-ich hab grad d' Müsfall g'stellt, no haw-ich mr noch d'r Finger verquetscht.

        
",1,clemens-gift,17,1,0.0588235294117647,,,,,,,,,,,
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
's wurd nit g'fährli sinn — gehn un mache-n-uff. 
          
(Daniel rechts ab: Steinle legt das Buch auf den Tisch.)
 Wer wurd diss sinn, wo jetzt
          kummt, allewäj d'r Barickes !

        
",2,clemens-gift,41,2,0.048780487804878,,,,,,,,,,,
comedy,Anselm,M,,,,"
          
Anselm :

          
(von rechts kommend)

          
Buschur. Herr Steinle, ich will fröje, ob ich Eich ebs mit soll bringe üs d'r Stadt, ich fahr doch
          grad nin mit-em Tram, e Kommission mache.

        
",2,clemens-gift,39,4,0.1025641025641025,,,,,,,,,,,
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle:

          
Doch, Anselm, diss isch grad recht, ass-r fröje... Ihr kennte m'r üs d'r Drogerie von dem Gift
          ""Ratten- und Mäusetod"" mitbringe. Ich hab in letschter Zitt so schrecklich viel Mies in mim Hüss, bis
          in d' Stubb kumme se m'r sogar ; es isch vun nix andersch als vun d'r Mälzerei do newe-n-uns.

        
",3,clemens-gift,67,7,0.1044776119402985,0.08674647661227777,0.1398167432075455,0.38898961024969464,0.10495356032512868,0.4832544666252043,0.11167902992123173,0.15724254899445655,0.06716119164202278,0.0,0.0,0.5372904184560184
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(gibt ihm Geld)

          
Ebä, do Anselm, bringe mir e Päckel mit für e Franke, will Ihr doch grad in d' Stadt fahre,
          gelle!... Un wie isch's mit-em Eise do hinte am Hals, isch-r noch nit zitti ?

        
",4,clemens-gift,49,3,0.0612244897959183,0.08674647661227777,0.1398167432075455,0.5618510108505476,0.10495356032512868,0.6170208276223166,0.11167902992123173,0.15724254899445655,0.23503989111690876,0.0,0.0,0.5963162625636267
comedy,Anselm,M,,,,"
          
Anselm :

          
Ich glaub, ass-r jetz doch uffgeht... es wär au ball Zitt, es isch jetzt schun in d'r vierte Wuch,
          dass ich ne hab.

        
",4,clemens-gift,30,2,0.0666666666666666,0.08674647661227777,0.40071270803668374,0.7173296610549844,0.10495356032512868,0.9026087715514667,0.11167902992123173,0.15724254899445655,0.2350398911169087,0.0,0.0,0.8746945747635037
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Nurre nit verzwifelt, Anselm, ich bring-ne schun uf, numme d' Bäbb vun Hanfsoot un Söjbohnemehl so
          heiss ufgelajt, wie Ihr's verlide kenne ; — uf muss-r un wenn alles hin geht.

        
",5,clemens-gift,39,5,0.1282051282051282,0.16241523245413564,0.40071270803668374,1.2240276867435633,0.10495356032512868,1.5614533048138772,0.20165393299245551,0.6604187057767176,0.33855451675180614,0.0,0.0,1.5564606103608623
comedy,Anselm,M,,,,"
          
Anselm :

          
(kratzt sich hinter dem Ohr)

          
Jo, jo — — wenn ich awer emol zuem Dokter dätt gehn...

        
",5,clemens-gift,23,1,0.0434782608695652,0.14532850372056302,0.40071270803668374,0.9996803364889919,0.06268638924734378,1.2617036079246897,0.16995355468411683,0.503176156782261,0.33855451675180614,0.0,0.0,1.1613107800365237
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(böse werdend)

          
Seje mr still, kenn Wort vom Dokter ; den der geht anne un schnied Ejch glich e Stück üss-em Hals un
          verderbt Ejch's Blüet mit Salwe. — — Do, noch dem Buech tu ich Ejch küriere, diss isch meh wert wie
          zehn Dokter !... Ah, un was ich noch fröje will, hann-r die Nacht guet kenne schlofe uf dene Tee, wo
          ich Ejch gänn hab ?

        
",6,clemens-gift,81,12,0.1481481481481481,0.2361237770246492,0.31449677561000644,1.102440251903335,0.16317816105200358,1.3831660991954238,0.24529963006612054,0.666377028775654,0.41511595546067487,0.03372905377577616,0.1081666339547515,1.3093910514118459
comedy,Anselm,M,,,,"
          
Anselm :

          
Nit vum Beschte, ich hab mich d' ganz Nacht vun einere Sitt uf d' ander gewälzt.

        
",6,clemens-gift,20,2,0.1,0.2361237770246492,0.31449677561000644,1.3422306356445273,0.16317816105200358,1.8747377030058145,0.24529963006612054,1.1279962066356988,0.24723725598578888,0.03372905377577616,0.1081666339547515,1.9597917759260248
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
So, so — — 
          
(schaut im Buche nach)
 no browiere mrs emol hienicht mit 
          
(liest)
""Mohn mit echtem Bienenhonig"" 
          
(spricht)
 Mohn, diss isch Maashüchel — diss trinke-nr, no schlofe-nr wie e Roller ! 
          
(holt im Büffet eine Flasche mit Schnaps und zwei Gläschen)
 Jetz welle-mr noch e Träwerle
          päckle. 
          
(schenkt ein)
 G'sundheit, Anselm ! 
          
(trinken)
 Der isch famos, hä ?—

        
",7,clemens-gift,83,2,0.0240963855421686,0.2361237770246492,0.05360081078086827,1.1867519854400903,0.16317816105200358,1.5891497590766646,0.24529963006612054,1.1279962066356988,0.24723725598578888,0.03372905377577616,0.1081666339547515,1.6814134637261482
comedy,Anselm,M,,,,"
          
Anselm :

          
Exelänt isch'r, Herr Steinle ; wisse-nr, ich versteh ebs vum Schnaps, miner Babbe isch früehjer
          Fuhrmann g'sinn in-ere Schnapsbrennerej ..... ja, un ich will mich uf d' Hinterfüess mache, alle, merci
          au ...

        
",7,clemens-gift,41,5,0.1219512195121951,0.1741244041696494,0.05360081078086827,1.0512865363535724,0.1969918979142315,1.409413499000571,0.1806850296415677,0.8469117012115408,0.14372263035089147,0.03372905377577616,0.27535542096604204,1.5297529575364777
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Nit d'rwärt, Anselm, un vergesse mr diss Gift nit !

        
",8,clemens-gift,15,2,0.1333333333333333,0.41793352174511744,0.05360081078086827,1.318756313873871,0.41639426027993476,1.5965358500214415,0.46061031028669347,0.8469117012115408,0.37878680109797114,0.03372905377577616,0.27535542096604204,1.5656044355433518
comedy,Anselm,M,,,,"
          
Anselm :

          
Aba — — ich denk dran, adje, Herr Steinle !

        
",8,clemens-gift,14,2,0.1428571428571428,0.29165195802947136,4.4408920985006264e-17,1.525430188095408,0.337750441383501,1.8587953073001244,0.368686339908474,0.6837108292181477,0.47480529358862444,0.0,0.16718878701129053,1.6383755573551042
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Adje, Anselm ! 
          
(Anselm rechts ab.)

        
",9,clemens-gift,12,1,0.0833333333333333,0.29165195802947136,4.4408920985006264e-17,1.6936238448595655,0.33775044138350097,1.8036314580145274,0.368686339908474,0.222091651358103,0.9542875392717143,0.0,0.16718878701129053,1.1344991157984357
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
No wurd doch die Plöj mit dene Mies ufhöere... Wieviel Ühr isch denn au ? 
          
(schaut nach)
 Was, schun glich füenf! E Nuntebuckel, geht die Zitt erum, jetz muess d'r
          Barickes jede Aujesblick kumme, denn morje isch Sundaa... 
          
(geht in der Stube umher, am Abreisskalender bleibt er stehn, reisst einen Zettel ab)
 So,
          welle-mr wieder eine abrisse...; wie mr so e Zettel abrisst, ze isch-mr au e Daa älter, un so risst-mr
          einer noch-em andere ab bis-mr uf einmol selwer abgerisse isch un no isch fini. Awer e Kalender hett
          diss guete an sich, ass-r no wieder von vorne anfangt, awer bim Mensche isch üss un ""Amen"". 
          
(wirft den abgerissenen Zettel fort)
 Morje hätte-mr also wieder e roter. 
          
(liest)
 Sonntag, den 28. September 
          
(sinnend)
""Dr 28. September 1913"". E Nuntebibb, do haw-ich jo morje Geburtsdaa ! Do bin
          ich jo morje 60 Johr alt ; — — 60 Johr, un noch e so frisch un g'sund wie e-n-Eichel ! Diss haw-ich
          alles do dem Buech ze verdanke, diss erhalt mir mini G'sundheit, 
          
(küsst das Buch)
60 Johr, d'juchheirassa !! 
          
(macht einen Luftsprung, schreit auf und hält sich das rechte Bein)
 Autsch ! Uh!... 
          
(hinkt an den Fauteuil, lässt sich hineinfallen)
 Uh, wie duet mir uf einmol diss Bein so
          weh... diss sinn die kaiwe Rumatisse. 
          
(ruft)
 Daniel — Daniel !!

        
",9,clemens-gift,282,24,0.0851063829787234,0.3884985458601248,0.04077988343553414,1.998995012318853,0.37805810651322835,2.154330120145936,0.47345460563794817,0.3480006759642674,1.068767637853552,0.0,0.23706745363764076,1.4588177375485982
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Do kumme here un griffe emol, ob ich wieder kalti Füess hab, ich hab wieder Rumatisse.

        
",10,clemens-gift,21,4,0.1904761904761904,0.4088603769902339,0.15501120163416965,1.8073784144305596,0.3442443696510004,1.8511862484514356,0.543643481088916,0.12590902460616446,1.191367268198011,0.0,0.06987866662635019,1.0681179313167932
