Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,comedy,WALTHER,M,,,,"
          
Walther.

          
Enfin, decidier Di... entweder hasch ne gern oder hasch
                        ne nitt gern... wenn De ne gern hasch, so hiroth ne;
                        mir wàr's recht... hasch ne-n-awer nitt gern, so will
                        ich Di wege dem doch nitt zwinge derzüe!
                    

        
",0,lustig-dr-fechtmeister,50,6,0.0,0.12
1,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Ich ha-n-en glaüb nitt ungern... awer eso ne Chineser
                        hirothe, Vater...
                    

        
",1,lustig-dr-fechtmeister,18,2,0.0,0.1111111111111111
2,comedy,WALTHER,M,,,,"
          
Walther.

          
's isch jo kei Chineser... Dü weisch's wohl!

        
",2,lustig-dr-fechtmeister,13,1,0.0,0.07692307692307693
3,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Sobol ass er eso ne Wàdele am Kopf hat hànke un eso
                        Moustaches as wie schwarze Schnier un wie ne Chineser
                        ag'legt isch, so isch's fir mich e Chineser!
                    

          

            
G'sang

            
Das Ding kàm mir chinesisch vor,

            
Wenn ich ne thàt hirothe,

            
Ich kännt ne doch, isch's jetz nitt wohr?

            
Nie packe-n-an de Hoor.

            
Was wott ich ihm üsrupfe,

            
Wenn's Strit gàb hi uns zwei,

            

            
Ich wàr üsg'setzt allei

            
Un er thàt dure schlupfe.

            
Fir ass d'Hiroth thüet g'linge,

            
Müess z'allererst druf hi

            
D' Paricke Fest als si,

            
Fir ass me güet ka ringe.

          

        
",3,lustig-dr-fechtmeister,115,10,0.23309424159007103,0.08695652173913043
5,comedy,WALTHER,M,,,,"
            
Walther.

            

              
Das Ding kunnt Dir chinesisch vor

              
Un doch sollsch ihn hirothe,

              
Er ka nochher, isch's jetz nitt wohr?

              
Lo wachse sine Hoor.

            

          
",5,lustig-dr-fechtmeister,29,4,0.5560911261960001,0.13793103448275862
6,comedy,WALTHER,M,,,,"
          
Walther.

          
Wenn ihr hirothe mitnander, so wird er wohrschinlig
                        abfahre mit sim Wàdele un sich wieder kleide wie
                        d'andere Lit!
                    

        
",6,lustig-dr-fechtmeister,24,1,0.0,0.041666666666666664
8,comedy,WALTHER,M,,,,"
          
Walther.

          
Was witt halt... er isch's g'wöhnt... siter im zehnte
                        Johr isch er jetz in China gsi.
                    

        
",8,lustig-dr-fechtmeister,22,1,0.0,0.045454545454545456
9,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Warum haltsch Dü awer jetz eso an dere Hochzit... zeig,
                        Pape?
                    

        
",9,lustig-dr-fechtmeister,16,1,0.0,0.0625
10,comedy,WALTHER,M,,,,"
          
Walther.

          
Los, Kàtele... ich sott Dir's eigentlig nitt sage...
                        awer ich will Dir's jetz avertraüe, fir ass De siehsch,
                        ass es Di Intresse-n-isch, Di Cüsin z'hirothe... awer
                        versprich mir, ass De nieme nit sage witt!
                    

        
",10,lustig-dr-fechtmeister,50,3,0.0,0.06
11,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Güet, ich versprich's... was isch denn das fir e
                        G'heimniss?
                    

        
",11,lustig-dr-fechtmeister,16,4,0.0,0.25
12,comedy,WALTHER,M,,,,"
          
Walther.

          
De weisch, ass ich noch e Schwester g'ha ha, wo
                        g'storwe-n-isch grad 's Johr vor ebb mi Brüeder nach
                        China üsg'wandert isch... Di Cüsin, wo Dich jetz
                        hirothe will, isch sàllemol zeh Johr alt gsie und Dü
                        o... jetz sin ihr beide finfezwanzig.
                    

        
",12,lustig-dr-fechtmeister,53,2,0.0,0.03773584905660377
14,comedy,WALTHER,M,,,,"
          
Walther.

          
Wart nur... 's kunnt!... wo mi Schwester
                        g'storwe-n-isch, so isch se Wittfraü gsi un hat
                        zwanzigtaüsend Franke hinterlo un keine Kinder... un
                        wil se vo jeher e-n-Original gsi isch, so hat se ne
                        Testament g'macht, wo sàit, ass das Geld eüch zwei
                        g'hört, wenn ihr hirothe mitnander...
                    

        
",14,lustig-dr-fechtmeister,63,8,0.0,0.12698412698412698
16,comedy,WALTHER,M,,,,"
          
Walther.

          
Wart nur, 's isch no nitt ferig... im Fall awer, ass
                        eins vo-n-eüch 's andere nitt will, so bekunnt das, wo
                        nitt will, nit un 's Andere-n-alles!... verstehsch
                        jetz, worum ass ich dra halt?
                    

        
",16,lustig-dr-fechtmeister,50,3,0.0,0.06
17,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
's isch wohr... do bekàmt ich also nit, wenn ich thàt
                        nei sage...
                    

        
",17,lustig-dr-fechtmeister,18,1,0.0,0.05555555555555555
18,comedy,WALTHER,M,,,,"
          
Walther.

          
Dü weisch, wie mir stehn... im e Monet vo do sott ich in
                        de Zwanzigtaüsend Franke bezahle un wenn ich nitt ka,
                        was wohrschinlig dr Fall wird si, so verkaüft me mir e
                        Sach un stelt mi üse... also wenn Dü Di Cüsin gern
                        hasch, so hiroth ne, ass Dü derno ufs wenigst versorgt
                        bisch.
                    

          

        
",18,lustig-dr-fechtmeister,65,2,0.0,0.03076923076923077
19,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Das Ding isch z'iwerlege... meinsch weisst er ebbes vo
                        dem Testament?
                    

        
",19,lustig-dr-fechtmeister,16,1,0.0,0.0625
20,comedy,WALTHER,M,,,,"
          
Walther.

          
Ich glaüb nitt, ass em si Vater ebbes wird g'sàit ha...
                        mr hàn ewe-n-abg'redt, ass mir eüch nit sage... De
                        siehsch, ich bi jetz im Fehler... awer unsere Position
                        isch ewe kei g'wöhnlige... obscho mi Brüeder eigentlig
                        o nitt rich isch... se mache-n-allewil viel grossartige
                        G'schàfte un thien awer glaüb mehr verliere-n-ass
                        g'winne derbi.
                    

        
",20,lustig-dr-fechtmeister,71,8,0.0,0.11267605633802817
21,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Güet, ich will driwer nodenke...

        
",21,lustig-dr-fechtmeister,9,1,0.0,0.1111111111111111
22,comedy,WALTHER,M,,,,"
          
Walther.
          
          

            
Hiroth jetz, mach mir d'Freid,

            
Denn bi dar G'legeheit

            
Machsch Dü Di Glick jetz do,

            
G'wiss wirsch Dü froh.

            
Gib Dü nur 's Wort im Franz,

            
D'Müsik b'stell ich züem Tanz,

            
Dü machsch Di Glick jetz do,

            
G'wiss wirsch Dü froh.

          

        
",22,lustig-dr-fechtmeister,53,9,0.0,0.16981132075471697
24,comedy,KÀTELE,F,,,,"
            
Kàtele.

            

              
Ich will Dir mache d'Freid

              
Un bi dàr Glegeheit

              
Mich jetz noch b'sinne do,

              
Eb's geht eso.

              
Sag noch kei Wort im Franz,

              
Denn ich weiss no nitt ganz,

              
Eb ich mi Glick jetz do

              
Z'weg bring eso.

            

          
",24,lustig-dr-fechtmeister,48,6,0.36692425815942253,0.125
25,comedy,WALTHER,M,,,,"
          
Walther.

          
Mach, ass es uf e Weg geht... Do kunnt er glaüb grad...
                        er wird Di süeche... ich will jetz geh lüege, eg dunte
                        ne Sach in Ordnung isch
(er geht üse rechts)
.
                    

        
",25,lustig-dr-fechtmeister,42,5,0.44030910979130705,0.11904761904761904
26,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(allei, fir sich)

          
Also, das wo nitt will hirothe, bikunnt nit un 's
                        andere-n-alles?... Ich mach mi dervo, denn ich will mir
                        das Ding noch iwerlege
(se geht üse links)
.
                    

        
",26,lustig-dr-fechtmeister,44,2,1.165471207950355,0.045454545454545456
27,comedy,SCHANG,M,domestic_worker,elementary_professions,,"
          
Schang

          
(kunnt ine in de Socke, er hat Holzschüeh in dr Hand
                        mit Straü drin)
                    

          
Tiens... wo sin se denn jetz... ich ha doch höre rede..
                        denn ich ha express 's Ohr ans Schlisselloch g'hebt...
                       
(er legt d'Holzschüeh a)
 was mage se wieder üsg'macht
                        ha do im g'heime?... siter ass dà Espèce Chineser do im
                        Hüs isch, wird nur allewil complotiert in de-n-Ecke...
                        ich ka nimmig g'nüe lose-n-an alle Thüre... un er
                        agaciert mi efange, dà Chineser... wenn er
                        Milhüserditsch redt, so mein i, 's isch chinesisch un
                        redt er chinesisch, so mein i, 's isch
                        Milhüserditsch... ich weiss als gar nimmig, wo-n-i dr
                        Kopf ha... me möcht üs dr Hüt springe...
                    

          

            
G'sang

            
Kännt ich chinesisch hit,

            
Wie wàr ich doch so froh,

            
's wàr mir abg'hulfe mit

            
Bi dem Chineser do.

            

            
Ich ka mich nitt vertrage

            
Mit ihm im gliche Hüs,

            
Thüet er mir ebbes sage,

            
So kumm ich gar nitt drüs!

            
O je! o je! o je!

            
Thüet er mir ebbes sage,

            
O je! o je! o je!

            
So kumm ich gar nitt drüs.

            
Diemol redt er mich a

            
«Schaü d'Sunn' schint scho schön Schang!»

            
Ich will eüch g'frogt jetz ha,

            
Eb's eim nitt wird ganz bang?

            
Ich ka mich etc....

          

          
Er hat g'sàit, er heb e Kummission fir mi, ich soll
                            do ufe ku... er meint alleweg, ich ha sunscht nit
                            z'thüe as sine Kummissione z'mache... doch still...
                            do isch er glaüb
(er geht in dr Hintergrund un springt alle Blick
                                uf an dr Wand, fir Mucke s'fange)

        
",27,lustig-dr-fechtmeister,315,20,0.0019103369099334872,0.06349206349206349
28,comedy,FRANZ,M,,,,"
          
Franz

          
(kunnt ine rechts, fir sich)

          
Das sin ganz sunderbare Lit, mi Oncle un mi Cüsine!...
                        sie meine-n-alleweg, ich kumm fir die zwanzigtaüsend
                        Franke z'hirothe, ohne mi Glick derbi z'süeche
(er
                        lipft d'Achsle)
 's Beste wird' si, ich mach mi Kuffer
                        un gang wieder, wo-n-i her ku bi... ich ha jo jetz scho
                        wieder g'sàh, wie's im Elsass züegeht... ich ha do grad
                        e Souvenir, wo-n-i will mitnàh
(er hat e Statüette, wo
                        d'Alsacienne druf isch, in dr Hand)
 awer ich wird's
                        miesse-n-in ebbes iwickle... in Straü oder Hài
                        viellicht
(er sieht dr Schang)
 tiens, do isch jo dr
                        Schang!... Schang, làng Hài!... 
er zieht dr Kuffer
                            fire, stellt ne-n-uf dr Tisch un git si z'schaffe mit).

                    

        
",28,lustig-dr-fechtmeister,166,12,0.0,0.07228915662650602
29,comedy,SCHANG,M,domestic_worker,elementary_professions,,"
          
Schang

          
(fir sich)

          
Hein... was sàit er?... jetz redt er wieder chine sisch;
                       
(züem Franz)
 was bliebt?
                    

        
",29,lustig-dr-fechtmeister,26,2,0.0,0.07692307692307693
30,comedy,FRANZ,M,,,,"
          
Franz

          
(mit sim Kuffer b'schàftigt)

          
Hài, Schang!

        
",30,lustig-dr-fechtmeister,11,1,0.0,0.09090909090909091
31,comedy,SCHANG,M,domestic_worker,elementary_professions,,"
          
Schang

          
(fir sich)

          
Schang-làng-Hài!... Hài-Schang!... er soll ditsch
                        rede!... weiss ich, was er will!...
(er geht
                        hinte-n-üse)
.
                    

        
",31,lustig-dr-fechtmeister,33,1,0.0,0.030303030303030304
32,comedy,FRANZ,M,,,,"
          
Franz

          
(fir sich)

          
Wenn ich's awer thàt in Watte-n-iwickle?... das wàr noch
                        besser... ich müess geh lüege, ass ich Watte find am
                        e-n-Ort
(er geht use rechts)
.
                    

        
",32,lustig-dr-fechtmeister,41,3,0.0,0.07317073170731707
33,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(kunnt ine links)

          
Weisst's dr Cüsin vom Testament oder weisst er's
                        nitt?... das isch jetz d'Frog wenn er's nitt weisst, so
                        isch mi Entschluss g'fasst... ich mach, ass er mich
                        nitt will, ass ich d'ganze Summe bikumm, derno isch mi
                        Vater g'rettet... si Ehr geht vor mim Glick...
(se
                        sieht dr Kuffer)
 tiens... er wird doch ebbe nitt scho
                        am Ipacke si? Doch still, do kunnt er!
                    

        
",33,lustig-dr-fechtmeister,90,9,0.0,0.1
34,comedy,FRANZ,M,,,,"
          
Franz

          
(kunnt ine rechts , er hat e Pàckle Baüele im e
                        Papier ig'wickelt in dr Hand)
                    

          
Eh, tiens!... mi liewe Cüsine!... Dü machsch awer
                        e-n-ernsthaft G'sicht hit, Kàtele... isch Dr e
                        Spinne-n-iwer dr Weg g'loffe?
(er legt si Pàckle-n-uf
                        dr Tisch)
.
                    

        
",34,lustig-dr-fechtmeister,61,7,0.31450650699379074,0.11475409836065574
36,comedy,FRANZ,M,,,,"
          
Franz.

          
Ganz un gar nitt!... obscho Dü mich glaüb nitt gross
                        thàtsch z'ruckhalte... mit allem dem, los, Kàtele,
                        wàr's besser, wenn Dü mir thàtsch jetz emol ufrichtig
                        nei sage, wenn Dü mich nitt hirothe witt...
                    

        
",36,lustig-dr-fechtmeister,47,6,0.5259232492129869,0.1276595744680851
37,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(fir sich)

          
Er weisst 's un will mich mache z'refüsiere!

        
",37,lustig-dr-fechtmeister,15,1,0.0,0.06666666666666667
38,comedy,FRANZ,M,,,,"
          
Franz.

          
's wàr awer g'wiss' schad, denn mir thäte doch g'wiss
                        glicklig werde mitnander...
                    

        
",38,lustig-dr-fechtmeister,17,4,0.0,0.23529411764705882
39,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(fir sich)

          
Nei... er weisst's nitt!

        
",39,lustig-dr-fechtmeister,12,1,0.0,0.08333333333333333
40,comedy,FRANZ,M,,,,"
          
Franz.

          
Ich uf jedefall refüsier nitt...

        
",40,lustig-dr-fechtmeister,8,2,0.0,0.25
41,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(fir sich)

          
Doch, er weisst's!

        
",41,lustig-dr-fechtmeister,11,1,0.0,0.09090909090909091
42,comedy,FRANZ,M,,,,"
          
Franz.

          
Wil ich weiss, ass uns're-n-Eltre Freid dra hätte, un
                        wil ich Dich gern ha.
                    

        
",42,lustig-dr-fechtmeister,21,6,0.0,0.2857142857142857
43,comedy,KÀTELE,F,,,,"
          
Kàtele

          
(fir sich)

          
Décidément, er weisst's nitt!... ich will ne jetz scho
                        mache refüsiere!
(lüt)
 los, Franz, ich will scho, awer
                        ich müess Dir g'steh, ass ich e famos eigesinniger
                        Charakter ha.
                    

        
",43,lustig-dr-fechtmeister,46,4,0.0,0.08695652173913043
44,comedy,FRANZ,M,,,,"
          
Franz.

          
Ah so!

        
",44,lustig-dr-fechtmeister,5,1,0.0,0.2
45,comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Un jalouse bin i!...
(se geht mit dr Füst uf en los)
 ich
                        thàt Dich grad verkratze, wenn Dü nur uf d'Site thàtsch
                        lüege!...
                    

          

          

            
G'sang

            
Wenn ich will in d'Eh',

            
Müess es immer geh

            
Tàglig bi uns zwei

            
No mim Kopf allei.

            
Ich will 's G'setz üsgà,

            
Niene derf nit g'schàh,

            
Vor ebb ich derzüe

            
«Jo» sage thüe.

          

        
",45,lustig-dr-fechtmeister,76,8,0.29136780198758877,0.10526315789473684
46,comedy,KÀTELE,F,,,,"
            

              
Un kei Schritt als meh

              
Derf mi Mann üsgeh,

              
Vor ebb ich derzüe

              
« Jo » sage thüe.

            

          
",46,lustig-dr-fechtmeister,20,1,0.0,0.05
47,comedy,FRANZ,M,,,,"
            
Franz.

            

              
Das isch licht z'versteh,

              
Ich verzicht uf d'Eh',

              
's brücht nit meh derzüe,

              
Ich weiss genüe!

            

          
",47,lustig-dr-fechtmeister,24,5,0.0,0.20833333333333334
48,comedy,FRANZ,M,,,,"
          
Franz.

          
So... so!...
(fir sich)
 ich sich jetz scho, was los
                        isch... se hat 's Geld liewer as mich...
                    

        
",48,lustig-dr-fechtmeister,28,5,0.0,0.17857142857142858
49,comedy,WALTHER,M,,,,"
          
Walther

          
(kunnt hinte-n-ine)

          
Was hör i... ich glaüb, ihr dispetiere mitnander?...

        
",49,lustig-dr-fechtmeister,18,2,0.0,0.1111111111111111
50,comedy,FRANZ,M,,,,"
          
Franz.

          
Dü kunnsch grad recht, Oncle... ich ha-n-ebbes mit Dir
                        z'rede... grad hat mr 's Kàtele verzählt, was es fir e
                        schlechter Charakter hat... hingege müess ich 
g'steh,
                        ass ich 's Testament vo dr Tante, mit allem was drin
                        steht, ganz güet kenn... ich ha's dur e Züefall
                        erfahre, mi Vater hätt mir's nie g'sàit...
(züem
                        Katele)
 De brüchsch awer kei Angst z'ha... ich
                        renoncier... b'halt Dü in dr Tante-n-ihre Geld un ich
                        b'halt mi Herz!... Adie!...
(er geht gege dr Thüre)
.
                    

        
",50,lustig-dr-fechtmeister,113,17,0.11407626543121525,0.1504424778761062
51,comedy,WALTHER,M,,,,"
          
Walther

          
(züem Franz)

          
E-n-Aügesblick... ich ka-n-eüch nitt eso üsnander lo
                        geh, denn ich merk jetz scho, was mag vorgange si... 's
                        Kàtele hat sich sacrificiert fir mich z'rette... De
                        müesch ewe wisse, ass mir dr Kontrakt vo minre Lehnung,
                        wo-n-ich scho zahlt g'ha ha, verlore gange-n-isch un
                        ass me mir jetz 's Geld noch emol verlangt derfir... 's
                        macht ung'fàhr zwanzigtaüsend Franke, un die Summe
                        z'biku, hat 's Kàtele Dich welle mache si Hand
                        z'refüsiere...
                    

        
",51,lustig-dr-fechtmeister,100,7,0.31776635782628576,0.07
