drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,JOSEPH KÜTZ,M,astronomer_assistant,professionals_scientific_technical,,"
          
Joseph

          
(sitzt im Lehnstüehl mit eme Federwisch in de
                        Hànd)
                    

          
's hat's doch noch nie kei Bedienter besser g'ha as
                        ich!... niene thàt ich eso ne Platz finde!... mi Herr
                        isch Astronom, das heisst mit andere Worte, er isch
                        narràchtig... er isch awer güet z'ha... wenn ich ihm
                        nur allewil Recht gib un si Specktifig un si Weltkugle
                        dert abstàib, so geht alles güet
(er steht uf)
, er
                        bekümmert sich sunscht um nit... er isch allewil in de
                        Wulke... mr känne mache, was mr wànn, 's Kàtele un
                        ich... 's isch mi Fraü, wo Kàtele heisst... mr hàn jetz
                        sogar e Bureau de placement ag'fange... mr
                        verschaffe-n-in de Dienstbote Plàtz... um Bezahlung! un
                        iwerhaüpt, was sich presentiert, fir Geld z'verdiene,
                        das iwernàmme mr, seig's was es will... hitigstags derf
                        me nimmig halwer eso blöd si, we me züe ebbes ku will.
                    

        
",0,lustig-drei-schwarze-liebschafte,178,14,0.0786516853932584,,,,,,,,,,,
comedy,KÀTELE,F,,,,"
          
Kàtele

          
(streckt dr Kopf ine rechts)

          
Bisch allei, Joseph?

        
",0,lustig-drei-schwarze-liebschafte,13,1,0.0769230769230769,,,,,,,,,,,
comedy,JOSEPH KÜTZ,M,astronomer_assistant,professionals_scientific_technical,,"
          
Joseph.

          
Jà, liewe Fraü... kumm nur ine.

        
",1,lustig-drei-schwarze-liebschafte,11,2,0.1818181818181818,,,,,,,,,,,
comedy,JOSEPH KÜTZ,M,astronomer_assistant,professionals_scientific_technical,,"
          
Joseph.

          
Los, Kàtele... sag em doch nitt allewil dr Alt, im Herr
                        Himmel, 's isch doch allewil unser Herr.
                    

        
",2,lustig-drei-schwarze-liebschafte,25,6,0.24,,,,,,,,,,,
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Oh! loss mi geh mit dim Herr... Dü machsch Dich jo als
                        z'erst lustig iwer ne, wenn er Dir vo sine Narrheite
                        verzählt.
                    

        
",2,lustig-drei-schwarze-liebschafte,30,3,0.1,0.340341705689213,0.48389437529078305,1.25553080115864,0.5152399310589758,1.3967948408461528,0.5151195167043224,0.21267190225785565,0.7395327824710789,0.23514915872538605,0.7386772092812421,1.4427463185738714
comedy,JOSEPH KÜTZ,M,astronomer_assistant,professionals_scientific_technical,,"
          
Joseph.

          
Ich müess awer o ebbes höre allewil... erst gestert hat
                        er mir wieder dr Kopf versàgt... er hat mr verzählt,
                        wie wit as es isch vo do bis in dr Mond un bis in
                        d'Sunne.
                    

        
",3,lustig-drei-schwarze-liebschafte,42,1,0.0238095238095238,0.2581922619312178,0.39347710971347516,1.3757096260837351,0.45651693077378547,1.570697548802806,0.43211381651103437,0.17876434731871035,0.7335182050292133,0.21357456004981853,1.0885843192470734,1.6900977154795018
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Das glicht em wieder... me ka jo sage so wit as me
                        will... 's geht's Nieme geh messe!
                    

        
",3,lustig-drei-schwarze-liebschafte,24,1,0.0416666666666666,0.16367248516701233,0.39347710971347516,1.2015990754701575,0.19897221793920727,1.3342455990656266,0.27342465001700145,0.17876434731871035,0.22277147275409753,0.21357456004981853,1.0885843192470734,1.4425116750113904
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Er isch doch sunscht nitt eso g'spràchig, dr Herr.

        
",5,lustig-drei-schwarze-liebschafte,13,1,0.0769230769230769,0.19094383242671467,0.39347710971347516,1.3481594203664575,0.2664329190553131,1.559400711488625,0.32402017585408077,0.17876434731871035,0.22277147275409753,0.21357456004981853,1.0885843192470734,1.650171843275587
comedy,JOSEPH KÜTZ,M,astronomer_assistant,professionals_scientific_technical,,"
          
Joseph.

          
Jà, sunscht bringt me-n-em kei Wort züem Mül üse... awer
                        wenn er vo dr Astronomie red', so isch's ganz
                        anderscht... me müess em halt die unschuldige Freid
                        lo... hat er nitt sogar in siner Narrheit scho g'sàit,
                        er heb dr Mond un d'Sunne g'woge!
                    

        
",6,lustig-drei-schwarze-liebschafte,57,8,0.1403508771929824,0.21006633609237374,0.42795926005662005,1.0308651409426486,0.25742529156864735,1.109322051736461,0.35122981808640097,0.040911462992525585,0.28369569885559176,0.18428167830825257,0.6374964710016485,1.173866317731779
comedy,KÀTELE,F,,,,"
          
Kàtele

          
(schlat d'Hànd z'amme)

          
Ich's möglig, ass dr Mensch eso wit awe ka ku!

        
",6,lustig-drei-schwarze-liebschafte,21,1,0.0476190476190476,0.06457474909849634,0.901990470494851,1.2989183980263177,0.10342687437351057,1.4738307553719425,0.11153551862745248,0.040911462992525585,0.060924226101494214,0.05421487715903432,0.5570379963202431,1.5982860259490697
