drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(nachdem der Gesang vorüber ist, klappt er sein Buch zu und setzt die Brille ab; die Glocke der
          Kirche schlägt dreimal mit je drei Schlägen an; er wischt sich die Augen):

          
Jetz litte sie de Säje.

        
",0,greber-d-jumpfer-prinzesse,44,1,0.0227272727272727,,,,,,,,,,,
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Wirkli schlaat d'Bettglock dreijmol an.

        
",0,greber-d-jumpfer-prinzesse,10,1,0.1,,,,,,,,,,,
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer :

          
Un schön gsunge han sie widder — schön gsunge. Ja ja — — schön gsunge.

        
",0,greber-d-jumpfer-prinzesse,19,5,0.2631578947368421,,,,,,,,,,,
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
E großer Fierdaa. — Weisch: ""aufgefahren gen Himmel, sitzet zur rechten Hand Gottes des allmächtigen
          Vaters, von dannen er kommen wird zu richten — — zu richten die Lawendigen und die Toten"".

        
",0,greber-d-jumpfer-prinzesse,41,6,0.1463414634146341,,,,,,,,,,,
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer :

          
Un d'r hochwürdig Herr Bischof isch drüwwe un dhuet in de-n-Erschkommnikante d' Firmung genn.

        
",0,greber-d-jumpfer-prinzesse,20,2,0.1,0.029004342886536538,1.2993508351093528,2.4135770051378596,0.07174758503511675,3.1768743303039244,0.05381068877633756,2.3615224045145538,0.015085801457235001,0.3017160291447034,2.655812581086686,3.607157504085613
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Daß ich so ebbs verfehle mueß. Dis ich m'r zue arrig . . . zue arrig isch m'r dis.

        
",0,greber-d-jumpfer-prinzesse,23,1,0.0434782608695652,0.029004342886536538,1.2993508351093528,2.4135770051378596,0.07174758503511675,3.1768743303039244,0.05381068877633756,2.3615224045145538,0.015085801457235001,0.3017160291447034,2.655812581086686,3.607157504085613
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Jetz schelt doch nit. Dank dim Herrgott, daß de's üwerstande hesch, dini Krankheit. In e paar Daa
          kannsch au widder in d'Kirich gehn.

        
",0,greber-d-jumpfer-prinzesse,33,3,0.0909090909090909,0.3742646539537908,1.2993508351093528,2.169983879403387,0.07174758503511675,2.437677730719485,0.05381068877633756,1.8895248001797273,0.015085801457235001,0.3017160291447034,1.520428099927607,2.7077474207545986
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Wölle's hoffe, wölle's hoffe — — 
          
(herausplatzend)
 hoffe wölle m'r's. — — Ja, so e Verkältung, dismol het's mich nit üwel
          gepackt, — Halwer im Grab bin ich gstande, mit eim Fueß.

        
",0,greber-d-jumpfer-prinzesse,47,5,0.1063829787234042,0.3742646539537908,1.9045574826908556,2.151033541637381,0.07174758503511675,2.5315861210065846,0.19650895338469448,1.1457008609221904,0.16272247776653867,0.0,1.7272492724565702,2.5185102803128654
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Jetz bisch awer widder gsund . . . un hesch nit emol in de Spital gebrücht.

        
",0,greber-d-jumpfer-prinzesse,20,2,0.1,0.3742646539537908,1.8333742743263781,2.7523070996574646,0.07174758503511675,3.3385358527108124,0.5643755995227026,0.9977159842599596,0.5305891239045468,0.0,2.5091563884593624,3.187334989702419
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Un daß ich mine Salon hab verkaufe müen! — — Schad drum! schad drum! D'r Lade het sine Mann
          versorjt.

        
",0,greber-d-jumpfer-prinzesse,26,5,0.1923076923076923,0.38660730600508,1.5354977374443384,2.5589782554028937,0.0,2.970888355847719,0.510564910746365,0.9977159842599596,0.5305891239045468,0.0,2.377648560862853,2.976818274777061
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
M'r sin bis dato noch nit Hungers gstorwe . . . . d'r Herr Antoine nemmt dich in sin Bureau. Er het
          m'r's versproche.

        
",0,greber-d-jumpfer-prinzesse,30,3,0.1,0.4059435345961043,1.5354977374443384,2.662894072406984,0.0478317233567445,3.1305302936218053,0.5464387032639234,0.9977159842599596,0.5305891239045468,0.0,2.377648560862853,3.1240557561001934
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
E Gottsnamme! — — Zuem e bissel schriewe wurd's noch lange; — — do wurd's noch lange, so Gott
          will

        
",1,greber-d-jumpfer-prinzesse,27,3,0.1111111111111111,0.06068322352885006,1.6893238176347964,2.466642564614146,0.0478317233567445,3.1702513759861715,0.5763140163587644,1.1709292357140915,0.5305891239045468,0.0,2.573745030857714,3.2722763166740263
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Un d'rno h mm'r jo unser Jeanne — — Es weiß, was es sine Eldere schuldi isch.

        
",1,greber-d-jumpfer-prinzesse,23,2,0.0869565217391304,0.06068322352885006,0.15382608019045824,1.233589997619772,0.0478317233567445,1.8035162755118044,0.4336157517504075,0.17321325145413172,0.3678666461380081,0.0,1.3846705634465495,1.7010840278435129
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(der Gesang hat neu begonnen):

          
Hörsch, jetz singe sie widder.

        
",1,greber-d-jumpfer-prinzesse,16,3,0.1875,0.06068322352885006,0.15382608019045824,0.5039371457757886,0.0478317233567445,0.7759218424981952,0.06574910561239941,0.17321325145413172,0.0,0.0,0.41712047969926774,0.7806573574444884
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
D'Veschber düürt lang. — — 's isch schun vier durich.

        
",1,greber-d-jumpfer-prinzesse,16,1,0.0625,0.01933622859102436,0.15382608019045824,0.8843136248236956,0.0478317233567445,1.1885974850756849,0.7136635407317685,0.17321325145413172,0.6258107443690282,0.0,0.19609646999486122,1.1175798814919762
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(lauschend):

          
Ich mein, ich hör d'Stimm vum Jeanne erüs . . . . wahrhaftig, im Jeanne sini Stimm.

        
",1,greber-d-jumpfer-prinzesse,26,2,0.0769230769230769,0.0,0.15382608019045824,0.780397807819605,0.0,1.028955547301599,0.6777897482142101,0.17321325145413172,0.6258107443690282,0.0,0.19609646999486122,0.9703424001688437
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(ärgerlich):

          
Ich hör sie awer.

        
",1,greber-d-jumpfer-prinzesse,10,1,0.1,0.0,0.0,0.6157657633182468,0.0,0.7473648302587355,0.6479144351193691,0.0,0.6258107443690282,0.0,1.7763568394002506e-16,0.7294329605317211
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Mintwäje. Nur halt jetz Ruehj. De emotionirsch dich.

        
",1,greber-d-jumpfer-prinzesse,14,3,0.2142857142857142,0.21729158004438648,0.0,1.1523329866454166,0.13478793375821768,1.411698437169727,0.6479144351193691,0.2234561858772198,0.6258107443690282,0.0,0.33655938353215265,1.6555158861934693
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Ei jo denn! — — Gedischbediers un ken End. — M'r verzürnt sich fascht! — Wajer!

        
",1,greber-d-jumpfer-prinzesse,22,1,0.0454545454545454,1.0489729767020664,0.0,2.2358314684418144,0.5497779932444831,1.9898674456197518,0.6479144351193691,0.2234561858772198,0.6258107443690282,0.0,0.33655938353215265,1.9596065049885953
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer

          
(ablenkend):

          
Morje Midda, wenn schön Wedder isch, derfsch e bissel in d'Sunn gehn, het d'r Dokter gsaat.

        
",1,greber-d-jumpfer-prinzesse,27,5,0.1851851851851851,1.101353198646541,0.21791143672780483,1.8800825352445094,0.5497779932444831,1.4669643178958136,0.0,0.36364759056825147,0.0016762001619150002,0.03352400323830036,0.4456986385190639,1.5002446581582576
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Awer halte sollsch dich, het d'r Dokter... gsaat. Daß' ken rechute gitt.

        
",1,greber-d-jumpfer-prinzesse,19,2,0.1052631578947368,1.298946004227374,0.21791143672780483,2.0678272256652694,0.67234659891383,1.624330504791733,0.0,0.36364759056825147,0.0016762001619150002,0.03352400323830036,0.4456986385190639,1.635945360052267
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Weiß schun. — Apropos, 's Jeanne kann morje e Stückel mit m'r gehn.

        
",1,greber-d-jumpfer-prinzesse,18,1,0.0555555555555555,1.298946004227374,0.21791143672780483,2.0678272256652694,0.67234659891383,1.624330504791733,0.0,0.36364759056825147,0.0016762001619150002,0.03352400323830036,0.4456986385190639,1.635945360052267
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Wenn's d'Bermission bekummt vum Herr Steinfeld. .....

        
",1,greber-d-jumpfer-prinzesse,13,1,0.0769230769230769,1.1396631099560606,0.21791143672780483,1.843007453350371,0.6810538352258457,1.438922711202999,0.10762137755267512,0.1401914046910317,0.0016762001619150002,0.03352400323830036,0.10913925498691139,1.1515748783599165
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Ja, ja ... 's het sie sunsch au als bekumme an dem Daa . . . weisch denn nit, was morje-n-isch ?

        
",2,greber-d-jumpfer-prinzesse,28,4,0.1428571428571428,0.30798171329838064,0.21791143672780483,1.2869539267115637,0.26606377573958034,1.2217083147185916,0.10762137755267512,0.7399630063137961,0.0016762001619150002,0.03352400323830036,0.10913925498691139,1.4505368747591825
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Nammesdaa! — Nammesdaa!

        
",2,greber-d-jumpfer-prinzesse,7,2,0.2857142857142857,0.2556014913539061,0.0,1.026937096590622,0.26606377573958034,0.9972466121837946,0.10762137755267512,0.5997716016227643,0.0,0.0,1.7763568394002506e-16,1.1804657610577987
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Weiß Gott ja. Vergiß i miner Nammesdaa.

        
",2,greber-d-jumpfer-prinzesse,12,4,0.3333333333333333,0.05800868577307292,0.11536956014284368,1.2790611618270276,0.1434951700702335,1.401098415329275,0.1300278623738059,0.8796244406190542,0.0,0.0,0.42335236462665415,1.6488653846757129
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer :

          
Um Gottswille ken Unköschte, ich will's nit han.

        
",2,greber-d-jumpfer-prinzesse,14,1,0.0714285714285714,0.05800868577307292,0.11536956014284368,1.2790611618270276,0.1434951700702335,1.401098415329275,0.1300278623738059,0.8796244406190542,0.0,0.0,0.42335236462665415,1.6488653846757129
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
E gfitzti Tart mueß uff de Disch ..... mit eme Vive Emelie drowwe . . . e paar Köujelhöpf . . . un e
          guets Tröpfel Win. Dis wäre m'r no üwri han. An so 'me Daa ze spare! — — Dis wär noch schöner.

        
",2,greber-d-jumpfer-prinzesse,51,5,0.0980392156862745,0.0,0.11536956014284368,1.271005688652556,0.0,1.1279700159631312,0.02240648482113078,1.0107099849111039,0.2578718618804905,0.0,0.42335236462665415,1.4018589975675233
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
De muesch jo allewyl dine Kopf han. 
          
(ist aufgestanden und schaut zum Fenster hinaus)
 d'Kirich isch üs.

        
",2,greber-d-jumpfer-prinzesse,25,1,0.04,0.0,0.11536956014284368,1.384801009897149,0.0,1.4779369018817885,0.02240648482113078,0.41093838328833965,0.2578718618804905,0.0,1.2256915448461296,1.6032110427251136
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Ich denk's emol. Wenn's nit uffg'halte wurd. 
          
(Pause)

        
",2,greber-d-jumpfer-prinzesse,17,1,0.0588235294117647,0.0,0.887585495011059,1.8866918565604434,0.0,2.0568475691073256,0.02240648482113078,0.41093838328833965,0.2578718618804905,0.0,1.2256915448461296,2.184260537181414
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer :

          
Wurum d'r Herr Albert am Sunndaas kenn Visit meh macht?

        
",2,greber-d-jumpfer-prinzesse,13,2,0.1538461538461538,0.02900434288653636,0.7722159348682154,1.9039851090499504,0.07174758503511675,2.187454686149516,0.05381068877633756,0.13108554429204974,0.2578718618804905,0.0,1.1250239584895971,2.1333225929209005
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Wenn'r sich nur widder emol dhädd blicke lon . . . ich wär froh drum.

        
",3,greber-d-jumpfer-prinzesse,18,3,0.1666666666666666,0.26854396479561526,1.2313849808223014,2.607406500563243,0.18072251759017774,2.8379295169985914,0.23845450830944773,0.4673486606067493,0.4424679094739812,0.24610781165480736,1.4396814985376551,2.907786354465456
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Rüscht als emol d'Karte for e kleins Piketel.

        
",3,greber-d-jumpfer-prinzesse,12,1,0.0833333333333333,0.26854396479561526,2.1936146791915543,3.127614201265941,0.18072251759017777,3.5487584981714804,0.23845450830944773,0.3362631163146995,0.18459604759349074,0.24610781165480736,1.4396814985376551,3.7102725284576907
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Allewyl mit dim Kartesspiele.

        
",3,greber-d-jumpfer-prinzesse,8,1,0.125,0.26854396479561526,2.1936146791915543,3.127614201265941,0.18072251759017777,3.5487584981714813,0.23845450830944773,0.3362631163146996,0.18459604759349074,0.24610781165480736,1.4396814985376551,3.710272528457691
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
D'r Herr Albert spielt halt emol groß- artig ; er macht gueti Kombinatione.

        
",3,greber-d-jumpfer-prinzesse,17,4,0.2352941176470588,0.4460148212721734,1.421398744323339,3.1981887380557033,0.3176872604263994,3.7043278039534244,0.2653598526976165,0.5938141844234909,0.18459604759349074,0.24610781165480736,1.601023887672716,3.840611272615218
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Ja, bi Gott, dis isch wohr; nur zue gueti.

        
",3,greber-d-jumpfer-prinzesse,16,4,0.25,0.4170104783856369,1.5367683044661826,3.1854001296895165,0.24593967539128264,3.5727108439626973,0.2339556487424097,1.131218091528572,0.18459604759349074,0.24610781165480736,1.4254114618987401,3.941779259118639
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Allons, allons donc. — 's isch doch üwer e Johr, daß m'r am Sunndaas unser Piketel gemacht han . . .
          grad bis uff d'letschte Wuche.

        
",3,greber-d-jumpfer-prinzesse,33,3,0.0909090909090909,0.17747085647655797,1.0775992585120966,2.8036727751130153,0.13696474283622168,3.424602597616075,0.04931182920929956,1.0134308823672886,0.0,0.0,1.323500655254218,3.7099105387142393
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Ja, was denn awer ?

        
",3,greber-d-jumpfer-prinzesse,8,1,0.125,0.17747085647655797,0.11536956014284368,2.5072180517301077,0.13696474283622168,2.868930814452689,0.04931182920929956,1.6132024839900532,0.0,0.0,1.3235006552542181,3.3157709230551875
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
's het m'r schun lang nimm gebaßt. Guet, daß 'r vun ase furtbliet.

        
",3,greber-d-jumpfer-prinzesse,19,2,0.1052631578947368,0.17747085647655797,0.11536956014284368,2.173860656987048,0.13696474283622168,2.5316917316977814,0.3732690467689841,1.6132024839900532,0.3129053721845141,0.0,0.5211614750347426,2.876082742969067
drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Ah so, dis meinsch, — — Üwerall muesch dü ebbs ze finde han. Loß doch die Sach ruewi gehn und melier
          dich nit drin. Kummt Zitt, kummt Roth.

        
",4,greber-d-jumpfer-prinzesse,36,3,0.0833333333333333,0.244252459547509,0.28483778517999847,2.0531090180672296,0.24360595315145614,2.2126897932827556,0.6111234647620645,1.3556514158812618,0.3129053721845141,0.0,0.3598190858996818,2.391330333748484
drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Niemols! — — Niemols in d'r Welt! — — 's Jeanne isch m'r viel ze guet for ne.

        
",4,greber-d-jumpfer-prinzesse,24,1,0.0416666666666666,0.244252459547509,0.16946822503715475,1.6087356182867438,0.2436059531514561,1.652481646189893,0.5887169799409337,0.8182475087761807,0.3129053721845141,0.0,0.212746733403536,1.7369999659936526
