Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,drama,Marie Engel,F,,,,"
          
Mutter

          
(steht hinter Berthe und kämmt ihr das Haar):

          
Dis weiß d'r lieb Herrgott, was dü mit dine Hoor machsch. Als widder verstruwwelt und verzüst. For
          dich könnt m'r ellein e Coiffeur anstelle, daß de nit alle-gelde-n-erüslüejsch wie e
          Ziginnersmaidel.

        
",0,greber-lucie,50,3,1.8068431433573018,0.06
1,drama,Berthe,F,,,,"
          
Berthe :

          
Auah! Auah! De machsch m'r weh, Mamme.

        
",0,greber-lucie,13,2,2.7918337233709645,0.15384615384615385
2,drama,Marie Engel,F,,,,"
          
Mutter :

          
Halt! e bissele still, daß ich dich strähle kann. Ropfe müeß ich dich halt schun, bisch ganz ellein
          schuld dran. Wo isch din Zopfbendel? Hesch ne 'mol widder verlore?

        
",0,greber-lucie,38,7,1.8362913537956698,0.18421052631578946
4,drama,Marie Engel,F,,,,"
          
Mutter :

          
Gib here! 
          
(Berthe reicht ihr das Band)
 Dü sottsch viel meh uff dich halte. E Maidel, wo in d'
          Doctrine geht, sott sich viel ze güet sin, for uff d'r Gaß erumzespringe, daß m'r nit weiß, in wem's
          g'hört. Es het nit e jeds die Lehr, wo dü hesch. — Wie stehts mit dine-n-Uffgawe, hesch sie schun
          gemacht?

        
",1,greber-lucie,77,8,1.976183916438567,0.1038961038961039
5,drama,Berthe,F,,,,"
          
Berthe :

          
Ich hab sie gemacht, awer 's Lucie müeß mich emol de Katechisme üwwerhöre, ob ich ne au güet kann.
          Wurum kummt's denn so lang nit?

        
",1,greber-lucie,32,3,0.0,0.09375
6,drama,Marie Engel,F,,,,"
          
Mutter :

          
Fröuj's doch selbscht; es saat m'r 's nit, was for Gschäfte 's het.

        
",1,greber-lucie,19,3,1.2617790704984666,0.15789473684210525
7,drama,Berthe,F,,,,"
          
Berthe :

          
Denk emol, grad ewwe-n-isch e Herr do gsin, un het noch em gfröujt.

        
",1,greber-lucie,20,2,1.8850681328495094,0.1
9,drama,Berthe,F,,,,"
          
Berthe :

          
Uff d'r Gaß.

        
",2,greber-lucie,6,1,2.826550433597648,0.16666666666666666
10,drama,Marie Engel,F,,,,"
          
Mutter :

          
E Herr?

        
",2,greber-lucie,5,1,1.2355260104964096,0.2
11,drama,Berthe,F,,,,"
          
Berthe :

          
Ja, e schöner großer Herr isch kumme, mit eme schwarze Schnützer un eme goldene pince-nez. Der het
          noch'm Lucie gfröujt. No hawi g'saat: 's isch nit d'heim. No het er gsaat: gell, dü bisch sicherlich 's
          Schweschterle züem. No hawi g'saat: ja. No het er gsaat: dis isch awer schad, ich bin arig pressirt. —
          Un derno isch er widder furt gange.

        
",2,greber-lucie,81,7,1.5463596984161037,0.08641975308641975
12,drama,Marie Engel,F,,,,"
          
Mutter :

          
's isch güet. Ich saa's im, wenn's heime kummt.

        
",3,greber-lucie,16,1,0.0,0.0625
13,drama,Berthe,F,,,,"
          
Berthe :

          
O jeh, d'r Babbe! Ich glaub, er het schun widder eini.

        
",3,greber-lucie,17,2,0.0,0.11764705882352941
14,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater

          
(Trinkergesicht; farbiges Hemd, verschlissene Sammthose, Gurt, abgetragener Rock und hohe Mütze;
          angetrunken, rennt an Berthe an) :

          
Mach, daß de m'r üs de Füeß gehsch, Krott, elendi! Sunsch gitts Schmier! Sacré matin noch emol!

        
",3,greber-lucie,49,4,1.0526484237982667,0.08163265306122448
15,drama,Marie Engel,F,,,,"
          
Mutter :

          
Seij mit dem Kind doch nit so grob. 's het d'r jo nix gemacht.
          
(Zu Berthe.)
 Geh e bissel uff
          
d'Gaß Kind. Din Babbe isch awer au gar ze wüscht mit d'r. 
          
(Berthe rechts ab.)

        
",3,greber-lucie,48,7,1.5423750497352644,0.14583333333333334
16,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater

          
(ruft der Berthe nach):

          
Brüchsch nit vum m'r furtzelaufe, ich biß dich nit. — — 
          
(Zur Mutter)
 Isch's z'Nachtesse gerischt? — — Ich hab Hunger.

        
",4,greber-lucie,37,3,1.0143962859758087,0.08108108108108109
17,drama,Marie Engel,F,,,,"
          
Mutter :

          
's isch ererscht halwer sechs, m'r esse-n-am siewwene, wie sunscht. So lang kannsch warte, un wenn
          de nit warte witt, ze kannsch gehn, wo de here kumme bisch.

        
",4,greber-lucie,39,4,3.1101381014880785,0.10256410256410256
18,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Es müeß aim währli angscht und bang sin, wenn m'r heime kummt.

        
",4,greber-lucie,16,3,0.0,0.1875
19,drama,Marie Engel,F,,,,"
          
Mutter :

          
Ja, ich meins au!

        
",4,greber-lucie,8,1,2.0175040863834743,0.125
20,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Was gitt's ze-n-esse ?

        
",5,greber-lucie,9,1,0.0,0.1111111111111111
22,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Sunsch nix? Dis Fresse hawi satt!

        
",5,greber-lucie,10,2,0.0,0.2
23,drama,Marie Engel,F,,,,"
          
Mutter :

          
Eh ben, no geh lüeje, wo de-n-ebbs bessers bekummsch. Mir sin d'rmit zefridde.

        
",5,greber-lucie,22,2,0.0,0.09090909090909091
24,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Elendi Mungedrysselswirtschaft! Do het m'r 's jo besser im Böuj.

        
",6,greber-lucie,14,3,0.7421900223604232,0.21428571428571427
25,drama,Marie Engel,F,,,,"
          
Mutter :

          
Weje dem kannsch mache, daß de widder anne kummsch, wenns d'r derte so güet gfalle het.

        
",6,greber-lucie,21,2,1.3086732026710748,0.09523809523809523
26,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Was saasch?

        
",6,greber-lucie,5,1,0.0,0.2
27,drama,Marie Engel,F,,,,"
          
Mutter :

          
Wenn dü ebbs schaffe dhäddsch , könnt m'r d'r au ebbs Ordentlichs rischte züem z'Nachtesse. Wenn m'r
          awer de ganze Daa in de Bierläde-n-erumkheijt....

        
",6,greber-lucie,31,2,1.0449996718284082,0.06451612903225806
28,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ich schaffe! For denne Hungerslohn, wo m'r kreijt? — — Do kennsch dü mich awer schlecht, wenn de
          meinsch, daß ich dodrum au nurre de kleine Finger rüehr. — — Ja, ja, ich weiß, d'arme Litt sin nur
          Hund, nix andersch sin sie wie Hund — — schaffe solle sie Daa un Nacht, daß d'Riche könne-n-in d'r
          Citadin fahre un sich e dicker Büch pflanze. — Awer 's wurd schun noch andersch kumme, denk dran, m'r
          wäre schun mit denne große Herre dheile, un dis garandier ich dir, daß ich nit d'r letscht bin, wo ebbs
          kreijt.

        
",7,greber-lucie,121,9,1.3779387432780352,0.0743801652892562
29,drama,Marie Engel,F,,,,"
          
Mutter :

          
Dü hesch's jo güet vor.

        
",7,greber-lucie,9,1,0.0,0.1111111111111111
30,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Es kummt noch eso, es kummt noch eso, dis kann nit so bliewe. Sie solle schun lüeje, die Herre vun
          Owwe. Die Hungerswirtschaft het e-n-End, un bis dert anne isch's nimmi lang. Ich saa d'r's, un gsaat
          isch gsaat, sie düürt nimmi lang. Verstehsch mi?

        
",7,greber-lucie,62,4,0.0,0.06451612903225806
32,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ja, ich hab erecht. Un dü wursch sehn, ich bhalt erecht. Dis wär noch schöner, wenn ich nit erecht
          hätt.
          
(Er fuchtelt mit der Hand in der Luft herum)
 So kann dis Ding nit furtgehn, die Hack müeß
          emol e Stil han. Die Blütsüger sitze-n-im Uewerfluß . . . . un bi uns isch Armüet Trumpf — — nix hinte,
          nix vorne — — nix isch nix und bliet nix. E Kritze-Batteriedeckel soll drin fahre, wenn dis nit e-n-End
          het!

        
",8,greber-lucie,100,8,1.2025156691914263,0.08
33,drama,Marie Engel,F,,,,"
          
Mutter :

          
Ums Gottswille, brüel nit eso, denk doch e bissel an denne sterweskranke Mann, wo do howe
          leijt....

        
",8,greber-lucie,23,2,0.0,0.08695652173913043
34,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Sterweskrank ? M'r müen alli emol sterwe. In minere Wohnung derf ich mache was i will. Weje dem hawi
          miner Hüszins bezahlt.

        
",8,greber-lucie,27,2,0.0,0.07407407407407407
35,drama,Marie Engel,F,,,,"
          
Mutter :

          
's Lucie, witt saaue. — — Dü hesch üwerhaupt ken Herz! Wer nur e bissel Mitleid mit sim Newesmensch
          het, der bringt dis nit ferti, was dü gescht ferti gebroocht hesch. D'ganz Noochberschaft het sich
          drüwer uffghalte.

        
",8,greber-lucie,47,4,0.4547564314724171,0.0851063829787234
36,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ich wur doch min anniversaire fiere derfe. Wer will mich dran empeschiere? Fremdi Litt gehn mich nix
          an.

        
",9,greber-lucie,23,1,0.0,0.043478260869565216
37,drama,Marie Engel,F,,,,"
          
Mutter :

          
M'r het's gescht gemerikt, daß de 'mol widder Geld in d'Finger kreijt hesch. 's Lucie isch viel ze
          güet mit d'r. Jede Daa zeh Sü wärd grad genüe. Vun denne zwanzig Mark, wo's d'r gescht het genn, wurd
          noch viel üwrig sin! Zaij emol, was de noch drvun hesch!

        
",9,greber-lucie,63,6,0.8275198854015957,0.09523809523809523
38,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Dem hesch du nix nochzefröuje. Dis sin mini Sache.

        
",9,greber-lucie,13,1,0.0,0.07692307692307693
39,drama,Marie Engel,F,,,,"
          
Mutter :

          
Isch's möjli! Zwanzig Mark verbutzt an eim Owe! Un for nix un widder nix! Do könnsch Millionär sin,
          's dhädd d'r nit lange. Wenn de nur soviel verdiene dhäddsch, daß m'r dich nit üszehalte briechd, so e
          großer, starker Mann. So triebsch dich Daa un Nacht in de Bierhieser un sunsch erum — Gott weiß wo — —
          d'aye Doochter müeß dich vun ihrem Verdienscht entreteniere — — un dü schämsch dich nit, sin Geld
          anzenemme.

        
",9,greber-lucie,91,7,0.3077008515430876,0.07692307692307693
40,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Redd' m'r doch ken so Gstuß doher. Wenn's Lucie nur e bissel meh üs sich mache dhädd, es könnt grad
          so viel verdiene, wie es wott.

        
",10,greber-lucie,33,3,0.8448700850675364,0.09090909090909091
41,drama,Marie Engel,F,,,,"
          
Mutter :

          
's isch ganz einerlei, 's isch sin Geld, un 's wär uff jede Fall besser, es dhädds uff d'Sparkass'
          traaue, daß es emol ebbs het, wenn's je hirothe wott. Ich freili bin e-n-alti kranki Frau 
          
(sie hustet),
 wo ihri Glidder nimmi recht gebrüche kann . . . Wenns mir ebbs züekumme
          loßt, wurd's em unser Herrgott danke ..... ich kann jo nimmi schaffe, ich bin elend und schwach, un wur
          im nimmi lang züer Lascht sin. Awer weisch, was dü bisch?
          
(Sie reißt ihre ganze Kraft zusammen.)
 Dü bisch e Verdhüener . . . e drüriger Dropf . . .
          e Schlabbes bisch . . . du dhäddsch mich noch heiße uff d'Britsch gehn wäsche, daß de Geld bekummsch,
          for's mit dine Kamerade ze verklebbere. Ja drüsse bisch schenerös un großarti, do machsch, wie wenn
          di's d'heime hüffeswis leije hättsch . . . wenn sie's nur wüßte . . . wenn sie's nur sehne dhädde . . .
          was dü . . .
          
(sie kann vor Husten nicht weiter reden).

        
",10,greber-lucie,209,24,1.9743623738288338,0.11483253588516747
42,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Verstick nur an dim böse Mül, alts Ise, das de bisch.

        
",10,greber-lucie,16,4,2.6224819466092573,0.25
43,drama,Marie Engel,F,,,,"
          
Mutter :

          
Wie schön könnte m'r's han, wenn dü nit wärsch! Dini Liederlichkeit het uns um Hab un Güet gebroocht
          un bringt uns noch uff de Gottsacker! Dü ghörtsch noch e paar Johr drucket gsetzt, do hätt m'r doch
          Rüehj vor d'r.

        
",10,greber-lucie,48,5,1.3558796454756767,0.10416666666666667
44,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Noch e Wort, un i schmiß d'r ebbs an de Kopf, grad was i find!

        
",11,greber-lucie,20,4,1.9301388091221603,0.2
45,drama,Marie Engel,F,,,,"
          
Mutter :

          
Prowiers nurre! ich wur mich vor dir scheniere, dü Schandfleck dü!

        
",11,greber-lucie,16,1,3.5556429856819975,0.0625
46,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Frau, ich saa d'r, ich hau dich noch stiff un lahm, wenn de nit stille bisch.

        
",11,greber-lucie,22,3,0.0,0.13636363636363635
47,drama,Marie Engel,F,,,,"
          
Mutter :

          
Erbärmlicher Tropf, dü!

        
",11,greber-lucie,7,2,1.6992050950137125,0.2857142857142857
48,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Bly stille, oder 's gitt e-n-Unglück!

        
",12,greber-lucie,12,3,0.0,0.25
50,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Dummheit! düürsch mich, arms Wibsbild. — — — Bringsch m'r nix ze-n-esse?

        
",12,greber-lucie,20,3,1.1118090574813453,0.15
52,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
No gehwi ins Wirtshüs.

        
",13,greber-lucie,7,1,0.0,0.14285714285714285
53,drama,Marie Engel,F,,,,"
          
Mutter :

          
Geh nurre, m'r halte dich nit.

        
",13,greber-lucie,10,1,1.9530880876750043,0.1
54,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Ze gib m'r Geld, wenn ich gehn soll.

        
",13,greber-lucie,12,2,0.0,0.16666666666666666
56,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
Geld erüsgewichst, Alti!

        
",14,greber-lucie,7,2,0.0,0.2857142857142857
57,drama,Marie Engel,F,,,,"
          
Mutter :

          
Ich hab keins.
          
(Engel geht auf die Mittelthüre zu.)
 Ja kannsch lang lüeje, 's isch nit dheim.

        
",14,greber-lucie,25,3,0.6725013621278247,0.12
58,drama,Joseph Engel,M,stonemason,crafts,lower_middle_class,"
          
Vater :

          
(nachdem er sich überzeugt, daß Lucie nicht zu Hause ist)

          
Here mit dem Geld!

        
",14,greber-lucie,20,3,1.013329364940115,0.15
