Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
3,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Ja, sin’r ejrer Sach) denn au ganz sicher ?

      
",3,stoskopf-e-mordsaffar,14,4,0.6998422412248385,0.2857142857142857
4,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Au noch?! Ihr muehn e solide Schlof han oder daub sin wie e Pfohl, wenn er nix g'hört han vun dem Mord un Totschlaa 
(zu den Leuten im Türrahmen)
 Ihr han’s doch alli ghört? —

      
",4,stoskopf-e-mordsaffar,44,2,1.363841063185529,0.045454545454545456
5,comedy,Eine alte Frau,F,,,,"
        
Alle :

        
(mit dem Kopfe nickend)

        
Ja, un ob!—

      
",5,stoskopf-e-mordsaffar,14,1,1.547430442151874,0.07142857142857142
6,comedy,Katherin,F,,,,"
        
Katherin:

        
Es isch ganz gottsjämmerlich g’sin, diß Gebruels anzehöre ! Die arm Frau hett gejehlt un gekrische, wie er als uf se g’haue hett, daß sich d'Stein hätte-n-erweiche möchte!

      
",6,stoskopf-e-mordsaffar,37,4,0.8472325967664781,0.10810810810810811
7,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
E jede Streich hawi g’hört, wie ere versetzt hett.

      
",7,stoskopf-e-mordsaffar,13,1,2.2581375072094194,0.07692307692307693
8,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Um well Zitt isch’s g’sin?

      
",8,stoskopf-e-mordsaffar,10,2,0.7355826739191998,0.2
9,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
S’isch geje de Zwölfe g’sin.

      
",9,stoskopf-e-mordsaffar,9,1,2.437496812454848,0.1111111111111111
10,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
In d'r Beischterstund ?!

      
",10,stoskopf-e-mordsaffar,8,1,0.0,0.125
11,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Ich hab grad getraimt g’hett, daß d’Hüsare vun Stroßburri versetzt worre sin, do krej ich e Mordsschrecke un verwach un hör im Zimmer newe mir — wisse Sie, ich schloof newe d’r Herr- schaft wäje-n-em kleine Kind — un hör, wie g’saat, e Heidespektakel.

      
",11,stoskopf-e-mordsaffar,56,6,2.0341851972167766,0.10714285714285714
12,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Grad wie ich, ich hab grad getraimt, ich hab e Los genumme in ere Lotterie, un im Moment, wie ich m’r’s Nummero hab merike welle, wur ich uffgeweckt durich e Läwesdaa iwer mir, wie ganz gottvergesse-n-isch g’sin. Ich rieb m’r d’Aue-n- üs un fall fascht in Ohnmacht, im Bett newe mir steht e großi wiffi G'stalt uffrecht an d'r Wand...

      
",12,stoskopf-e-mordsaffar,76,9,2.4870210863740856,0.11842105263157894
13,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Um’s Gottswille isch’s möjli? — Es isch doch ken G’spenscht g’sin?

      
",13,stoskopf-e-mordsaffar,18,2,0.0,0.1111111111111111
14,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Nein, es isch mini Frau g’sin, wie au schun vun dem Läwesdaa uffgeweckt isch g’sin, un wie gelüschtert hett. „Hörsch?“ saat sie zue mir. „Ja Frau,” hawi zue ere g’saat. „Diß isch jo schreckli,” hett sie g’saat, „diß isch jo schreckli” saa ich d’rno.

      
",14,stoskopf-e-mordsaffar,66,5,4.582694170800323,0.07575757575757576
15,comedy,Katherin,F,,,,"
        
Katherin :

        
(welche bestätigend mit dem Kopfe genickt hat)

        
Un no han m’r mitnander gelüschtert. D’Hoor sin uns ze Berry g’stande, wie der sini Frau verschlaaue hett. Bim e jede Streich wie m’r süse han höre, han m’r uns als gebuckt, un glich druff hett m’r als wid’r krische höre. Diß Ding hett e Wyl so furt gedürt, bis’r sie kalt gemacht hett g’hett. Im ganze Zimmer isch’r ’re nochgeloffe, bis’r se verwitscht hett. Sie hett sich natierlich flüchte welle, awer der elend Herr hett allewäj d’Tür zueb’schlosse g’hett —.

      
",15,stoskopf-e-mordsaffar,106,8,1.0852116123332398,0.07547169811320754
16,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
„Un dü gehsch m’r doch nit durich,” hett’r als g’saat, „miserawls G’schöpf, elends,” un bumms hett'r wid’r eins drufflosg’haue, un die arm Frau hett gekrische, daß’s eim durich Mark un Bein g'fahre-n-isch.

      
",16,stoskopf-e-mordsaffar,48,2,0.5936425232637983,0.041666666666666664
17,comedy,Katherin,F,,,,"
        
Katherin:

        
Do uff einmol hett m'r noch e stariker Streich g’hört, d’rno hett m’r krische höre, wie ebber, wo e Meffer im Hals stecke hett.. . .

      
",17,stoskopf-e-mordsaffar,33,3,1.0817034600975424,0.09090909090909091
18,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Un d'r Mörder, haw ich g’hört, wie'r ganz dittli g’saat hett: „So jetzt hesch furs Murre —”

      
",18,stoskopf-e-mordsaffar,24,3,0.41731284091582665,0.125
19,comedy,Katherin,F,,,,"
        
Katherin:

        
So isch's, ja so isch's!

      
",19,stoskopf-e-mordsaffar,11,1,1.547430442151874,0.09090909090909091
20,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Un no isch’s stille worre.

      
",20,stoskopf-e-mordsaffar,9,1,0.0,0.1111111111111111
21,comedy,Katherin,F,,,,"
        
Katherin:

        
Stille, wie im Grab! —

      
",21,stoskopf-e-mordsaffar,9,2,1.2331460849056015,0.2222222222222222
22,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Diß isch jo grieserli ! Nein, so e Canaille ! Marie 
(an der Tür durch das Schlüsselloch schauend)
 : Jesses Maria, jetzt kummt’r allewäj glich, er thuet grad d’Hosse-n-an.

      
",22,stoskopf-e-mordsaffar,41,3,1.2685299991891095,0.07317073170731707
23,comedy,Katherin,F,,,,"
        
Katherin:

        
So ganz kaltbluetig?! So mir nix dir nix ?! — O, die Canaille! S’bescht wurd sin, ich geh jetzt die arm Mamme prevenire, die wurd lueije, wenn ich's ere so hinte-n-erum ze verstehn wurr gän, daß se-n-e Mörder zuem Dochtermann hett.

      
",23,stoskopf-e-mordsaffar,59,6,1.2290098257488076,0.1016949152542373
24,comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
M’r grüst’s ganz, wenn’r jetzt awer so uf einmol erüs thät kumme.

      
",24,stoskopf-e-mordsaffar,18,4,0.6652957142379168,0.2222222222222222
25,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Nur kenn Angscht ! Do solle Sie ebs erlewe, do solle Sie emol sehn, wie ich denne anne- stelle wurr. Sie gottvergessener Frauemörder, wurr ich zuem saaue un wurr'm d’rbi in’s Wiß vun sine-n- Aue löuije, daß'r for Scham in de Erdsgrundsbodde nin versinke möcht!

      
",25,stoskopf-e-mordsaffar,58,3,0.5621530539405623,0.05172413793103448
26,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Scht! — Ich glaub er kummt 
(die Türe geht auf, Herr Müller tritt herein, er hat eine kleine Schachtel in der Hand und sieht erstaunt um sich. Marie reibt hastig mit einem Lappen an einem Möbel herum; die alte Frau, Katherin und die Leute im Türrahmen stieben entsetzt davon, Schuster hinterdrein, Müller eilt ihm nach und hält ihn zurück.)

      
",26,stoskopf-e-mordsaffar,72,7,1.373992567173188,0.09722222222222222
27,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Schueschter, Schueschter! Ja, was Deifels, was isch, denn do Ios, ich glaub ihr han Conferenze do in mim Zimmer in aller Fruehj? 
(Schuster in allen Ängsten sucht nach einer Antwort)
 Ze redde doch, was han’r denn gewellt ?!

      
",27,stoskopf-e-mordsaffar,51,2,0.773715221075937,0.0392156862745098
28,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie :

        
(für sich)

        
Schreckli ! Wie schreckli daß’r üssicht!

      
",28,stoskopf-e-mordsaffar,13,3,5.281595588576702,0.23076923076923078
29,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
S'isch nix, gar nix, Herr Müller, gar nix, ich hab ne numme d’Zyttung eruff gebrocht 
(sucht in seiner Schürze)
.

      
",29,stoskopf-e-mordsaffar,30,1,1.5053206066633051,0.03333333333333333
30,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Ja, un die viele Lytt? —

      
",30,stoskopf-e-mordsaffar,10,1,1.547430442151874,0.1
31,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Ei, — ei, die han m’r sie helfe bringe...

      
",31,stoskopf-e-mordsaffar,14,1,0.0,0.07142857142857142
32,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Ja, un do d’rzue brücht m’r e so viel Lytt ?

      
",32,stoskopf-e-mordsaffar,15,1,1.547430442151874,0.06666666666666667
33,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Diß heißt, sie han mich begleit, sie han grad guet d'r Zitt g’hett . . . . sie sin spaziere gange.

      
",33,stoskopf-e-mordsaffar,26,4,0.8407698729596058,0.15384615384615385
34,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
(für sich)

        
Ich glaub der Mann hett de Verstand verlore, 
(zu Schuster)
 ze gän m’r se e Gottsname here die Zyttung.

      
",34,stoskopf-e-mordsaffar,29,5,0.0,0.1724137931034483
35,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Grad suech i sie, jetzt sieh i ererscht, daß i se vergeffe hab... Ich will sie glich gehn hole.

      
",35,stoskopf-e-mordsaffar,25,2,0.9459570720000118,0.08
36,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Ich weiß gar nit, wie Ihr mir vorkumme, m’r meint, Ihr han glauwi schun e Dampf

      
",36,stoskopf-e-mordsaffar,21,2,0.9766225775067164,0.09523809523809523
37,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
(in der Mitteltür)

        
Besser e Dampf, wie e schlechts Gewisse schleunig 
(ab)
.

      
",37,stoskopf-e-mordsaffar,20,2,1.8655964379716026,0.1
38,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
(den Kopf schüttelnd)

        
Total verhuttelt, total verhuttelt! Ex dürt mi, der arm Mann. —

      
",38,stoskopf-e-mordsaffar,22,4,3.2964417025231727,0.18181818181818182
39,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Ich rieder an Arm und Bein, allein bliew ich au net 
(will ab)
.

      
",39,stoskopf-e-mordsaffar,19,2,0.5936425232637983,0.10526315789473684
40,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Worum lauft Sie denn so furt wie nasebluetig ? Sie hätte g’scheiter dran gethon, wenn Sie mir de Kaffee ferviert hätte, als do ze rätsche; un daß m’r diß nimm vorkummt, daß i fremdi Lytt am Morje in minere Wohnung treff.

      
",40,stoskopf-e-mordsaffar,48,2,0.0,0.041666666666666664
41,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Ah, de Kaffee! — Ja, Herr, im Aues- blick 
(schnell ab)
.

      
",41,stoskopf-e-mordsaffar,21,4,1.3211785216392182,0.19047619047619047
42,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Ich weiß nit, die Sach kummt m’r so merkwürdi vor, was do nur for e G’heimnis drunter stecke mueß. C’est curieux, très curieux!

      
",42,stoskopf-e-mordsaffar,30,1,0.0,0.03333333333333333
46,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Ja, ewi Frau, ich hab schun dran gedenkt, ich hab sie do in ere Lad.

      
",46,stoskopf-e-mordsaffar,21,2,0.773715221075937,0.09523809523809523
48,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Oui, Herzele. 
(Zieht eine tote Fledermaus aus der Schachtel, dieselbe mitleidig betrachtend)
 Arm’s Thier’l, so hesch dü din Läwe-n-inbüße muehn ! Diß hesch dü dier bezahlt, daß dü in dere warme Sommernacht zuem offene Fenschter in unser Schlofzimmer ning’flöuje besch, un daß dü min liebs herzigs Wiewele so ver- schreckt hesch. 
(Legt die Fledermaus wieder in die Schachtel)
. S'isch einthuen, ich möcht nit alli Nacht so e surprise han. Was diß e Hitz koscht het, bis ich diß arm Thierl verwitscht hab. Huppla, wie ich als gemeint hab, jetz triff i’s mit'm Stock, isch’s schun wittersch g'sin und ich hab d’rnewe g’schlaue, uff’s Bett, uff’s Commod, an d’Wand. Diß isch e fuerichterlicher Krambol g’sin, d’rno hett mini Frau jedesmol gekrische, wenn d’Fledermüs iwer’s Bett g'flueje-n-isch, daß m’r hett meine könne, es geht ere-n-an de Kraue. Ich fericht fascht m’r han ’s ganz Hüs rewellisch gemacht. Zum große Glück hawich sie finalement doch verwitscht. En plein hawich ich sie getroffe, un tot isch tot g’sin, un kapüt kapüt! 
(bei den Ietzten Worten ist die Magd in der Mitteltüre erschienen, voll Entsetzen hört sie die Ietzten Worte. Sie fängt an zu zittern und läßt das Plateau fallen, mit Caffe, Kaffee und Milchkanne)
.

      
",48,stoskopf-e-mordsaffar,261,22,1.2462935683816,0.0842911877394636
49,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Kapüt isch kapüt!

      
",49,stoskopf-e-mordsaffar,6,2,5.941971883238806,0.3333333333333333
50,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller :

        
(sich entsetzt umwendend)

        
Ei, d’r Schinder, was macht sie do schun wid’r, Sie verhejt uns jo noch alles G’schirr. 
(auf die Magd zu Daß Sie doch nie Acht gan kann! — Marie zitternd)
: Verschone Sie mi, Herr, ver- schone Sie mi !

      
",50,stoskopf-e-mordsaffar,57,5,2.490490694317613,0.08771929824561403
51,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Macht Sie kenn so dummi Plän, ich will Sie jo nit fresse, un paßt Sie mir e-n-anders Mol besser uff. 
(Es schlägt 8 Uhr, Müller schaut auf die Uhr
. Bon, jetzt kumm i au noch ze spoot uffs Bureau mit dere-n-Affär, un von Kaffeetrinke kann kenn Red meh sin. 
(Zu Marie)
 Hol Sie Kehrwisch un Bese, un fäj Sie mir d’Scherwe zamme. ’s isch nimm üszehalte mit dem Dienschtpersonal. Ieanne 
(aus dem Nebenzimmar)
: Männele, gäll's Marie hett wid’r ebs verhejt?

      
",51,stoskopf-e-mordsaffar,107,12,0.7680563438651461,0.11214953271028037
52,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Ja, ’s Kaffeeservice.

      
",52,stoskopf-e-mordsaffar,7,1,1.547430442151874,0.14285714285714285
54,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
Nein, liebs Kind, blieb nur noch Ieje, dü hesch bös genue g’schloofe die Nacht wäje dere Fledermüs . ... Au revoir, Schätzele, ich mueß uffs Bureau gehn.

      
",54,stoskopf-e-mordsaffar,35,2,2.7654631985792193,0.05714285714285714
57,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie :

        
(mit Besen und Schaufel)

        
Schreckli, fchreckli, ich zit’r am ganze Körper.

      
",57,stoskopf-e-mordsaffar,18,3,1.9590029024380524,0.16666666666666666
58,comedy,Adolph Müller,M,accountant,intermediate_professionals,lower_middle_class,"
        
Müller:

        
(zuräck, nimmt die kleine Schachtel mit der Fledermaus)

        
’s Üsstopfe derfe m’r nit vergesse ! — 
(Zu Marie)
 Un paßt Sie mir e-n-anders Mol besser uff ! 
(ab)
.

      
",58,stoskopf-e-mordsaffar,40,4,0.0,0.1
59,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Ja Herr! — 
(für sich)
 Gott sei Dank, daß’r furt isch. Daß au grad mir diß Unglück passiere mueß, in e Hüs ze kumme, wo e Mann sini Frau umbringt! O, wär ich nie gebore ! Schuster 
(den Kopf vorsichtig zur Mitteltüre herein steckend)
 : Er isch furt ! Er isch furt! 
(Marie dreht fisich ersechreckt um)
 Ich hab awer d’Bolizej preveniert ! Sie wurd bald kumme ! 
(reibt sich die Hände)
.

      
",59,stoskopf-e-mordsaffar,92,11,1.4033768990303284,0.11956521739130435
60,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
D’Bolizej?! — O, es grüst m’r ganz.

      
",60,stoskopf-e-mordsaffar,14,1,1.25193852274748,0.07142857142857142
61,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Hein? Mamsell Marie, han Sie ne recht betracht, wie verstört, daß’r üsg’sehn hett, wie bleich daß'r isch g'sin? Un wier verschrocke-n-isch, wie ich'm eine niewer g’stellt hab, un wie ich’m g'saat hab, daß’s besser isch, m’r hett e Dampf in d'r Fruehj als e schlechts Gewisse !

      
",61,stoskopf-e-mordsaffar,64,6,0.6218654793238675,0.09375
62,comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Ja, er isch ganz zammeg’fahre !

      
",62,stoskopf-e-mordsaffar,9,2,1.399684482449677,0.2222222222222222
63,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Han Sie's au gemerikt, wie'r mim Blick üsgewiche-n-isch, wenn ich ne als angeluejt hab? 
(Marie nickt mit dem Kopf)
. Sehn Sie, Mamsell Marie, diß macht im e-n-ehrliche Mann Fraid, wenn’r im e Ver- brecher so recht in d'Aue Iueje kann, um sin Gewisse schlaaue ze mache. Marie 
(an der Türe links lauschend)
? Jesses, m’r sott fascht meine, m’r hört ebs!? — Jesses Maria!

      
",63,stoskopf-e-mordsaffar,91,12,1.6042168600553344,0.13186813186813187
64,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Sott se-n-am End noch nit ganz tot sin ? — die arm Frau, sie thät mich düre, wenn se liede mueßt. 
(Die Mitteltüre geht auf, Madame Schmidt, das Taschen- tuch in der Hand, tritt ein mit Katherin, der Frau des Pförtners)
; Do kummt die arm Mamme ! —

      
",64,stoskopf-e-mordsaffar,63,5,1.4564794311378062,0.07936507936507936
65,comedy,Katherin,F,,,,"
        
Katherin:

        
Kumme se numme-n-rin, Madame Schmidt.

      
",65,stoskopf-e-mordsaffar,11,2,0.7046221671020936,0.18181818181818182
66,comedy,Madame Schmidt,M,,,,"
        
Mme. Schmidt :

        
(trostlos mit dem Kopf hin und her)

        
O‚ ich armi unglicklichi Frau !

      
",66,stoskopf-e-mordsaffar,18,3,1.732948281888645,0.16666666666666666
67,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Ich nemm Antheil, recht Antheil an ihrem große-n-Unglick.

      
",67,stoskopf-e-mordsaffar,14,2,0.0,0.14285714285714285
68,comedy,Madame Schmidt,M,,,,"
        
Mme. Schmidt:

        
O, ich armi, armi Mamme ! Ich kann’s als noch nit recht glauwe, isch’s denn au ganz sicher wohr?

      
",68,stoskopf-e-mordsaffar,28,8,0.3166571211973305,0.2857142857142857
69,comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Un ebs wohr isch?! — Diß wär noch schöner, wenn's nit wohr wär, ’s isch grieserlich g’sin — grieserlich ! Es hett hatt e so kumme muehn.

      
",69,stoskopf-e-mordsaffar,35,4,0.3523110835510468,0.11428571428571428
70,comedy,Katherin,F,,,,"
        
Katherin:

        
Ja, es hett so kumme muehn!

      
",70,stoskopf-e-mordsaffar,10,2,1.4783373881780306,0.2
72,comedy,Madame Schmidt,M,,,,"
        
Mme. Schmidt:

        
Ja, un worum sin se-s-ere denn nit ze Hilf kumme, wo sie so gekrische hett?

      
",72,stoskopf-e-mordsaffar,22,2,1.4783373881780306,0.09090909090909091
