drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Ja, sin’r ejrer Sach) denn au ganz sicher ?

      
",3,stoskopf-e-mordsaffar,14,4,0.2857142857142857,,,,,,,,,,,
comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Au noch?! Ihr muehn e solide Schlof han oder daub sin wie e Pfohl, wenn er nix g'hört han vun dem Mord un Totschlaa 
(zu den Leuten im Türrahmen)
 Ihr han’s doch alli ghört? —

      
",4,stoskopf-e-mordsaffar,44,2,0.0454545454545454,,,,,,,,,,,
comedy,Eine alte Frau,F,,,,"
        
Alle :

        
(mit dem Kopfe nickend)

        
Ja, un ob!—

      
",5,stoskopf-e-mordsaffar,14,1,0.0714285714285714,,,,,,,,,,,
comedy,Katherin,F,,,,"
        
Katherin:

        
Es isch ganz gottsjämmerlich g’sin, diß Gebruels anzehöre ! Die arm Frau hett gejehlt un gekrische, wie er als uf se g’haue hett, daß sich d'Stein hätte-n-erweiche möchte!

      
",6,stoskopf-e-mordsaffar,37,4,0.1081081081081081,,,,,,,,,,,
comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
E jede Streich hawi g’hört, wie ere versetzt hett.

      
",7,stoskopf-e-mordsaffar,13,1,0.0769230769230769,0.6160430813350981,0.0,1.343296770107628,0.23302106027566666,1.0178242523451224,0.41909501193123966,0.5556775155719145,0.7544066644875115,0.0,0.0,1.149432347646703
comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Um well Zitt isch’s g’sin?

      
",8,stoskopf-e-mordsaffar,10,2,0.2,0.6160430813350981,0.24686418511018232,1.3504448566465002,0.23302106027566666,1.1376880345004823,0.41909501193123966,0.409810562466308,0.7544066644875115,0.0,0.0,1.2067710879769118
comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
S’isch geje de Zwölfe g’sin.

      
",9,stoskopf-e-mordsaffar,9,1,0.1111111111111111,0.5838672219345343,0.24686418511018232,1.565176006500364,0.0,1.4744360172173405,0.41909501193123966,0.409810562466308,0.7544066644875115,0.0,0.0,1.443886230690635
comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
In d'r Beischterstund ?!

      
",10,stoskopf-e-mordsaffar,8,1,0.125,0.5838672219345343,0.24686418511018232,1.255689918069989,0.0,1.2626405874463498,0.41909501193123966,0.05788574998537258,0.7544066644875115,0.0,0.0,1.0900362352186774
comedy,Marie,F,domestic_worker,elementary_professions,middle_class,"
        
Marie:

        
Ich hab grad getraimt g’hett, daß d’Hüsare vun Stroßburri versetzt worre sin, do krej ich e Mordsschrecke un verwach un hör im Zimmer newe mir — wisse Sie, ich schloof newe d’r Herr- schaft wäje-n-em kleine Kind — un hör, wie g’saat, e Heidespektakel.

      
",11,stoskopf-e-mordsaffar,56,6,0.1071428571428571,0.7001160828043395,0.32136316435383694,1.4930804381600489,0.02309628469690094,1.407942768350663,0.6611082780734544,0.06965806713288832,0.8983443946636674,0.0,0.09217538694682517,1.226827377140106
comedy,Schuster,M,doorman,elementary_professions,lower_class,"
        
Schuster:

        
Grad wie ich, ich hab grad getraimt, ich hab e Los genumme in ere Lotterie, un im Moment, wie ich m’r’s Nummero hab merike welle, wur ich uffgeweckt durich e Läwesdaa iwer mir, wie ganz gottvergesse-n-isch g’sin. Ich rieb m’r d’Aue-n- üs un fall fascht in Ohnmacht, im Bett newe mir steht e großi wiffi G'stalt uffrecht an d'r Wand...

      
",12,stoskopf-e-mordsaffar,76,9,0.1184210526315789,0.4188057323299456,0.5256490224644992,1.538857153992982,0.02309628469690094,1.7201367022769425,0.25827418433389754,0.1563077961438999,0.23716938725616382,0.04766298015154468,0.37624669427261814,1.6057963546534033
comedy,"Eine alte Frau. ― Leute aus dem Hause, Dienstboten, Polizisten.",B,policeman,government_executive_officials,lower_class,"
        
Alte Frau:

        
Um’s Gottswille isch’s möjli? — Es isch doch ken G’spenscht g’sin?

      
",13,stoskopf-e-mordsaffar,18,2,0.1111111111111111,0.4188057323299456,0.2787848373543168,1.3917406192091424,0.02309628469690094,1.4499085479184273,0.25827418433389754,0.1563077961438999,0.23716938725616382,0.04766298015154468,0.37624669427261814,1.3423900760680807
