Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,drama,Konrad von Lichtenberg,M,,,,"
            
KONRAD:

            
Wahrhaft a wunderbari Jagd, wu mir hit ghalte han, in Dina Walder, Rudolf. Un rich di Jagdbeute: A machtiger Bar, 10 Hirsch, nit zu reda vo da Reh un allerlei Roibwild noch.

          
",0,wagner-die-greifensteiner,42,6,1.5858912787523505,0.14285714285714285
1,drama,Rudolf von Greifenstein,M,,,,"
            
RUDOLF:

            
In dr Tat, Glick han mir gha. Awer da Bar, Herr Konrad 
(lächelnd)
 da han Ihr uf’m Gwissa. Dini sicher Hand hat na anagstreckt, Di Jagdmesser hat na durchbohrt. Da verrisst da arma Hirta ke Kalb mehr. Drum hab ich na oi Dir, liewer Frind uf dr Waga packa loh un a paar Hirsch drzüa.

          
",0,wagner-die-greifensteiner,69,13,1.966859163874015,0.18840579710144928
2,drama,Konrad von Lichtenberg,M,,,,"
            
KONRAD:

            
Ich dank Dir, Rudolf. Doch s’Fell, das loss ich garwa, um’s Adelinde zu verehra, Dim liewa Wib. Zahlreich isch hit d’Jagdgsellschaft gsih. Nur einer hab ich vermisst, die Brüe- dr Hugo. Isch’r nit iglada gsih?

          
",0,wagner-die-greifensteiner,51,4,0.3158457446301648,0.0784313725490196
3,drama,Rudolf von Greifenstein,M,,,,"
            
RUDOLF:

            
Ar isch glada gsih. Awer — ich weiss nit, was mit mim Brüeder isch. Sit ich ghirota Din, isch ar ganz andersch. Un sit ar gar üs’m Faldzug vo Italia zruck isch, do isch ar erscht racht fremd wora.

          
",1,wagner-die-greifensteiner,49,4,1.5169802620414,0.08163265306122448
4,drama,Konrad von Lichtenberg,M,,,,"
            
KONRAD:

            
Sot villicht si Frend do dra schuld si, wu ar üs Italia zruck brocht hat, wu d’Stell vom Schlossvogt versieht, will dr alt a Dissel z’schwach isch, dert owa zu regiera unter da Dienschtlit.

          
",1,wagner-die-greifensteiner,43,7,0.4510571184137716,0.16279069767441862
5,drama,Rudolf von Greifenstein,M,,,,"
            
RUDOLF:

            
Ihr meina Walter von Wettolsheim. Ich gloib küm. Ar macht kei schlachta Idruck. Hugo hat’m s’Lawa grettet ufm Kriegszug in Italie. Bi Neapel, dert hat ar na rüsghoia üsm a Rudel Menschemerder wu na z’Nachts uf’m a einsama Poschta iwerfalla han. Sithar sin si dicki Frend un die Dankbarkeit vo Walter kennt kei Granza mehr. Sie han oi Blüetsbrüederschaft sich gschwora, ihr Blüet im a Bacher gmischt un dr alta Schwur geto:
	      

	        
«Vereint nun schreiten wir durch alle Schicksalsfälle,

		
Wenn nicht zum Himmel, Hand in Hand zur Hölle.»

	      

	    
	      
          
",1,wagner-die-greifensteiner,108,14,1.8880462036173193,0.12962962962962962
6,drama,Konrad von Lichtenberg,M,,,,"
            
KONRAD:

            
Ich warn Dich, Rudolf! Ich han s’letschamol, wu ich Eich binander gsah hab, dr besa Blick gsah, wu Hugo uf Dir hafta hat loh — un noch ebs anders... Also blieb uf Diner Hüet — wahr Di Wib, Di Schloss un Di Güet. 
(Man hört ein Horn)
. Doch, ich mües geh. Hersch, mini Lit, mitm Waga, mini Knappa mit da Pferd. Sie riefa, — Ich mües geh.

          
",2,wagner-die-greifensteiner,89,9,2.0999414454611163,0.10112359550561797
7,drama,Rudolf von Greifenstein,M,,,,"
            
RUDOLF:

            
Erloib as ich Dich noch geleit bis zu Dina Lit. Wenn mr so a ganza Tag im Sattel gsih isch, tüet eim a kleina Marsch wohl. — 
(Beide ab)
.

          
",2,wagner-die-greifensteiner,37,3,1.701849727983993,0.08108108108108109
8,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Dasmol fallt ar in unsri Hand! Dasmol entgeht ar uns nit! S’wurd ihm hoffentlich nit ifalla, a andra Wag zum Ruckwag zü nahma.

          
",2,wagner-die-greifensteiner,30,1,3.227438192606033,0.03333333333333333
9,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Ich warn Dich noch amol, Hugo! Hugo, s’isch a Spiel uf Lawa un Tod!!!

          
",3,wagner-die-greifensteiner,23,5,1.3542073891840458,0.21739130434782608
10,drama,Hugo von Greifenstein,M,,,,"
            
HUGO :

            
(fest)

            
Ja — — uf Lawa un Tod!! Entweder da Streich glickt, drno kann ich wieder lawa — oder es geht schief — -—- Hols der Teufel drno? — D’rno verschwind ich üs dam Land — zieh furt in dr Krieg, in d'r Kampf, Vergassa zu süecha, waga mir oi umzukomma, denn genüa hab ich, vo dam lustiga Lawa!!! 
(stampfend)
 genüa! genüa!

          
",3,wagner-die-greifensteiner,85,14,2.865733802276139,0.16470588235294117
11,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Ich versteh Dich nit! Isch denn Die Lawa wirk- lig so reizlos, so unertragbar? Was geht in Dir vor? Dü bisch üs edlem, altem, angsahna Gschlacht, bisch jung, schen, kannsch noch zu hohe Ehra ufstiega. A tapferer Ritter wie Dü, isch dam ebs unerreichbar. Mir lawa in dr Zit, wu a tapfera Ritter mit sim güeta Schwart Grafschafta, ja Fürschtakrona sich erobert. Dü kannsch Dich vermähla mit ra herrlicha Edeldama, Lieb.... HUGO 
(unterbrechend — wütend)
 Un groi un bucklig wara, bis sich das alles erfüllt. — Nein — bol, will ich Lieb un Rich- tum, um na zu geniessa — — — oder nia!!!

          
",3,wagner-die-greifensteiner,134,18,2.6432277743559123,0.13432835820895522
12,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Ja — awer Hand an si Brüeder zu lega, si Brüeder zu morda — das ich kei Ritterarwet, das isch a gmein Ver- brecha.

          
",4,wagner-die-greifensteiner,30,5,2.5834393855584046,0.16666666666666666
13,drama,Hugo von Greifenstein,M,,,,"
            
HUGO :

            
(höhnisch lachend)

            
Nann’s wie Dü wit. Mi Brüeder mües verschwinda üs mim Wag.

          
",4,wagner-die-greifensteiner,20,3,0.8538137976772094,0.15
14,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Ich kan nix drfir — awer lüeg... es kummt mir immer das Wort Kain in dr Sinn. Was hat Dir denn Di Brüeder geto? Ar weigert sich als, Dir üszuhalfa, wenn Dü als a bissel zviel Schulda macha tüesch. Awer üs dam Grund Dim Brüeder ans Lawa zu wella — das isch doch wirklich verbracherisch. Ich hab’s Dir scho gsait.

          
",4,wagner-die-greifensteiner,71,5,2.867252306839036,0.07042253521126761
15,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Feigling! Hasch Dü Angscht?? So gang doch heim! Ich fall na allei an!

          
",5,wagner-die-greifensteiner,20,4,1.319797591757356,0.2
16,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Hugo... Mir ham uns Blüetsbrüederschaft gschwora. — Ich verloss Dich nie. Dina Streit isch mina Streit. Wer gega Dich steht hat’s mit mir zu tüe. — Zähl uf mich. Doch grad will ich Di Frind bin, will ich’s güet mit Dir mein, rot ich Dir zum letschtamol: Los ab vo Dim Vorhaba. — Mir schwand nix Güets.

          
",5,wagner-die-greifensteiner,72,12,1.8182430609096671,0.16666666666666666
17,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Hör, bis jetzt han ich Dir dr tiefa Grund ver- schwiega, un Dich gloiwa lo, as seig a Galdfrog, wu mich rasend macht gega dr Brüeder. Awer dr Hass gega mi Brüeder hat viel tiefra Grund. Ich han Dir’s später wella saga. — Doch soll’sch Dü’s jetz glich erfahra. Antwort ha uf die Frog, worum ich miner Brüeder so furchtbar hass, wurum mir’s Lawa so zur Qual. So erfahr’s denn in eim Satz: Mi Brüeder hat die an dr Altar gfiahrt wu ich salwer gliebt han mit jeder Harzensfaser, wie ich noch nie a Wib gliebt hann!!!

          
",5,wagner-die-greifensteiner,120,22,2.731558838530962,0.18333333333333332
18,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
So hasch Dü, armer Hugo, Adelinde vo Andlau gliebt, die Froi vo Dim leibeigena Brüeder!

          
",6,wagner-die-greifensteiner,21,3,0.8538137976772094,0.14285714285714285
19,drama,Hugo von Greifenstein,M,,,,"
            
HUGO :

            
(finster)

            
So isch’s. Gliebt rasend, wahnsinnig! Un — — — lieb sie noch!

          
",6,wagner-die-greifensteiner,22,4,1.7533741033310783,0.18181818181818182
21,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Wohl wurd sie es wissa — und hat doch mi Brüeder vorzoge, wu viel älter isch als sie. Wurum? S’isch wohl nit schwar zu errota. Will ar Herr vo unserer Stammburg isch, Herr vo dam andlosa Grundbsitz um ich a Ritter vo Habenichts, a armer Lehnsmann vom Bischof uf Hoh-Barr, dam mi Schwart verpflichtet isch un dam mini Freiheit verkoift isch.

          
",7,wagner-die-greifensteiner,72,11,3.191958119251976,0.1527777777777778
22,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Hat denn Adelinde Dini Liab erwiedert gha?

          
",7,wagner-die-greifensteiner,10,1,0.0,0.1
23,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Ich behoipt ja. Sicher isch sie mir gewoga gsi. Ich hab’s an allem gmerkt. Doch wu mi Brüeder angfanga hat, ihr dr Hof zu macha, do isch sie uf einmol kalt un kälter gega mich wora.

          
",7,wagner-die-greifensteiner,45,9,1.224633805845303,0.2
24,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Armer Hugo. Un Dü meinsch as isch s’Vermöga gsih, wu dr Uesschlag ga hat? Dü hasch mir aber bi fröhlichem Bacherklang so a paar galanti Jagdabenteuer... ich mein uf manschlich Wild verzählt. Sot sie nit am And Dich im Verdacht ha als Schürzejäger?

          
",8,wagner-die-greifensteiner,52,8,0.6329931885400834,0.15384615384615385
25,drama,Hugo von Greifenstein,M,,,,"
            
HUGO :

            
(böse)

            
Drno isch’s wieder niemets andersch gsih as mi Brüeder, da elandig Schlicher um mich üszustacha. 
(Klopft auf seine Brust)
. Un sithar brennt’s wie Fir in mim Büesa, ver- zehrt mich, losst nimmer mich Rüeh finda. — — — Nur a tiefi Bach kann mich befriediga, berühiga, das Fir löscha in meiner Bruscht — — un dr Bsitz vo Adelinde.

          
",8,wagner-die-greifensteiner,78,12,1.5189887680535303,0.15384615384615385
26,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER :

            
(milde)

            
Awer a Brüeder morda!!

          
",8,wagner-die-greifensteiner,11,3,0.8538137976772094,0.2727272727272727
27,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Han mir nit abgred, mi Brüeder zu iwerfalle un zu fessla. — — — Wer red vo morda?

          
",9,wagner-die-greifensteiner,23,3,1.106577640944521,0.13043478260869565
28,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
Ich han gloibt Dü wit na iwerfalle, wit'm Gald abprassa un drno wieder d’Freiheit ga. — Awer, noch dam, was ich do vernumma —- gsieh ich, as die Sach viel arnschter soll wara...

          
",9,wagner-die-greifensteiner,44,5,0.7718822485474928,0.11363636363636363
29,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Arnscht? Jawohl. Nimmer kehrt mi Brüeder zruck an die Bruscht vo dar, wu ich salber so wahnsinnig liab.

          
",9,wagner-die-greifensteiner,24,4,1.5098806830933953,0.16666666666666666
30,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
So witt Dü ihm doch ans Lawa?

          
",10,wagner-die-greifensteiner,10,1,3.0913228924039657,0.1
31,drama,Hugo von Greifenstein,M,,,,"
            
HUGO:

            
Ans Lawa? Nai, 
(boshaft lächelnd)
 ich halt na nur gfanga.

          
",10,wagner-die-greifensteiner,17,5,2.2210260675631783,0.29411764705882354
32,drama,Walter von Wettolsheim,M,,,lower_class,"
            
WALTER:

            
M'r wurd na süecha. Adelinde wurd na zerscht süecha loh, bi uns uf Hoh-Barr. Sie wurd sich an dr Bischof wanda, Dina Lehnsherr un d’Gfangnis üssüecha loh un mr wurd...

          
",10,wagner-die-greifensteiner,38,7,1.1881228707257903,0.18421052631578946
