Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio
0,drama,Siner Babe,M,,,,"
            
Babe:

            
(sitzt im Rohrstuhl; Hemd, Hose und Frack an, Hals-  tuch; hat eine Decke über sich. Sehr krankhaftes Ausse-  hen, Fährt sich oft mit einem Tuche übers Gesicht, um  den Schweiss zu trocknen. Nach einer Weile)

            
Mame!

          
",0,weber-e-bissel-lieb,51,6,0.9053103048509179,0.11764705882352941
1,drama,Sini Mame,F,,,,"
            
Mame  :

            
(einfach angezogen; Schürze. Bringt das Bett in Ord-  nung)

            
Was denn Babe?

          
",0,weber-e-bissel-lieb,20,3,0.5299590524922749,0.15
2,drama,Siner Babe,M,,,,"
            
Babe:

            
Kum, setz dich... e bissel... züe mir.

          
",0,weber-e-bissel-lieb,13,1,0.0,0.07692307692307693
3,drama,Sini Mame,F,,,,"
            
Mame  :

            
(setzt sich neben Babe)

            
Was soll denn sin?

          
",0,weber-e-bissel-lieb,13,2,0.7949385787384123,0.15384615384615385
4,drama,Siner Babe,M,,,,"
            
Babe :

            
(langt nach den Händen von Mame)

            
Mame — Made- leine!!

          
",0,weber-e-bissel-lieb,17,3,2.1198362099690997,0.17647058823529413
5,drama,Sini Mame,F,,,,"
            
Mame:

            
Pierre, Pierre, was isch denn?

          
",0,weber-e-bissel-lieb,10,1,1.5898771574768247,0.1
6,drama,Siner Babe,M,,,,"
            
Babe:

            
Gäll, mir zwei... sin doch immer... glücklich g’sin?

          
",1,weber-e-bissel-lieb,14,2,0.0,0.14285714285714285
7,drama,Sini Mame,F,,,,"
            
Mame:

            
Nadierlich sin mir glücklich g’sin! Wie kummsch düe jetzt awer grad uff diss ze redde? Noch nie hesch düe mich e so ebs g’fröjt.

          
",1,weber-e-bissel-lieb,29,4,1.3853105439071858,0.13793103448275862
8,drama,Siner Babe,M,,,,"
            
Babe:

            
Ich hab dir’s jo immer ang’sähn, dass düe... glücklich bisch, awer... ich hab’s jetzt au vun dir wölle höre.

          
",1,weber-e-bissel-lieb,28,2,0.0,0.07142857142857142
9,drama,Sini Mame,F,,,,"
            
Mame:

            
Düe hesch jo hyt ganz sunderbari Gedanke un Wünsch!

          
",1,weber-e-bissel-lieb,12,4,0.39746928936920617,0.3333333333333333
10,drama,Siner Babe,M,,,,"
            
Babe:

            
Schun e paar Dääj... hab ich üwer unser Läwe noch- simeliert... un au an diss gedänkt... was noch kumme kann.

          
",1,weber-e-bissel-lieb,27,3,0.8711389575446966,0.1111111111111111
11,drama,Sini Mame,F,,,,"
            
Mame:

            
Diss sollsch düe gar nit, denn es isch nit güet für dich.

          
",1,weber-e-bissel-lieb,16,2,0.7949385787384123,0.125
12,drama,Siner Babe,M,,,,"
            
Babe:

            
Un doch... un doch!

          
",2,weber-e-bissel-lieb,8,1,0.0,0.125
13,drama,Sini Mame,F,,,,"
            
Mame:

            
Was denn?

          
",2,weber-e-bissel-lieb,5,1,1.5898771574768247,0.2
14,drama,Siner Babe,M,,,,"
            
Babe:

            
Mame, Mame... Madleine! Wer weiss... wie lang ich noch do bin!

          
",2,weber-e-bissel-lieb,18,4,1.5898771574768247,0.2222222222222222
15,drama,Sini Mame,F,,,,"
            
Mame :

            
(will das Weinen unterdrücken)

            
Red... nit... devun, Pierre!

          
",2,weber-e-bissel-lieb,16,3,0.5299590524922749,0.1875
16,drama,Siner Babe,M,,,,"
            
Babe:

            
Werum denn nit? Mame 
(steht auf und geht gegen das Bett)
.

          
",2,weber-e-bissel-lieb,17,3,0.5299590524922749,0.17647058823529413
