drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules

          

          
(sitzt auf dem Canapé und liest eine Zeitung — liest laut):
 « Prinz Yo-Yo! Wie eine
          Epidemie hast du die neue und die alte Welt angefallen ! Yo-Yo ist Trumpf !

          
(steht auf und wirft die Zeitung weg).

          
Nit ellein die nej und d'alt Welt het diss verruckte Ding üwerfalle, nein, au in mini ménage het
          sich diss Lumpeding iing'schlieche. Un wer het's eringebrocht ? Mini lieb un herzensgüet Schwejeres !
          Uessgerechent sie prowiert schunzitter 3 Wuche do in minere ménage Yo-Yo! Sie spielt am Morje wenn sie
          uffsteht, am Middaa wärenem Esse, de ganze Middaa, ja viellicht noch sogar z'Nacht-s im Bett. Un do
          solle eim nit d'Nerfe durichgehn ? s'Galee hab ich in minere Wohnung un dis alles numme, will mini lieb
          
          
un herzensgüet Schwejermamme Yo-Yo spiele will. » 
          
(Es klopft.)

        
",0,weber-yo-yo,159,17,0.1069182389937107,,,,,,,,,,,
comedy,Marie,F,domestic_worker,elementary_professions,lower_class,"
          
Marie

          
(kommt hinten herein):

          
« De Herr Dokter Schmitt isch do un will mit Ihne redde. »

        
",0,weber-yo-yo,21,2,0.0952380952380952,,,,,,,,,,,
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Er soll glich do eriin kumme. »

        
",1,weber-yo-yo,11,1,0.0909090909090909,,,,,,,,,,,
comedy,Marie,F,domestic_worker,elementary_professions,lower_class,"
          
Marie :

          
« Güet Mösjö. » 
          
(hinten ab)

        
",1,weber-yo-yo,11,1,0.0909090909090909,,,,,,,,,,,
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Roby, düe bisch mini letscht Hoffnung, düe müesch mir helfe. »

        
",2,weber-yo-yo,17,2,0.1176470588235294,0.0648280290958192,0.7093993415560231,0.8098212254068022,0.10022700722618905,0.9354934758079981,0.10666811408167313,0.26387340700976825,0.037306533876893685,0.046005387425769664,0.0,0.9977352447654461
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Wo fehlt's denn ? Bisch krank ? »

        
",2,weber-yo-yo,12,2,0.1666666666666666,0.1670246292904889,0.505463461377005,0.7031491454570622,0.3396802141391751,0.7034096466816154,0.32086595670845197,0.0,0.2619225413849998,0.0,0.0,0.691643990968988
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Krank ? Aba. »

        
",2,weber-yo-yo,8,1,0.125,0.4053083760780953,0.505463461377005,0.916452466058626,0.7821470079812907,0.5693067560751739,0.7849276442981801,0.0,0.7857676241549993,0.0,0.0,0.5347974247539222
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Ja, was isch denn no los ? »

        
",3,weber-yo-yo,12,2,0.1666666666666666,0.4053083760780953,0.33821740928700883,1.1210792383677863,0.7821470079812907,0.7485383572159257,0.7849276442981801,0.5192018875985769,0.7857676241549993,0.2459294271797305,0.19746534719043346,0.7850543498969393
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Ei diss neuje verruckte Spiel ? »

        
",4,weber-yo-yo,10,2,0.2,0.4053083760780953,0.33821740928700883,1.1210792383677863,0.7821470079812907,0.7485383572159257,0.7849276442981801,0.5192018875985769,0.7857676241549993,0.2459294271797305,0.19746534719043346,0.7850543498969393
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Ich weiss nit was düe meinsch, ich möcht numme gern wisse, werum düe mich rüefe hesch
          lonn. »

        
",5,weber-yo-yo,24,2,0.0833333333333333,0.5711618153125552,0.8564770685245167,1.5523075783647635,0.9420550387989939,1.1569016062443913,1.0558709602693148,0.7755123885910209,1.0566408403645304,0.5066987086912943,0.584724762587493,1.2801706693221875
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Güet, ich will dir's saawe. Roby, liewer Frind, ich bin arich unglücklich. »

        
",5,weber-yo-yo,22,4,0.1818181818181818,0.43605902328652346,0.8564770685245167,1.3598795272855988,0.681339369471897,1.0921780279379798,0.7942284121699216,0.7755123885910209,0.7947182989795307,0.5066987086912943,0.5847247625874928,1.237058077533017
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Unglücklich ? Ja werum denn ? »

        
",5,weber-yo-yo,10,2,0.2,0.1658534392344599,0.8564770685245167,1.1551752211181119,0.15990803081770327,1.0860169526136867,0.27094331597113486,0.9803677581610296,0.27087321620953114,0.5066987086912943,0.5847247625874928,1.3568089121948814
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Sie spielt Yo-Yo ? Ja un weje dem losch düe mich hole ? »

        
",6,weber-yo-yo,17,1,0.0588235294117647,0.1658534392344599,0.5182596592375079,0.9716837279695033,0.15990803081770327,0.7782214928940546,0.27094331597113486,0.8708766097024702,0.27087321620953114,0.26076928151156376,0.38725941539705944,1.1130443741458627
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Ja findsch düe, dass diss nix isch, wenn eim jemand de ganze Daa in d'r ménage Yo-Yo spielt ?
          »

        
",6,weber-yo-yo,25,2,0.08,0.1658534392344599,0.5182596592375079,1.357169024079121,0.15990803081770327,1.2210547124514701,0.27094331597113486,1.2656116488494225,0.27087321620953114,0.26076928151156376,0.3872594153970594,1.7047941972526097
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Diss weisch düe nit ? Ah düe weisch nit was Yo-Yo isch. Glücklicher Mensch ! »

        
",7,weber-yo-yo,20,1,0.05,0.0,0.0,0.9259406840821439,8.881784197001253e-17,0.8126914634230044,8.881784197001253e-17,1.0093011478569784,0.0,0.0,0.0,1.2096778778273616
