drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Seppi,M,,,,"
          
Seppi

          
(am Arm vom Franz; si sin beide vom Neüe benewelt)
                    

          
Dü... Franz... stell.. stell mi do an d'Müre

          
Un lüeg, wo mir wànn dure geh...

        
",0,lustig-z-nacht-am-zehne,35,5,0.1428571428571428,,,,,,,,,,,
comedy,Franz,M,,,,"
          
Franz.

          
Los... Seppi... bisch z'bedü.. dü.. üre!

          
Kasch nimmig denn alleinig steh?...

        
",1,lustig-z-nacht-am-zehne,21,2,0.0952380952380952,,,,,,,,,,,
comedy,Seppi,M,,,,"
          
Seppi.

          
Was, was verzählsch... De wirsch's nur meine;

          
Mi Ühre steht nitt... ich ha keine...

          
Du... Du...

        
",2,lustig-z-nacht-am-zehne,26,2,0.0769230769230769,,,,,,,,,,,
comedy,Franz,M,,,,"
          
Franz

          
(singt)

          
Ligsch mr im Sinn...

        
",3,lustig-z-nacht-am-zehne,9,1,0.1111111111111111,,,,,,,,,,,
comedy,Seppi,M,,,,"
          
Seppi.

          
Nei Durscht

          
Ha-n-ich... das ha-n-i welle sage.

        
",4,lustig-z-nacht-am-zehne,15,1,0.0666666666666666,0.0,0.9023263448072569,0.7258311731217816,0.0,0.8026636816039098,0.2596901558246299,0.21735513243022,0.08925491718600688,0.17004808435091529,0.13653756039077683,0.9662499424858189
comedy,Franz,M,,,,"
          
Franz.

          
Dü bisch mr noch e schöner Burscht...

          
Dü kasch sechs Liter küm vertrage!...

          
Do... stand do dra... ich... ich will sàh,

          
Eb uns will ebber z'trinke gà...

          
Gib.. gib acht... thüe kei Käpfle schnide!...

        
",5,lustig-z-nacht-am-zehne,49,4,0.0816326530612244,0.09628255079006523,0.7856494894004641,0.6854444220428264,0.06987929459402673,0.8092651364942064,0.3115239684437837,0.21735513243022,0.08377574522352069,0.17004808435091529,0.13653756039077683,0.9380656631418077
comedy,Seppi,M,,,,"
          
Seppi.

          
Loss mich nitt lang allei eso...

          

        
",6,lustig-z-nacht-am-zehne,9,3,0.3333333333333333,0.20397862796923025,0.6127962362190548,0.52920184102263,0.21932408667120523,0.5814311034596427,0.44840482961073097,0.0,0.35733890534642165,0.0779924939641791,0.04824564797097946,0.6794291895487585
comedy,Franz,M,,,,"
          
Franz

          
(geht unter dr Boge)

          
Nei... heb Di siter an de Wide...

          
Aha... do isch e Keller scho!

        
",7,lustig-z-nacht-am-zehne,24,2,0.0833333333333333,0.20397862796923025,0.5383218331504016,0.4775010583685928,0.21932408667120523,0.47443876880011515,0.41398850806495957,0.0,0.35733890534642165,0.0779924939641791,0.04824564797097946,0.5216739557671939
comedy,Seppi,M,,,,"
          
Seppi

          
(fallt um)

          
Z'hilf, Franz!... ich ha ne Parterre g'numme

          
Un ha mi Ba.. mi Babegei

          
Ag'schla... ich.. ich glaüb, 's isch entzwei...

        
",8,lustig-z-nacht-am-zehne,34,2,0.0588235294117647,0.20397862796923025,0.4322519645987718,0.41216947567123263,0.21932408667120523,0.40849207049955344,0.3737610376580206,0.0,0.35733890534642165,0.0779924939641791,0.04824564797097946,0.4401272602558679
comedy,Franz,M,,,,"
          
Franz

          
(vo witem)

          
Di Babegei!... die Red... die dumme...

          
Ne Aff hasch... un kei iwler glaüb!

        
",9,lustig-z-nacht-am-zehne,24,3,0.125,0.20397862796923025,0.5029652102998584,0.4557238641361394,0.21932408667120523,0.4524565360332612,0.40057935126264654,0.0,0.35733890534642165,0.0779924939641791,0.04824564797097946,0.4944917239300852
