Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
(kommt durch die Mitte und singt)

          
""Maiatzel, Dräckspatzel, drej Elle Güggück, es kumme drej Wiewer un esse Sürkrüt."" — 
          
(spricht)
 Drej Maiatzle haw i gedüscht für e Stüeckel Bäredräck — Was kennt m'r mit dene
          jetz anstelle? 
          
(schaut sich in der Stube um)
 Lüej do steht jo dr Meischtere ihri Schnupftüwaksbüchs!
          Wartich setz-ere Maiatzle drin — 
          
(laachter)
 Höhöhöhö! Wurd die e Schracke bekomm wenn se e Preise nämmt. Awer sie hett's
          verdient — diss isch derfüer, will se dene Middaa am Esse so wuescht geje mich isch gsinn — die
          Madülle, die alt Kratzbüerscht, die Linsespaltere. Dene Middaa hett's min Leibgericht gen, Dampfnüdle
          — hmm — diss müess mr ganz langsam saue — Dampfnüdle! Jetzt müess i Schluk ich hab ganz Wasser im
          Mül — un wie ich s' vierzeht Dampfnüdel langer will, ze macht se ""Kurzschluss"" un nimmt d'Platt ewäck
          un wie ich hab gsaat: ""Ich hab noch Hunger"" — no hett se de Deppiklopfer gelangt un hett gsaat: ""Do
          isch noch Hewwelandiffi un Stocksalad"" un dr Meischter hett dezü gelaachter, der Knüppelüj, der hett jo
          nix ze saue, denn in dem Huus hett d'Meischtere d'Hose an. Awer ich hab dr Meischtere ewichi räche
          gschwore. ""Ich, dr Charlot,der König des Kino!"" 
          
(setzt die Maikäfer in die Schnupftabaksbüchse)
 So, diss isch füer Dampfnüdle, Madamen
          Knüppe! Jetzt haw i noch einer — diss isch e Köenigin. 
          
(singt)
""Maikäfer, fliej, dr Vadder isch im Krij, d'Müâter isch im Pummerland,
          s'Pummerland isch abgebrannt, Maikäfer fliej!"" 
          
(markiert als wenn der Maikäfer fliegt, geht ihm nach, als wollte er ihn
          fangen.)
 Öhöhöhöö ! Jetzt fliejt er mr furt — Aah, dü setsch dich dort nüf üf de Däller —
          meinsch dert verwitsch ich dich nitt dü Drächspatzel — warte ich nämm d'Leiter vum Elektricien, no griej
          ich dich. 
          
(stellt die Doppelleiter vor die Mitteltür, so dass man, 
          
unde durch gehen kann).
 So jetzt wurr ich dich glich hann. 
          
(geht die Leiter hinauf und will den Maikäfer fangen, überdem kommt der Meister herein, durch d.
          M., der Porzellanteller fällt Knüppe auf den Cylinder.)

        
",0,clemens-charlot
1,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
O Nuntebuckel, jetz hett's ingschlaue!

        
",0,clemens-charlot
2,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Diss isch e Zeiche vun Owe 
          
(lüejt)
 Naan es isch e Däller — ja, wie kummt der här? Do steht e Leiter un üf dere
          Leiter steht Einer. 
          
(geht hinauf — Charlot geht hinunter)
 Ich hab doch Einer üf dr Leiter gsähne, isch denn
          der Elektrisch noch nit ferti? 
          
(geht herunter, Charlot hinauf)
 Ja‚, jetz isch-r widder drowe. Bisch dü e Mensch oder e
          Geist? Redd oder ich Schieße! 
          
(zielt mit dem Schirme).

        
",1,clemens-charlot
3,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Meischter nit Schieße — ich bin's, dr Charlot!

        
",1,clemens-charlot
4,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Dü bisch's — jaa, was machsch denn dü do howe? Worum kummt der Däller üf meinen Cylinder?

        
",2,clemens-charlot
5,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Meischter, ich bin nitt Schulde, do dr Maiatzel, er hett sich do üf de Däller gsetzt, awer er frisst
          se wenn ich ne verwitscht, mit eim Streich schläuj ich ne hin.

        
",2,clemens-charlot
6,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
(holt den Knieriemen)

          
Witt dü do rab kumme, awer üf dr Gschtell!

        
",3,clemens-charlot
7,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Meischter ich kumme, laje numme de Rieme ewäck, ich wär doch kummee — Meischter ich bereuen's vom Grunde
          meines Herzens. 
          
(kummet Ängstlich herunter).

        
",3,clemens-charlot
8,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Dü müesch emol ghöeri abgschmiert sinn, denn dü wursch alle Daa liederlicher — Aaah, dü fangsch
          Maikäfer, Allewil ich mit dr Licht geh, statt ass de Schueh ferti machsch. Do kumme häre! 
          
(Knüppe stellt sich breitspurig hin)
 Do de Kopf zwische d'Fües! 
          
(Charlot kommt auf Händen und Füssen laufend, steckt den Kopf Knüppe zwischen die Beine — Knüppe
          versohlt ihm das Hinterteil mit dem Rieme.)

        
",4,clemens-charlot
9,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
(schreit)

          
Uuaah — Meischter, nitt so schnalle — langsam — Uutsch! 
          
(witscht dem Meister durch die Beine, reibt sich das Hinterteil)
""Charlot- der König des
          Kino"" — Mensch, Maier!

        
",4,clemens-charlot
10,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Mach die Leiter ewäck — der Elektrisch hätt se schun hole kenne, er isch jo ferti mit sinere Ärwet
          — un rüm die Schärwe zamme un no an d'Ärwet, sunscht rauchts noch emol in dr Fächtschuel.

        
",5,clemens-charlot
11,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Naan, naan Meischter, es brücht nimmi ze rauche. 
          
(stellt die Leiter weg, holt in der Küche, r. Tür, Schaufel und Handbesen, fegt die Scherben
          zamme, alles mit komischer Geste).

        
",5,clemens-charlot
12,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
(Geheimnißvoll)

          
Es hängt ebs in der Luft — es schwäwe unsichtbare Geist mit durchsichtige Flüejel durich d'Luft,
          umgaukle uns un mir kenne se nitt sähne, nit mit ne redde. — Dr Geist vun mim verstorwene Frinde
          Quätschel, wie mr ewe begrawe hann, schwäbt velicht jetzert schun um mich. Wenn ich's ferti dät bringe
          mit de Geist in Verbindung ze tratte, do dran difftli schun langer. Ich hab mit meinen zwei Frinde
          Schmätterle un Lastique, wo auch so Spiritiste sinn, do hinne schun e paar Sitzunge abghalte, awer bis
          jetz ohne Erfolg, mir hann noch kenn Geist banne könne. Es gitt Bücher üwer de Spiritismus, un noch
          denne Büecher soll mr mit de Geist vun Verstorwene redde kenne un so e Büech haw ich entdeckt. Ich
          hab bie dr Licht e Herr Lehr kenne, wo au Spiritist isch un der will mr diss Büech lehne für e Owe.
          Oh, ich brenn ganz vor V’rlangre mit de Geist ze redde, ich gschpier schun e kriwwle uff-em buckel un
          e Schiücker durichlauft mich vum Kopf bis zum grosse Zeh.

        
",6,clemens-charlot
13,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
(schmeisst die Scherben zum Fenster hinaus und ruft dann)

          
""Achdung, es kumme Stüecker!"" 
          
(Mænner hört Lastique draussen Schreien ""Mille des gratteaus, meinen chapeau!)

        
",6,clemens-charlot
14,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Was hesch denn widder gemachti?

        
",7,clemens-charlot
15,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Ich hab d'Schärwe nüssgschmisse.

        
",7,clemens-charlot
16,comedy,Lastique,M,,,,"
          
Lastique:

          
(Wüat durch die M., den Cylinder in der Hand)

          
Oh ces filous, ces canailles — mini schen chapeau! Il est fütti, ganz kapütt. — Vun die la fenêtre
          schmisse e Portion Däller üf mini tête — Ou est le gamin? Ich riss-em erüss alli hoor mit die
          Zangbiss.

        
",8,clemens-charlot
17,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Calmiere sie sich, Monsieur Lastique, do dr Charlot isch's gsinn, er hett e verhejter Däller
          nüssgschmisse, s'isch zuem verknelle. 
          
(nimmt den Rieme).

        
",8,clemens-charlot
18,comedy,Lastique,M,,,,"
          
Lastique:

          
Oh dü Wackesbum, ich bring dich um, dü Lüsgarçon! 
          
(sucht das Taschenmesser)
 Ich schnied dir ab e oreille mit mini couton de poche! 
          
(Beide gehen Charlot nach, welcher geje die Mitteltür läuft).

        
",9,clemens-charlot
19,comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Charlot, jetzt heist's Päch kauft. 
          
(rennt unde der Tür mit Schmätterle zamme, welcher hinfällt, Charlot ab. Lastique und Knüppe
          heben ihn auf.)

        
",9,clemens-charlot
20,comedy,Schmätterle,M,musician,professionals_scientific_technical,lower_middle_class,"
          
Schmätterle:

          
Jetz bin i glauw’ anegfalle, anegfalle un hab gradi so e schen Ouvertüre im Kopf ghett ghett, füer
          zue re Licht un die gäng eso 
          
(markiert, als wenn er Piston bläst)
 Träääräräää u.s.w.

        
",10,clemens-charlot
21,comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
(halte ihm den Mund zu)

          
Pst, Monsieur Schmätterle, stilli jetz. Guten, das sie kumme sinn un au sie, Monsieur Lastique 
          
(Geheimnißvoll)
 Ich hab e découverte gemachti, do wäre sie spanne wie Häftelmacher. Ich
          hab ewe bie dr Licht e Herr getroffe, wo au spiritistischi Sitzunge macht, un schun mit succès. Er will
          mr sin Buech lehne fuer hitt Owe, no kenne mr de Geist vun unserem verstorwene Frinde Quätschel
          erschiene mache un kenne mit-em redde. Mr hann au noch die chance, dass hitt gradi Vollmond isch un dr
          drizehnt, do glüeckt's am beschte, hett der Herr gsaat.

        
",10,clemens-charlot
22,comedy,Lastique,M,,,,"
          
Lastique:

          
Ah, quelle chance, mir kenne macke kumme les spectres. Oh, ich schun bekomm ganzi Hütt vun die
          Gans.

        
",11,clemens-charlot
23,comedy,Schmätterle,M,musician,professionals_scientific_technical,lower_middle_class,"
          
Schmätterle:

          
Was e Plaisir, Knüppe, sie sinn e Käib, e Käib, lonn jetz diss Buech hole, ich komponier ejch au e
          Fantaisie Allegro, die dät eso anfang: Trärätärä, düdel, düdel, tsching-bumm — —

        
",11,clemens-charlot
24,comedy,Lastique,M,,,,"
          
Lastique:

          
Silence, mit Tschingbumm un hole sie diss livre, ass mir macke e soirée spiritueux un e
          necromancie.

        
",12,clemens-charlot
