Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(kunnt hinte-n-ine hintersi un schint ebbes
                        z'bschaüe duss)
                    

          
Was fir e herrlige G'stalt!... was fir Schön-n-Aüge!
                       
(er salütiert mit dr Hand)
 Oh, wenn ich doch nur noch e
                        wenig Jungi war....
                    

        
",0,lustig-dr-hochzitstag
1,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr kälter

          
(sitzt am Tisch; er kehrt si um un steht üf. Fir
                        sich)
                    

          
Aha... dr Herr Guld kummennt wieder kumme lüege, eb er si Gald
                        no nitt bol bikummennt...
(läuten)
 Herr Guld, ich Winsch Ene
                        ne Guten Morjen!
                    

        
",0,lustig-dr-hochzitstag
2,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(kehrt si um)

          
Ah, Sie sin's, Herr kälter... was macht d'G’sundheit’...
                       
(se gàn sich d'Hand)
 geht's Allewil?...
                    

        
",0,lustig-dr-hochzitstag
3,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr kälter.

          
D'G’sundheit’ gieng scho, Herr Guld... awer d'G'schàfte,
                        die wànn nitt Rechte geh...
                    

        
",1,lustig-dr-hochzitstag
4,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld.

          
Bàh... 's himpelt e wenig in dem Moment, 's isch wohrer,
                        awer 's wird sich scho wieder mache.
                    

          

        
",1,lustig-dr-hochzitstag
5,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr kälter.

          
Ich mag noch so nogeh un nolüege, 's hilft alles nit
                        meh!
                    

        
",1,lustig-dr-hochzitstag
6,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(fir sich)

          
Wie Schön as se doch g'wachse-n-isch!

        
",2,lustig-dr-hochzitstag
7,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr kälter.

          
's macht mr g'wiss Mieih, Herr Guld... awer ich weiss
                        secher nitt, wenn ass ich Ihne Ihr Gald wieder ka
                        z'ruckgà...
                    

        
",2,lustig-dr-hochzitstag
8,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld

          
(fir sich)

          
Ich Glöüwe misegs, se hat mi vorig ag'làchelt im
                        Duregeh!
                    

        
",2,lustig-dr-hochzitstag
9,comedy,Herr KALT,M,businessman,service_and_sales,,"
          
Herr kälter

          
(mit eme Sifzer)

          
Fünftaüsend Franke!

        
",3,lustig-dr-hochzitstag
10,comedy,Herr GULD,M,pensioner,rentiers,,"
          
Herr Guld.

          
Ich denk nitt emol dra, an das Gald... ich versichere Se
                       
(fir sich)
 un ich Glöüwe, ass se brava isch un Guten
                        uferzoge!
                    

        
",3,lustig-dr-hochzitstag
