Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Alphonsel,M,,,,"
            
Alphonsel

            
(streckt den Kopf zur Thüre rechts herein):

            
St, st, Mamsell Colette!

          
",0,horsch-d-madam-fahrt-velo
1,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Was beleebt, — ah Sapristi, d'r Alphonsel isch's ! Wart Knedes, ich will dr d'Lytt so verschreck
            !

          
",0,horsch-d-madam-fahrt-velo
2,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Oho, Mamsell Colette, ich hab Sie jo noh nie verschreckt, wenn i ne als e Briefel bring.

          
",1,horsch-d-madam-fahrt-velo
3,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette :

            
Dü Kläiner Saperlot ! — Hesch de schun widder eins?

          
",1,horsch-d-madam-fahrt-velo
4,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Ja‚, do isch's.

          
",2,horsch-d-madam-fahrt-velo
5,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette :

            
Here mit, postillon d'amour de mon cœur, 
            
(halblant.)
 S'isch vun mimm Tortino.

          
",2,horsch-d-madam-fahrt-velo
6,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Ich, ich kenn' ne Guten.

          
",3,horsch-d-madam-fahrt-velo
7,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
So — dü kennsch ne Guten?

          
",3,horsch-d-madam-fahrt-velo
8,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Heijo, bring ich nit Allewil sinni Briefle do here? — un d'rno hawi ne schun oft üf d'r Rennbahn
            fahre sehn.

          
",4,horsch-d-madam-fahrt-velo
9,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Jo, dü hesch erecht, hein, der kann's ? E épatanter Typ. De Kilometer macht 'r in ere Minüt un 53
            3/4 Sekunde, départ lancé.

          
",4,horsch-d-madam-fahrt-velo
10,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Ja‚, ich weiß, diß letscht hett 'r sogar emol e Weltrecord um e Viertelsekund verbessert. Isch's
            nit so, Mamsell Colette ?

          
",5,horsch-d-madam-fahrt-velo
11,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Doch, dü Kläiner Hosselottl. Fahrsch dü au schun Velo, daß de dich so interessirsch?

          
",5,horsch-d-madam-fahrt-velo
12,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
A noch, wisse Sie, ich hälfe als im Herr Blotzmeier driwwe d'Velo uffbumbe un Schmier, un do lehnt
            'r m'r als eine vun sinne Aelterer Kärich. Sie sotte emol sehn, wie ich schun loszeij.

          
",6,horsch-d-madam-fahrt-velo
13,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Ha ha ha, do wursch dü halte au am e Schön Daa e Champion oder e Recordman gen. Was witt denn
            wäre ?

          
",6,horsch-d-madam-fahrt-velo
14,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Sie hann's gradi geroothe, — Rennfahrer wurr i, sunsch nix.

          
",7,horsch-d-madam-fahrt-velo
15,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Voyons, was schriebt m'r min Schatz? 
            
(Lest den Brief.)
 — Was, er will m'r hitt e Visit mache, un denne Morjen noch. I soll
            mache, daß i e Minütt for ne hab? Diß isch nit möjli!!

          
",7,horsch-d-madam-fahrt-velo
16,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Er hett g'faat i soll'm e-n-Antwort bringe.

          
",8,horsch-d-madam-fahrt-velo
17,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Ja‚, do isch Guten Roth dier. I mueß jo mit d'r Madamenen furt üf Allerheilige. Harrschaft, diß isch
            m'r jezt e Stoß! Saa-m, es geht nit, un daß i mit d'r Madamenen furt mueß. Mit dere dumma Partie üf
            Allerheilige !

          
",8,horsch-d-madam-fahrt-velo
18,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Guten Mamsell, — Adje.

          
",9,horsch-d-madam-fahrt-velo
19,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Wart, säh, do hesch for e Wecke. 
            
(Gibt ihm ein Geldstück.)
 Ei, ei, ei, 
            
(Alphonsel ab, Colette ruft ihm nah.)
 Halt!, Alphonsel, weisch was, i mach e
            Kapitalstreich. I mach ebs am Velo, no kanni nit mit. Saasch'm bis in ere Halbstund kann 'r kumme.
            Bis dort anne isch s'Nescht per Rad üsgflöije.

          
",9,horsch-d-madam-fahrt-velo
20,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
I wurr's üsrichte. Bonjour Mamsell Colette.

          
",10,horsch-d-madam-fahrt-velo
21,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Au revoir, Alphonsel — un e Schön's Kumpliment, vergiß's nit!

          
",10,horsch-d-madam-fahrt-velo
22,comedy,Alphonsel,M,,,,"
            
Alphonsel:

            
Wein, nein. 
            
(Ab. Colette setzt sich wieder in den Lehnstuhl und studiert weiter in der
            Zeitung.)

          
",11,horsch-d-madam-fahrt-velo
23,comedy,Contre,M,,,,"
            
Contre

            
(kommt durch die Mitte):

            
Elle w'est pas gênée! Hm, hm. 
            
(Colette steht rasch auf und macht sich ans Radputzen.)
 Luej do, het der letzgedräijt
            Barickeszipfel widder s'nämli Pläßzel vergasse ze rasiere, un e ganzes Pädel Bürschte stehn Ionn. —
            Colette, wo isch d'Madamen? isch sie schun zeruck? Denn do steht schun widder min cauchemar.

          
",11,horsch-d-madam-fahrt-velo
24,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Grad isch d'Madamen kumme, vor e paar Minüte.

          
",12,horsch-d-madam-fahrt-velo
25,comedy,Contre,M,,,,"
            
Contre:

            
Wo isch sie denn ?

          
",12,horsch-d-madam-fahrt-velo
26,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
In ihrem Zimmer, sie düet e paar anderi Hosse an, denn d'andere sinn denne Morjen.....

          
",13,horsch-d-madam-fahrt-velo
27,comedy,Contre,M,,,,"
            
Contre:

            
Hein, was isch ?

          
",13,horsch-d-madam-fahrt-velo
28,comedy,Colette,F,lady’s_maid,elementary_professions,lower_class,"
            
Colette:

            
Ja‚, d'andere han e schada gelitte. Madamen a ramassée une pelle, mais une pelle! — Nein, sehn die
            Hosse üs. — E so langer Schlänzer. 
            
(Zeigt mit den Händen.)

          
",14,horsch-d-madam-fahrt-velo
29,comedy,Contre,M,,,,"
            
Contre:

            
Isch d'Madamen g'falle ? Sie wurd sich doch nit weh gedohn hann?

          
",14,horsch-d-madam-fahrt-velo
