Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Jumpfer HERZ,F,,,,"
          
Jungfre Härze

          
(sitzt bi dr Lamp-n-un strickt)

          
Wie heimelig un Guten isch's doch eso allei in sim Stiwle
                        z'Owe, we me si Herr un Meister isch... das heisst, we
                        me ledig isch... do hat me keine Kinder z'wàsche un
                        z'b'sorge un ins Bett z'lege, un brücht o üf kei Mænner
                        z'warte un 's Nachtesse in dr warme-n-umme z'stella,
                        bis ass es ihm g'fallt, heime z'kumme, wenn er genüe in
                        alle Bierhiser umme g'rutscht isch... isch's ebbe nitt
                        eso?... un do heisst's als noch, ich seig e-n-Originelle,
                        wil ich nitt hirothe will!... nei, nei... nur das
                        nitt!... ne so isch me riehig un freia, un ka esse und
                        schlofe, we me will... tiens, me klopft a... wer mag
                        jetz das si... entrez!

        
",0,lustig-ne-jumpfre-wo-nitt-hirothe-will
1,comedy,Herr FIRIG,M,,,,"
          
Herr Firig

          
(kunnt hinte-n-ine un streckt in dr Jungfre Härze
                        beide Hànd entgege)
                    

          
Jungfre Härze!... Finele, lieb Finele!... endlig hat Sie
                        sich denn jetz doch entschlosse, mir Ihre Hàndle
                        z'gen... wenn Sie wisse thàt, wie glückliche ass ich bi,
                        siter ass ich weiss, ass Sie mi lieb Wiwele will gen!...

          

        
",1,lustig-ne-jumpfre-wo-nitt-hirothe-will
2,comedy,Jumpfer HERZ,F,,,,"
          
Jungfre Härze.

          
Was isch jetz das?... was kämme Sie fir Dummheiten kumme
                        schwàtze... hàn Sie eigentlig dr Kopf verloren, Herr
                        Firig?...

        
",2,lustig-ne-jumpfre-wo-nitt-hirothe-will
3,comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
Üs lütter Glüeck, jà, wil Sie mich jetz endlig will
                        hirothe!... Sie brücht sich jo jetz nimmig
                        z'verstelle... hat Sie denn nitt in Ihrem Oncle
                        g'antwortet üf ein vo sine Briefe, ass Sie mich gern
                        hat un ass Sie kei Andrer thàt choisiere?

        
",3,lustig-ne-jumpfre-wo-nitt-hirothe-will
4,comedy,Jumpfer HERZ,F,,,,"
          
Jungfre Härze.

          
Was!... Sie hàn sich an mi Oncle adressiert? Wer hat
                        Ihne erlaübt...

        
",4,lustig-ne-jumpfre-wo-nitt-hirothe-will
5,comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
O, zürnt Sie mir nitt, Jungfre Härze... er isch e Guten
                        Frinde vo mim Vadder, un will er sich an mir interessiert
                        un Ihre-n-einziger Verwandter isch, so ha-n-ich ihn um
                        Roth g'frogt, un do hat er mir das g'schriwe...

        
",5,lustig-ne-jumpfre-wo-nitt-hirothe-will
6,comedy,Jumpfer HERZ,F,,,,"
          
Jungfre Härze.

          
Mi Oncle weisst nitt, was er schribt!... er hat jetz
                        emol im Kopf, mich z'verhirothe, un das bringt em Nieme
                        meh drüs... awer ich will nitt!... 's isch wohrer, ich
                        ha-n-ihm g'schriwe, ass ich Sie lide ka, un ass ich kei
                        Anderer thàt choisiere... wenn ich hirothe wott... awer
                        noch emol, ich hiroth nitt un dermit fertig!

        
",6,lustig-ne-jumpfre-wo-nitt-hirothe-will
7,comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
Un worum denn nitt?... O Finele, lieb Finele! mir sin jo
                        mit-nander üfg'wachse... Dü kennsch mich jo... ha-n-ich
                        Dich nitt als, wo mr noch in d'Schieler gange sin, iwer
                        's Wasser gràtzelt, ass De keine nasse Fiess gemachti
                        hasch un alle Guten Sache mit Dir theilt?... g'wiss, i
                        mach Di glückliche... üf de Hànd 
ill ich Di umme trage
                        un e jeder vo Dine Winsch soll erfillt werde!...

          

            
G'sang

            
(il Baccio)

            
Längst ha-n-ich, lieb Schàtzle,

            
Scho Di Fràtzle

            
In mim Härze notràit,

            
Wie ne Schimmer;

            
Dü nur bisch mi Fräide!

            
Wie wà mir froh

            
mit-nander lab

            
Un immer do

            
Im Himmel schwewe!

            
Dich, mi lieb Härze,

            
Wil ich nur Liawe

            
Un nie kei Schmarze

            
Soll kumme 's Glüeck triewe.

            
Längst ha etc.

          

        
",7,lustig-ne-jumpfre-wo-nitt-hirothe-will
8,comedy,Jumpfer HERZ,F,,,,"
          
Jungfre Härze.

          
Bàh, bàh, bàh!... ich will kei jalouser Mænner um mich
                        umme ha, wo mir e jeder Schritt bewacht.

        
",8,lustig-ne-jumpfre-wo-nitt-hirothe-will
9,comedy,Herr FIRIG,M,,,,"
          
Herr Firig.

          
Ich jaloux!... g'wiss nitt, Jungfre Härze, g'wiss nitt...
                        alle Frejheite soll Sie ha... un derno, Sie ka doch nitt
                        Allewil allei do bliwe in dem abg'legene Huus... wenn
                        jo-n-emol Schelme kàmte, so kännt Ere jo nitt emol
                        nieme z'Hilf kumme.

        
",9,lustig-ne-jumpfre-wo-nitt-hirothe-will
