words,idf
ab,2.8718021769015913
abinde,2.8718021769015913
als,2.8718021769015913
also,2.8718021769015913
an,2.466337068793427
anstatt,2.8718021769015913
ass,1.9555114450274362
az,2.8718021769015913
beste,2.8718021769015913
bi,2.8718021769015913
biecher,2.8718021769015913
bim,2.8718021769015913
bisch,2.8718021769015913
bissi,2.8718021769015913
blaü,2.8718021769015913
brava,2.466337068793427
brenne,2.8718021769015913
brüche,2.8718021769015913
bureau,2.8718021769015913
büese,2.8718021769015913
danke,2.8718021769015913
das,1.9555114450274362
de,2.1786549963416464
denk,2.8718021769015913
denke,2.8718021769015913
denn,2.1786549963416464
dert,2.8718021769015913
di,2.466337068793427
die,2.8718021769015913
diner,2.8718021769015913
ding,2.8718021769015913
dir,2.8718021769015913
do,1.7731898882334818
doch,2.1786549963416464
domino,1.6190392084062235
dr,2.8718021769015913
drab,2.8718021769015913
druf,2.8718021769015913
drum,2.8718021769015913
duss,2.8718021769015913
dàr,2.8718021769015913
dü,2.1786549963416464
ebber,2.8718021769015913
eig,2.8718021769015913
eim,2.8718021769015913
em,1.9555114450274362
en,2.8718021769015913
er,1.7731898882334818
erkenne,2.466337068793427
errothe,2.8718021769015913
eso,2.8718021769015913
excüsiere,2.8718021769015913
fallt,2.8718021769015913
fasenaacht,2.8718021769015913
finde,2.8718021769015913
fir,1.9555114450274362
fraü,2.1786549963416464
frejheite,2.8718021769015913
frinde,2.8718021769015913
fràü,2.8718021769015913
ganz,2.8718021769015913
ganze,2.8718021769015913
ganzi,2.8718021769015913
geh,2.466337068793427
gen,2.8718021769015913
gesse,2.8718021769015913
gieng,2.8718021769015913
git,2.8718021769015913
glöüwe,2.466337068793427
gradi,2.8718021769015913
guten,2.466337068793427
ha,2.8718021769015913
halte,2.1786549963416464
hasch,2.1786549963416464
hat,2.1786549963416464
he,2.8718021769015913
hein,2.8718021769015913
herrje,2.8718021769015913
hirothe,2.8718021769015913
hole,2.8718021769015913
hàn,2.8718021769015913
hànke,2.8718021769015913
häise,2.8718021769015913
härze,2.466337068793427
