words,idf
aa,5.890349128221754
aabelange,7.499787040655854
aabuz,7.499787040655854
aacht,5.795038948417429
aageraißt,7.499787040655854
aagezaoue,7.499787040655854
aagschitt,7.499787040655854
aagschmiert,7.499787040655854
aagstose,7.499787040655854
aaheere,7.499787040655854
aakumme,7.499787040655854
aakunderfeyt,7.499787040655854
aalehre,7.499787040655854
aamol,7.499787040655854
aare,7.499787040655854
aaschinde,7.09432193254769
aaschnyde,7.499787040655854
aaschüdde,7.499787040655854
aasingen,7.499787040655854
aasähn,7.499787040655854
aawehre,7.499787040655854
aazeb,7.499787040655854
aaße,6.247024072160486
ab,4.529372575086153
abardi,7.09432193254769
abart,7.499787040655854
abba,6.401174751987744
abbardi,7.499787040655854
abbardis,7.499787040655854
abbedeek,7.499787040655854
abend,7.499787040655854
abendessen,7.499787040655854
abends,7.499787040655854
abendwinde,7.499787040655854
aber,7.09432193254769
abgeführt,7.499787040655854
abhängt,7.499787040655854
abjaaue,7.499787040655854
abscheili,7.499787040655854
abschrift,7.09432193254769
absunderli,7.499787040655854
abwenden,7.499787040655854
abzulegen,7.499787040655854
accisschrywer,7.499787040655854
ach,5.890349128221754
achde,7.499787040655854
achdung,7.09432193254769
acht,6.806639860095909
achtefufzi,7.499787040655854
achträddermüel,7.499787040655854
adel,7.499787040655854
adieh,7.499787040655854
adieu,7.499787040655854
adjes,7.499787040655854
adress,7.499787040655854
advekade,7.499787040655854
ae,7.09432193254769
aeid,7.499787040655854
aelterer,5.420345498976018
aeltererr,7.499787040655854
aelterers,7.499787040655854
aemtre,7.499787040655854
aend,7.499787040655854
aengel,7.09432193254769
aengste,7.499787040655854
aer,6.247024072160486
aes,6.806639860095909
affe,7.499787040655854
affrunde,7.09432193254769
ah,5.795038948417429
aha,7.09432193254769
aije,7.499787040655854
aim,4.791736839553645
aime,7.499787040655854
aimol,6.401174751987744
ain,6.583496308781699
aine,5.627984863754262
ainer,5.627984863754262
ainerlay,7.09432193254769
ainewäj,7.499787040655854
ainewäy,7.499787040655854
ainhorn,7.499787040655854
aini,7.09432193254769
ainmol,6.583496308781699
ains,5.248495242049359
ainzi,7.09432193254769
ainzis,7.499787040655854
aizji,7.499787040655854
aktuar,7.499787040655854
alberne,7.499787040655854
alde,5.627984863754262
alder,6.583496308781699
aldi,6.806639860095909
ale,7.499787040655854
alem,7.499787040655854
ales,7.499787040655854
alewyl,7.09432193254769
alfurt,7.499787040655854
ali,7.499787040655854
all,5.99570964387958
alle,5.05744000528665
allefanz,7.499787040655854
allegelde,7.499787040655854
allei,5.302562463319635
allem,6.401174751987744
allemol,6.247024072160486
allen,6.583496308781699
aller,6.806639860095909
allermaiste,7.499787040655854
alles,4.860729711040595
allewil,6.583496308781699
allewäj,7.09432193254769
allgemeinenennen,7.499787040655854
allgewalt,7.499787040655854
alli,5.248495242049359
allmächt,7.499787040655854
allong,7.499787040655854
allzu,7.499787040655854
allzulange,7.499787040655854
allzusehr,7.499787040655854
almueße,7.499787040655854
als,3.3971436756190583
alsfurt,6.113492679535963
also,6.401174751987744
alsobald,6.583496308781699
alt,5.248495242049359
alter,6.806639860095909
alti,7.499787040655854
am,3.9444389791664403
ammaister,7.499787040655854
ammeister,7.499787040655854
amol,7.499787040655854
amor,7.09432193254769
amtmann,7.499787040655854
amtmänne,7.499787040655854
amtschrywer,7.499787040655854
an,3.3409039572961823
anbedingt,7.499787040655854
anbelangt,7.499787040655854
ander,5.795038948417429
anderer,7.09432193254769
anderi,6.401174751987744
anderley,7.499787040655854
andermol,7.09432193254769
andern,6.806639860095909
anderst,6.583496308781699
andersts,7.499787040655854
andlig,5.890349128221754
andre,5.1018917678574836
andrer,7.09432193254769
andri,5.99570964387958
andrs,7.09432193254769
andächti,7.499787040655854
anfang,7.09432193254769
anfanges,7.09432193254769
anfangs,7.499787040655854
anfangt,7.499787040655854
anfragen,7.499787040655854
ang,7.09432193254769
angegukt,7.09432193254769
angekommen,7.499787040655854
angele,5.890349128221754
angelmuk,7.499787040655854
angelächelt,7.499787040655854
angenumme,7.499787040655854
angepakt,7.499787040655854
angerüert,7.499787040655854
angeschuldigt,7.499787040655854
angfycht,7.499787040655854
angfäng,7.499787040655854
angfüert,7.499787040655854
anghailt,7.499787040655854
anghalde,7.499787040655854
angryfft,7.09432193254769
angschnallt,7.499787040655854
angschnaut,7.499787040655854
angschnurrt,7.499787040655854
angschriwwe,7.499787040655854
angschwaißt,7.499787040655854
angst,6.247024072160486
angstift,7.499787040655854
angstoche,7.499787040655854
anhan,7.499787040655854
anheere,7.499787040655854
anhenke,7.499787040655854
anhenkerle,6.583496308781699
anhenkt,7.499787040655854
ankehäfel,7.499787040655854
anklozze,7.499787040655854
ankumme,7.499787040655854
ankummt,7.499787040655854
anlaye,7.499787040655854
anleye,7.499787040655854
anmerke,7.499787040655854
anmesse,7.499787040655854
anmut,7.499787040655854
anne,7.499787040655854
annebaddätscherle,7.499787040655854
annekumme,7.499787040655854
annemey,7.499787040655854
annemeyel,7.499787040655854
anplarre,7.499787040655854
anrekkummediert,7.499787040655854
anrüere,6.806639860095909
anrüert,7.499787040655854
anschmiere,7.499787040655854
anschnurrt,7.499787040655854
anschnüffelt,7.499787040655854
ansehn,6.583496308781699
anstand,7.499787040655854
anstelle,7.499787040655854
ant,7.09432193254769
antrags,7.499787040655854
antveauel,7.499787040655854
antveejele,7.499787040655854
antwort,7.09432193254769
antworte,7.499787040655854
anvertraoue,7.499787040655854
anzedue,7.499787040655854
anzestelle,7.499787040655854
apfel,7.499787040655854
arde,7.499787040655854
ardikkel,7.499787040655854
argwohn,7.09432193254769
arikle,7.499787040655854
arj,7.09432193254769
arje,7.499787040655854
arm,6.247024072160486
armbrüst,7.499787040655854
arme,6.806639860095909
arms,7.499787040655854
art,7.09432193254769
artli,6.583496308781699
arunkele,7.499787040655854
arzney,7.499787040655854
arzt,6.806639860095909
as,7.09432193254769
assorel,7.499787040655854
athiö,7.499787040655854
atmend,7.499787040655854
au,3.216200478795225
auch,4.974058396347599
aue,5.627984863754262
auen,7.499787040655854
auesblick,7.499787040655854
auf,4.825638391229326
aufdrang,7.499787040655854
aufegebracht,7.499787040655854
auffahrend,7.499787040655854
aufgebracht,7.499787040655854
aufgeklärt,7.499787040655854
aufgesucht,7.499787040655854
aufhaltend,7.499787040655854
aufhebend,7.499787040655854
aufrichtend,7.499787040655854
aufs,7.499787040655854
aufschub,7.499787040655854
aufschwung,7.499787040655854
aufzubauen,7.499787040655854
aufzuhelfen,7.499787040655854
aug,6.806639860095909
aunguot,7.499787040655854
aunserm,7.499787040655854
aus,5.99570964387958
ausgemacht,7.09432193254769
ausgestreute,7.499787040655854
auswahl,7.499787040655854
auszubrüten,7.499787040655854
außer,7.499787040655854
away,7.499787040655854
awwer,4.860729711040595
ay,7.09432193254769
aye,6.583496308781699
ayes,7.499787040655854
ayewohl,7.499787040655854
az,7.499787040655854
azzel,7.499787040655854
aß,3.875446107679489
ba,7.499787040655854
baarfüeßer,7.499787040655854
babbeljodde,7.499787040655854
babbelst,7.499787040655854
babbeseeli,7.499787040655854
babbier,7.499787040655854
babble,6.401174751987744
bach,7.499787040655854
bache,7.09432193254769
baches,7.499787040655854
bacht,7.499787040655854
bad,6.806639860095909
badde,7.499787040655854
bahn,6.806639860095909
baid,7.499787040655854
baidi,6.806639860095909
baikert,7.499787040655854
bain,6.247024072160486
bainerdatsch,7.499787040655854
bainre,7.499787040655854
baitsch,7.499787040655854
baißt,7.499787040655854
bakke,7.09432193254769
bald,5.99570964387958
balje,7.499787040655854
ball,5.420345498976018
balwierer,7.499787040655854
bamble,7.499787040655854
bande,7.09432193254769
bandele,7.09432193254769
bang,6.401174751987744
bange,7.499787040655854
bangigkait,7.499787040655854
bank,7.499787040655854
baoue,7.09432193254769
barble,7.499787040655854
bardel,7.09432193254769
bardie,7.499787040655854
barmen,7.499787040655854
barmherzi,7.499787040655854
barr,7.499787040655854
barrediß,7.499787040655854
barrick,7.499787040655854
barriere,7.499787040655854
barrik,7.09432193254769
barrikemacher,7.499787040655854
barrikkestok,7.499787040655854
barris,7.499787040655854
bart,7.09432193254769
