words,idf
aam,4.592735593561034
aan,4.998200701669198
aane,4.998200701669198
abbruchsprys,4.998200701669198
abgeklopft,4.998200701669198
abgsehne,4.998200701669198
abgstellt,4.998200701669198
ah,4.592735593561034
aha,4.998200701669198
alles,3.7454377331738304
allewäj,4.998200701669198
alli,4.592735593561034
als,4.305053521109253
ambediererei,4.998200701669198
an,4.081909969795044
andere,4.998200701669198
architekt,4.305053521109253
arig,4.998200701669198
arm,4.998200701669198
artikel,4.998200701669198
au,4.998200701669198
automobil,4.998200701669198
ball,4.998200701669198
basse,4.998200701669198
beck,4.998200701669198
bedenke,4.998200701669198
bedrachte,4.998200701669198
beschte,4.998200701669198
besser,4.305053521109253
bie,4.998200701669198
biem,4.998200701669198
bin,4.998200701669198
bis,4.998200701669198
blech,4.998200701669198
blechkann,4.305053521109253
bliewe,4.592735593561034
brrr,4.998200701669198
bscht,4.998200701669198
büehn,4.998200701669198
daa,4.998200701669198
dass,3.7454377331738304
dato,4.998200701669198
de,4.081909969795044
dem,4.592735593561034
denke,4.305053521109253
denkzettel,4.998200701669198
denn,3.7454377331738304
denne,4.305053521109253
der,4.305053521109253
dere,4.998200701669198
des,4.998200701669198
deschto,4.998200701669198
die,3.899588413001089
diss,4.305053521109253
dittlich,4.592735593561034
do,3.4941233048929243
doch,4.592735593561034
dogebliewe,4.998200701669198
dohinne,4.998200701669198
dorte,3.899588413001089
dreiviertel,4.998200701669198
dynamit,4.081909969795044
döhnt,4.998200701669198
ebb,4.998200701669198
ebber,4.592735593561034
ebbs,4.305053521109253
ehr,4.998200701669198
elektrizität,4.998200701669198
emol,4.998200701669198
erbarme,4.998200701669198
erläwe,4.592735593561034
erum,4.592735593561034
erumgaise,4.998200701669198
erüss,4.998200701669198
es,3.4941233048929243
exküsiere,4.998200701669198
falle,4.998200701669198
fenschter,4.998200701669198
for,4.998200701669198
freia,4.998200701669198
fremdi,4.998200701669198
fröiij,4.998200701669198
füenfstöckigs,4.998200701669198
gaischt,4.998200701669198
ganz,3.899588413001089
ganzi,4.998200701669198
gar,4.998200701669198
garte,4.998200701669198
gas,4.998200701669198
ge,4.998200701669198
gedenken,4.998200701669198
gehn,4.305053521109253
geht,4.998200701669198
geist,4.081909969795044
geiste,4.998200701669198
gejed,4.998200701669198
gejedail,4.998200701669198
gelle,4.998200701669198
gelöst,4.592735593561034
genutzt,4.998200701669198
genäuej,4.998200701669198
gericht,4.592735593561034
gerüschter,4.998200701669198
gewiss,4.592735593561034
gewissehaft,4.998200701669198
gfalle,4.998200701669198
gfunde,4.998200701669198
gfüellt,4.998200701669198
glaab,4.305053521109253
glich,4.592735593561034
gott,4.998200701669198
gottswille,4.592735593561034
grad,4.998200701669198
grambol,4.998200701669198
grossem,4.998200701669198
grosser,4.998200701669198
gschicht,4.592735593561034
gschieht,4.592735593561034
gschteh,4.998200701669198
gsin,4.998200701669198
guet,4.998200701669198
guten,4.305053521109253
gychter,4.998200701669198
gückt,4.998200701669198
haamlich,4.998200701669198
hab,4.305053521109253
halblütt,4.998200701669198
halte,3.899588413001089
hamlich,4.998200701669198
han,3.126398524767607
hand,4.998200701669198
he,4.998200701669198
hebb,4.998200701669198
herr,3.6119063405493077
herrlischen,4.998200701669198
het,4.305053521109253
hett,4.998200701669198
hiesermackler,4.592735593561034
hinne,4.592735593561034
hinte,4.998200701669198
hm,4.592735593561034
hoert,4.998200701669198
hohl,4.998200701669198
hohle,4.998200701669198
huescht,4.592735593561034
hunderti,4.998200701669198
huus,3.2934526094307732
hä,4.998200701669198
händ,4.998200701669198
hôtelier,4.998200701669198
höchschte,4.998200701669198
höre,4.592735593561034
hört,4.305053521109253
ich,2.695615608675153
idee,4.998200701669198
ihne,4.998200701669198
ihr,4.998200701669198
ihri,4.592735593561034
im,4.305053521109253
in,3.7454377331738304
isch,2.983297681126934
iseh,4.998200701669198
ja,3.899588413001089
jaja,4.592735593561034
je,4.592735593561034
jede,4.998200701669198
jemes,4.592735593561034
jesses,4.592735593561034
jetzerte,4.998200701669198
jetzt,3.7454377331738304
jo,3.7454377331738304
jomert,4.998200701669198
jour,4.998200701669198
juste,4.998200701669198
kann,4.305053521109253
kaufe,4.998200701669198
keller,4.998200701669198
ken,3.899588413001089
kenne,4.998200701669198
kerl,4.998200701669198
kette,4.998200701669198
klebbere,4.998200701669198
kläiner,4.998200701669198
knapp,4.998200701669198
koscht,4.998200701669198
kracht,4.592735593561034
kratze,4.998200701669198
kumme,3.899588413001089
kummt,4.998200701669198
kälter,4.592735593561034
lache,4.998200701669198
lanciert,4.998200701669198
langer,4.998200701669198
laufe,4.998200701669198
lehr,4.998200701669198
letscht,4.592735593561034
liawe,4.998200701669198
lokatär,4.592735593561034
lonn,4.592735593561034
loreni,4.998200701669198
luft,4.592735593561034
lyde,4.998200701669198
läre,4.998200701669198
läuten,3.7454377331738304
lütt,4.998200701669198
lütter,4.998200701669198
maant,4.998200701669198
mache,4.592735593561034
macht,4.998200701669198
mask,4.998200701669198
meh,4.305053521109253
meinen,4.998200701669198
mensch,4.592735593561034
mer,3.126398524767607
merci,4.998200701669198
meter,1.6659961914939945
metzjeri,4.998200701669198
mich,4.305053521109253
michel,4.081909969795044
min,4.592735593561034
mini,4.998200701669198
minischter,4.998200701669198
minüt,4.592735593561034
mir,4.592735593561034
mit,3.2934526094307732
mitzenäme,4.998200701669198
modern,4.998200701669198
momente,4.998200701669198
muess,4.305053521109253
müehn,4.998200701669198
na,4.998200701669198
naan,4.305053521109253
nacht,4.592735593561034
nadierlich,4.998200701669198
naliste,4.998200701669198
ne,4.592735593561034
nerfe,4.305053521109253
niere,4.998200701669198
niert,4.998200701669198
nit,3.7454377331738304
nix,3.899588413001089
no,4.081909969795044
noch,3.4941233048929243
nonce,4.998200701669198
noochdem,4.998200701669198
numme,4.998200701669198
nynzeije,4.998200701669198
nüss,4.592735593561034
oh,4.998200701669198
oweh,4.998200701669198
packe,4.998200701669198
patissier,4.998200701669198
paus,4.998200701669198
pfiff,4.998200701669198
pfifft,4.998200701669198
photographiert,4.998200701669198
plumpse,4.998200701669198
rasselt,4.998200701669198
rbie,4.998200701669198
re,4.305053521109253
rechte,4.998200701669198
redd,4.998200701669198
resultate,4.998200701669198
