words,idf
20,6.940171252720432
397,6.940171252720432
aam,6.0238805208462765
aan,5.6874082842250635
aane,6.940171252720432
aaner,6.0238805208462765
aani,6.534706144612267
aanmol,6.940171252720432
aans,6.247024072160486
aanzigi,6.940171252720432
ab,3.6443343867161024
abba,6.534706144612267
abbrenne,6.534706144612267
abgepfätzt,6.940171252720432
abgführt,6.940171252720432
absätz,6.940171252720432
abwechselnd,6.940171252720432
abwechselndi,6.940171252720432
abzwinge,6.940171252720432
accompagnant,6.940171252720432
accords,6.940171252720432
ach,6.534706144612267
acht,6.534706144612267
adie,6.247024072160486
adlerkralle,6.940171252720432
aeier,6.940171252720432
aelterer,4.637586159726386
aepfel,6.940171252720432
aepfelkammer,6.940171252720432
aerm,6.247024072160486
ah,4.994261103665118
aha,6.0238805208462765
aimable,6.940171252720432
aja,6.940171252720432
aje,6.534706144612267
ali,5.553876891600541
alldaaschmüüs,6.940171252720432
alle,5.841558964052322
allegelte,6.940171252720432
allem,6.247024072160486
aller,6.940171252720432
allerlei,6.940171252720432
alles,4.375221895258894
allewil,6.247024072160486
allewäj,6.940171252720432
allez,6.247024072160486
alli,3.783170831570318
allons,6.940171252720432
als,3.872118317586814
also,6.247024072160486
alt,6.247024072160486
alti,5.6874082842250635
altmodischer,6.940171252720432
am,4.497824217351226
ambettirt,6.940171252720432
ambose,6.940171252720432
ameis,6.940171252720432
amend,5.841558964052322
amis,6.940171252720432
an,3.872118317586814
andere,5.6874082842250635
anderer,6.940171252720432
anderi,6.940171252720432
andersch,6.940171252720432
andlig,6.534706144612267
ane,6.940171252720432
angele,6.940171252720432
angeloffe,6.940171252720432
angenumme,6.247024072160486
angezajt,6.534706144612267
angschtellt,6.940171252720432
angschthäsele,6.940171252720432
angst,5.6874082842250635
angsthäsel,6.940171252720432
anhalte,6.940171252720432
anmol,6.940171252720432
anne,5.436093855944157
annegschtellt,6.940171252720432
annekumme,6.534706144612267
annoch,6.0238805208462765
ans,6.940171252720432
anver,6.940171252720432
anzaje,6.940171252720432
apethek,6.940171252720432
apparat,6.534706144612267
appetit,6.534706144612267
aprillegschirr,6.940171252720432
arabische,6.940171252720432
arena,6.940171252720432
arig,6.0238805208462765
arm,5.6874082842250635
arme,6.940171252720432
armes,6.940171252720432
armi,6.940171252720432
arms,6.940171252720432
arretiere,6.940171252720432
arrêtez,6.940171252720432
artiste,6.534706144612267
as,6.247024072160486
asavoyons,6.940171252720432
ass,5.436093855944157
athlet,6.247024072160486
attention,6.940171252720432
au,3.783170831570318
aue,6.940171252720432
aufgeregter,6.940171252720432
aujourd,6.940171252720432
avec,5.330733340286331
avecça,6.940171252720432
awer,3.96975678715073
açaavoyons,6.940171252720432
açavoyons,4.049799494824267
aım,6.940171252720432
baamharz,6.940171252720432
baamstumbe,6.940171252720432
baan,6.247024072160486
baba,6.940171252720432
babbel,6.534706144612267
babbelt,6.534706144612267
babbier,6.940171252720432
babier,6.940171252720432
bach,6.247024072160486
bache,6.940171252720432
baim,6.940171252720432
balanciert,6.940171252720432
balike,6.940171252720432
ball,6.0238805208462765
balle,6.0238805208462765
balles,6.940171252720432
bambel,6.940171252720432
bambelt,6.534706144612267
banane,6.247024072160486
barebli,6.940171252720432
bareblie,6.534706144612267
baresönel,6.940171252720432
barik,6.534706144612267
baris,6.940171252720432
bart,6.0238805208462765
bartel,6.940171252720432
basiert,6.940171252720432
bass,5.6874082842250635
bataillon,6.940171252720432
batsche,6.940171252720432
batscht,6.534706144612267
be,6.940171252720432
beamtebschtechung,6.940171252720432
