words,idf
ab,3.667228206581955
absolütion,4.58351893845611
achdung,4.178053830347945
aha,4.58351893845611
alle,3.8903717578961645
allei,4.58351893845611
alleweg,4.58351893845611
als,4.178053830347945
alter,4.58351893845611
am,4.178053830347945
amerika,4.178053830347945
an,3.8903717578961645
andrs,4.58351893845611
ane,4.58351893845611
anfang,4.58351893845611
angst,4.58351893845611
as,3.8903717578961645
asche,4.178053830347945
ass,3.330755969960742
awer,3.330755969960742
bang,3.330755969960742
begrüesst,3.667228206581955
beide,4.178053830347945
besser,4.58351893845611
beste,3.330755969960742
bi,2.791759469228055
bis,2.280933845462064
bisch,4.178053830347945
bitt,4.58351893845611
blibt,4.58351893845611
bliwe,4.58351893845611
bringe,4.58351893845611
brücht,4.178053830347945
bscht,4.58351893845611
bàh,4.58351893845611
costüm,4.58351893845611
côtelettes,4.58351893845611
cüsin,4.58351893845611
cüsine,4.58351893845611
damen,4.58351893845611
das,2.280933845462064
de,3.1972245773362196
dem,4.178053830347945
denkt,4.58351893845611
denn,3.1972245773362196
derf,4.178053830347945
derno,3.667228206581955
dert,3.1972245773362196
dervo,4.178053830347945
dervolaüfe,4.58351893845611
derzüe,4.58351893845611
di,3.8903717578961645
dich,4.58351893845611
die,3.1972245773362196
dir,4.58351893845611
do,2.2321436812926323
doch,2.0577902941478543
dohi,3.667228206581955
doochder,4.58351893845611
dr,2.332227139849615
drei,4.178053830347945
drom,4.58351893845611
druf,4.58351893845611
drum,2.9740810260220094
dur,4.178053830347945
dà,3.8903717578961645
dài,4.58351893845611
dàne,4.178053830347945
dàr,3.667228206581955
dàre,3.4849066497880004
dü,3.0794415416798357
ebbes,3.8903717578961645
edi,2.7117167615545186
eher,4.58351893845611
ehr,4.58351893845611
eigentlig,4.178053830347945
eim,3.8903717578961645
em,4.178053830347945
eme,4.58351893845611
emol,3.8903717578961645
end,4.178053830347945
endlig,4.58351893845611
ene,4.58351893845611
er,2.8787708462176846
erkenn,4.58351893845611
erleest,4.58351893845611
erlöst,4.58351893845611
erspare,4.58351893845611
erst,4.178053830347945
es,4.178053830347945
eso,4.58351893845611
esse,4.178053830347945
eüch,3.330755969960742
eüer,4.178053830347945
fahne,4.58351893845611
fahre,3.4849066497880004
falle,4.178053830347945
famili,4.58351893845611
fatal,4.58351893845611
finde,3.667228206581955
fir,3.4849066497880004
fisch,3.0794415416798357
fohr,4.58351893845611
fohre,4.178053830347945
franz,2.443452774959839
frisch,4.58351893845611
fräide,3.667228206581955
fräidee,4.178053830347945
fröscheweid,4.58351893845611
furt,3.1972245773362196
fæhler,3.667228206581955
gange,3.1972245773362196
gar,4.178053830347945
geh,4.178053830347945
geht,2.9740810260220094
gemachti,3.4849066497880004
gen,3.8903717578961645
gib,4.58351893845611
git,4.58351893845611
gix,4.58351893845611
gli,3.4849066497880004
glich,4.58351893845611
gliethe,4.178053830347945
glöüwe,3.8903717578961645
glückliche,4.178053830347945
glüeck,3.667228206581955
grösseren,4.58351893845611
gsi,3.8903717578961645
guldig,4.178053830347945
guten,3.330755969960742
gwuck,4.58351893845611
ha,2.5686159179138452
hals,3.8903717578961645
halte,3.0794415416798357
halteee,4.178053830347945
halunk,4.58351893845611
handelt,4.58351893845611
hart,4.178053830347945
hat,4.178053830347945
hebt,4.58351893845611
heim,2.791759469228055
heimeth,3.667228206581955
heischt,4.58351893845611
heisst,4.58351893845611
hem,4.58351893845611
herr,2.2321436812926323
herrjeses,4.58351893845611
hiete,4.178053830347945
hintere,4.58351893845611
hir,4.178053830347945
hirothe,4.178053830347945
hit,4.178053830347945
huchzytt,3.667228206581955
hà,3.667228206581955
hàn,2.386294361119891
hànd,4.58351893845611
hätt,4.58351893845611
hätte,3.4849066497880004
hättsch,4.58351893845611
hört,4.58351893845611
hüse,4.178053830347945
ibiesst,3.4849066497880004
ich,2.791759469228055
ihm,4.58351893845611
ihn,4.58351893845611
ihne,4.58351893845611
ihr,3.1972245773362196
ihre,4.58351893845611
ihrem,4.58351893845611
im,3.667228206581955
in,2.8787708462176846
indianisch,4.178053830347945
insel,4.178053830347945
insle,2.8787708462176846
irr,4.178053830347945
is,3.4849066497880004
isch,1.750305594399894
ischiffe,4.58351893845611
jedefall,4.58351893845611
jettele,2.6376087894007965
jetz,2.09861228866811
jo,3.4849066497880004
jomere,4.58351893845611
jà,4.178053830347945
jügiere,4.58351893845611
ka,3.4849066497880004
kalter,4.58351893845611
kannibalisch,4.58351893845611
kanoneschutz,4.58351893845611
kasch,3.4849066497880004
kei,4.58351893845611
kein,4.58351893845611
keiner,4.178053830347945
keis,4.58351893845611
kenne,4.58351893845611
klei,4.58351893845611
klär,3.667228206581955
