words,idf
1914,0.00797149364607832
24,4.9383403137455195
aase,0.00431299872627416
ab,0.017131529996713375
abbutze,0.00431299872627416
abgfahre,0.00431299872627416
abgschmiert,0.00431299872627416
abgschnitte,0.00431299872627416
abrümme,0.00431299872627416
adje,5.343805421853684
aelterer,5.343805421853684
ah,0.00398574682303916
aha,5.343805421853684
aijo,5.343805421853684
alle,0.02109812152214454
allei,0.00797149364607832
allem,0.00431299872627416
allenstein,5.343805421853684
aller,0.00431299872627416
alles,0.04405638413577795
allewil,4.245193133185574
allewäj,0.011260673707733024
alli,0.01819581454428041
almose,5.343805421853684
als,0.03440238210775427
also,0.00398574682303916
alt,0.00797149364607832
alter,0.00431299872627416
alti,0.00862599745254832
am,0.030824887566160624
amerika,5.343805421853684
amerikaner,5.343805421853684
amüsiere,5.343805421853684
an,0.04113674664404807
anblick,5.343805421853684
ander,0.00797149364607832
andere,0.00431299872627416
anderi,0.00431299872627416
andersch,0.00797149364607832
ane,0.00797149364607832
anegewend,5.343805421853684
anfang,0.00862599745254832
anfangsch,0.00431299872627416
ang,5.343805421853684
angerüehrt,0.00431299872627416
angewiese,0.00431299872627416
angst,3.9575110607337933
anleje,5.343805421853684
anlueje,0.00431299872627416
anne,0.00431299872627416
anstelle,0.00431299872627416
ar,0.026433830481466768
arich,0.00797149364607832
arm,0.03378202112319907
arme,0.01195724046911748
arwäit,5.343805421853684
as,4.245193133185574
ass,0.07410764165794671
asse,0.010720374552008546
atsch,5.343805421853684
attatta,0.00431299872627416
au,0.025552936631049513
aue,5.343805421853684
august,4.9383403137455195
aussprechend,0.00431299872627416
autsch,0.00862599745254832
awer,0.06728465046954352
babble,0.00431299872627416
ball,0.022358819552168323
bank,5.343805421853684
barri,5.343805421853684
baräckel,4.9383403137455195
basse,0.00431299872627416
bedrüebt,0.00431299872627416
bedänke,5.343805421853684
begrawe,0.012938996178822479
beidi,5.343805421853684
beisammen,0.00431299872627416
bekomm,0.015014231610310697
bekomme,5.343805421853684
bekummt,0.00797149364607832
