words,idf
ab,6.178970608915471
abefehle,6.178970608915471
abelangere,6.178970608915471
abelangt,6.178970608915471
aber,6.178970608915471
abete,5.773505500807306
abg,5.773505500807306
abgrund,5.2626798770413155
abneigung,6.178970608915471
abrisse,6.178970608915471
abscheü,6.178970608915471
abscheülig,6.178970608915471
absicht,5.773505500807306
absite,6.178970608915471
abzeichent,6.178970608915471
acceptiere,6.178970608915471
achdung,5.773505500807306
aelterer,5.485823428355525
ag,5.485823428355525
aglegt,5.2626798770413155
agnu,5.773505500807306
ah,4.79267624779558
aha,5.485823428355525
ahöre,5.773505500807306
ais,6.178970608915471
aklage,6.178970608915471
akunft,6.178970608915471
akunnt,6.178970608915471
alege,6.178970608915471
alle,4.387211139687416
allei,4.387211139687416
allem,4.79267624779558
aller,6.178970608915471
alles,3.981746031579251
allewil,4.30716843201388
alpen,6.178970608915471
als,3.827595351751993
also,4.56953269648137
alter,5.2626798770413155
am,4.674893212139196
amüsant,6.178970608915471
an,3.827595351751993
andacht,6.178970608915471
andere,4.387211139687416
anderst,5.773505500807306
andre,6.178970608915471
andrs,5.485823428355525
andrst,6.178970608915471
ane,4.674893212139196
angst,4.56953269648137
annonciert,6.178970608915471
ans,5.485823428355525
anstatt,5.773505500807306
antwort,6.178970608915471
arg,5.773505500807306
arm,6.178970608915471
arme,6.178970608915471
arrangiere,6.178970608915471
arrangiert,6.178970608915471
art,5.485823428355525
as,3.7366235735462663
ass,2.5680526962712458
atrofte,6.178970608915471
au,5.773505500807306
auf,6.178970608915471
avances,6.178970608915471
avertraüe,5.485823428355525
awe,6.178970608915471
awer,3.021970187765357
awér,6.178970608915471
az,5.773505500807306
aüg,6.178970608915471
aüge,5.2626798770413155
aügesblick,5.773505500807306
babylon,6.178970608915471
ball,5.2626798770413155
ballsaal,6.178970608915471
bande,6.178970608915471
bankett,6.178970608915471
bedanke,6.178970608915471
bedidde,5.773505500807306
bedüre,6.178970608915471
befert,5.485823428355525
befriedige,6.178970608915471
beftecke,6.178970608915471
begleiten,6.178970608915471
beide,6.178970608915471
bekannte,6.178970608915471
bekehre,5.485823428355525
bekehrt,6.178970608915471
bekehrung,6.178970608915471
bekomm,5.773505500807306
belohne,6.178970608915471
beläidig,6.178970608915471
bemerkt,6.178970608915471
bequemer,6.178970608915471
besser,4.9262076404201025
beste,5.2626798770413155
bete,6.178970608915471
betrage,5.773505500807306
bewundert,6.178970608915471
bi,3.158545722771108
bibliothek,5.773505500807306
biecher,6.178970608915471
bien,4.9262076404201025
biku,6.178970608915471
bikunnsch,6.178970608915471
bild,5.773505500807306
bim,6.178970608915471
bin,4.233060459860157
binander,6.178970608915471
binde,6.178970608915471
bindet,6.178970608915471
bioliothek,6.178970608915471
bis,3.9276788103089753
bisch,4.56953269648137
bisteh,6.178970608915471
blib,6.178970608915471
blibt,5.2626798770413155
blick,5.485823428355525
blicke,6.178970608915471
bliwe,5.2626798770413155
blüet,6.178970608915471
bode,5.773505500807306
bol,4.9262076404201025
bonne,6.178970608915471
brief,5.485823428355525
bringe,5.080358320247361
bringt,5.773505500807306
brlnge,6.178970608915471
brocht,5.485823428355525
brod,6.178970608915471
brust,6.178970608915471
brüche,6.178970608915471
brüchsch,5.485823428355525
brücht,6.178970608915471
bum,5.773505500807306
bunt,6.178970608915471
bynander,6.178970608915471
bàll,6.178970608915471
bös,5.773505500807306
böse,4.79267624779558
büech,5.485823428355525
büese,6.178970608915471
büess,6.178970608915471
ch,6.178970608915471
champagner,5.773505500807306
changier,6.178970608915471
changiere,5.485823428355525
charakter,5.773505500807306
charmante,5.080358320247361
chàrgiert,6.178970608915471
coiffeuse,6.178970608915471
complott,6.178970608915471
compromittiere,6.178970608915471
coquette,6.178970608915471
coquettisch,6.178970608915471
criminalische,6.178970608915471
cüsin,6.178970608915471
cüsine,6.178970608915471
danke,6.178970608915471
das,2.713234706115744
dass,6.178970608915471
de,3.7810753361171
decidiert,6.178970608915471
declaration,6.178970608915471
decouragiert,6.178970608915471
deklaration,6.178970608915471
dem,3.8763855159214247
den,6.178970608915471
dena,6.178970608915471
denk,6.178970608915471
denke,5.773505500807306
denks,6.178970608915471
denkt,5.2626798770413155
denn,3.1344481711920475
der,6.178970608915471
derangiere,5.773505500807306
derbi,5.485823428355525
derdur,6.178970608915471
dere,6.178970608915471
derf,5.773505500807306
derfe,5.773505500807306
derfir,5.485823428355525
derft,6.178970608915471
