words,idf
ab,5.209655408733095
abfahre,5.61512051684126
abinde,5.61512051684126
ablade,5.61512051684126
ablick,5.61512051684126
abord,5.61512051684126
abwehrende,5.61512051684126
abz,5.61512051684126
ach,5.61512051684126
achdung,5.209655408733095
achsle,5.61512051684126
acht,4.921973336281314
aelterer,4.698829784967105
ag,4.921973336281314
agnu,5.61512051684126
agàciert,5.61512051684126
ah,3.9103724246028344
aha,4.698829784967105
aklagt,5.61512051684126
alexander,4.698829784967105
all,5.61512051684126
alle,3.8233610476132043
allei,4.362357548345892
allem,5.61512051684126
allemol,5.61512051684126
alles,3.8233610476132043
allewil,4.698829784967105
allewill,5.61512051684126
allons,5.61512051684126
als,3.5356789751614235
also,4.111043120064986
alter,5.209655408733095
am,3.6002174962989946
amache,5.209655408733095
amüsant,5.61512051684126
an,3.6692103677859462
ander,4.921973336281314
andere,4.921973336281314
anderst,4.921973336281314
andrs,5.61512051684126
ane,4.111043120064986
anfang,5.61512051684126
angele,4.921973336281314
angeleee,5.61512051684126
angelrüethe,4.698829784967105
angelrüthe,5.61512051684126
angst,5.209655408733095
anstatt,5.209655408733095
antwort,4.698829784967105
antworte,5.61512051684126
arg,5.61512051684126
arm,5.209655408733095
arme,5.209655408733095
arrangiere,5.61512051684126
arrangiert,5.61512051684126
artikel,5.209655408733095
as,4.005682604407159
asetze,5.61512051684126
ass,2.874280492916059
asses,5.61512051684126
au,4.698829784967105
avertraüe,5.61512051684126
awe,5.61512051684126
awer,2.8117601359347244
az,5.209655408733095
aüge,5.209655408733095
aügeblick,5.209655408733095
bassgige,5.61512051684126
beide,5.61512051684126
bergère,5.61512051684126
besser,5.61512051684126
bessere,5.61512051684126
beste,5.61512051684126
betriege,5.61512051684126
bett,5.61512051684126
bewache,5.61512051684126
bewegung,5.61512051684126
bewise,5.61512051684126
bi,3.089391872533004
bickt,5.209655408733095
bien,4.921973336281314
biku,5.61512051684126
bile,5.61512051684126
bim,5.61512051684126
bin,4.228826155721369
bis,4.51650822817315
bisch,4.921973336281314
bissi,5.61512051684126
blaü,5.61512051684126
bled,5.61512051684126
blib,5.61512051684126
bliwe,4.228826155721369
blàchige,5.61512051684126
blüet,5.61512051684126
bol,4.921973336281314
bon,5.61512051684126
breit,5.209655408733095
brille,5.61512051684126
bringe,4.921973336281314
bringt,5.209655408733095
brocht,5.209655408733095
brummle,5.61512051684126
brusquiere,5.61512051684126
brüche,5.61512051684126
brüchsch,4.921973336281314
brücht,4.698829784967105
brüt,5.61512051684126
bumm,3.312535423847214
bureau,4.921973336281314
bààre,5.61512051684126
böse,5.61512051684126
chambre,4.921973336281314
chambres,4.921973336281314
chance,5.209655408733095
changiert,5.61512051684126
chiffonniert,5.61512051684126
china,5.209655408733095
cigarre,5.61512051684126
citadine,5.61512051684126
comment,5.61512051684126
consultation,5.61512051684126
couturière,5.61512051684126
cummission,5.209655408733095
dann,5.61512051684126
das,2.5240780634829436
dasmol,4.698829784967105
de,3.6002174962989946
dem,3.743318339939668
denk,4.921973336281314
denke,5.61512051684126
denkt,4.698829784967105
denn,3.012430831396876
der,5.61512051684126
derangiere,5.61512051684126
dere,4.698829784967105
derf,4.921973336281314
derfe,5.61512051684126
derfir,5.209655408733095
derher,5.61512051684126
dern,5.61512051684126
dernewe,5.61512051684126
derno,4.111043120064986
dert,3.9103724246028344
dervo,4.921973336281314
derwege,5.61512051684126
derwider,5.61512051684126
derwilscht,5.61512051684126
derzüe,5.209655408733095
desto,5.61512051684126
di,4.228826155721369
dich,4.228826155721369
dickste,5.61512051684126
die,3.3638287182347644
dienst,5.209655408733095
dim,5.61512051684126
dine,5.61512051684126
ding,4.51650822817315
dings,5.61512051684126
dir,4.228826155721369
do,2.2829160066660554
doch,3.089391872533004
dohi,5.61512051684126
doktor,4.228826155721369
dollweck,5.61512051684126
donc,5.209655408733095
doochder,5.61512051684126
dorf,5.61512051684126
doz,5.61512051684126
dr,2.0597724553518457
dra,4.362357548345892
drei,5.209655408733095
drin,4.698829784967105
dritt,5.61512051684126
dritte,5.209655408733095
driwer,5.61512051684126
drum,4.698829784967105
drüs,5.61512051684126
du,5.61512051684126
dumma,5.209655408733095
dur,5.209655408733095
durchüs,5.61512051684126
dure,4.228826155721369
dà,3.6692103677859462
dàre,5.61512051684126
därf,5.61512051684126
décidément,5.61512051684126
dü,3.312535423847214
dürt,5.61512051684126
eb,4.228826155721369
ebb,5.61512051684126
ebbe,4.228826155721369
ebber,5.209655408733095
ebbes,3.743318339939668
ecke,5.209655408733095
eh,4.921973336281314
ehehälfte,5.61512051684126
ehen,4.51650822817315
eher,5.209655408733095
ehr,5.61512051684126
eht,5.61512051684126
eige,5.61512051684126
eigentlig,5.209655408733095
eigentligmi,5.61512051684126
eim,4.921973336281314
eine,4.921973336281314
einer,5.61512051684126
eins,5.61512051684126
einstwile,5.61512051684126
eleganti,5.61512051684126
em,4.111043120064986
eme,4.51650822817315
emol,3.475054353344989
empfange,5.61512051684126
en,4.362357548345892
enander,4.921973336281314
end,5.61512051684126
endlig,5.209655408733095
ene,4.51650822817315
enfin,5.61512051684126
entlaüfe,5.61512051684126
er,2.47962630091211
erblickt,5.61512051684126
ere,3.6002174962989946
erhole,5.61512051684126
erkennt,5.61512051684126
erlaübniss,5.61512051684126
erlaübt,5.209655408733095
erlaüwe,5.61512051684126
errothe,5.209655408733095
erscht,5.61512051684126
erst,4.698829784967105
erste,5.61512051684126
ertapp,5.61512051684126
es,4.698829784967105
eso,3.089391872533004
espèce,5.61512051684126
esse,5.209655408733095
ewe,4.111043120064986
eweg,5.61512051684126
exempel,5.61512051684126
existenz,5.61512051684126
express,5.209655408733095
fahlt,4.51650822817315
fahr,5.61512051684126
fahre,5.209655408733095
fahrt,5.61512051684126
fait,5.61512051684126
falle,5.209655408733095
fallt,4.228826155721369
falsche,5.209655408733095
famos,5.61512051684126
famose,5.61512051684126
fange,4.51650822817315
fangt,4.921973336281314
farwe,5.61512051684126
fast,5.61512051684126
fauteuil,5.61512051684126
fawrike,5.61512051684126
fenster,5.209655408733095
ferig,5.61512051684126
fertig,5.61512051684126
feuster,5.61512051684126
fiehre,5.61512051684126
fiehrt,5.209655408733095
fiess,5.61512051684126
fiewer,5.209655408733095
find,5.61512051684126
finde,5.209655408733095
findet,5.61512051684126
finele,4.228826155721369
fir,2.0741611928039454
firtig,5.61512051684126
fisch,4.698829784967105
fische,4.362357548345892
fischerei,4.921973336281314
fischername,5.61512051684126
fixiert,5.61512051684126
foi,5.61512051684126
fois,5.61512051684126
franzesch,5.61512051684126
frau,5.61512051684126
fraü,1.853920401147697
freia,5.209655408733095
freidig,5.61512051684126
frejheite,5.61512051684126
friede,4.698829784967105
frinde,5.209655408733095
froge,4.51650822817315
frogt,5.61512051684126
froh,5.209655408733095
fräide,4.921973336281314
