words,idf
abfahre,4.650658241293739
abg,4.245193133185574
absite,4.650658241293739
achsle,4.650658241293739
adie,4.650658241293739
aelterer,4.650658241293739
ag,4.650658241293739
agaciert,4.650658241293739
ah,4.650658241293739
aha,4.650658241293739
alle,4.650658241293739
allei,3.9575110607337933
allem,4.245193133185574
allererst,4.650658241293739
alles,4.245193133185574
alleweg,4.245193133185574
allewil,4.245193133185574
als,3.264363880173848
alsacienne,4.650658241293739
also,3.9575110607337933
alt,4.650658241293739
am,3.9575110607337933
an,3.7343675094195836
andere,3.9575110607337933
ane,3.9575110607337933
anfang,4.245193133185574
angst,4.650658241293739
ans,4.650658241293739
as,3.9575110607337933
ass,2.348073148299693
avertraüe,4.650658241293739
awebrocht,4.650658241293739
awende,4.650658241293739
awer,2.510592077797468
aügesblick,4.650658241293739
bang,4.245193133185574
baüele,3.3978952727983707
beide,4.650658241293739
bekomm,4.650658241293739
bekunnt,4.650658241293739
bekàmt,4.650658241293739
bekümmere,4.650658241293739
besser,4.245193133185574
beste,4.650658241293739
bezahle,4.650658241293739
bi,3.3978952727983707
biku,4.650658241293739
bikunnt,4.650658241293739
bin,4.650658241293739
bis,3.7343675094195836
bisch,4.650658241293739
blick,4.650658241293739
bliebt,4.650658241293739
bliwe,4.650658241293739
brava,4.650658241293739
brief,3.5520459526256287
bring,4.650658241293739
brocht,4.650658241293739
bruche,4.650658241293739
brüchsch,4.650658241293739
brücht,4.650658241293739
brüeder,4.245193133185574
bund,4.650658241293739
bàh,4.650658241293739
chance,4.650658241293739
charakter,4.245193133185574
china,4.245193133185574
chine,4.650658241293739
chineser,3.264363880173848
chineserfranz,4.650658241293739
chinesisch,3.5520459526256287
civilisiert,4.650658241293739
complotiert,4.650658241293739
cüsin,3.7343675094195836
cüsine,4.245193133185574
dar,4.650658241293739
das,2.1657515915057384
de,2.8588987720656833
decidier,4.650658241293739
dem,3.7343675094195836
denn,2.8588987720656833
derbi,4.245193133185574
dere,4.650658241293739
derf,4.245193133185574
derfir,4.650658241293739
derno,4.245193133185574
dervo,4.650658241293739
derzüe,3.7343675094195836
di,3.1465808445174646
dich,3.7343675094195836
die,3.3978952727983707
diemol,4.650658241293739
ding,3.3978952727983707
dir,3.5520459526256287
dispetiere,4.650658241293739
ditsch,4.650658241293739
do,2.3993664426872434
doch,2.8588987720656833
dohi,4.650658241293739
dr,2.348073148299693
dra,4.245193133185574
dri,4.245193133185574
drig,4.650658241293739
drin,4.245193133185574
driwer,4.650658241293739
druf,4.650658241293739
drum,4.650658241293739
drüf,4.245193133185574
drüs,4.245193133185574
dunte,4.650658241293739
dur,4.650658241293739
dure,4.650658241293739
dà,3.9575110607337933
dàr,4.650658241293739
dàre,4.650658241293739
décidément,4.650658241293739
dü,2.778856064392147
eb,4.245193133185574
ebb,3.9575110607337933
ebbas,4.650658241293739
ebbe,4.245193133185574
ebber,4.650658241293739
ebbes,3.3978952727983707
ecke,4.650658241293739
eg,4.650658241293739
eh,4.650658241293739
ehen,3.9575110607337933
ehr,4.650658241293739
eigentlig,4.245193133185574
eigesinniger,4.650658241293739
eim,3.9575110607337933
eins,4.650658241293739
elsass,4.245193133185574
em,3.5520459526256287
eme,4.245193133185574
emküffer,4.650658241293739
emol,3.9575110607337933
en,3.9575110607337933
enfin,4.245193133185574
entschliesse,4.650658241293739
entschluss,4.650658241293739
entweder,4.650658241293739
er,2.01160091167848
erfahreni,4.650658241293739
ernsthaft,4.650658241293739
erst,4.650658241293739
es,3.7343675094195836
eso,3.5520459526256287
espèce,4.650658241293739
est,4.650658241293739
etc,3.9575110607337933
ewe,4.245193133185574
eweg,4.650658241293739
express,4.650658241293739
eüch,3.3978952727983707
eüer,4.650658241293739
facteur,4.650658241293739
fahre,4.650658241293739
fal,4.245193133185574
famos,4.650658241293739
fange,4.650658241293739
fasst,4.650658241293739
ferig,4.650658241293739
fescht,4.650658241293739
fiehrt,4.650658241293739
find,4.650658241293739
finfezwanzig,4.650658241293739
fir,2.1657515915057384
fire,4.245193133185574
franke,3.7343675094195836
franz,1.97650959186721
frog,4.650658241293739
frogt,4.650658241293739
froh,4.245193133185574
fräide,3.9575110607337933
funde,3.7343675094195836
furt,4.650658241293739
fàhr,4.650658241293739
fæhler,4.650658241293739
füst,4.650658241293739
gald,3.5520459526256287
gang,4.245193133185574
gange,4.650658241293739
ganz,3.5520459526256287
ganze,4.650658241293739
ganzi,4.650658241293739
gar,3.9575110607337933
geh,3.7343675094195836
geht,2.9459101490553135
geje,4.245193133185574
gemachti,4.650658241293739
genüe,4.650658241293739
gern,3.9575110607337933
gfunde,4.245193133185574
gheimnis,4.650658241293739
gib,4.650658241293739
gisch,4.650658241293739
git,4.650658241293739
glegeheit,4.650658241293739
gli,4.650658241293739
glich,4.650658241293739
gliche,4.650658241293739
glöüwe,3.264363880173848
glückliche,4.245193133185574
glüeck,3.5520459526256287
gradi,3.3978952727983707
gradii,4.650658241293739
gross,4.650658241293739
grossartige,4.245193133185574
gsi,3.5520459526256287
gsie,4.650658241293739
guten,3.5520459526256287
gàb,4.650658241293739
ha,2.5712166996139025
halt,4.650658241293739
halte,3.9575110607337933
haltsch,4.650658241293739
hand,3.3978952727983707
hasch,3.3978952727983707
hat,2.6357552207514736
haüptsach,4.650658241293739
heb,4.650658241293739
hebt,4.245193133185574
heilt,3.9575110607337933
heime,4.650658241293739
hein,4.650658241293739
heisst,4.650658241293739
heitere,4.650658241293739
her,4.245193133185574
herr,4.650658241293739
hi,4.650658241293739
hingeje,4.650658241293739
hinte,3.9575110607337933
hintergrund,4.650658241293739
hinterlo,4.650658241293739
hiroth,3.3978952727983707
hirothe,2.8588987720656833
hit,4.245193133185574
holzschüeh,4.650658241293739
hoor,4.245193133185574
huchzytt,4.650658241293739
hulfe,4.650658241293739
huus,4.650658241293739
hài,3.7343675094195836
hàn,3.9575110607337933
hànke,4.650658241293739
hàtschu,4.650658241293739
härze,4.245193133185574
hätt,4.245193133185574
hätte,4.650658241293739
hör,4.650658241293739
höre,4.650658241293739
hört,4.650658241293739
hüt,4.650658241293739
ich,1.7328875092094593
ig,4.650658241293739
ihm,3.5520459526256287
ihn,4.245193133185574
ihr,3.5520459526256287
ihre,4.650658241293739
ikumme,4.650658241293739
im,2.778856064392147
immer,4.245193133185574
in,2.6357552207514736
ine,3.3978952727983707
ins,4.650658241293739
interessanter,4.650658241293739
intresse,4.650658241293739
ipacke,4.650658241293739
isch,1.6549259677397474
iwer,4.650658241293739
iwerlege,4.245193133185574
iwickle,3.9575110607337933
iz,4.650658241293739
jalouse,4.650658241293739
je,4.650658241293739
jedefall,4.650658241293739
jeher,4.650658241293739
jetz,1.97650959186721
jo,2.9459101490553135
johr,4.245193133185574
jà,4.650658241293739
ka,3.3978952727983707
kaste,4.650658241293739
kastefüess,4.650658241293739
katele,4.650658241293739
kei,3.5520459526256287
keine,4.245193133185574
kenn,4.650658241293739
kerr,4.650658241293739
kinder,4.245193133185574
kleide,4.650658241293739
klopft,4.650658241293739
kontrakt,4.650658241293739
kopf,3.9575110607337933
kuffer,3.9575110607337933
kumme,3.5520459526256287
kummemme,4.650658241293739
kummemmee,4.650658241293739
kummennt,3.7343675094195836
kummission,4.650658241293739
kummissione,4.650658241293739
kunnsch,4.650658241293739
kunnt,3.1465808445174646
kàm,4.245193133185574
kàtele,1.8174448972375226
känne,4.245193133185574
kännt,4.245193133185574
küffer,4.245193133185574
laachter,4.650658241293739
langer,4.245193133185574
laüfe,4.650658241293739
laüft,4.650658241293739
lege,4.245193133185574
legeheit,4.650658241293739
legt,3.7343675094195836
lehnung,3.9575110607337933
leichte,4.650658241293739
leider,4.650658241293739
liawe,4.245193133185574
liest,4.650658241293739
linge,4.650658241293739
links,4.245193133185574
lipft,4.650658241293739
lit,4.245193133185574
lo,3.9575110607337933
loffe,4.650658241293739
los,3.5520459526256287
lose,4.650658241293739
làng,3.9575110607337933
läuten,4.650658241293739
lüege,3.9575110607337933
mach,3.264363880173848
mache,3.3978952727983707
machsch,4.245193133185574
macht,3.9575110607337933
mag,4.650658241293739
mage,4.650658241293739
me,3.1465808445174646
meh,3.9575110607337933
mehr,4.650658241293739
meinen,4.650658241293739
meinenen,4.650658241293739
meinenent,4.650658241293739
meinsch,4.245193133185574
merci,4.245193133185574
merk,4.650658241293739
mi,2.6357552207514736
mich,2.9459101490553135
miesse,4.245193133185574
milhüserditsch,4.245193133185574
mim,3.5520459526256287
minre,4.650658241293739
mir,2.3993664426872434
mit,2.5712166996139025
mitnàh,4.650658241293739
monet,4.650658241293739
moustaches,4.650658241293739
mr,3.5520459526256287
mucke,4.650658241293739
musiken,4.650658241293739
mænner,4.650658241293739
möcht,4.650658241293739
möglig,4.650658241293739
müesch,4.245193133185574
müess,3.3978952727983707
müeth,3.7343675094195836
nach,4.650658241293739
name,4.650658241293739
nander,3.3978952727983707
ne,3.0412203288596382
nei,3.9575110607337933
nie,4.245193133185574
nieme,4.650658241293739
niene,4.650658241293739
niesst,4.245193133185574
nimmig,4.245193133185574
nimmt,3.9575110607337933
nit,2.8588987720656833
nitt,2.124929596985483
no,3.7343675094195836
noch,3.3978952727983707
nochher,4.245193133185574
nodenke,4.650658241293739
nur,3.264363880173848
nàh,4.650658241293739
nàwe,4.650658241293739
nüe,4.650658241293739
obscho,3.9575110607337933
oder,3.7343675094195836
ohne,4.650658241293739
ohr,4.650658241293739
ohre,4.650658241293739
oncle,4.245193133185574
ordnung,4.650658241293739
originelle,4.650658241293739
ort,4.245193133185574
packe,4.650658241293739
pape,4.650658241293739
papier,3.9575110607337933
paricke,4.650658241293739
position,4.650658241293739
possiger,4.650658241293739
pàckle,4.245193133185574
rar,4.650658241293739
re,4.650658241293739
rechte,4.245193133185574
rechts,3.7343675094195836
rede,3.9575110607337933
redt,3.9575110607337933
refüsier,4.650658241293739
refüsiere,3.9575110607337933
regt,4.650658241293739
renoncier,4.650658241293739
rette,4.650658241293739
rettet,4.245193133185574
rich,4.650658241293739
ringe,4.650658241293739
ruck,4.650658241293739
ruckhalte,4.650658241293739
ruckkunnt,4.650658241293739
sach,4.245193133185574
sacrificiert,4.650658241293739
sag,4.650658241293739
sage,3.264363880173848
sang,3.5520459526256287
schade,4.650658241293739
schaffe,4.650658241293739
schang,2.5712166996139025
schaü,4.650658241293739
scheert,4.650658241293739
scheine,3.9575110607337933
schint,4.650658241293739
schlechten,4.650658241293739
schlisselloch,4.650658241293739
schlupfe,4.650658241293739
schnier,4.650658241293739
scho,2.7047480922384253
schosse,4.650658241293739
schritt,4.650658241293739
schulde,4.245193133185574
schwarzer,4.245193133185574
schwester,4.245193133185574
schàft,4.650658241293739
schàfte,4.650658241293739
schàftigt,4.650658241293739
schàh,4.650658241293739
schön,4.245193133185574
se,2.9459101490553135
secretaire,4.650658241293739
selte,4.650658241293739
setz,4.650658241293739
setzt,4.650658241293739
si,2.9459101490553135
sich,2.5712166996139025
sicht,4.650658241293739
sie,4.650658241293739
sieh,4.245193133185574
siehsch,4.245193133185574
sieht,3.9575110607337933
sim,3.9575110607337933
sin,3.5520459526256287
sine,4.245193133185574
sinne,4.650658241293739
sinre,4.650658241293739
sisch,4.650658241293739
site,4.650658241293739
siter,3.9575110607337933
so,2.6357552207514736
sobol,4.650658241293739
socke,4.650658241293739
soll,4.245193133185574
sollsch,4.650658241293739
son,4.650658241293739
sorga,4.650658241293739
sott,4.245193133185574
souvenir,4.650658241293739
spinn,4.650658241293739
springe,4.650658241293739
springt,4.650658241293739
stande,4.245193133185574
statüette,4.650658241293739
steh,4.245193133185574
stehn,4.650658241293739
steht,3.9575110607337933
stell,4.650658241293739
stellt,4.650658241293739
stelt,4.650658241293739
stilli,4.245193133185574
storwe,4.245193133185574
straü,4.245193133185574
strit,4.650658241293739
stàmpfel,4.650658241293739
suche,3.9575110607337933
summe,4.245193133185574
sunderbare,4.650658241293739
sunders,4.650658241293739
sundheit,4.650658241293739
sunn,4.650658241293739
sunna,4.650658241293739
sunscht,4.650658241293739
sàh,4.650658241293739
sàit,3.264363880173848
sàllemol,4.650658241293739
süechsch,4.650658241293739
tante,4.650658241293739
testament,3.7343675094195836
thien,4.650658241293739
thàt,3.5520459526256287
thàtsch,4.245193133185574
thäte,4.650658241293739
thüe,3.9575110607337933
thüet,4.245193133185574
thüre,4.245193133185574
tiens,3.3978952727983707
tippel,4.650658241293739
tisch,3.9575110607337933
trumpier,4.245193133185574
tàg,4.245193133185574
tàglig,4.650658241293739
tàifete,4.650658241293739
tàï,4.650658241293739
tänzer,4.650658241293739
ufg,4.650658241293739
ufirichte,4.650658241293739
ufs,4.650658241293739
um,4.650658241293739
umme,4.650658241293739
un,1.7602864833975738
und,4.650658241293739
ung,4.650658241293739
ungern,4.650658241293739
ungleck,4.650658241293739
uns,3.9575110607337933
unsere,4.650658241293739
unsrer,4.650658241293739
use,4.650658241293739
vadder,3.1465808445174646
velicht,4.650658241293739
verkaüft,4.650658241293739
verkratze,4.650658241293739
verlangt,4.650658241293739
verlo,4.650658241293739
verloren,4.245193133185574
vermöge,4.650658241293739
versorgt,4.650658241293739
versprechen,4.245193133185574
versteh,4.650658241293739
verstehsch,4.650658241293739
vertrage,4.650658241293739
verzeihj,4.650658241293739
verzichten,4.650658241293739
verzählt,4.650658241293739
viel,4.650658241293739
vierzeh,4.245193133185574
vo,3.264363880173848
vom,4.650658241293739
vor,3.264363880173848
vorgange,4.650658241293739
wachsen,4.650658241293739
walther,2.0857088838322015
wand,4.650658241293739
wandert,4.650658241293739
wart,4.245193133185574
warum,4.650658241293739
was,2.5712166996139025
watte,4.650658241293739
we,4.650658241293739
weg,3.7343675094195836
wege,4.650658241293739
weisch,3.7343675094195836
weiss,3.3978952727983707
weisst,3.3978952727983707
welle,3.9575110607337933
wenigst,4.650658241293739
wenn,2.510592077797468
wer,4.245193133185574
werde,4.245193133185574
werth,4.650658241293739
wickelt,4.245193133185574
wickle,4.650658241293739
wie,3.264363880173848
wieder,2.9459101490553135
wil,4.245193133185574
will,2.453433663957519
winne,4.650658241293739
wird,2.9459101490553135
wirsch,4.650658241293739
wiss,3.5520459526256287
wisse,4.650658241293739
wisst,4.650658241293739
witt,3.7343675094195836
wittfraü,4.650658241293739
wo,2.8588987720656833
wohler,4.245193133185574
wohlerer,3.9575110607337933
wohrer,3.9575110607337933
wohrschinlig,4.245193133185574
woorte,4.245193133185574
worum,3.5520459526256287
wott,4.650658241293739
wunde,3.9575110607337933
wunne,4.650658241293739
wàdele,4.245193133185574
wàr,3.264363880173848
wöhnlige,4.650658241293739
wöhnt,4.650658241293739
zahlt,3.9575110607337933
zahnweh,4.650658241293739
zeh,4.650658241293739
zehl,4.650658241293739
zehnte,4.650658241293739
zeig,4.245193133185574
zeigt,4.650658241293739
zieh,4.650658241293739
zieht,4.650658241293739
zimmer,4.650658241293739
zitt,4.650658241293739
zuefälli,4.650658241293739
zwanzigtaüsend,3.7343675094195836
zwei,3.9575110607337933
zwinge,4.650658241293739
züegeht,4.650658241293739
züem,3.264363880173848
ça,4.650658241293739
üf,2.8588987720656833
üfe,4.650658241293739
üs,4.650658241293739
üse,3.7343675094195836
üsg,3.7343675094195836
üsgeh,4.650658241293739
üsgà,4.650658241293739
üsnander,4.650658241293739
üsrupfe,4.650658241293739
