words,idf
10,5.820281565605037
11,6.5134287461649825
14,6.5134287461649825
20,6.107963638056818
24,6.5134287461649825
25,6.5134287461649825
43,6.5134287461649825
50,6.5134287461649825
65,6.5134287461649825
680,6.5134287461649825
80,6.5134287461649825
82,6.5134287461649825
85,6.5134287461649825
aa,6.5134287461649825
aagezöje,6.5134287461649825
aahole,6.107963638056818
aaraschble,6.5134287461649825
aaschwarte,6.5134287461649825
aase,6.5134287461649825
aazehole,6.5134287461649825
ab,3.4689063084415594
abartigs,6.5134287461649825
abbekumme,6.5134287461649825
abgebroche,6.5134287461649825
abgehn,6.5134287461649825
abgholt,6.5134287461649825
abglanz,6.5134287461649825
abgrund,6.5134287461649825
abhole,6.107963638056818
abzeje,6.5134287461649825
ach,6.107963638056818
achdung,5.597138014290827
achsel,5.820281565605037
achsle,6.5134287461649825
acht,5.820281565605037
achte,6.5134287461649825
acker,6.5134287461649825
ackerland,6.5134287461649825
adie,6.107963638056818
adjeh,5.4148164574968725
aehx,6.5134287461649825
aei,5.127134385045092
aeichhöernel,6.5134287461649825
aeier,5.820281565605037
aein,6.107963638056818
aeinsagnung,6.5134287461649825
aelterer,5.009351349388708
aeltscht,6.5134287461649825
aen,6.5134287461649825
aepfel,6.5134287461649825
aerm,5.127134385045092
aeue,6.5134287461649825
aeui,6.5134287461649825
aeuj,6.5134287461649825
aeuje,6.5134287461649825
aeujesblick,6.5134287461649825
ah,5.127134385045092
ahnzüzäigen,6.5134287461649825
ainzich,6.5134287461649825
aje,6.5134287461649825
ajene,6.5134287461649825
ajetli,6.107963638056818
alde,6.5134287461649825
alfred,6.5134287461649825
alle,5.4148164574968725
allegro,6.5134287461649825
alleh,6.107963638056818
allei,5.820281565605037
allem,6.107963638056818
aller,6.5134287461649825
alles,3.4223862928066664
allewaj,6.5134287461649825
allewil,5.4148164574968725
allewäj,6.5134287461649825
allez,5.127134385045092
alli,3.8392800967384533
als,3.4930038600206195
alsfurt,6.5134287461649825
also,6.107963638056818
alt,5.127134385045092
altar,6.5134287461649825
altem,6.5134287461649825
alter,4.808680653926557
alti,6.107963638056818
am,3.543014280595281
ambetiere,6.5134287461649825
amüsiere,6.5134287461649825
an,2.7406678080703437
anbedunge,6.5134287461649825
and,5.820281565605037
ander,6.107963638056818
andere,4.210843653170937
anderer,6.107963638056818
anderi,5.260665777669614
andersch,5.127134385045092
anderthalb,6.5134287461649825
anderthalwe,6.5134287461649825
andhuen,6.107963638056818
andhüehn,6.5134287461649825
andhüen,5.820281565605037
andlig,6.5134287461649825
andlosi,6.5134287461649825
andre,6.5134287461649825
andri,6.5134287461649825
andrs,6.107963638056818
andrsch,6.5134287461649825
ane,4.808680653926557
anegstellt,6.5134287461649825
anenand,6.5134287461649825
anere,6.5134287461649825
anfang,6.107963638056818
ange,5.820281565605037
angelacht,6.5134287461649825
angele,6.5134287461649825
angelüejt,6.5134287461649825
angezöje,6.5134287461649825
anglees,6.5134287461649825
angsahn,6.5134287461649825
angspanne,6.5134287461649825
angst,5.820281565605037
ani,6.5134287461649825
anklau,6.5134287461649825
ankommt,6.107963638056818
anlächelt,6.5134287461649825
anlüeje,6.107963638056818
anlüejt,6.107963638056818
anmol,6.107963638056818
anmole,6.5134287461649825
anne,6.5134287461649825
annehebbt,6.5134287461649825
annekumme,6.5134287461649825
anneschriewe,6.5134287461649825
ans,5.260665777669614
anschläuje,6.5134287461649825
anspanne,6.5134287461649825
anstandigi,6.5134287461649825
ant,6.5134287461649825
antwort,6.5134287461649825
antworte,6.5134287461649825
anwase,6.5134287461649825
anzeredde,6.5134287461649825
anzicher,6.5134287461649825
anzichs,6.5134287461649825
ar,3.2362840131728055
arbeite,6.5134287461649825
arich,6.5134287461649825
arig,4.903990833730882
arm,4.808680653926557
arme,6.5134287461649825
armi,6.5134287461649825
arms,6.107963638056818
arnscht,5.820281565605037
art,6.107963638056818
as,4.567518597109669
ase,4.721669276936927
ass,2.8627705048712437
asse,5.820281565605037
au,3.8743714165497236
aue,4.373362582668712
auesblick,6.107963638056818
auf,6.5134287461649825
awer,3.399913436954608
baache,6.5134287461649825
baandäschle,6.5134287461649825
babbelt,6.5134287461649825
babble,6.5134287461649825
bach,6.107963638056818
bache,6.5134287461649825
bahle,6.107963638056818
bal,5.4148164574968725
ball,5.597138014290827
bambelt,6.5134287461649825
banc,6.5134287461649825
bandele,5.820281565605037
bangeleschlacker,3.987700101856727
bangeleschlutzer,6.5134287461649825
barablie,6.5134287461649825
bardie,6.5134287461649825
bareblie,5.820281565605037
barrebuere,6.5134287461649825
barribüre,6.107963638056818
barrischuehmachers,6.5134287461649825
bas,6.5134287461649825
basche,2.8245492920510458
bass,5.597138014290827
basse,5.820281565605037
bassgej,5.009351349388708
bassiert,6.5134287461649825
batte,6.5134287461649825
battelmann,6.5134287461649825
be,5.820281565605037
bedank,6.107963638056818
bedankt,6.5134287461649825
bedankter,6.5134287461649825
bedrachte,5.597138014290827
bedüechter,6.5134287461649825
bedüre,6.107963638056818
begläitung,6.5134287461649825
begrawe,6.5134287461649825
begryffe,6.5134287461649825
begrüesse,6.5134287461649825
begrüssung,6.5134287461649825
beherrsche,6.5134287461649825
beide,6.5134287461649825
beiden,6.5134287461649825
beidi,5.597138014290827
bekannte,6.5134287461649825
beklaue,6.5134287461649825
bekomm,5.597138014290827
bekommsch,6.107963638056818
bekummt,6.5134287461649825
belt,6.5134287461649825
belz,6.107963638056818
bemüehjt,6.5134287461649825
berri,6.5134287461649825
beröjsch,6.5134287461649825
bes,6.5134287461649825
beschte,5.820281565605037
beschter,6.5134287461649825
besser,5.127134385045092
bett,5.4148164574968725
bewejt,6.107963638056818
bewejung,6.107963638056818
bezahl,6.5134287461649825
bezitte,6.5134287461649825
bezohle,6.5134287461649825
bhalt,6.5134287461649825
bie,4.071081710795777
biem,4.903990833730882
bier,6.5134287461649825
biere,6.5134287461649825
biet,6.5134287461649825
bild,5.260665777669614
bin,3.772588722239781
bind,6.5134287461649825
binge,6.5134287461649825
bis,4.433987204485146
bisch,3.9484793887034453
biskwitt,5.597138014290827
bissel,4.567518597109669
bissele,6.5134287461649825
bissi,5.820281565605037
bisst,6.5134287461649825
bitt,6.107963638056818
bittrer,6.107963638056818
biwel,6.107963638056818
blabberroos,6.5134287461649825
blaisir,6.5134287461649825
blatt,6.5134287461649825
blatz,6.107963638056818
bleiche,5.260665777669614
bless,6.5134287461649825
blick,5.820281565605037
blie,5.597138014290827
bliehjt,6.107963638056818
bliet,4.808680653926557
bliewe,4.903990833730882
blisch,6.5134287461649825
blitzschnalle,6.5134287461649825
blitzt,6.107963638056818
bloose,5.820281565605037
bloost,6.5134287461649825
blosst,6.107963638056818
blost,6.5134287461649825
blotz,6.5134287461649825
blotze,6.5134287461649825
blotzständel,6.5134287461649825
blotzt,6.107963638056818
bluemestriss,6.5134287461649825
bluet,4.641626569263391
bluetwüerscht,5.820281565605037
bläiben,6.5134287461649825
blöje,6.5134287461649825
blöjer,6.5134287461649825
blöjrooti,6.5134287461649825
blüehje,6.5134287461649825
