words,idf
10,7.6005505400414926
14,7.6005505400414926
15,7.6005505400414926
17,7.6005505400414926
18,7.6005505400414926
20,7.6005505400414926
26,7.6005505400414926
ab,4.580125653897129
abah,7.6005505400414926
abbedit,7.6005505400414926
abbé,7.6005505400414926
abendröte,7.6005505400414926
aber,6.096473143265218
abert,7.6005505400414926
abgehen,6.907403359481547
abgelegt,7.6005505400414926
abgholt,7.6005505400414926
abhole,7.6005505400414926
abkratzt,7.6005505400414926
ablenkend,7.195085431933328
abrechnung,7.6005505400414926
abschied,7.195085431933328
absehn,7.6005505400414926
abseits,7.6005505400414926
absolument,7.6005505400414926
abwarta,7.6005505400414926
accord,7.195085431933328
ach,6.6842598081673374
achdung,5.728748363139901
achseln,7.6005505400414926
achsle,7.6005505400414926
acht,6.907403359481547
achte,7.6005505400414926
achten,7.6005505400414926
achtzig,7.6005505400414926
adie,6.907403359481547
adieu,5.808791070813437
adje,7.6005505400414926
aelterer,5.4033259627052725
aff,7.6005505400414926
affekt,6.907403359481547
affin,6.214256178921602
affär,7.6005505400414926
affın,6.907403359481547
aflin,7.6005505400414926
ah,5.654640390986179
aha,7.6005505400414926
ahja,7.6005505400414926
ahnung,7.6005505400414926
ai,7.195085431933328
aiedum,7.6005505400414926
aije,7.6005505400414926
aim,6.907403359481547
ajene,7.6005505400414926
albert,3.1289117466779235
all,6.907403359481547
alle,6.3477875715461245
alledaa,7.6005505400414926
allegelde,7.6005505400414926
allegelte,7.6005505400414926
alleh,6.3477875715461245
allei,5.202655267243122
allem,7.6005505400414926
allen,7.6005505400414926
aller,6.907403359481547
alles,4.031017843560122
allewil,5.297965447047447
allewyl,6.5019382513733825
alli,6.096473143265218
allmächtigen,7.6005505400414926
allmächtiger,6.6842598081673374
allmählich,6.907403359481547
allmählig,7.6005505400414926
allons,6.907403359481547
als,4.233254710055018
also,5.202655267243122
alt,5.895802447803067
alter,6.214256178921602
alti,6.907403359481547
am,4.465056324112343
amesirt,7.195085431933328
amt,7.195085431933328
amusement,7.6005505400414926
amüsiere,6.6842598081673374
amüsiert,7.6005505400414926
an,3.6023498383722936
anbelangt,7.195085431933328
andachtsbuch,7.6005505400414926
ander,5.808791070813437
andere,6.6842598081673374
anderlei,7.6005505400414926
andern,5.115643890253492
andersch,5.2491752828780145
anderthalwe,7.195085431933328
andhuen,7.6005505400414926
andhuet,7.6005505400414926
andlig,6.3477875715461245
andre,6.907403359481547
andreesenacht,7.195085431933328
andrer,7.195085431933328
andri,6.096473143265218
andrs,6.5019382513733825
anfang,7.6005505400414926
anfanges,7.6005505400414926
angebhalte,7.6005505400414926
angedohn,7.6005505400414926
angehn,7.6005505400414926
angeht,7.195085431933328
angelait,7.6005505400414926
angele,7.6005505400414926
angenn,7.195085431933328
angewendt,7.6005505400414926
angezunde,7.6005505400414926
angschter,7.195085431933328
angst,6.214256178921602
anhesch,7.6005505400414926
anluej,7.6005505400414926
anlueje,7.195085431933328
annahme,6.907403359481547
anne,5.074821895733237
annegelait,7.6005505400414926
annegelajt,7.6005505400414926
annegstellt,7.6005505400414926
annekumme,7.195085431933328
annüyirsch,7.6005505400414926
anrooth,7.6005505400414926
anrührt,7.6005505400414926
ans,6.214256178921602
ansehn,7.6005505400414926
ansmol,7.195085431933328
ansproch,7.6005505400414926
anstoßend,7.6005505400414926
anständig,7.195085431933328
anständiger,7.195085431933328
antoine,7.6005505400414926
antreff,7.6005505400414926
antreffe,7.6005505400414926
antwort,6.3477875715461245
antworte,7.6005505400414926
anzenemme,7.6005505400414926
anzeschaffe,7.6005505400414926
anzieht,7.6005505400414926
appel,7.6005505400414926
apropos,7.6005505400414926
ari,7.195085431933328
arig,5.158203504672288
arm,5.521108998361656
arme,7.6005505400414926
armi,7.195085431933328
arms,6.907403359481547
armselige,7.6005505400414926
arnscht,5.991112627607392
arrig,7.195085431933328
arriwiere,7.6005505400414926
arriwiert,7.6005505400414926
arriwirt,7.6005505400414926
art,6.907403359481547
artig,7.195085431933328
artlicher,7.6005505400414926
arweiter,7.6005505400414926
ase,7.6005505400414926
assure,7.6005505400414926
athem,7.6005505400414926
au,3.199947519794675
auapfel,7.6005505400414926
auch,7.6005505400414926
aue,5.895802447803067
auesblick,5.654640390986179
auf,4.630136074471791
aufbietung,7.6005505400414926
auferwacht,7.6005505400414926
aufgefahren,7.6005505400414926
aufgeregter,7.6005505400414926
aufgestanden,7.6005505400414926
aufjubelnd,7.6005505400414926
aufschreiend,7.195085431933328
augen,6.096473143265218
augenblick,6.6842598081673374
augenblicke,7.6005505400414926
aus,6.3477875715461245
ausdruck,7.6005505400414926
aussehen,7.195085431933328
awer,3.0519507055417954
awerglauwisch,7.6005505400414926
ayene,6.6842598081673374
ayener,7.6005505400414926
baar,7.6005505400414926
babbel,7.195085431933328
babbelsch,7.6005505400414926
babbelt,6.907403359481547
babberlababb,7.6005505400414926
babbl,7.6005505400414926
babble,6.6842598081673374
backe,7.195085431933328
backen,6.907403359481547
bad,7.195085431933328
ball,5.654640390986179
bank,7.6005505400414926
bansion,7.6005505400414926
bardessü,6.907403359481547
bardie,7.6005505400414926
bardon,7.195085431933328
baron,7.6005505400414926
basse,7.6005505400414926
bassiere,6.907403359481547
bassiert,6.907403359481547
bassire,7.6005505400414926
bassirt,7.195085431933328
baßgeije,7.6005505400414926
baßt,6.907403359481547
be,7.6005505400414926
bedenk,6.3477875715461245
bedenke,7.195085431933328
bedenksch,7.6005505400414926
bedidde,7.195085431933328
bedittung,7.6005505400414926
bedrachte,6.3477875715461245
bedüre,6.907403359481547
befehlend,7.6005505400414926
beffze,7.6005505400414926
begange,7.6005505400414926
begehen,7.6005505400414926
begehn,7.6005505400414926
beginnen,7.6005505400414926
begleiten,7.6005505400414926
begleitet,7.6005505400414926
begrawe,7.6005505400414926
begryffe,6.5019382513733825
beherrschend,7.6005505400414926
behäbige,7.6005505400414926
beide,5.991112627607392
beiden,6.6842598081673374
beides,7.6005505400414926
beijspiel,7.6005505400414926
bein,6.907403359481547
beinernes,7.6005505400414926
beisammen,5.991112627607392
beispiel,7.6005505400414926
beißt,7.6005505400414926
bekannte,7.6005505400414926
bekanntlich,7.6005505400414926
bekanntschaft,7.195085431933328
bekomm,6.096473143265218
bekummt,6.6842598081673374
bekämpft,7.6005505400414926
beläidig,7.6005505400414926
bemeisternd,7.6005505400414926
bemeistert,7.6005505400414926
bemerkt,7.6005505400414926
ben,7.6005505400414926
benefice,7.6005505400414926
bereije,7.6005505400414926
bermission,7.195085431933328
beruef,7.6005505400414926
beruehmt,7.6005505400414926
berühmte,7.6005505400414926
besch,7.6005505400414926
bescht,6.3477875715461245
beschta,6.907403359481547
beschte,6.907403359481547
besser,5.349258741434997
bessere,7.6005505400414926
bessers,6.907403359481547
bestellung,7.6005505400414926
betreten,7.195085431933328
betroffen,7.195085431933328
betröuje,7.6005505400414926
bett,5.808791070813437
bette,6.3477875715461245
bettglock,7.6005505400414926
bettlad,7.6005505400414926
bettlere,7.6005505400414926
bewahre,7.6005505400414926
bewegt,7.195085431933328
bezahlt,7.6005505400414926
bezw,6.3477875715461245
bhaltee,7.6005505400414926
bhalts,7.6005505400414926
bhäupte,7.6005505400414926
bhüt,6.907403359481547
bi,4.961493210426234
bie,7.6005505400414926
bien,6.5019382513733825
bier,7.6005505400414926
bierhüs,7.195085431933328
bild,7.195085431933328
bilde,7.195085431933328
bildhübsche,7.6005505400414926
bildsch,7.6005505400414926
bildung,7.195085431933328
billet,7.6005505400414926
billets,7.195085431933328
billig,7.6005505400414926
bim,6.5019382513733825
bin,3.976209607065127
binde,7.6005505400414926
bis,4.827961817801711
bisch,4.710178782145327
bischof,6.5019382513733825
biskuitart,7.6005505400414926
