words,idf
12,6.409411414053624
31,6.003946305945459
ab,4.329969872373788
abbe,6.409411414053624
abbé,3.770354084438365
abend,5.310799125385514
abenteurerlust,6.409411414053624
aber,4.106826321059578
abgetragener,6.409411414053624
abgewichen,6.409411414053624
abgezehrten,6.409411414053624
abgrund,6.409411414053624
ablehnenden,6.409411414053624
abmeldung,6.409411414053624
abnemme,6.409411414053624
abreise,6.409411414053624
abreisen,6.409411414053624
abschied,6.409411414053624
abschlaaue,6.409411414053624
abtrünnig,6.409411414053624
abwehrend,6.003946305945459
abwehrende,6.409411414053624
accent,6.409411414053624
achte,6.409411414053624
adie,6.409411414053624
adieu,5.156648445558256
adresse,6.409411414053624
aelterer,5.310799125385514
affekt,6.409411414053624
ah,5.156648445558256
aha,6.409411414053624
aim,6.003946305945459
air,6.409411414053624
aires,5.716264233493678
all,6.409411414053624
alle,5.310799125385514
alleh,6.409411414053624
allei,4.905334017277349
allen,6.003946305945459
allenthalben,6.409411414053624
aller,6.003946305945459
alles,4.394508393511359
allewil,5.716264233493678
allewäy,6.409411414053624
alli,5.310799125385514
allmächtiger,6.003946305945459
allmählich,6.409411414053624
allzuviel,6.409411414053624
als,4.329969872373788
also,5.156648445558256
alt,6.409411414053624
alter,6.003946305945459
alti,5.716264233493678
alts,6.409411414053624
am,4.329969872373788
amen,6.409411414053624
amerika,6.003946305945459
amüsiere,6.409411414053624
an,3.464972434887183
anbetrifft,6.409411414053624
anbetung,6.409411414053624
andere,6.003946305945459
anderer,6.409411414053624
andern,6.003946305945459
andersch,5.493120682179469
andri,6.409411414053624
andrs,6.003946305945459
angehören,6.409411414053624
angehörigen,5.716264233493678
angele,4.617651944825568
angetrunken,6.409411414053624
angst,6.003946305945459
anlegte,6.409411414053624
annahme,6.409411414053624
anne,4.799973501619523
annebadätscherle,6.409411414053624
anniversaire,6.003946305945459
ans,6.409411414053624
anschaut,6.409411414053624
anscheinend,6.409411414053624
anstelle,6.409411414053624
antwort,6.409411414053624
antworten,6.409411414053624
anzenemme,6.409411414053624
anzugehören,6.409411414053624
arbeite,5.716264233493678
ari,6.003946305945459
arig,4.46350126499831
arm,5.156648445558256
arme,5.716264233493678
armi,6.409411414053624
arms,6.003946305945459
armüet,6.409411414053624
arri,6.409411414053624
arrig,6.409411414053624
arriwiere,6.409411414053624
atmosphäre,6.409411414053624
au,3.844462056592087
auah,6.409411414053624
auch,4.329969872373788
aue,6.409411414053624
auesblick,6.003946305945459
auf,3.4916406819693444
aufgehoben,6.409411414053624
aufgenommen,6.409411414053624
aufs,6.409411414053624
aufschluchzt,6.409411414053624
aufschrei,6.003946305945459
aufwachsen,6.409411414053624
auge,6.409411414053624
augen,5.716264233493678
augenbli,6.409411414053624
augenblick,5.493120682179469
aus,4.7046633218151985
ausgelassenheit,6.409411414053624
aushalten,6.409411414053624
aushändigen,6.409411414053624
ausländischem,6.409411414053624
auswischend,6.409411414053624
ausübe,6.409411414053624
awer,3.464972434887183
awwer,6.409411414053624
aye,6.409411414053624
babble,6.409411414053624
bahnverbindung,6.409411414053624
bajolewski,3.4136791404996325
bald,5.156648445558256
ball,5.716264233493678
bande,6.409411414053624
bang,6.409411414053624
bankhaus,6.409411414053624
bankhause,6.409411414053624
barmherzige,6.409411414053624
barmhärzigkeit,6.409411414053624
batteriedeckel,6.409411414053624
baßt,6.409411414053624
bedeckt,6.409411414053624
bedenken,6.003946305945459
bedeutende,6.409411414053624
bedidde,6.409411414053624
befürchten,6.409411414053624
begehrt,6.409411414053624
beginn,6.409411414053624
beginnt,5.716264233493678
begründete,6.409411414053624
behalten,5.716264233493678
beharren,6.409411414053624
behülflich,6.409411414053624
bei,4.799973501619523
beichten,6.409411414053624
beichtvater,6.409411414053624
beide,5.716264233493678
beisammen,6.409411414053624
bejahen,6.409411414053624
bejahend,6.409411414053624
bekomm,5.716264233493678
bekomms,6.409411414053624
bekommt,6.409411414053624
bekummsch,6.003946305945459
belajt,6.409411414053624
belohnt,6.409411414053624
belügen,6.409411414053624
bem,6.409411414053624
bemerkt,6.409411414053624
ben,6.003946305945459
benachrichtigen,6.409411414053624
bequemer,6.409411414053624
berbindung,6.409411414053624
berechtigt,6.409411414053624
berge,6.409411414053624
berthe,2.7331107421465473
berthel,6.003946305945459
beruf,6.409411414053624
beschaffung,6.409411414053624
bescheid,6.409411414053624
bescht,6.409411414053624
beschte,6.003946305945459
beschuldigte,6.409411414053624
beschäftigt,6.003946305945459
besser,4.7046633218151985
bessers,6.409411414053624
beste,6.003946305945459
bestimmt,6.409411414053624
beständiger,6.409411414053624
betet,6.409411414053624
betrunken,6.409411414053624
beträchtlich,6.409411414053624
bett,5.716264233493678
bette,6.409411414053624
bettel,6.409411414053624
bettelarm,6.409411414053624
bewahre,6.409411414053624
bewegung,6.409411414053624
bewußtlos,6.409411414053624
bezahle,6.409411414053624
bezahlt,6.409411414053624
bezahlung,6.409411414053624
bhalt,6.409411414053624
bhalte,6.409411414053624
bi,5.716264233493678
bibbele,6.409411414053624
bicht,6.409411414053624
bichte,6.409411414053624
bien,6.409411414053624
bier,6.003946305945459
bierhieser,6.409411414053624
bierläde,6.409411414053624
bietet,6.409411414053624
bigott,6.409411414053624
bilder,6.409411414053624
bim,5.310799125385514
bin,3.967064378684419
bis,4.617651944825568
bisch,4.46350126499831
bissel,4.46350126499831
bissele,6.003946305945459
bissi,6.409411414053624
bitt,5.156648445558256
biß,6.409411414053624
bleiben,5.716264233493678
bleibt,6.003946305945459
blessirt,6.409411414053624
blick,6.409411414053624
blickt,5.716264233493678
blie,5.716264233493678
bliet,5.716264233493678
bliewe,5.310799125385514
bloose,6.003946305945459
bluetsüger,6.409411414053624
blut,6.409411414053624
blutstropfen,6.409411414053624
bly,6.409411414053624
blüetsturz,6.409411414053624
boden,6.409411414053624
bolewski,6.409411414053624
bonbons,6.003946305945459
bonjour,6.003946305945459
bonsoir,6.003946305945459
brache,6.409411414053624
brannten,6.409411414053624
brauchen,5.716264233493678
brava,5.716264233493678
briahla,6.409411414053624
bricht,5.716264233493678
briechd,6.409411414053624
brief,6.003946305945459
briefträger,6.409411414053624
bring,6.003946305945459
bringe,6.409411414053624
bringen,6.409411414053624
bringsch,6.409411414053624
bringt,6.003946305945459
britsch,6.409411414053624
brod,6.409411414053624
bruderschaft,6.409411414053624
bruschtsucht,6.409411414053624
brutalität,6.409411414053624
brävscht,6.409411414053624
bröschele,6.409411414053624
brüch,6.003946305945459
brüche,6.409411414053624
brüchsch,5.310799125385514
bsinn,6.409411414053624
bsorjt,6.003946305945459
bsüch,6.409411414053624
bucklicht,6.409411414053624
budell,6.409411414053624
buenos,5.716264233493678
buhlen,6.409411414053624
burscht,6.409411414053624
bußfertiges,6.409411414053624
by,6.003946305945459
bäbbe,4.799973501619523
bänke,6.409411414053624
bös,6.003946305945459
böse,6.409411414053624
böuj,6.409411414053624
büch,6.409411414053624
bücher,6.409411414053624
büßerorden,6.409411414053624
cafetier,6.409411414053624
catechisme,6.409411414053624
chagrin,6.409411414053624
champagner,6.409411414053624
charmante,6.409411414053624
chores,6.409411414053624
chrischtian,6.409411414053624
christ,6.409411414053624
christkatholische,6.409411414053624
christus,5.716264233493678
cirque,6.409411414053624
citadin,6.003946305945459
coiffeur,6.409411414053624
cologne,6.409411414053624
courant,6.409411414053624
curé,6.409411414053624
da,4.617651944825568
daa,4.617651944825568
dachten,6.409411414053624
dafür,6.409411414053624
dagegen,6.409411414053624
dahin,6.003946305945459
damals,6.409411414053624
damit,5.310799125385514
danke,5.716264233493678
dann,4.329969872373788
darauf,6.003946305945459
das,3.3413584789200064
davon,6.409411414053624
dazu,5.716264233493678
dazwischen,6.409411414053624
daß,3.190535589185423
de,3.3648889763302003
debbi,6.409411414053624
decidirt,6.409411414053624
dein,5.493120682179469
deine,5.493120682179469
deinen,6.409411414053624
deiner,6.003946305945459
deines,6.409411414053624
dem,3.6685713901284225
demselben,6.409411414053624
den,4.212186836717404
denk,4.7046633218151985
denke,5.493120682179469
denken,6.409411414053624
denkt,6.409411414053624
denn,3.80672172860924
denne,4.7046633218151985
der,3.3413584789200064
derangiere,6.409411414053624
dere,6.409411414053624
dereinst,6.409411414053624
derf,5.310799125385514
derfe,6.409411414053624
derno,6.409411414053624
derselbe,6.409411414053624
dert,6.409411414053624
derte,6.003946305945459
des,5.156648445558256
dessen,6.409411414053624
deutschland,6.003946305945459
dheile,6.409411414053624
dheim,6.003946305945459
dhurn,6.409411414053624
dhädd,5.023117052933733
dhädde,6.409411414053624
dhädds,6.409411414053624
dhäddsch,5.716264233493678
dhüe,6.409411414053624
dhüed,5.493120682179469
dhüen,5.493120682179469
dhüesch,6.409411414053624
di,6.409411414053624
diakonessehüs,6.409411414053624
dich,3.636822691813842
dicker,6.409411414053624
die,3.0772069038784196
dienen,6.409411414053624
dienst,6.409411414053624
dienste,6.409411414053624
dies,6.409411414053624
diese,5.310799125385514
dieselbe,6.003946305945459
diesem,6.409411414053624
dieser,5.493120682179469
dieses,6.409411414053624
dim,6.003946305945459
din,5.716264233493678
dine,5.716264233493678
ding,6.003946305945459
dingen,6.409411414053624
dings,6.003946305945459
dini,6.409411414053624
dir,4.799973501619523
dis,3.1513148760321417
disch,6.409411414053624
do,3.190535589185423
doch,3.0421155840671497
doctrine,6.003946305945459
dodrfor,6.409411414053624
dodrmit,6.409411414053624
dodrum,6.409411414053624
dodrüs,6.409411414053624
doher,6.409411414053624
dohere,6.003946305945459
doktor,4.7046633218151985
doochder,5.156648445558256
doofle,6.409411414053624
dort,6.003946305945459
dot,6.409411414053624
dran,5.023117052933733
draußen,6.003946305945459
dreij,6.003946305945459
dreijht,6.409411414053624
drfor,6.409411414053624
drin,6.003946305945459
drissig,6.409411414053624
drno,5.310799125385514
drohend,6.409411414053624
droschke,6.409411414053624
droscht,6.409411414053624
drucke,6.409411414053624
drucket,6.409411414053624
druff,6.409411414053624
drum,6.003946305945459
drvun,6.003946305945459
drzüe,6.409411414053624
drängt,6.409411414053624
drüben,5.156648445558256
drückt,6.409411414053624
drürig,6.409411414053624
drüriger,6.409411414053624
drüsse,6.003946305945459
drüwe,6.409411414053624
drüwer,6.409411414053624
drüwwe,6.003946305945459
du,3.924504764265623
dumma,6.409411414053624
dummheiten,5.493120682179469
dumms,6.409411414053624
dun,6.409411414053624
dunkelheit,6.409411414053624
dunkle,5.716264233493678
durchgeführt,6.409411414053624
durich,6.003946305945459
durichgemacht,6.409411414053624
durst,6.409411414053624
dächer,6.409411414053624
