words,idf
1872,6.455321115357702
1897,6.455321115357702
200,6.455321115357702
25,6.455321115357702
40,6.049856007249537
45,6.049856007249537
55,6.455321115357702
aase,6.455321115357702
ab,4.204029316751207
abbedit,6.455321115357702
abedeek,6.455321115357702
abedeeker,6.455321115357702
aber,6.049856007249537
abg,6.455321115357702
abgemacht,6.455321115357702
abgholt,6.455321115357702
abhole,6.455321115357702
abord,6.455321115357702
absehn,6.455321115357702
absolument,5.762173934797756
absynthe,6.455321115357702
abwarta,6.455321115357702
abzuwischen,6.455321115357702
accent,6.455321115357702
acht,6.455321115357702
adam,6.455321115357702
adieu,6.455321115357702
aelterer,6.455321115357702
aff,6.455321115357702
affekt,5.356708826689592
affektiert,6.455321115357702
affektirte,6.455321115357702
affin,5.539030383483547
ah,5.069026754237811
aha,6.049856007249537
ahnung,6.455321115357702
ai,6.455321115357702
aijener,6.455321115357702
aimable,6.455321115357702
ainsi,6.455321115357702
akuschtik,6.455321115357702
alle,4.750573023119276
allei,5.356708826689592
allerneijscht,6.455321115357702
allernotwendigscht,6.455321115357702
allersüferscht,6.455321115357702
alles,4.057425842559331
allewil,4.951243718581427
allgemeinen,6.455321115357702
alli,4.509410966302388
allmächtiger,6.455321115357702
allons,6.455321115357702
als,4.057425842559331
also,4.845883202923601
alt,4.58351893845611
alter,6.049856007249537
alti,6.455321115357702
altmodischer,6.455321115357702
alts,6.455321115357702
am,4.152736022363656
amusement,6.049856007249537
amüsiere,6.455321115357702
amüsiert,6.455321115357702
an,3.6519607344511664
anatole,2.3121863889661687
ander,6.455321115357702
andere,5.762173934797756
andersch,4.845883202923601
andlig,6.455321115357702
andr,6.455321115357702
andri,6.455321115357702
andrs,6.455321115357702
anenander,6.455321115357702
anfang,5.539030383483547
angeht,6.455321115357702
angelüejt,6.049856007249537
angenehmen,6.455321115357702
angenumme,6.455321115357702
angezogen,6.455321115357702
angst,6.455321115357702
angsüecht,6.455321115357702
anhalt,6.455321115357702
anhenke,6.455321115357702
anhänglichkeit,6.455321115357702
ankummt,6.455321115357702
anlauft,6.455321115357702
anleijsch,6.455321115357702
anne,6.049856007249537
annegstellt,6.455321115357702
anniversaire,5.762173934797756
annonciere,6.049856007249537
ans,6.455321115357702
anstelle,6.455321115357702
anständige,6.455321115357702
antwort,6.455321115357702
apéritif,6.455321115357702
ari,5.762173934797756
arig,5.762173934797756
arm,5.762173934797756
arme,6.455321115357702
armistice,6.455321115357702
arnscht,6.455321115357702
arranschiert,6.455321115357702
arretiert,6.455321115357702
arri,5.762173934797756
assemblée,6.049856007249537
assure,6.455321115357702
au,3.178176382365525
auch,6.455321115357702
aue,6.455321115357702
auf,4.509410966302388
aufgestanden,6.455321115357702
aus,6.049856007249537
auseinander,6.455321115357702
aussprache,6.455321115357702
ausweichend,6.455321115357702
auswendig,6.455321115357702
avance,6.455321115357702
awer,2.92896059074154
aﬀäre,6.455321115357702
babbel,6.455321115357702
babbelsch,6.455321115357702
babbelt,6.049856007249537
babberlababb,6.455321115357702
babble,6.455321115357702
backe,6.049856007249537
backen,6.049856007249537
ball,5.069026754237811
bande,5.762173934797756
bardon,5.539030383483547
bardü,6.455321115357702
barthelmeh,5.069026754237811
barthélemy,5.356708826689592
baschdeed,6.455321115357702
batawatisch,6.455321115357702
bebbelenz,6.455321115357702
bedank,6.455321115357702
bedenk,6.455321115357702
bedenke,6.455321115357702
bedenklichi,6.455321115357702
bedidde,6.455321115357702
bedrachte,6.049856007249537
begeistert,6.455321115357702
begrawe,6.049856007249537
begryffe,6.049856007249537
behält,6.455321115357702
bei,6.049856007249537
beide,5.762173934797756
beiden,6.455321115357702
beijle,6.049856007249537
beijspiel,6.049856007249537
beim,6.455321115357702
bein,6.049856007249537
beirren,6.455321115357702
beisammen,5.539030383483547
bekomm,6.455321115357702
beleckt,6.455321115357702
beleebt,6.049856007249537
belohnt,6.455321115357702
beläidig,5.762173934797756
bemeisternd,6.455321115357702
bemerkend,6.455321115357702
bemerkt,5.356708826689592
bemühjt,6.455321115357702
ben,4.951243718581427
beobachten,6.455321115357702
bermediersch,6.455321115357702
beschriebenen,6.455321115357702
bescht,6.455321115357702
beschta,5.539030383483547
beschte,5.356708826689592
beschäftigt,6.455321115357702
beschäftigung,6.455321115357702
besprechung,6.455321115357702
besser,4.951243718581427
bestehens,6.455321115357702
beständig,6.455321115357702
bestürzt,6.455321115357702
betastend,6.455321115357702
betraachtsch,6.455321115357702
betrachtet,6.455321115357702
bett,6.455321115357702
better,6.455321115357702
bewegt,6.455321115357702
beweise,6.049856007249537
bezahlt,6.455321115357702
bezitte,6.455321115357702
bhandelsch,6.455321115357702
bi,4.845883202923601
bien,5.539030383483547
bim,6.049856007249537
bimbelebaasch,6.455321115357702
bin,3.593120234428233
bindele,6.455321115357702
bis,4.951243718581427
bisch,5.069026754237811
bischs,6.455321115357702
bischwillemer,6.049856007249537
bischwiller,4.58351893845611
bissel,4.440418094815437
bitt,5.539030383483547
blamasch,6.455321115357702
blamiere,6.049856007249537
blauen,6.455321115357702
bleche,6.455321115357702
blechschäddel,6.455321115357702
bleibt,6.455321115357702
bleiche,6.455321115357702
blickt,6.455321115357702
blie,5.539030383483547
bliet,6.049856007249537
bliewe,5.069026754237811
bliwe,6.455321115357702
bloose,4.951243718581427
bloost,6.455321115357702
blos,6.455321115357702
blöuj,6.455321115357702
blüet,6.049856007249537
bode,6.455321115357702
boden,6.455321115357702
bogen,5.762173934797756
bombardon,4.951243718581427
bonjour,4.663561646129646
brava,6.455321115357702
bravo,6.455321115357702
bref,6.455321115357702
brennsch,6.455321115357702
brille,6.455321115357702
bring,6.455321115357702
bringe,5.762173934797756
brod,6.455321115357702
bröjes,6.455321115357702
brüch,6.455321115357702
brüche,5.762173934797756
brüchsch,6.455321115357702
brüeder,4.509410966302388
brüllt,6.049856007249537
bsinnsch,6.455321115357702
bsorje,6.455321115357702
budell,6.455321115357702
budelle,6.455321115357702
bumme,6.455321115357702
burjerskischtel,6.455321115357702
butzlumpe,6.455321115357702
bäbbe,6.455321115357702
bäurisch,6.455321115357702
bös,6.455321115357702
bösartigs,6.455321115357702
böser,6.455321115357702
büewestickel,6.455321115357702
caissier,5.762173934797756
canapée,6.455321115357702
ce,6.049856007249537
centimeter,6.455321115357702
certain,6.455321115357702
chagrin,6.455321115357702
changement,5.762173934797756
chose,6.455321115357702
chérie,6.455321115357702
comble,6.455321115357702
comme,6.455321115357702
commis,6.455321115357702
confiance,6.455321115357702
congé,6.455321115357702
contraire,6.049856007249537
cécile,2.386294361119891
daa,4.845883202923601
daadäjli,6.455321115357702
daas,6.455321115357702
dabeet,6.455321115357702
dabei,6.455321115357702
danke,6.049856007249537
dann,6.455321115357702
daran,6.455321115357702
das,5.539030383483547
datür,6.455321115357702
daub,6.455321115357702
daudel,6.455321115357702
dauwe,6.455321115357702
daß,2.804662874063963
de,3.4348962292133387
dekoratione,6.455321115357702
delegatione,6.455321115357702
dem,4.152736022363656
demission,6.455321115357702
den,4.440418094815437
denk,4.845883202923601
denke,5.762173934797756
denksch,6.455321115357702
denkt,5.762173934797756
denkzettel,6.455321115357702
denn,3.5375503832734223
denne,4.258096538021482
der,3.4849066497880004
deranschiere,6.455321115357702
dere,5.069026754237811
derf,5.069026754237811
derfe,6.049856007249537
derfsch,6.049856007249537
derft,6.455321115357702
derwilsch,6.455321115357702
des,6.455321115357702
deutend,6.455321115357702
deutet,6.455321115357702
dheil,6.049856007249537
dhädd,4.951243718581427
dhädde,6.455321115357702
dhüe,5.356708826689592
dhüed,5.762173934797756
dhüen,5.202558146862334
dhüet,6.049856007249537
dich,4.152736022363656
dick,6.455321115357702
dicke,6.455321115357702
die,3.510882136191261
diefi,6.455321115357702
dienscht,6.455321115357702
dies,6.455321115357702
dim,5.356708826689592
din,5.202558146862334
dine,5.539030383483547
dinere,5.762173934797756
ding,6.049856007249537
dings,5.539030383483547
dini,5.069026754237811
dinschtmagd,6.455321115357702
dir,4.951243718581427
dire,6.455321115357702
