words,idf
10,6.382198850528739
20,6.382198850528739
38,5.976733742420574
50,6.382198850528739
500,5.976733742420574
5000,6.382198850528739
90,6.382198850528739
aa,5.689051669968793
aacht,6.382198850528739
aane,6.382198850528739
ab,3.817249493067202
aber,4.772760938094638
abgegeben,6.382198850528739
abkocht,6.382198850528739
ach,5.976733742420574
achsel,6.382198850528739
achseln,5.976733742420574
acht,6.382198850528739
adie,6.382198850528739
adje,6.382198850528739
adresse,6.382198850528739
aelie,6.382198850528739
agent,5.976733742420574
ah,4.510396673627147
aha,4.995904489408848
al,5.976733742420574
alfons,2.798679912072629
alle,5.129435882033371
allei,5.129435882033371
allem,5.976733742420574
allen,6.382198850528739
aller,6.382198850528739
alles,4.079613757534693
allewaj,6.382198850528739
allewil,5.465908118654584
allewill,6.382198850528739
allewäj,5.976733742420574
allez,5.976733742420574
allgemeinem,6.382198850528739
alli,5.283586561860629
als,4.367295829986475
also,5.465908118654584
alt,5.976733742420574
alter,6.382198850528739
am,4.510396673627147
amalie,5.976733742420574
ambetant,6.382198850528739
ameli,6.382198850528739
amelie,2.656505423292086
ami,6.382198850528739
amélie,5.976733742420574
amüsiere,5.976733742420574
an,3.4644281184444594
anbendle,6.382198850528739
ander,6.382198850528739
anderen,6.382198850528739
andern,6.382198850528739
andersch,5.689051669968793
andre,6.382198850528739
andri,5.976733742420574
andrs,5.976733742420574
anfang,6.382198850528739
ange,6.382198850528739
angeben,6.382198850528739
angebrennt,5.689051669968793
angebrennts,5.976733742420574
angedohn,6.382198850528739
angschmiert,6.382198850528739
angst,5.976733742420574
anloejt,6.382198850528739
anm,6.382198850528739
anne,5.689051669968793
annege,6.382198850528739
annepfeffere,6.382198850528739
anpassen,6.382198850528739
anschaulich,6.382198850528739
ansehen,6.382198850528739
ansprüch,6.382198850528739
anstelle,5.976733742420574
anständige,6.382198850528739
anzug,6.382198850528739
apfel,6.382198850528739
apfelrest,6.382198850528739
appe,6.382198850528739
appétit,6.382198850528739
ar,6.382198850528739
arig,6.382198850528739
arm,5.465908118654584
arme,6.382198850528739
armung,6.382198850528739
art,6.382198850528739
aspic,6.382198850528739
asse,5.976733742420574
assüriert,6.382198850528739
atem,6.382198850528739
attendant,6.382198850528739
au,3.6096101282889577
auch,5.283586561860629
auf,4.510396673627147
auffahrend,5.976733742420574
aufgebracht,6.382198850528739
auftragen,6.382198850528739
augen,6.382198850528739
augenblick,6.382198850528739
aus,5.129435882033371
ausgezeichnetes,6.382198850528739
ausrufer,6.382198850528739
auswesch,6.382198850528739
aw,6.382198850528739
awer,5.689051669968793
awwer,3.2251984293786253
aß,5.689051669968793
baar,6.382198850528739
bacht,6.382198850528739
backen,6.382198850528739
ball,5.283586561860629
barhäusern,6.382198850528739
baris,5.283586561860629
bart,6.382198850528739
bassiert,5.976733742420574
be,6.382198850528739
beamte,6.382198850528739
bedenk,6.382198850528739
bedingungen,6.382198850528739
bedächtig,6.382198850528739
bedüre,6.382198850528739
beere,5.976733742420574
beeresalat,6.382198850528739
begrueße,6.382198850528739
bei,5.283586561860629
beiden,5.976733742420574
beißt,6.382198850528739
bekomm,5.976733742420574
bekäm,6.382198850528739
beleebt,5.689051669968793
belle,6.382198850528739
belzbummre,6.382198850528739
bereitet,6.382198850528739
berühmte,6.382198850528739
bes,6.382198850528739
beschreiben,6.382198850528739
beschte,5.976733742420574
besen,5.976733742420574
besonders,6.382198850528739
besorgt,6.382198850528739
besser,6.382198850528739
besten,5.976733742420574
betroeje,6.382198850528739
bett,6.382198850528739
beurre,6.382198850528739
bezahle,6.382198850528739
bezeichnende,6.382198850528739
bi,4.772760938094638
bibele,6.382198850528739
bibliothek,6.382198850528739
bien,4.995904489408848
bientot,6.382198850528739
bild,6.382198850528739
billichen,6.382198850528739
billiger,6.382198850528739
billisch,6.382198850528739
bin,3.4117843849590375
binde,6.382198850528739
bis,5.283586561860629
bisch,4.995904489408848
bissel,4.878121453752465
bitt,6.382198850528739
bleibt,6.382198850528739
blie,5.689051669968793
bliet,6.382198850528739
bliewe,5.283586561860629
blonde,6.382198850528739
blöi,6.382198850528739
boden,5.976733742420574
bombenfest,6.382198850528739
bon,6.382198850528739
bonjour,5.465908118654584
braten,6.382198850528739
braune,6.382198850528739
brausepulver,6.382198850528739
braust,6.382198850528739
brava,6.382198850528739
breton,6.382198850528739
briahla,6.382198850528739
brief,4.590439381300683
briefe,6.382198850528739
briefen,6.382198850528739
bring,5.976733742420574
bringe,5.689051669968793
bringen,5.689051669968793
bringt,5.465908118654584
broche,6.382198850528739
brocht,6.382198850528739
brod,5.976733742420574
brätle,6.382198850528739
brüch,6.382198850528739
brüche,6.382198850528739
brücht,5.465908118654584
brüel,6.382198850528739
bsunders,6.382198850528739
bsüch,6.382198850528739
buch,5.976733742420574
buckel,6.382198850528739
buech,6.382198850528739
buendig,6.382198850528739
buewe,6.382198850528739
butter,6.382198850528739
bächel,6.382198850528739
büch,6.382198850528739
büchweh,6.382198850528739
büfett,6.382198850528739
büreau,6.382198850528739
ca,5.976733742420574
caen,6.382198850528739
cent,6.382198850528739
chaiselongue,6.382198850528739
chambre,5.976733742420574
champagner,6.382198850528739
charak,6.382198850528739
charollais,6.382198850528739
che,6.382198850528739
chement,6.382198850528739
chen,5.689051669968793
cher,6.382198850528739
cherei,6.382198850528739
chiker,6.382198850528739
cigarettle,6.382198850528739
cliquot,6.382198850528739
coffeuse,6.382198850528739
coiffiert,6.382198850528739
cologne,6.382198850528739
consommé,6.382198850528739
da,5.129435882033371
daa,4.878121453752465
dabei,6.382198850528739
dafür,6.382198850528739
dame,5.976733742420574
damen,5.976733742420574
damenflor,6.382198850528739
damit,5.976733742420574
daran,5.689051669968793
darf,6.382198850528739
das,4.130907051922243
daselbst,6.382198850528739
dat,6.382198850528739
daub,5.976733742420574
dazu,5.976733742420574
daß,3.5199979695992702
de,3.337676412805316
deb,6.382198850528739
deck,5.976733742420574
def,6.382198850528739
dehnt,6.382198850528739
delnd,6.382198850528739
dem,4.6774507582903135
demoiselle,6.382198850528739
den,4.079613757534693
denk,5.283586561860629
denke,5.689051669968793
denkt,5.976733742420574
denn,3.779509165084355
denne,5.976733742420574
der,3.856470206220483
derbi,5.283586561860629
derf,5.689051669968793
derfer,6.382198850528739
dergeje,6.382198850528739
dermit,6.382198850528739
derno,5.129435882033371
dervor,6.382198850528739
dervun,5.689051669968793
derwill,5.976733742420574
derwillsch,6.382198850528739
derzit,6.382198850528739
derzue,5.689051669968793
des,5.465908118654584
dessert,6.382198850528739
deux,6.382198850528739
deß,3.4644281184444594
dheile,6.382198850528739
di,5.283586561860629
dich,5.129435882033371
die,3.1241023125072567
diener,5.976733742420574
dienlich,6.382198850528739
diese,6.382198850528739
dieser,6.382198850528739
dim,5.689051669968793
din,5.976733742420574
dindonneau,6.382198850528739
ding,6.382198850528739
dings,6.382198850528739
dini,6.382198850528739
diniert,6.382198850528739
dinn,6.382198850528739
dinne,6.382198850528739
dinner,5.465908118654584
dinnere,6.382198850528739
dinni,5.283586561860629
dippele,6.382198850528739
dir,5.976733742420574
disch,5.689051669968793
dischkeriere,6.382198850528739
divorce,6.382198850528739
diß,4.130907051922243
do,3.0149030205422647
doch,3.163323025660538
doktor,5.976733742420574
donc,6.382198850528739
doo,5.976733742420574
doochder,6.382198850528739
dood,6.382198850528739
dorado,6.382198850528739
dort,5.283586561860629
dortiche,6.382198850528739
dotiert,6.382198850528739
dottel,6.382198850528739
dr,5.976733742420574
dran,4.772760938094638
draußen,6.382198850528739
dreht,6.382198850528739
drei,5.689051669968793
dreiviertel,6.382198850528739
drin,5.465908118654584
drinne,5.689051669968793
dritt,6.382198850528739
drohungen,6.382198850528739
droscht,6.382198850528739
drunte,6.382198850528739
dräje,6.382198850528739
drücen,6.382198850528739
drüsse,5.976733742420574
du,4.590439381300683
duesch,6.382198850528739
duet,6.382198850528739
dumma,5.283586561860629
dummel,6.382198850528739
dummelt,6.382198850528739
dumms,6.382198850528739
dunderwille,6.382198850528739
durch,5.976733742420574
dänne,6.382198850528739
där,6.382198850528739
däre,5.465908118654584
däs,6.382198850528739
dät,4.772760938094638
däte,5.976733742420574
dü,3.8972922007407385
düür,6.382198850528739
eau,6.382198850528739
ebb,6.382198850528739
