words,idf
ab,4.381966019734268
abelangert,5.634728988229636
abg,5.634728988229636
abha,5.634728988229636
abhelfer,5.229263880121471
abhole,5.634728988229636
abkaüfe,5.634728988229636
abnàh,5.634728988229636
abrasiere,5.634728988229636
abscheü,5.634728988229636
abscheülige,5.634728988229636
absichte,5.229263880121471
abz,5.634728988229636
abzoge,5.634728988229636
accompagniert,5.634728988229636
achdung,5.229263880121471
achtezwanzig,5.634728988229636
adie,4.718438256355481
adresse,5.634728988229636
adresskarte,5.634728988229636
aelterer,4.718438256355481
afrika,5.634728988229636
ag,5.229263880121471
agehsch,5.634728988229636
agneaux,5.634728988229636
ah,4.025291075795535
aha,4.9415818076696905
aile,5.634728988229636
aku,5.634728988229636
alege,5.634728988229636
alle,3.842969519001581
allei,4.381966019734268
allem,4.9415818076696905
aller,5.634728988229636
alles,3.5552874465497997
alleweg,5.634728988229636
allewil,4.248434627109745
allons,4.9415818076696905
als,3.6198259676873707
alt,5.229263880121471
am,3.9299808959912106
amerikaner,5.634728988229636
an,3.1923819528604316
ander,5.229263880121471
andere,4.381966019734268
anderer,5.634728988229636
andermol,5.634728988229636
anderst,4.536116699561527
anderthalwe,5.634728988229636
andre,5.229263880121471
andrs,5.229263880121471
ane,3.9299808959912106
anfang,4.025291075795535
angst,5.229263880121471
anstatt,4.718438256355481
antwort,4.248434627109745
anàh,5.634728988229636
arg,4.536116699561527
arm,5.634728988229636
arme,5.634728988229636
art,5.229263880121471
as,3.3834371896231406
ass,2.521213679019261
augustin,5.634728988229636
avant,5.634728988229636
awe,4.9415818076696905
awer,3.1923819528604316
az,5.634728988229636
aüg,5.634728988229636
aüge,4.718438256355481
aügesblick,5.634728988229636
backe,5.634728988229636
bad,5.634728988229636
badbittig,4.381966019734268
bader,5.634728988229636
ball,5.634728988229636
balwiere,5.634728988229636
balwierer,4.718438256355481
balwiererstuwe,5.229263880121471
balwiert,5.634728988229636
bang,5.634728988229636
bart,5.229263880121471
bartschüssle,5.634728988229636
basler,5.229263880121471
bassin,5.634728988229636
basson,4.9415818076696905
beaux,5.634728988229636
bebriff,5.634728988229636
