words,idf
aachte,5.722953221644475
ab,3.7770430725891617
abgelaauerter,5.722953221644475
abgenn,5.722953221644475
abgerupft,5.722953221644475
abspenschtig,5.722953221644475
ach,4.470190253149108
achsel,5.722953221644475
achtedrissig,5.31748811353631
adler,5.029806041084529
aether,5.722953221644475
ah,4.218875824868201
all,5.722953221644475
alle,4.218875824868201
allei,4.218875824868201
aller,5.722953221644475
allerbeschte,5.722953221644475
allererschte,5.722953221644475
allergewöhnlichscht,5.722953221644475
allerletscht,5.722953221644475
allerprosaischte,5.722953221644475
alles,5.31748811353631
allewil,4.336658860524585
alli,4.624340932976365
als,3.8511510447428834
also,5.722953221644475
alt,5.029806041084529
alter,5.722953221644475
am,4.0182051294060495
ambetiere,5.722953221644475
amerika,5.722953221644475
an,3.8511510447428834
anblick,5.722953221644475
andere,5.029806041084529
anderi,5.31748811353631
andichtsch,5.722953221644475
andlig,5.722953221644475
anerkenne,5.722953221644475
ang,5.722953221644475
angedon,5.722953221644475
angenehme,5.31748811353631
angst,5.722953221644475
anlocke,5.722953221644475
anlüje,5.722953221644475
anne,5.722953221644475
ans,5.722953221644475
anständigs,5.722953221644475
apetit,5.722953221644475
apollon,5.31748811353631
ar,4.624340932976365
arnscht,5.722953221644475
arrangiere,5.722953221644475
artligi,5.722953221644475
as,5.029806041084529
ass,5.31748811353631
au,3.0838958920292163
aue,5.31748811353631
aueblick,5.722953221644475
auesblick,5.31748811353631
awer,2.83258146374831
bable,5.722953221644475
ball,5.31748811353631
beauté,5.722953221644475
bedenke,5.722953221644475
bedrachte,5.722953221644475
bedüre,5.722953221644475
begeischtere,5.722953221644475
begeistert,5.31748811353631
bekomm,5.722953221644475
beleebt,5.722953221644475
beläidig,5.722953221644475
belüschtert,5.722953221644475
bemerikt,5.722953221644475
beschte,5.31748811353631
besoin,5.722953221644475
besser,5.029806041084529
bett,5.31748811353631
bewundere,5.722953221644475
bezahl,5.722953221644475
bezahlt,5.722953221644475
bichel,5.722953221644475
bie,5.31748811353631
bild,5.722953221644475
bilde,5.722953221644475
bim,5.31748811353631
bin,3.9311937524164198
bis,5.722953221644475
bisch,5.029806041084529
bissel,4.336658860524585
bissele,5.722953221644475
bliet,5.722953221644475
bläujer,5.722953221644475
blüeme,4.218875824868201
blüemeel,5.722953221644475
bode,5.029806041084529
bonjour,5.722953221644475
brava,5.722953221644475
brey,2.860752340715006
bried,5.722953221644475
briedel,5.722953221644475
briehlt,5.722953221644475
bring,5.722953221644475
bringe,5.31748811353631
bringt,5.722953221644475
broote,5.722953221644475
brrr,5.722953221644475
bruehlsch,5.722953221644475
brüch,5.31748811353631
brüche,5.722953221644475
bscht,5.722953221644475
bue,5.722953221644475
bynander,5.722953221644475
büür,5.722953221644475
capawel,5.722953221644475
compositeur,5.722953221644475
daa,5.029806041084529
dar,5.31748811353631
dass,3.120263536200091
dauwer,5.722953221644475
de,3.0838958920292163
decidiert,5.722953221644475
defuer,5.722953221644475
deklamatione,5.722953221644475
deklamiert,5.31748811353631
dem,4.218875824868201
den,5.31748811353631
dene,5.31748811353631
denk,5.31748811353631
denke,5.029806041084529
denkt,4.80666248977032
denn,3.120263536200091
denne,4.470190253149108
der,3.7770430725891617
derangiere,5.722953221644475
dere,5.31748811353631
des,4.470190253149108
dich,5.31748811353631
dicht,5.722953221644475
dichteritis,5.722953221644475
die,3.643511679964639
dier,5.31748811353631
dies,2.9503644994046936
diese,5.722953221644475
diess,5.722953221644475
ding,5.722953221644475
dinne,5.31748811353631
dinni,5.722953221644475
dinre,5.722953221644475
dir,5.722953221644475
dis,5.029806041084529
disch,5.722953221644475
diss,5.722953221644475
do,2.727220948090484
doch,2.83258146374831
doppelt,5.722953221644475
doppelter,5.722953221644475
dran,5.029806041084529
drechsle,5.722953221644475
dringe,5.722953221644475
drinne,5.722953221644475
druewer,5.722953221644475
druff,5.722953221644475
drunte,5.722953221644475
drücen,5.722953221644475
drücenter,5.722953221644475
drürig,5.029806041084529
drüss,5.722953221644475
drüsse,5.722953221644475
dumma,4.80666248977032
dummle,5.722953221644475
däne,5.722953221644475
därfe,5.722953221644475
dät,5.029806041084529
däte,5.722953221644475
dätsch,5.722953221644475
dü,4.0182051294060495
ebe,5.722953221644475
ebes,5.722953221644475
ebs,3.8511510447428834
eenfach,5.722953221644475
ehnder,5.31748811353631
ei,4.0182051294060495
eich,5.029806041084529
eier,5.31748811353631
eijene,5.722953221644475
eim,5.722953221644475
eine,5.722953221644475
eini,5.31748811353631
einmol,5.722953221644475
eins,5.31748811353631
einsam,5.722953221644475
einsamkeit,5.722953221644475
einschtwiele,5.722953221644475
einzige,5.722953221644475
ejch,5.722953221644475
em,3.5257286443082556
eme,4.80666248977032
emol,4.336658860524585
empfinde,5.31748811353631
empfänglich,5.722953221644475
emporschwinge,5.722953221644475
en,3.9311937524164198
end,5.029806041084529
entgehn,5.722953221644475
entsetzt,5.722953221644475
er,3.4203681286504293
ere,3.9311937524164198
erecht,5.029806041084529
ereecht,5.722953221644475
ererscht,5.31748811353631
erhabene,5.722953221644475
erhaweheit,5.722953221644475
erin,5.722953221644475
erschiene,5.722953221644475
erschient,5.722953221644475
erscht,5.31748811353631
erschte,5.722953221644475
erum,5.722953221644475
erüss,5.722953221644475
erüsssueche,5.722953221644475
es,3.0838958920292163
esch,4.218875824868201
eso,5.31748811353631
esse,4.80666248977032
essel,5.722953221644475
esu,5.31748811353631
et,5.722953221644475
euch,5.31748811353631
ewe,4.624340932976365
eweg,5.722953221644475
ewige,5.722953221644475
exemple,5.029806041084529
express,5.722953221644475
fade,5.722953221644475
fahre,5.31748811353631
fall,5.722953221644475
falle,4.80666248977032
fallt,5.31748811353631
falsche,5.722953221644475
fange,5.722953221644475
fangedissels,5.31748811353631
fantaisie,5.31748811353631
farwe,5.722953221644475
fattig,5.31748811353631
feinde,5.722953221644475
feld,5.722953221644475
fer,5.722953221644475
