words,idf
aaue,5.574710978503383
ab,3.8699628862649575
abgewandt,5.169245870395218
ablaufe,5.574710978503383
abwischend,5.574710978503383
ach,5.574710978503383
acht,5.169245870395218
adie,5.574710978503383
adje,5.169245870395218
aelterer,5.169245870395218
ah,4.881563797943437
aha,5.169245870395218
ai,5.574710978503383
ais,5.574710978503383
alle,4.881563797943437
allei,5.574710978503383
alles,3.782951509275328
allewaj,5.574710978503383
allewej,5.574710978503383
allewil,4.476098689835274
allewyl,5.574710978503383
allez,5.574710978503383
alli,5.169245870395218
als,4.321948010008015
also,4.188416617383492
alti,4.881563797943437
am,4.070633581727108
ambarra,5.574710978503383
ament,5.574710978503383
an,3.559807957961118
ander,5.574710978503383
andere,5.574710978503383
anderi,5.169245870395218
andersch,5.574710978503383
andrs,5.574710978503383
anfang,5.574710978503383
anghebt,5.574710978503383
angst,4.881563797943437
anhewe,5.574710978503383
anleije,5.574710978503383
annahme,5.574710978503383
anne,5.574710978503383
anschint,5.574710978503383
antwort,5.574710978503383
anzehalte,5.574710978503383
apropos,5.574710978503383
ar,5.574710978503383
arm,4.881563797943437
arrewiert,5.169245870395218
arri,5.574710978503383
art,4.881563797943437
artli,5.574710978503383
au,2.6569402464191034
auesblick,5.574710978503383
auf,4.476098689835274
auffahrend,5.574710978503383
awer,2.972021293058999
awische,5.574710978503383
aça,5.574710978503383
ba,5.574710978503383
ball,5.169245870395218
barebli,5.574710978503383
basse,5.169245870395218
beaucu,5.574710978503383
beese,5.574710978503383
befumme,5.574710978503383
begahra,5.574710978503383
begehrt,5.574710978503383
bei,3.9652730660692823
bein,5.574710978503383
beisammen,5.574710978503383
beiseite,5.574710978503383
beispiel,5.574710978503383
bekomm,5.574710978503383
beleebt,5.574710978503383
ber,5.574710978503383
beschte,5.574710978503383
besser,4.881563797943437
besteht,5.574710978503383
bettlad,5.574710978503383
bi,5.169245870395218
bien,5.574710978503383
biffele,5.574710978503383
bin,3.559807957961118
biscch,5.574710978503383
bisch,4.070633581727108
bish,5.574710978503383
bissel,4.188416617383492
