words,idf
abhäuije,4.713572066704308
abwehrend,4.713572066704308
ach,4.308106958596143
acht,4.713572066704308
ah,4.713572066704308
aha,4.308106958596143
alle,4.713572066704308
allererscht,4.713572066704308
alles,4.713572066704308
als,4.308106958596143
also,4.713572066704308
am,4.713572066704308
amputiere,4.308106958596143
amputiert,4.308106958596143
an,4.713572066704308
ander,4.713572066704308
andere,4.308106958596143
anderi,4.713572066704308
anfällt,4.713572066704308
anne,4.308106958596143
auf,4.0204248861443626
aus,4.713572066704308
awer,4.713572066704308
awr,3.46080909820894
babble,4.713572066704308
bade,4.713572066704308
baß,4.713572066704308
baßgeij,4.308106958596143
behandeln,4.713572066704308
beide,4.713572066704308
bein,4.713572066704308
belajt,4.713572066704308
belejt,4.713572066704308
beobachtunge,4.713572066704308
besieht,4.713572066704308
besser,4.713572066704308
bestimmt,4.713572066704308
bett,4.308106958596143
beweise,4.713572066704308
bi,4.713572066704308
bibringe,4.713572066704308
bie,4.713572066704308
biem,4.713572066704308
bin,4.308106958596143
bißl,4.713572066704308
bißt,4.713572066704308
blöj,4.713572066704308
bstimme,4.713572066704308
bum,4.713572066704308
böjen,4.713572066704308
chaud,4.713572066704308
dach,4.713572066704308
darmkatarrh,4.713572066704308
darmkater,4.713572066704308
das,4.308106958596143
daß,3.46080909820894
de,3.46080909820894
delt,4.713572066704308
dem,4.0204248861443626
den,4.713572066704308
denke,4.713572066704308
denn,2.841769889802716
der,4.713572066704308
derbie,4.713572066704308
dere,3.797281334830153
derf,4.308106958596143
derno,4.0204248861443626
des,3.46080909820894
die,2.841769889802716
dies,2.698669046162043
digs,4.713572066704308
do,2.7676619176489945
doch,3.327277705584417
doher,4.713572066704308
doktor,1.494696241836107
dorf,4.713572066704308
dr,3.797281334830153
drhinter,4.713572066704308
drinn,4.713572066704308
drno,4.713572066704308
druff,4.308106958596143
druft,4.713572066704308
drum,4.713572066704308
drutf,4.713572066704308
drücen,4.308106958596143
drüsse,4.713572066704308
dumma,4.713572066704308
dummköpf,4.713572066704308
durich,4.713572066704308
däte,4.713572066704308
düech,4.713572066704308
ebbs,4.713572066704308
ebs,4.308106958596143
ein,4.0204248861443626
eine,4.713572066704308
einer,4.713572066704308
einere,4.713572066704308
einmol,4.308106958596143
em,4.713572066704308
emol,3.797281334830153
enin,4.308106958596143
entré,4.713572066704308
entsetzt,4.713572066704308
entzünd,4.713572066704308
enüs,4.713572066704308
enüsgsteckt,4.713572066704308
er,4.308106958596143
ere,4.308106958596143
erkläre,4.713572066704308
ernst,4.713572066704308
eruß,4.713572066704308
erußstrecke,4.713572066704308
erüß,4.0204248861443626
es,4.308106958596143
esch,4.713572066704308
esse,4.713572066704308
eujch,4.0204248861443626
eujere,4.713572066704308
ewe,4.308106958596143
ey,4.713572066704308
fahlt,3.797281334830153
fal,4.308106958596143
fallt,4.713572066704308
falsche,4.713572066704308
ferdi,4.713572066704308
freije,4.713572066704308
froje,4.713572066704308
fräuj,3.797281334830153
fräujehand,4.713572066704308
fröje,4.713572066704308
fuer,4.713572066704308
fähr,4.713572066704308
für,4.308106958596143
gange,4.713572066704308
ganz,3.797281334830153
gar,4.308106958596143
ge,4.713572066704308
geberde,4.713572066704308
gedenkt,4.713572066704308
gedrette,4.713572066704308
geduld,4.713572066704308
gedærmer,4.713572066704308
geh,4.713572066704308
gehn,4.713572066704308
geht,4.0204248861443626
geje,4.713572066704308
geleijt,4.713572066704308
gemachti,4.713572066704308
geniert,4.713572066704308
geredd,4.713572066704308
gesse,4.713572066704308
getrunke,4.713572066704308
gewiß,4.713572066704308
ghett,4.713572066704308
gibt,4.0204248861443626
glöüwe,4.308106958596143
greife,4.713572066704308
grobheit,4.713572066704308
grässlicher,4.713572066704308
grüssend,4.713572066704308
gsait,4.308106958596143
gstreichelt,4.713572066704308
guten,4.0204248861443626
gässe,4.713572066704308
hab,3.46080909820894
hahaha,4.713572066704308
hals,4.713572066704308
halte,4.713572066704308
han,2.9218125974762525
hand,2.841769889802716
handelt,4.713572066704308
heim,4.713572066704308
heimkomme,4.713572066704308
heissa,4.713572066704308
heißes,4.713572066704308
heißt,4.0204248861443626
her,4.713572066704308
herbekomme,4.713572066704308
herr,3.1041341542702074
hett,4.0204248861443626
hewe,4.713572066704308
hilft,4.713572066704308
hitzig,4.308106958596143
hm,4.0204248861443626
hälfe,4.713572066704308
händ,4.713572066704308
hätt,4.713572066704308
häut,4.713572066704308
höre,4.713572066704308
ich,2.1878434223960523
idée,4.713572066704308
ihm,4.713572066704308
ihr,4.713572066704308
ihri,4.308106958596143
im,3.46080909820894
immer,4.308106958596143
in,3.46080909820894
innere,4.713572066704308
irgend,4.713572066704308
isch,2.698669046162043
iss,4.713572066704308
ja,2.36219680954083
jede,4.713572066704308
jeder,4.713572066704308
jener,4.713572066704308
jetzt,3.1041341542702074
jo,4.713572066704308
kamille,4.713572066704308
kann,3.46080909820894
keijle,4.713572066704308
kein,3.797281334830153
keini,4.713572066704308
kenn,4.0204248861443626
kennt,4.308106958596143
kiehls,4.713572066704308
klopft,4.713572066704308
kläglich,4.0204248861443626
kläiner,4.713572066704308
kläut,4.713572066704308
kocht,4.713572066704308
komischer,4.713572066704308
kommt,4.713572066704308
kompresse,4.308106958596143
konzert,4.713572066704308
kopf,4.308106958596143
kopfschüllelnd,4.713572066704308
krank,4.0204248861443626
krankt,4.713572066704308
kumme,3.614959778036198
kälter,3.797281334830153
könne,4.308106958596143
küeh,4.713572066704308
küh,4.713572066704308
kühlunge,4.713572066704308
lachende,4.713572066704308
langer,4.308106958596143
leid,4.713572066704308
leider,4.713572066704308
leij,4.713572066704308
lejes,4.713572066704308
liawe,4.308106958596143
lich,4.713572066704308
lieb,4.713572066704308
linke,4.713572066704308
loch,4.308106958596143
lohn,4.713572066704308
looßt,4.713572066704308
lunge,4.308106958596143
lychtisinni,4.713572066704308
lächerlich,4.308106958596143
lüijt,4.713572066704308
lünne,4.713572066704308
mach,4.713572066704308
mache,3.614959778036198
macht,4.308106958596143
magen,4.713572066704308
magens,4.713572066704308
manchem,4.713572066704308
markiert,4.713572066704308
medezin,4.713572066704308
meh,4.713572066704308
meinen,4.0204248861443626
mensch,4.713572066704308
mensche,4.713572066704308
menschekind,4.713572066704308
merikwür,4.713572066704308
mich,3.327277705584417
min,4.308106958596143
minem,4.713572066704308
mini,3.614959778036198
mintwäje,4.713572066704308
mir,3.327277705584417
mit,3.1041341542702074
mitgebrocht,4.713572066704308
mitleidend,4.713572066704308
mitlides,4.713572066704308
morjen,4.308106958596143
mr,4.713572066704308
muehn,4.713572066704308
muen,4.308106958596143
mueß,4.713572066704308
mueßt,4.713572066704308
mäuje,3.797281334830153
möcht,4.713572066704308
mür,4.713572066704308
müsikant,4.713572066704308
na,2.7676619176489945
ne,4.713572066704308
nein,3.614959778036198
nia,4.713572066704308
niadierlich,4.713572066704308
nickend,4.308106958596143
niedere,4.713572066704308
nim,4.308106958596143
nit,2.6341305250244718
nix,4.713572066704308
no,4.0204248861443626
noch,3.327277705584417
nochher,4.713572066704308
not,4.713572066704308
numme,4.308106958596143
nur,4.308106958596143
nä,4.0204248861443626
näme,4.713572066704308
nämlich,4.713572066704308
ochs,4.713572066704308
oder,4.713572066704308
odr,4.308106958596143
owed,4.713572066704308
patient,1.6225296133459919
patiente,4.713572066704308
patienten,4.713572066704308
petrollofe,4.713572066704308
plafon,4.713572066704308
platz,4.713572066704308
prachtvolls,4.713572066704308
rachte,4.713572066704308
ramponiert,4.713572066704308
re,4.713572066704308
richt,4.713572066704308
rideau,4.713572066704308
rißtere,4.713572066704308
rot,4.713572066704308
ruej,4.713572066704308
röj,4.713572066704308
sach,4.308106958596143
sack,4.713572066704308
sandsäckl,4.713572066704308
sch,4.713572066704308
schaffe,4.713572066704308
scham,4.713572066704308
schint,4.713572066704308
schlaganfall,3.797281334830153
schlechten,4.713572066704308
schliesslig,4.713572066704308
schläj,4.713572066704308
schläujt,4.308106958596143
schmarze,4.713572066704308
schon,3.614959778036198
schpanne,4.713572066704308
schwitze,4.713572066704308
schwitzkürfür,4.713572066704308
schwitzt,4.713572066704308
se,3.1041341542702074
seh,4.713572066704308
sehn,4.713572066704308
seht,4.713572066704308
seije,4.713572066704308
seine,4.308106958596143
selbst,4.713572066704308
setze,4.713572066704308
sich,3.327277705584417
sie,2.074514737089049
sien,4.713572066704308
sin,3.797281334830153
singt,4.713572066704308
sini,4.713572066704308
sinn,4.713572066704308
sitze,4.713572066704308
sitzt,4.713572066704308
so,2.9218125974762525
soll,3.614959778036198
solle,4.713572066704308
sonscht,4.713572066704308
soviel,4.713572066704308
spaat,4.713572066704308
spielen,4.308106958596143
springt,4.713572066704308
stand,4.713572066704308
staurant,4.713572066704308
stella,4.713572066704308
stirne,4.713572066704308
strooß,4.713572066704308
sundheit,4.713572066704308
sähn,4.308106958596143
säuje,4.713572066704308
tanzsaal,4.713572066704308
tanzsaall,4.713572066704308
trinke,4.308106958596143
tritt,4.713572066704308
tuch,4.713572066704308
tuet,4.308106958596143
uewer,4.713572066704308
uewerhäupt,4.713572066704308
uewwer,4.713572066704308
uffleije,4.713572066704308
um,3.614959778036198
umaschlaga,4.308106958596143
un,2.5163474893680884
ungeduldi,4.308106958596143
universalmittel,4.713572066704308
uns,4.713572066704308
unserem,4.713572066704308
unserm,4.713572066704308
unsinn,4.308106958596143
unterhaltung,4.713572066704308
unwohl,4.713572066704308
verdrait,4.713572066704308
verfriere,4.713572066704308
verfriert,4.713572066704308
verfrore,3.797281334830153
verkältet,4.713572066704308
verlegener,4.308106958596143
verrückten,4.713572066704308
versteh,4.0204248861443626
verstehend,4.713572066704308
verstehn,4.0204248861443626
verständlich,4.713572066704308
versucht,4.713572066704308
verwundert,4.0204248861443626
verzwiefelt,4.713572066704308
verzähle,4.713572066704308
verächtlich,4.713572066704308
vieh,4.713572066704308
viel,4.0204248861443626
vielgeblöjtes,4.713572066704308
vin,4.713572066704308
vom,4.713572066704308
von,4.0204248861443626
vorgeschtr,4.713572066704308
vorsichtig,4.713572066704308
wahrschinlich,4.713572066704308
warme,4.0204248861443626
was,2.573505903208037
wasser,4.308106958596143
waye,4.713572066704308
weh,3.797281334830153
weinerlicher,4.713572066704308
welle,4.713572066704308
welt,4.713572066704308
wenig,4.713572066704308
wenn,2.9218125974762525
wer,4.713572066704308
wichtig,4.713572066704308
wickelt,4.713572066704308
widder,4.713572066704308
widdersch,3.614959778036198
widdr,4.0204248861443626
wie,3.614959778036198
wirt,4.308106958596143
wisse,4.0204248861443626
wo,3.209494669928034
woch,4.713572066704308
wohler,4.308106958596143
worum,4.308106958596143
wurd,4.308106958596143
wäj,4.713572066704308
wär,4.308106958596143
wäre,4.308106958596143
zang,4.713572066704308
zart,4.713572066704308
zeigt,3.46080909820894
zeye,4.713572066704308
zu,4.308106958596143
zue,4.308106958596143
zum,4.308106958596143
zung,3.797281334830153
zunge,4.308106958596143
zurücknehmend,4.713572066704308
zuschlagen,4.713572066704308
