words,idf
10,5.458215773031428
12,5.863680881139593
20,5.863680881139593
25,4.610917912644224
aah,5.863680881139593
ab,3.917770732084279
aba,5.863680881139593
abbekummee,5.863680881139593
abendglocke,5.863680881139593
abgehen,4.947390149265438
abgehend,4.947390149265438
abgekend,5.863680881139593
abnemme,5.863680881139593
abschliesse,5.863680881139593
ach,5.863680881139593
acht,5.863680881139593
aelterer,5.1705337005796475
aerm,5.458215773031428
affedutter,5.863680881139593
ah,4.947390149265438
ahnung,5.863680881139593
alfons,2.3373203565234313
alle,3.378774231351592
allei,4.765068592471483
allen,5.863680881139593
alles,4.254242968705492
allewil,5.458215773031428
allewäj,5.863680881139593
alli,5.458215773031428
allons,5.458215773031428
alphons,5.863680881139593
als,4.359603484363318
also,4.610917912644224
alt,4.765068592471483
alter,4.947390149265438
alterle,5.1705337005796475
alti,4.765068592471483
am,4.0719214119115374
amüsiere,5.863680881139593
an,3.4657856083412217
and,5.863680881139593
ander,5.1705337005796475
andere,4.947390149265438
anderi,5.863680881139593
andersch,5.458215773031428
andlig,4.947390149265438
andrs,5.458215773031428
ane,5.863680881139593
aneghebt,5.863680881139593
anegsteckt,5.863680881139593
anfang,5.863680881139593
angebrännt,5.458215773031428
angspritzt,5.863680881139593
angst,5.863680881139593
annahme,5.863680881139593
ans,4.947390149265438
anstandigi,5.863680881139593
anzewände,5.863680881139593
anzüglich,5.863680881139593
arich,5.863680881139593
arm,4.765068592471483
arnscht,5.458215773031428
ass,3.421333845770388
au,3.378774231351592
auch,4.947390149265438
aue,5.863680881139593
auf,3.8487778605973277
aufs,5.863680881139593
augenstern,5.863680881139593
aus,4.477386520019701
ausgezogen,5.863680881139593
ausziehen,5.863680881139593
autsch,5.863680881139593
auwe,5.863680881139593
awer,3.4657856083412217
babble,5.863680881139593
bad,5.863680881139593
barickes,5.863680881139593
barsch,5.863680881139593
batschhandele,5.863680881139593
bedrachte,5.458215773031428
bedüre,5.863680881139593
beide,4.765068592471483
beiden,5.458215773031428
beisammen,5.863680881139593
bekannte,5.863680881139593
bekomm,4.947390149265438
bekummsch,5.863680881139593
bekumsch,5.863680881139593
beleebt,5.863680881139593
beschte,5.863680881139593
besieht,5.863680881139593
besser,5.458215773031428
bestimmt,5.863680881139593
bett,4.610917912644224
bezitte,5.863680881139593
bhalte,5.863680881139593
bie,4.477386520019701
bild,5.863680881139593
bilder,5.863680881139593
bimbelebaasch,5.863680881139593
bin,3.917770732084279
bis,5.863680881139593
bisch,4.254242968705492
bischt,5.863680881139593
bissel,5.1705337005796475
bissele,5.863680881139593
bissig,5.863680881139593
bleiwiss,5.863680881139593
bliet,5.863680881139593
bliewe,4.947390149265438
block,5.863680881139593
