words,idf
ab,4.545778610473263
abnander,4.951243718581427
abschlàcke,4.951243718581427
academie,4.951243718581427
acceléré,4.951243718581427
accordiere,4.951243718581427
accordés,4.951243718581427
achsle,4.951243718581427
adie,4.951243718581427
affaires,4.951243718581427
ag,4.545778610473263
ah,4.258096538021482
aha,4.034952986707273
alle,3.6984807500860595
allerhand,4.951243718581427
alles,3.5649493574615367
allewil,4.258096538021482
allons,4.545778610473263
als,4.545778610473263
alt,4.951243718581427
alti,4.951243718581427
am,3.341805806147327
ample,4.951243718581427
an,3.5649493574615367
andere,3.8526314299133175
anderer,4.258096538021482
anderst,4.951243718581427
ane,4.545778610473263
anfang,4.951243718581427
anstatt,4.951243718581427
arg,4.951243718581427
arm,4.951243718581427
arme,4.951243718581427
armes,4.951243718581427
as,4.258096538021482
ass,2.6486586255873816
au,4.545778610473263
avant,4.545778610473263
awe,4.951243718581427
awer,3.8526314299133175
balwierer,4.951243718581427
bandeee,4.951243718581427
bass,4.951243718581427
bassin,4.951243718581427
basson,4.951243718581427
bedidde,4.545778610473263
bedient,4.951243718581427
bedienter,4.951243718581427
bedüre,4.951243718581427
beide,4.951243718581427
beleüchtet,4.951243718581427
besser,4.951243718581427
bessere,4.951243718581427
beste,4.545778610473263
bi,3.6984807500860595
bib,3.8526314299133175
bien,4.951243718581427
bier,4.951243718581427
bim,4.545778610473263
bis,3.341805806147327
bisch,4.951243718581427
blechg,4.951243718581427
blibt,4.951243718581427
bliwe,4.951243718581427
bloscht,4.951243718581427
breit,4.951243718581427
breiter,4.951243718581427
brennenden,4.951243718581427
brennt,4.545778610473263
bringe,4.545778610473263
brocke,4.545778610473263
brummt,4.545778610473263
brunscht,4.951243718581427
brüch,4.545778610473263
brüche,4.951243718581427
brücht,4.951243718581427
bàr,3.8526314299133175
bàre,4.258096538021482
bàretanz,4.545778610473263
bàse,4.545778610473263
bär,4.951243718581427
büewe,4.951243718581427
canapee,4.951243718581427
chef,4.951243718581427
chàràbià,4.034952986707273
cirque,4.951243718581427
complement,4.951243718581427
da,4.951243718581427
