words,idf
adie,4.58351893845611
adies,4.58351893845611
ag,4.178053830347945
ahànke,4.58351893845611
alle,4.178053830347945
allerhand,4.58351893845611
alles,3.8903717578961645
alleweg,4.58351893845611
allewil,4.58351893845611
als,3.4849066497880004
also,3.1972245773362196
am,4.58351893845611
an,3.667228206581955
ander,4.58351893845611
andere,4.58351893845611
anderst,4.178053830347945
andre,4.58351893845611
anfang,4.58351893845611
angst,4.58351893845611
angstlig,4.58351893845611
annonce,3.8903717578961645
anonce,4.58351893845611
arg,4.58351893845611
artikel,2.8787708462176846
artikele,4.58351893845611
as,4.58351893845611
ass,2.791759469228055
atràit,4.58351893845611
autorisation,4.58351893845611
awe,4.178053830347945
awer,3.667228206581955
aüg,4.58351893845611
baüt,4.58351893845611
bedenklig,4.58351893845611
bekomm,4.178053830347945
bessers,4.58351893845611
bi,3.330755969960742
bien,4.178053830347945
biku,4.58351893845611
bikunnt,4.58351893845611
bim,4.58351893845611
bin,4.178053830347945
bis,2.9740810260220094
bitt,4.58351893845611
bitzi,4.58351893845611
bleche,4.58351893845611
blibt,4.58351893845611
bliwe,4.58351893845611
bonne,4.58351893845611
brüche,4.58351893845611
brücht,4.58351893845611
brüt,4.58351893845611
bst,4.58351893845611
bynander,4.58351893845611
bàwele,2.0577902941478543
büchstawe,4.58351893845611
büechstawe,4.58351893845611
charakter,4.58351893845611
civilisierter,4.58351893845611
das,2.386294361119891
de,4.58351893845611
dem,4.178053830347945
denke,4.58351893845611
denkt,4.178053830347945
denn,2.9740810260220094
der,4.58351893845611
derbi,4.58351893845611
derf,4.58351893845611
derfe,4.58351893845611
derfir,4.58351893845611
derfsch,4.58351893845611
dermit,4.178053830347945
derno,3.4849066497880004
dert,4.178053830347945
derzüe,4.58351893845611
des,4.58351893845611
die,3.8903717578961645
ding,3.330755969960742
do,2.791759469228055
doch,2.8787708462176846
dr,2.6376087894007965
dra,3.667228206581955
dri,3.667228206581955
druckt,4.58351893845611
druf,3.8903717578961645
drum,4.178053830347945
dràihe,4.58351893845611
drücen,3.0794415416798357
dunte,4.58351893845611
dur,3.4849066497880004
dà,3.667228206581955
dü,4.58351893845611
eb,3.8903717578961645
ebber,4.178053830347945
ebbes,3.330755969960742
ebes,4.58351893845611
ecke,4.58351893845611
eenfach,4.58351893845611
eh,4.178053830347945
ehen,4.178053830347945
ei,4.178053830347945
eigentlig,4.58351893845611
eigethümer,4.58351893845611
eim,4.58351893845611
ein,4.58351893845611
eins,4.58351893845611
eithüen,4.58351893845611
em,2.7117167615545186
eme,3.8903717578961645
emol,4.178053830347945
enander,4.178053830347945
end,4.58351893845611
ene,3.667228206581955
enfin,4.58351893845611
entrez,4.58351893845611
er,2.504077396776274
ere,3.8903717578961645
es,3.4849066497880004
eso,2.7117167615545186
est,4.58351893845611
etc,4.58351893845611
ewe,4.178053830347945
eweg,4.58351893845611
extrapost,3.330755969960742
eüer,4.58351893845611
fahlt,4.58351893845611
fahrt,4.58351893845611
fal,4.58351893845611
fallt,3.8903717578961645
famili,4.58351893845611
fangt,3.8903717578961645
fenster,4.58351893845611
ferig,3.8903717578961645
fille,4.178053830347945
find,3.667228206581955
fir,2.1856236656577392
fliege,4.58351893845611
folgen,4.58351893845611
frage,4.58351893845611
fraü,3.0794415416798357
freia,4.58351893845611
freidig,4.58351893845611
frinde,4.178053830347945
froge,4.178053830347945
fräide,4.58351893845611
frühe,4.58351893845611
furt,4.178053830347945
fàhr,3.8903717578961645
fähle,4.58351893845611
füess,4.58351893845611
gald,3.8903717578961645
gang,4.178053830347945
ganz,3.0794415416798357
ganze,4.178053830347945
gar,3.8903717578961645
geh,3.4849066497880004
geht,3.1972245773362196
geje,4.178053830347945
gen,4.178053830347945
genüe,4.178053830347945
genüeg,4.58351893845611
gern,3.8903717578961645
gieng,4.58351893845611
git,3.667228206581955
glaüwe,4.58351893845611
glich,3.667228206581955
gliche,4.178053830347945
glöüwe,4.178053830347945
gott,4.58351893845611
grab,4.58351893845611
gradi,3.667228206581955
gross,4.58351893845611
grosse,4.178053830347945
guten,2.6376087894007965
gàn,4.58351893845611
gàns,4.178053830347945
ha,2.8787708462176846
hait,4.58351893845611
hals,4.58351893845611
halteeee,4.58351893845611
halwe,3.4849066497880004
hand,4.58351893845611
handwerk,4.58351893845611
hat,3.667228206581955
heb,4.58351893845611
hein,3.8903717578961645
her,4.58351893845611
herr,1.780158557549575
heure,4.58351893845611
hi,4.178053830347945
hiroth,4.178053830347945
hirothe,3.1972245773362196
hirothet,4.58351893845611
hirothsatrag,4.178053830347945
hirothsg,4.58351893845611
hit,3.8903717578961645
hm,4.58351893845611
hochziter,4.58351893845611
hoffe,4.58351893845611
hofft,4.58351893845611
hoft,4.178053830347945
holz,4.58351893845611
hose,4.58351893845611
huus,3.667228206581955
hà,4.58351893845611
hàn,4.178053830347945
hànd,4.58351893845611
hàndel,4.58351893845611
hälfte,4.58351893845611
hätt,4.178053830347945
hätte,4.58351893845611
höche,4.58351893845611
höcher,4.178053830347945
hüeschtet,4.58351893845611
ich,1.750305594399894
idee,4.58351893845611
ihne,4.58351893845611
ihr,4.58351893845611
ihre,3.4849066497880004
im,3.0794415416798357
immer,4.58351893845611
in,2.6376087894007965
ine,3.8903717578961645
inàh,4.58351893845611
isch,1.9808292530117262
itrage,4.58351893845611
iwereins,4.58351893845611
iwerlese,4.178053830347945
iwwel,4.178053830347945
jetz,2.504077396776274
jo,3.4849066497880004
journal,4.58351893845611
jungfre,4.58351893845611
jungi,2.791759469228055
ka,3.0794415416798357
kanne,4.58351893845611
kei,3.4849066497880004
keine,4.178053830347945
keiner,4.58351893845611
kieh,4.178053830347945
kilwe,4.58351893845611
klaga,4.58351893845611
klei,4.58351893845611
klopft,4.58351893845611
kläiner,4.58351893845611
kneit,4.58351893845611
koste,4.58351893845611
kostet,4.178053830347945
kumme,3.667228206581955
kummennt,4.178053830347945
kunnt,2.8787708462176846
kurz,4.58351893845611
kàsblättle,4.58351893845611
kämme,4.178053830347945
kännt,4.178053830347945
küm,3.8903717578961645
la,4.58351893845611
lab,4.178053830347945
landen,3.667228206581955
langer,3.667228206581955
lehn,4.178053830347945
lese,4.178053830347945
letschte,4.58351893845611
liawe,3.667228206581955
liawer,4.58351893845611
lieg,4.58351893845611
lige,4.58351893845611
linie,4.178053830347945
lipfe,4.58351893845611
list,4.58351893845611
lit,4.178053830347945
litenei,4.58351893845611
lo,3.0794415416798357
lose,4.178053830347945
làngt,4.58351893845611
läre,3.8903717578961645
läuten,3.8903717578961645
lüege,4.58351893845611
lüegt,4.58351893845611
mach,4.58351893845611
mache,3.0794415416798357
macht,4.58351893845611
manöver,4.58351893845611
me,2.9740810260220094
meinen,3.330755969960742
meint,4.58351893845611
meiste,4.58351893845611
mensch,2.9740810260220094
