words,idf
19,6.096812990337308
aaaaaah,6.096812990337308
aaaaah,6.096812990337308
aase,5.6913478822291435
ab,4.84405002184194
ablenkend,6.096812990337308
affektiert,6.096812990337308
ah,4.710518629217417
aha,4.4873750779032076
aij,5.6913478822291435
ain,6.096812990337308
ainer,6.096812990337308
aktien,6.096812990337308
alle,4.84405002184194
allem,6.096812990337308
allerläi,6.096812990337308
alles,4.84405002184194
allewil,5.403665809777363
alli,4.710518629217417
allons,6.096812990337308
als,4.592735593561034
also,5.403665809777363
am,4.4873750779032076
amt,6.096812990337308
an,3.9567468268410373
anatomie,5.403665809777363
and,6.096812990337308
andlig,6.096812990337308
andrs,6.096812990337308
angst,4.998200701669198
anne,6.096812990337308
anonym,6.096812990337308
anonyms,6.096812990337308
ans,6.096812990337308
anse,6.096812990337308
anze,5.6913478822291435
ar,4.710518629217417
arzhallung,6.096812990337308
arzhallunk,6.096812990337308
as,4.225010813435716
atemzuge,6.096812990337308
au,6.096812990337308
auf,4.017371448657473
auflachend,5.6913478822291435
augen,5.6913478822291435
auje,6.096812990337308
aus,5.6913478822291435
außen,6.096812990337308
aw,3.4941233048929243
awer,6.096812990337308
aß,5.180522258463153
aüf,5.6913478822291435
aüj,6.096812990337308
bab,6.096812990337308
babbel,6.096812990337308
babble,5.403665809777363
balle,6.096812990337308
bammer,6.096812990337308
bangelt,6.096812990337308
bangert,4.998200701669198
bann,5.403665809777363
banwart,6.096812990337308
basse,6.096812990337308
baßt,6.096812990337308
be,6.096812990337308
bedankt,6.096812990337308
bee,6.096812990337308
beeses,5.6913478822291435
befahl,5.180522258463153
begläuwigt,6.096812990337308
beide,5.6913478822291435
beiden,6.096812990337308
beine,6.096812990337308
beköönt,5.403665809777363
beleebt,5.403665809777363
belt,6.096812990337308
belustigt,6.096812990337308
beläi,6.096812990337308
beläidig,6.096812990337308
bes,5.180522258463153
beschde,6.096812990337308
beschte,5.6913478822291435
besen,6.096812990337308
besser,5.6913478822291435
bestürzt,6.096812990337308
beteuernd,6.096812990337308
betonend,5.6913478822291435
betriewe,6.096812990337308
beweise,5.403665809777363
bhäupte,6.096812990337308
bhäuptee,6.096812990337308
bie,4.592735593561034
biegebroocht,6.096812990337308
biem,5.6913478822291435
biezekume,6.096812990337308
bilde,6.096812990337308
bin,5.180522258463153
bis,4.392064898098883
bisch,4.84405002184194
bisehs,6.096812990337308
bissel,6.096812990337308
bissi,6.096812990337308
bleß,6.096812990337308
bliet,6.096812990337308
bliewe,5.6913478822291435
blinzelnd,6.096812990337308
blinzelt,5.6913478822291435
blöde,6.096812990337308
blööl,6.096812990337308
blüs,5.180522258463153
boden,6.096812990337308
bolizediener,6.096812990337308
bolizejdiener,4.150902841281995
bon,6.096812990337308
bragon,6.096812990337308
bragonniert,6.096812990337308
breitspurig,6.096812990337308
briahla,4.84405002184194
bricht,6.096812990337308
briech,6.096812990337308
briechhewwel,6.096812990337308
broodelt,6.096812990337308
brust,6.096812990337308
bräit,6.096812990337308
brüch,6.096812990337308
brüche,6.096812990337308
brüellt,6.096812990337308
bschläujnahmt,6.096812990337308
bscht,5.180522258463153
bschäid,6.096812990337308
bseht,6.096812990337308
bsucht,6.096812990337308
bu,6.096812990337308
buckel,5.6913478822291435
bur,5.180522258463153
burjemä,6.096812990337308
burjerm,6.096812990337308
burjermäisch,5.6913478822291435
burjermäischter,3.126398524767607
burjermäisehter,6.096812990337308
burjrmäischter,6.096812990337308
bynander,6.096812990337308
bäin,5.6913478822291435
bäitz,6.096812990337308
bööl,6.096812990337308
bürgermeister,6.096812990337308
büschbere,5.6913478822291435
büschbert,6.096812990337308
ch,6.096812990337308
chris,6.096812990337308
chrisc,6.096812990337308
chrischtoff,6.096812990337308
chrischtoph,2.13599982073973
chrisehtoph,6.096812990337308
christoph,5.180522258463153
chter,6.096812990337308
ckelter,6.096812990337308
da,5.6913478822291435
daachti,6.096812990337308
daaj,6.096812990337308
daat,4.84405002184194
daate,5.403665809777363
dabei,6.096812990337308
daffeti,6.096812990337308
dam,5.6913478822291435
dane,4.998200701669198
daniel,2.5852675515062873
daniels,5.403665809777363
dankt,6.096812990337308
dann,3.179042258253029
danne,4.84405002184194
dar,4.392064898098883
dare,5.6913478822291435
das,5.6913478822291435
dato,5.6913478822291435
datum,6.096812990337308
daumen,6.096812990337308
daß,3.355972966412107
de,3.355972966412107
deck,5.403665809777363
deckel,5.6913478822291435
deckt,6.096812990337308
dej,6.096812990337308
dejhanker,5.180522258463153
deklariere,6.096812990337308
dem,4.4873750779032076
demission,6.096812990337308
den,4.017371448657473
dene,5.403665809777363
denn,5.180522258463153
denne,5.6913478822291435
der,4.225010813435716
derf,5.6913478822291435
derft,6.096812990337308
dert,5.6913478822291435
dertmol,6.096812990337308
des,4.592735593561034
deutet,6.096812990337308
devum,6.096812990337308
devun,5.6913478822291435
deß,6.096812990337308
dhor,6.096812990337308
dhäime,6.096812990337308
dhüer,5.403665809777363
dhüere,6.096812990337308
dhür,5.6913478822291435
dich,4.305053521109253
die,2.983297681126934
dieh,5.6913478822291435
diem,6.096812990337308
diemol,6.096812990337308
dienschtlich,6.096812990337308
diensehtlich,6.096812990337308
dienstlich,6.096812990337308
dies,3.263599646281092
diesmol,5.6913478822291435
digungsparagraph,6.096812990337308
dim,5.180522258463153
din,5.180522258463153
dine,6.096812990337308
diner,6.096812990337308
dinger,6.096812990337308
dins,6.096812990337308
dir,5.180522258463153
disch,5.6913478822291435
dischbediere,6.096812990337308
do,3.0763881041929455
doch,3.4577556607220497
