words,idf
aaaah,5.5217885770490405
aam,4.605497845174885
aan,5.5217885770490405
aaner,4.828641396489095
aanfälti,4.828641396489095
aanfältiger,5.5217885770490405
aans,5.116323468940876
ab,4.828641396489095
abah,5.5217885770490405
abkanzle,5.5217885770490405
abrennerej,5.5217885770490405
abschlaawe,5.5217885770490405
adam,4.605497845174885
aeh,5.116323468940876
ah,4.828641396489095
aha,4.828641396489095
ahnung,5.5217885770490405
alle,4.4231762883809305
alles,4.4231762883809305
allewil,5.116323468940876
allewäej,5.116323468940876
allgemeine,5.5217885770490405
alli,5.116323468940876
als,5.116323468940876
alt,4.828641396489095
alter,4.605497845174885
alti,5.5217885770490405
alts,5.5217885770490405
am,4.4231762883809305
an,4.13549421592915
anamitle,5.5217885770490405
andauernd,5.5217885770490405
ander,5.5217885770490405
andere,5.116323468940876
anderschs,5.5217885770490405
anfang,5.116323468940876
angeläjeheite,5.5217885770490405
angenähjt,5.5217885770490405
anhüche,5.5217885770490405
anne,5.5217885770490405
anoch,5.5217885770490405
anständi,5.5217885770490405
antwort,5.5217885770490405
apfel,4.828641396489095
arig,4.828641396489095
arm,5.5217885770490405
arme,5.5217885770490405
astronomische,5.5217885770490405
au,3.3817224135527697
auf,3.7300291078209855
aufgestanden,5.5217885770490405
aufhorchend,5.5217885770490405
aufschrei,5.5217885770490405
aus,5.116323468940876
ausgelassen,5.5217885770490405
aw,2.718428196142505
aß,5.116323468940876
babbel,5.5217885770490405
bal,5.5217885770490405
bank,4.605497845174885
bareplee,5.5217885770490405
barriek,5.5217885770490405
basse,5.5217885770490405
batsche,5.5217885770490405
bedauernd,5.5217885770490405
bedenke,5.5217885770490405
behüet,5.5217885770490405
beide,4.605497845174885
beißt,5.116323468940876
bekomm,5.5217885770490405
beleebt,5.5217885770490405
belle,5.5217885770490405
bestimmt,5.5217885770490405
bettlad,5.5217885770490405
bhandelt,5.5217885770490405
biem,5.5217885770490405
bimbelebaasch,5.5217885770490405
bin,4.4231762883809305
bis,5.116323468940876
bisch,4.017711180272766
bissel,4.4231762883809305
bissele,5.5217885770490405
bissi,5.5217885770490405
biß,4.828641396489095
blie,5.5217885770490405
bliewe,5.116323468940876
bluetwurscht,5.5217885770490405
blüehjt,5.5217885770490405
brava,5.5217885770490405
breitet,5.5217885770490405
bringt,5.5217885770490405
brust,5.5217885770490405
brücht,5.5217885770490405
bscht,5.5217885770490405
bsorjt,5.116323468940876
bsunders,5.5217885770490405
buckel,5.5217885770490405
bue,5.5217885770490405
burscht,5.5217885770490405
bynander,4.828641396489095
bängle,5.5217885770490405
bébé,5.5217885770490405
böes,4.828641396489095
bühne,5.5217885770490405
chambre,5.5217885770490405
charakter,5.5217885770490405
cques,4.269025608553672
daa,4.4231762883809305
dab,5.5217885770490405
daet,5.5217885770490405
danke,5.5217885770490405
dann,5.116323468940876
dappe,5.5217885770490405
das,5.116323468940876
datteri,5.5217885770490405
daß,3.506885556506776
de,3.91235066461494
dem,3.7300291078209855
demnooch,5.5217885770490405
den,4.605497845174885
dene,5.116323468940876
denke,5.5217885770490405
denn,3.506885556506776
