words,idf
71,6.349485653122436
aase,5.944020545014272
ab,5.250873364454327
abfüehre,6.349485653122436
abfüehrmittel,6.349485653122436
absatz,6.349485653122436
abschläe,6.349485653122436
abwehrend,6.349485653122436
adraßbuech,6.349485653122436
aelterer,6.349485653122436
aermel,6.349485653122436
affe,6.349485653122436
ah,5.4331949212482815
aha,5.4331949212482815
aij,6.349485653122436
ain,6.349485653122436
alle,3.8237570088141806
allem,6.349485653122436
allerwaltslottel,6.349485653122436
alles,6.349485653122436
allewaj,5.944020545014272
allewil,5.944020545014272
alli,4.6447375608840105
allmählich,6.349485653122436
allons,5.944020545014272
allseits,5.656338472562491
als,6.349485653122436
alsace,6.349485653122436
also,5.4331949212482815
alt,5.944020545014272
alter,5.944020545014272
alti,6.349485653122436
am,4.845408256346162
amt,6.349485653122436
an,4.477683476220845
anderer,6.349485653122436
andlig,6.349485653122436
andrs,2.8379402142914154
angelangt,6.349485653122436
angst,6.349485653122436
anlejes,6.349485653122436
anne,5.4331949212482815
anno,6.349485653122436
ans,6.349485653122436
anschauenden,6.349485653122436
anträuej,6.349485653122436
apall,6.349485653122436
appetit,6.349485653122436
ar,5.656338472562491
arriver,6.349485653122436
arwäit,5.944020545014272
as,4.740047740688336
asse,5.944020545014272
atemlos,6.349485653122436
attention,5.944020545014272
au,6.349485653122436
auejesblick,6.349485653122436
auf,3.7845362956608994
aufblitzen,6.349485653122436
auflachend,5.944020545014272
augen,5.944020545014272
aus,5.944020545014272
ausgeführt,6.349485653122436
ausschank,6.349485653122436
außer,4.845408256346162
aw,3.3290607669780736
awr,6.349485653122436
aß,5.944020545014272
babble,6.349485653122436
bange,6.349485653122436
bank,6.349485653122436
barbe,4.6447375608840105
barwere,6.349485653122436
basche,6.349485653122436
base,6.349485653122436
batscht,6.349485653122436
bauernbursche,6.349485653122436
bedenke,5.656338472562491
bedrachte,6.349485653122436
beherrsche,6.349485653122436
beide,6.349485653122436
beim,6.349485653122436
beistimmendes,6.349485653122436
bekläidt,6.349485653122436
bekomm,6.349485653122436
beleuchtet,6.349485653122436
bellt,6.349485653122436
beläidig,6.349485653122436
berechtigter,6.349485653122436
beschte,6.349485653122436
beschwichtigend,6.349485653122436
besorgt,6.349485653122436
besser,6.349485653122436
bettel,6.349485653122436
bie,4.845408256346162
biebringe,6.349485653122436
biem,5.250873364454327
bienöönd,5.656338472562491
bier,4.845408256346162
bierausschank,5.944020545014272
bild,6.349485653122436
bin,4.845408256346162
bis,5.4331949212482815
bisch,5.096722684627069
bissel,6.349485653122436
blamiere,6.349485653122436
blatt,6.349485653122436
blick,6.349485653122436
blie,6.349485653122436
bliet,5.656338472562491
bliewe,4.740047740688336
blitzi,6.349485653122436
blitzt,6.349485653122436
bloose,6.349485653122436
bläibe,6.349485653122436
blöuj,6.349485653122436
blüht,5.944020545014272
bodde,5.944020545014272
bode,6.349485653122436
boden,6.349485653122436
bonheur,6.349485653122436
brandangriff,6.349485653122436
branddirakter,6.349485653122436
branddirrakter,6.349485653122436
brandmaischter,6.349485653122436
brandmäischter,3.9515903803240655
brandmäischtere,4.963191292002545
bravo,4.403575504067122
brennenden,6.349485653122436
bricht,6.349485653122436
brootwurscht,5.944020545014272
brust,5.250873364454327
brüch,6.349485653122436
buckel,6.349485653122436
bumbié,6.349485653122436
bumbiéangelajehäite,6.349485653122436
bumbiés,6.349485653122436
burjerslytt,6.349485653122436
bursche,5.656338472562491
burschen,4.2700441114425995
bäin,6.349485653122436
bööl,5.096722684627069
büürekaasle,6.349485653122436
casque,6.349485653122436
chorps,6.349485653122436
chorus,6.349485653122436
cing,6.349485653122436
clairons,5.944020545014272
commencer,6.349485653122436
compagnie,6.349485653122436
coups,6.349485653122436
daaj,6.349485653122436
daat,5.656338472562491
daats,6.349485653122436
dam,6.349485653122436
dane,5.4331949212482815
daniel,2.6859240069927894
dankee,6.349485653122436
dann,4.740047740688336
dar,5.096722684627069
dare,6.349485653122436
das,5.250873364454327
dazwischen,5.944020545014272
daß,3.907138617753232
de,4.046900560128391
dem,5.250873364454327
den,4.477683476220845
dene,6.349485653122436
denewaj,6.349485653122436
denk,6.349485653122436
denke,6.349485653122436
denn,5.944020545014272
dennewaj,6.349485653122436
der,4.403575504067122
deraschiere,6.349485653122436
derf,5.944020545014272
derfe,5.656338472562491
dert,6.349485653122436
dessert,6.349485653122436
devun,5.944020545014272
dhuen,6.349485653122436
dhäime,5.4331949212482815
dhüer,5.096722684627069
di,6.349485653122436
dich,4.740047740688336
die,2.8379402142914154
diefschte,6.349485653122436
dienscht,5.4331949212482815
dienschtjubiläum,6.349485653122436
dienschtjübiläum,5.656338472562491
dienschtkapp,6.349485653122436
dies,3.7845362956608994
dieselbe,5.944020545014272
diesmol,6.349485653122436
dieß,6.349485653122436
dim,6.349485653122436
din,6.349485653122436
dine,6.349485653122436
dini,5.944020545014272
dir,4.963191292002545
disch,6.349485653122436
discheck,5.096722684627069
dischplatt,6.349485653122436
disziplin,5.944020545014272
do,3.4050466739559955
doch,3.7845362956608994
dogebliewe,6.349485653122436
doppelt,6.349485653122436
doppelter,6.349485653122436
dorum,6.349485653122436
dr,6.349485653122436
drackiter,6.349485653122436
dreck,5.656338472562491
dreht,6.349485653122436
dreien,6.349485653122436
drej,5.656338472562491
drescher,6.349485653122436
driewwe,6.349485653122436
dringer,6.349485653122436
drinne,5.944020545014272
dritt,6.349485653122436
droon,5.656338472562491
drowwe,6.349485653122436
druff,5.096722684627069
druffgehn,6.349485653122436
drum,5.944020545014272
drückt,5.944020545014272
drüsse,5.944020545014272
dunkle,5.944020545014272
durch,5.944020545014272
durst,6.349485653122436
dutter,6.349485653122436
däifels,6.349485653122436
däub,6.349485653122436
däubhäite,5.944020545014272
däuej,5.944020545014272
dörfel,5.944020545014272
döönz,6.349485653122436
dü,4.098193854515941
ebenfalls,6.349485653122436
ebredäuej,6.349485653122436
ebs,4.209419489626166
eck,5.944020545014272
ecke,6.349485653122436
eenfach,6.349485653122436
eens,6.349485653122436
ees,6.349485653122436
eesmols,6.349485653122436
ehr,6.349485653122436
ehredäuej,6.349485653122436
ehrespalier,6.349485653122436
eilt,5.4331949212482815
ein,4.557726183894381
eine,5.4331949212482815
einem,5.656338472562491
einigemale,6.349485653122436
einschenken,6.349485653122436
elanger,6.349485653122436
elektrisch,5.944020545014272
elsassisch,6.349485653122436
elsaß,6.349485653122436
emol,3.8237570088141806
en,6.349485653122436
ene,6.349485653122436
engelsgeduld,6.349485653122436
entrer,6.349485653122436
entsetzt,6.349485653122436
entweder,6.349485653122436
enööndernooch,6.349485653122436
erbebt,6.349485653122436
erbost,6.349485653122436
ere,6.349485653122436
ererscht,6.349485653122436
eriewwer,6.349485653122436
ering,5.656338472562491
erlawe,5.944020545014272
erraacht,6.349485653122436
erscheint,6.349485653122436
erschreekt,6.349485653122436
erscht,4.845408256346162
erschte,6.349485653122436
erstaunt,6.349485653122436
erum,6.349485653122436
erüs,6.349485653122436
erüsgeen,6.349485653122436
eso,5.096722684627069
etwas,5.656338472562491
ewack,4.557726183894381
ewackrasiert,6.349485653122436
ewackschmattere,6.349485653122436
ewefalls,6.349485653122436
ewige,6.349485653122436
ewwe,5.944020545014272
exküse,6.349485653122436
exküsiere,6.349485653122436
extra,5.944020545014272
extras,5.944020545014272
exécution,6.349485653122436
fahlerhafter,6.349485653122436
fal,6.349485653122436
falla,6.349485653122436
fang,6.349485653122436
fange,6.349485653122436
fangt,5.944020545014272
fascht,5.944020545014272
fatze,6.349485653122436
faust,4.845408256346162
fauteuil,6.349485653122436
faßt,6.349485653122436
fellt,6.349485653122436
fenster,6.349485653122436
fer,4.557726183894381
ferne,6.349485653122436
ferti,5.944020545014272
fescht,5.944020545014272
feschtdäuej,6.349485653122436
fiehre,6.349485653122436
fiener,6.349485653122436
fienschte,6.349485653122436
fiere,5.944020545014272
finfezwanzigjahrig,5.944020545014272
finfezwanzigjahrigs,5.944020545014272
finge,6.349485653122436
finger,6.349485653122436
finster,6.349485653122436
finstern,6.349485653122436
flink,6.349485653122436
flintekolwe,6.349485653122436
fouler,6.349485653122436
frack,6.349485653122436
france,6.349485653122436
francs,6.349485653122436
franke,6.349485653122436
franzeesch,4.845408256346162
franzeescher,6.349485653122436
franzose,5.4331949212482815
freia,5.944020545014272
fremde,6.349485653122436
fremdi,6.349485653122436
friehjer,6.349485653122436
frinde,6.349485653122436
frisch,5.944020545014272
fräid,5.4331949212482815
fränkle,5.944020545014272
fräu,4.740047740688336
fröiij,6.349485653122436
fröij,5.944020545014272
furt,6.349485653122436
fyrdi,5.944020545014272
fähle,5.944020545014272
fäierwehr,6.349485653122436
fæhler,6.349485653122436
füeß,5.944020545014272
füfzig,6.349485653122436
füfzigjahrigs,6.349485653122436
fünf,5.656338472562491
fünfezwanzig,5.656338472562491
füscht,5.4331949212482815
gald,5.944020545014272
gall,5.250873364454327
galte,6.349485653122436
garde,6.349485653122436
gare,6.349485653122436
gasse,6.349485653122436
gaststube,5.656338472562491
gebildet,6.349485653122436
gebliewe,6.349485653122436
gebott,6.349485653122436
gebroocht,5.944020545014272
gebückt,6.349485653122436
gedankt,6.349485653122436
gedappt,6.349485653122436
gedenkt,6.349485653122436
gedämpft,6.349485653122436
geh,5.4331949212482815
gehn,5.944020545014272
gehsch,6.349485653122436
geht,4.963191292002545
geje,5.4331949212482815
gejenem,6.349485653122436
geklatscht,6.349485653122436
gekränkt,6.349485653122436
gelajehäit,6.349485653122436
gelander,6.349485653122436
gelassen,6.349485653122436
gelehrt,6.349485653122436
geleitet,6.349485653122436
gelte,6.349485653122436
gelächter,5.656338472562491
gemachti,6.349485653122436
gemammelt,6.349485653122436
gemeine,6.349485653122436
gemurmel,6.349485653122436
gemäinerooth,6.349485653122436
genick,6.349485653122436
genieköpf,6.349485653122436
genuej,4.963191292002545
genumme,5.944020545014272
genäuej,6.349485653122436
genüej,6.349485653122436
geroote,5.944020545014272
geschieht,5.944020545014272
geschmeichelt,6.349485653122436
geschriewe,6.349485653122436
geschäftig,5.944020545014272
gespreitzte,6.349485653122436
gesündhäit,6.349485653122436
getrunke,5.4331949212482815
gewahn,5.4331949212482815
gewinne,6.349485653122436
gewissenhafte,6.349485653122436
gewohnt,6.349485653122436
gewoort,6.349485653122436
gewöijt,6.349485653122436
gezwungen,6.349485653122436
geöffneten,6.349485653122436
gfillt,6.349485653122436
ghalte,5.944020545014272
gheert,6.349485653122436
ghet,6.349485653122436
ghylt,6.349485653122436
ghäiße,6.349485653122436
ghöert,6.349485653122436
gift,6.349485653122436
giftiger,6.349485653122436
gilt,5.656338472562491
gitt,5.096722684627069
glaasel,5.250873364454327
glas,5.656338472562491
gleeser,5.656338472562491
glich,5.944020545014272
glidder,6.349485653122436
glycerin,6.349485653122436
glöüwe,6.349485653122436
goor,4.845408256346162
gott,6.349485653122436
gottsejdank,6.349485653122436
gottswille,6.349485653122436
grießerli,6.349485653122436
grinsend,5.250873364454327
grood,4.963191292002545
grooßel,6.349485653122436
gross,6.349485653122436
großer,6.349485653122436
großi,6.349485653122436
gröscht,6.349485653122436
grösseren,6.349485653122436
grüen,6.349485653122436
grümbeeresalot,5.944020545014272
gsahne,5.656338472562491
gsalze,6.349485653122436
gschieds,6.349485653122436
gschiedt,6.349485653122436
gschlacks,6.349485653122436
gschmecke,5.944020545014272
gschmeckt,6.349485653122436
gschmisse,6.349485653122436
gschrei,6.349485653122436
gschütz,6.349485653122436
gsellschaft,6.349485653122436
gsetzle,6.349485653122436
gsäit,5.656338472562491
guetem,6.349485653122436
guets,6.349485653122436
gurjel,6.349485653122436
guten,4.740047740688336
gäuckelhirn,6.349485653122436
göönz,4.963191292002545
göönze,5.944020545014272
gück,6.349485653122436
gückelhahn,6.349485653122436
hab,5.096722684627069
hahaha,6.349485653122436
hahne,5.944020545014272
halb,5.944020545014272
halbmaschöjjes,6.349485653122436
halt,6.349485653122436
halte,4.557726183894381
haltela,6.349485653122436
haltsch,6.349485653122436
hand,6.349485653122436
har,5.944020545014272
hare,5.4331949212482815
haregschliche,6.349485653122436
harr,3.9981103959589586
harrer,6.349485653122436
harrjesses,6.349485653122436
harrschaft,6.349485653122436
harzeläid,6.349485653122436
harzkaferle,6.349485653122436
hatt,5.4331949212482815
hatte,6.349485653122436
hattsch,5.944020545014272
hauptsächli,6.349485653122436
hausschlüssel,6.349485653122436
haut,6.349485653122436
hawi,5.944020545014272
hawich,5.4331949212482815
heendel,6.349485653122436
heer,6.349485653122436
heere,6.349485653122436
heert,6.349485653122436
heide,6.349485653122436
heiden,5.944020545014272
heilich,6.349485653122436
hein,5.4331949212482815
herr,4.403575504067122
herum,6.349485653122436
hesch,5.096722684627069
het,3.864579003334436
hewwe,6.349485653122436
hier,6.349485653122436
hilf,6.349485653122436
hin,6.349485653122436
hinaus,4.963191292002545
hindeburri,6.349485653122436
hinge,5.944020545014272
hingenooch,6.349485653122436
hingerschte,6.349485653122436
hingeviri,6.349485653122436
hinne,5.4331949212482815
hint,6.349485653122436
hinter,5.096722684627069
hintersten,6.349485653122436
hinzu,6.349485653122436
hitzi,6.349485653122436
ho,5.656338472562491
hochschwingend,6.349485653122436
hochv,5.944020545014272
hoffe,5.944020545014272
hoffetli,5.4331949212482815
hoft,5.944020545014272
hohkinnisburri,6.349485653122436
hole,6.349485653122436
hool,6.349485653122436
hopp,5.656338472562491
hoppla,5.656338472562491
hott,6.349485653122436
hottel,6.349485653122436
hou,6.349485653122436
hupp,5.096722684627069
hurtli,6.349485653122436
hyle,6.349485653122436
hynt,5.250873364454327
hyt,4.963191292002545
hähähä,5.656338472562491
hähähähähä,6.349485653122436
häim,5.944020545014272
häime,6.349485653122436
hände,6.349485653122436
hätt,5.944020545014272
häueje,6.349485653122436
häuptsach,6.349485653122436
höcher,5.250873364454327
höchschtens,6.349485653122436
höere,6.349485653122436
höhe,6.349485653122436
hörbar,6.349485653122436
hören,6.349485653122436
höön,4.209419489626166
hüehner,6.349485653122436
ich,2.852978091655956
iewer,6.349485653122436
iewerall,6.349485653122436
iewerhäupt,5.944020545014272
iewerzwarchs,6.349485653122436
iewri,5.944020545014272
iewwer,5.944020545014272
ihm,5.656338472562491
ihn,5.944020545014272
ihr,4.2700441114425995
iir,6.349485653122436
im,4.152261075786217
immer,5.944020545014272
imstöönd,6.349485653122436
in,3.8237570088141806
inbüsordination,6.349485653122436
inbüssion,6.349485653122436
indischi,6.349485653122436
ing,4.963191292002545
inger,6.349485653122436
ingersteh,6.349485653122436
ingexerziert,6.349485653122436
ingfiehre,6.349485653122436
inggebildt,6.349485653122436
inggelade,6.349485653122436
inggfüehrt,6.349485653122436
inggschankt,6.349485653122436
ins,5.944020545014272
intressiert,6.349485653122436
inzwischen,6.349485653122436
irjes,6.349485653122436
isch,3.0352996484499104
ist,6.349485653122436
iwerfalle,6.349485653122436
iwwel,6.349485653122436
ja,4.046900560128391
jaja,4.845408256346162
jammer,6.349485653122436
jaso,6.349485653122436
je,6.349485653122436
jedem,6.349485653122436
jeder,5.656338472562491
jedere,6.349485653122436
jehar,6.349485653122436
jetz,3.2814327179888187
jetzt,5.4331949212482815
jine,6.349485653122436
jischt,6.349485653122436
jo,3.6753370036959074
johr,5.096722684627069
johre,6.349485653122436
jojo,5.656338472562491
jovial,6.349485653122436
jubiläum,6.349485653122436
juhuuuuuh,6.349485653122436
jungi,5.656338472562491
juscht,6.349485653122436
juschtemand,6.349485653122436
jäueje,6.349485653122436
jübilar,5.944020545014272
jübilarin,6.349485653122436
jügend,5.944020545014272
kabawel,6.349485653122436
kaffi,6.349485653122436
kalmiere,6.349485653122436
kamerad,4.740047740688336
kann,4.6447375608840105
kannsch,6.349485653122436
kanztistriewelwyn,5.656338472562491
kasarne,6.349485653122436
keeler,6.349485653122436
ken,3.9515903803240655
kene,6.349485653122436
kener,5.944020545014272
kenn,5.944020545014272
kenne,6.349485653122436
kepi,6.349485653122436
kerzenlicht,6.349485653122436
king,6.349485653122436
kingsbäine,6.349485653122436
kirschewasser,5.656338472562491
kiwwel,6.349485653122436
kleinlaut,6.349485653122436
klopft,5.4331949212482815
kläglich,6.349485653122436
kläiner,6.349485653122436
kläinigkäit,6.349485653122436
knackwürscht,6.349485653122436
kneifen,6.349485653122436
knepf,6.349485653122436
knie,6.349485653122436
knirschend,6.349485653122436
kommt,5.944020545014272
kompagnie,6.349485653122436
kopf,5.944020545014272
kopfschüttelnd,6.349485653122436
korperal,6.349485653122436
koschte,6.349485653122436
koschtepunkt,6.349485653122436
kratz,6.349485653122436
kraut,6.349485653122436
kriej,6.349485653122436
kriejt,6.349485653122436
krij,5.944020545014272
kräisfeuerwehrfescht,6.349485653122436
kräueje,6.349485653122436
krütt,6.349485653122436
krüttstickle,6.349485653122436
kum,6.349485653122436
kummando,5.944020545014272
kumme,3.7845362956608994
kummediere,6.349485653122436
kummsch,5.944020545014272
kummt,5.250873364454327
kumpenie,4.740047740688336
kunkeriere,6.349485653122436
kunterbiere,6.349485653122436
kutte,6.349485653122436
käin,6.349485653122436
könne,4.557726183894381
könnt,5.944020545014272
küehjkummet,6.349485653122436
kürasch,5.656338472562491
kürios,6.349485653122436
kürranter,6.349485653122436
la,5.656338472562491
laachter,6.349485653122436
laartrinke,6.349485653122436
lab,4.740047740688336
lache,5.944020545014272
lachende,4.403575504067122
lallend,5.944020545014272
lamp,6.349485653122436
langer,4.6447375608840105
langsamer,6.349485653122436
latinisch,6.349485653122436
lawe,6.349485653122436
leichte,6.349485653122436
leje,5.944020545014272
lejt,5.096722684627069
letscht,6.349485653122436
letschte,5.944020545014272
liawe,5.656338472562491
licht,6.349485653122436
liewi,6.349485653122436
likörkeenschterle,6.349485653122436
links,6.349485653122436
lissel,2.388672483524858
loon,4.845408256346162
los,5.4331949212482815
loß,4.963191292002545
loßt,6.349485653122436
luft,5.656338472562491
luschti,5.944020545014272
lustigen,6.349485653122436
luzarn,6.349485653122436
lytt,5.656338472562491
lächelnd,5.944020545014272
läije,6.349485653122436
läischte,6.349485653122436
läje,6.349485653122436
läre,5.096722684627069
läufe,6.349485653122436
läuten,6.349485653122436
läßt,6.349485653122436
löij,5.656338472562491
löije,6.349485653122436
löönd,6.349485653122436
lütter,5.656338472562491
maach,4.845408256346162
maache,4.845408256346162
maachsch,6.349485653122436
maacht,6.349485653122436
macht,5.944020545014272
mademoiselle,6.349485653122436
maide,5.944020545014272
majorität,6.349485653122436
malde,5.944020545014272
mannschaft,6.349485653122436
marikt,5.944020545014272
marsch,6.349485653122436
marschiert,6.349485653122436
meh,4.740047740688336
mehr,5.944020545014272
meinen,5.096722684627069
meinung,5.656338472562491
mensch,6.349485653122436
menschealter,6.349485653122436
merci,6.349485653122436
meter,6.349485653122436
mich,5.250873364454327
michel,3.2359703439120615
mientwaje,5.944020545014272
mim,5.944020545014272
min,5.250873364454327
minere,6.349485653122436
mini,5.250873364454327
mir,3.51627230906622
mit,3.51627230906622
mitgemaacht,6.349485653122436
mitnahme,6.349485653122436
mitnöönd,6.349485653122436
mitte,6.349485653122436
mitteltür,5.096722684627069
mittle,6.349485653122436
mißakkord,6.349485653122436
mode,6.349485653122436
momant,6.349485653122436
muehn,5.4331949212482815
muesch,5.656338472562491
mueß,4.152261075786217
mumpfle,6.349485653122436
mund,6.349485653122436
muschter,6.349485653122436
musiken,5.4331949212482815
mädchen,4.3345826325801715
mäin,5.944020545014272
mäinsch,5.944020545014272
mænner,4.845408256346162
müeßt,6.349485653122436
mühsam,6.349485653122436
mül,5.4331949212482815
na,4.477683476220845
nach,5.944020545014272
nachprüfend,6.349485653122436
nachschte,5.944020545014272
nacht,6.349485653122436
nahder,6.349485653122436
nahme,5.250873364454327
naja,5.944020545014272
narr,6.349485653122436
narrhäit,6.349485653122436
nase,6.349485653122436
natt,6.349485653122436
ne,5.4331949212482815
nee,5.250873364454327
nervös,5.656338472562491
neu,6.349485653122436
nicht,5.944020545014272
nie,6.349485653122436
niedere,6.349485653122436
niemand,5.944020545014272
niemes,5.250873364454327
nimm,6.349485653122436
nimmi,5.250873364454327
nimmt,6.349485653122436
ning,5.096722684627069
nit,2.9317589695090702
nix,4.6447375608840105
no,4.6447375608840105
noch,3.2359703439120615
nochemol,5.656338472562491
nom,6.349485653122436
nommi,6.349485653122436
noo,6.349485653122436
nooch,5.656338472562491
noochhare,5.656338472562491
noocht,5.944020545014272
noochtwaachter,5.944020545014272
noochzeranne,6.349485653122436
notwandi,6.349485653122436
num,6.349485653122436
numme,3.864579003334436
nun,6.349485653122436
nähde,6.349485653122436
näid,6.349485653122436
nöj,6.349485653122436
nür,5.944020545014272
nüs,5.250873364454327
nüsfahje,6.349485653122436
nüsgezöije,6.349485653122436
oben,6.349485653122436
od,5.096722684627069
offiziehr,4.209419489626166
offizierchorps,6.349485653122436
offiziers,6.349485653122436
oh,5.944020545014272
oha,5.250873364454327
ohni,6.349485653122436
oho,6.349485653122436
ohren,6.349485653122436
oochtezwanzig,6.349485653122436
oon,5.096722684627069
oongemaacht,6.349485653122436
oongenumme,5.944020545014272
oongepickter,6.349485653122436
oongetratte,6.349485653122436
oongschnäuzt,6.349485653122436
oonstache,6.349485653122436
oonstand,6.349485653122436
oontratte,6.349485653122436
oooh,6.349485653122436
ooooh,6.349485653122436
ooooooh,6.349485653122436
oosetze,6.349485653122436
or,6.349485653122436
ordinär,6.349485653122436
ordnung,5.250873364454327
ordnungsgemäß,6.349485653122436
oui,6.349485653122436
owe,4.6447375608840105
owedrin,6.349485653122436
owwedrin,6.349485653122436
owwera,6.349485653122436
parad,6.349485653122436
pardon,6.349485653122436
pauvre,6.349485653122436
petrol,5.944020545014272
pflicht,6.349485653122436
philipp,3.0352996484499104
pikiert,6.349485653122436
pipe,6.349485653122436
piéd,6.349485653122436
placieren,6.349485653122436
plaisir,5.944020545014272
platz,5.656338472562491
pompiers,6.349485653122436
pompié,4.152261075786217
poor,5.944020545014272
poschte,5.944020545014272
pour,6.349485653122436
prahlhans,6.349485653122436
prejßisch,6.349485653122436
prejßische,6.349485653122436
proteschtier,6.349485653122436
prowiere,6.349485653122436
pustend,5.4331949212482815
rachte,4.963191292002545
rajewurm,6.349485653122436
rannsch,6.349485653122436
rannt,6.349485653122436
ranntier,6.349485653122436
rasch,4.6447375608840105
rascht,6.349485653122436
rbie,6.349485653122436
rdanke,6.349485653122436
rechnung,6.349485653122436
rechte,6.349485653122436
rechts,5.656338472562491
reckt,6.349485653122436
red,5.944020545014272
redde,6.349485653122436
redesarte,6.349485653122436
rehrter,6.349485653122436
rehrti,6.349485653122436
reißt,6.349485653122436
reklemiere,6.349485653122436
remplacer,6.349485653122436
resarviert,6.349485653122436
respect,5.944020545014272
rfür,6.349485653122436
rgeje,5.656338472562491
rgiß,6.349485653122436
rgnüejt,6.349485653122436
rhejt,6.349485653122436
ri,6.349485653122436
ringelt,6.349485653122436
riß,6.349485653122436
rloffe,6.349485653122436
rloon,6.349485653122436
rlottelte,6.349485653122436
rnoo,5.250873364454327
roll,6.349485653122436
rot,5.656338472562491
route,6.349485653122436
rrootsch,6.349485653122436
rsahn,6.349485653122436
rsammelter,6.349485653122436
rschwinde,6.349485653122436
rstandli,6.349485653122436
rstange,5.250873364454327
rsteh,6.349485653122436
rstehn,5.656338472562491
rstehsch,6.349485653122436
rstick,6.349485653122436
rstöönd,6.349485653122436
rtrittsch,6.349485653122436
rträueje,6.349485653122436
rträuejsch,6.349485653122436
rträäsch,6.349485653122436
rträät,6.349485653122436
rucke,6.349485653122436
ruehj,5.656338472562491
ruehji,5.944020545014272
ruewie,5.944020545014272
rupp,6.349485653122436
rutscht,6.349485653122436
rvor,6.349485653122436
rwoorte,6.349485653122436
rzicht,6.349485653122436
rzü,5.250873364454327
räich,6.349485653122436
räicht,5.944020545014272
räij,6.349485653122436
räson,6.349485653122436
räucht,6.349485653122436
röj,5.656338472562491
röslein,5.656338472562491
rückwärts,6.349485653122436
