words,idf
10,5.483002552013883
11,5.483002552013883
12,5.483002552013883
16,5.483002552013883
22te,5.483002552013883
25e,5.483002552013883
64,5.483002552013883
6e,5.483002552013883
abend,5.07753744390572
aber,3.2857779746776643
abgesperrt,5.483002552013883
abhaut,5.483002552013883
absperren,5.483002552013883
absperrt,5.483002552013883
abspielt,5.483002552013883
abwischend,5.483002552013883
abzuhalten,5.483002552013883
ach,5.07753744390572
aehre,5.483002552013883
aelterer,5.483002552013883
aeltererm,5.483002552013883
affaire,5.483002552013883
afrique,3.9789251552376097
agitiert,5.483002552013883
ah,4.789855371453939
ahnung,5.483002552013883
ai,4.566711820139728
akademischer,5.483002552013883
alemanen,5.483002552013883
all,4.789855371453939
alle,4.566711820139728
allen,5.483002552013883
allerersten,5.483002552013883
alles,3.403561010334048
allewil,5.07753744390572
allez,5.483002552013883
allgemein,5.483002552013883
alli,4.0967081908939935
allmählich,4.789855371453939
alma,5.483002552013883
als,3.0406555166446796
also,5.07753744390572
alt,5.483002552013883
alter,4.230239583518516
alterle,5.07753744390572
alti,5.483002552013883
am,4.0967081908939935
ambetant,5.483002552013883
amusement,5.483002552013883
an,3.5370924029585704
ander,5.483002552013883
andere,5.483002552013883
andern,5.07753744390572
andlig,5.07753744390572
andre,5.07753744390572
andren,5.483002552013883
andri,4.566711820139728
andrs,5.07753744390572
ane,5.483002552013883
anerkennen,5.483002552013883
anfangt,5.483002552013883
angeht,5.483002552013883
angelverein,5.483002552013883
angesehn,5.483002552013883
angezöje,5.483002552013883
angst,5.07753744390572
anlüeje,5.483002552013883
anmol,5.07753744390572
annahme,5.483002552013883
anne,5.483002552013883
anniversaire,5.483002552013883
anschauungen,5.483002552013883
ansicht,5.07753744390572
anstalt,5.483002552013883
antwort,5.483002552013883
anwesenden,5.483002552013883
anzuführen,5.483002552013883
anzuhören,5.483002552013883
arawer,5.483002552013883
arbeite,4.566711820139728
argent,5.483002552013883
arztes,5.483002552013883
au,5.07753744390572
auch,3.691243082785829
aue,5.483002552013883
auf,3.6112003751122925
auffordere,5.483002552013883
aufs,5.483002552013883
augen,5.483002552013883
augenblick,5.483002552013883
aus,3.9789251552376097
ausgehen,5.483002552013883
austrinken,5.483002552013883
awer,2.808853902587355
bairisch,5.483002552013883
bald,5.483002552013883
banner,4.384390263345774
barbarisch,5.483002552013883
bausin,5.483002552013883
bec,5.483002552013883
bedenken,5.483002552013883
bedeutet,5.483002552013883
bedidde,5.483002552013883
beehren,5.483002552013883
beeinflussung,5.483002552013883
befindet,5.483002552013883
begeischterung,5.483002552013883
begrifft,5.483002552013883
begryffe,5.483002552013883
bei,4.789855371453939
beiden,5.483002552013883
beim,4.789855371453939
beisammen,5.483002552013883
bekannte,5.483002552013883
beklaue,5.483002552013883
bekomm,5.483002552013883
bekummt,5.483002552013883
bemerkung,5.483002552013883
ben,5.483002552013883
bequemer,5.07753744390572
bereuen,5.483002552013883
beruehmt,5.483002552013883
berufen,5.483002552013883
berwel,5.07753744390572
bes,5.483002552013883
bescht,5.483002552013883
beschte,5.483002552013883
beschten,5.483002552013883
beschtens,5.483002552013883
besonderes,5.07753744390572
besonders,5.483002552013883
besser,4.566711820139728
besserer,5.483002552013883
betrachtend,5.483002552013883
betrunken,5.483002552013883
bett,5.483002552013883
bevölkerung,5.483002552013883
bevölkeruug,5.483002552013883
bezahl,5.07753744390572
bezahle,5.07753744390572
bezahlen,5.07753744390572
bezieht,5.483002552013883
bezweifle,5.483002552013883
bi,4.789855371453939
bicher,5.483002552013883
bien,5.483002552013883
bier,5.07753744390572
biftek,5.483002552013883
bild,5.483002552013883
bildung,5.483002552013883
bimmelt,5.483002552013883
bin,3.085107279215513
birgerzittung,5.07753744390572
birjerzittung,5.483002552013883
birschte,5.483002552013883
bis,4.566711820139728
bisch,4.384390263345774
bissel,5.07753744390572
bitt,4.566711820139728
bli,5.483002552013883
bliewe,5.483002552013883
bloß,5.07753744390572
boden,5.483002552013883
bonsoir,5.07753744390572
brauchen,5.483002552013883
brava,4.566711820139728
bricht,5.483002552013883
brigand,5.483002552013883
bring,5.483002552013883
bringen,5.483002552013883
brofesserwirscht,5.483002552013883
brot,5.483002552013883
bruderland,5.483002552013883
brummt,5.483002552013883
brust,5.483002552013883
brücht,5.483002552013883
bsüch,5.483002552013883
buckel,5.483002552013883
buech,5.483002552013883
buetze,5.483002552013883
bunten,5.483002552013883
bâton,4.789855371453939
bäckehiesel,5.483002552013883
bêtes,5.483002552013883
büch,5.07753744390572
büchweh,5.483002552013883
bürgern,5.483002552013883
bürgerschaft,5.483002552013883
campagnes,4.566711820139728
cantus,5.483002552013883
capitaine,4.789855371453939
carnevaldings,5.483002552013883
carrée,5.07753744390572
casino,5.483002552013883
ce,5.07753744390572
celebrire,5.483002552013883
celebrirt,5.07753744390572
cet,5.07753744390572
cette,5.483002552013883
chacun,5.483002552013883
charcuterie,5.483002552013883
chasseur,3.9789251552376097
cigarren,5.483002552013883
citadines,5.483002552013883
comedi,5.483002552013883
comme,5.483002552013883
commerce,5.07753744390572
commers,4.566711820139728
commersrede,5.07753744390572
commeça,5.483002552013883
commilitonen,5.483002552013883
comédien,5.483002552013883
concert,5.07753744390572
convert,5.483002552013883
couvert,5.07753744390572
crambohl,5.483002552013883
curieuses,5.483002552013883
cusin,5.483002552013883
cüjonire,5.483002552013883
cüjonirt,5.483002552013883
da,3.8735646395797834
dafür,5.483002552013883
dagegen,5.07753744390572
dahin,5.483002552013883
damen,4.789855371453939
damit,5.483002552013883
dampfmaschin,5.483002552013883
dann,4.566711820139728
dans,4.566711820139728
daran,5.483002552013883
darauf,5.07753744390572
darf,5.07753744390572
darin,5.483002552013883
das,2.6208016710844158
dasselbe,5.483002552013883
dauphin,5.483002552013883
davon,5.07753744390572
dazu,5.07753744390572
daß,2.414949616880267
de,3.691243082785829
deichseln,5.483002552013883
delicatessehandlungen,5.483002552013883
dem,3.0406555166446796
den,3.6112003751122925
dene,4.230239583518516
denen,5.483002552013883
denke,5.07753744390572
denksch,5.483002552013883
denn,2.918053194552347
denne,5.483002552013883
der,2.2249060139924017
deren,5.07753744390572
derf,5.483002552013883
derfsch,5.07753744390572
derfur,5.483002552013883
dernoh,4.566711820139728
derte,5.483002552013883
dervon,5.07753744390572
des,4.0967081908939935
deutsch,5.483002552013883
deutschen,5.07753744390572
deutschlands,5.483002552013883
deß,2.3919600986555682
dheile,5.483002552013883
dhuen,5.483002552013883
dhün,5.483002552013883
di,4.789855371453939
dialekt,5.483002552013883
dich,5.483002552013883
dick,5.483002552013883
dictionnair,5.483002552013883
dictionnaire,5.483002552013883
die,2.2641267271456833
dies,5.483002552013883
diese,5.07753744390572
diesem,5.07753744390572
diesen,5.07753744390572
dieser,5.07753744390572
dieses,4.789855371453939
dim,5.07753744390572
din,5.483002552013883
dings,5.07753744390572
dir,4.566711820139728
dire,5.483002552013883
ditsch,4.0967081908939935
ditsche,5.483002552013883
do,2.592630794117719
doch,2.5125880864441825
docirt,5.483002552013883
doher,5.483002552013883
doit,5.483002552013883
donc,4.566711820139728
donnerschlag,5.483002552013883
dr,2.8803128665695
dran,5.483002552013883
drei,5.07753744390572
drin,4.789855371453939
driwe,5.483002552013883
driwwen,5.483002552013883
drürig,5.483002552013883
drüs,4.566711820139728
drüsse,5.483002552013883
drüß,5.483002552013883
drüße,5.483002552013883
du,4.789855371453939
dunnerwatter,5.483002552013883
durch,5.483002552013883
durchaus,5.483002552013883
durchenander,5.483002552013883
durchüs,5.07753744390572
durst,5.483002552013883
dü,2.918053194552347
dürfen,5.483002552013883
dürfte,5.07753744390572
eb,4.789855371453939
ebbs,5.483002552013883
eben,5.483002552013883
ebs,3.468099531471619
ecarté,5.483002552013883
echtes,5.483002552013883
echti,5.483002552013883
edler,5.483002552013883
egariere,5.483002552013883
ehen,5.483002552013883
ehren,5.483002552013883
ehrenvollen,5.483002552013883
ehrenvollsten,5.483002552013883
ehrwirdiger,5.483002552013883
eich,5.07753744390572
eier,5.483002552013883
eigenthümer,5.483002552013883
ein,3.1316272948504063
eindruck,5.483002552013883
eindrängeln,5.483002552013883
eine,4.230239583518516
einem,5.07753744390572
einen,4.384390263345774
einer,4.0967081908939935
eines,5.483002552013883
einladungskarte,5.07753744390572
einmal,5.483002552013883
einmiethen,5.483002552013883
einmol,5.483002552013883
einpflanzen,5.483002552013883
einpflanzt,5.483002552013883
einst,5.483002552013883
einstellen,5.483002552013883
eintreten,5.483002552013883
electrique,5.483002552013883
elektrisch,5.483002552013883
elfe,5.483002552013883
elsaßlandes,5.483002552013883
elsässer,4.789855371453939
elsässicsh,5.483002552013883
elsässische,5.483002552013883
elsässischi,5.483002552013883
em,4.0967081908939935
emilie,5.07753744390572
emol,3.8735646395797834
empfehlen,5.483002552013883
en,3.6112003751122925
entschuldigen,4.789855371453939
entsetzen,5.483002552013883
entwickelt,5.07753744390572
epinal,5.07753744390572
er,3.180417459019838
erachtens,5.483002552013883
erecht,5.483002552013883
erforschung,5.483002552013883
erhabene,5.483002552013883
erhalten,5.483002552013883
erinnere,5.483002552013883
erlauben,4.384390263345774
erlaubt,5.483002552013883
ernest,4.384390263345774
erscht,4.789855371453939
erst,5.483002552013883
es,3.180417459019838
essen,5.483002552013883
est,4.230239583518516
estrade,5.483002552013883
et,4.566711820139728
etwa,5.483002552013883
etwas,4.384390263345774
euch,5.483002552013883
eugène,3.7782544597754586
eurem,5.483002552013883
ex,5.483002552013883
explicire,5.483002552013883
explizirt,5.483002552013883
fackelzüg,4.789855371453939
fahr,5.483002552013883
fahre,4.789855371453939
fahrt,5.07753744390572
fait,4.566711820139728
fal,5.483002552013883
falle,4.230239583518516
fallt,5.483002552013883
famos,5.483002552013883
famose,5.483002552013883
fanfarenmusik,5.483002552013883
fangt,5.483002552013883
faquins,5.483002552013883
fascht,5.07753744390572
faue,5.07753744390572
faut,5.483002552013883
faveur,5.483002552013883
fer,5.483002552013883
fern,5.483002552013883
ferti,5.07753744390572
fescht,4.384390263345774
festessen,5.483002552013883
festliche,5.07753744390572
feuriger,5.483002552013883
fiehsch,5.483002552013883
fierige,5.483002552013883
figur,5.483002552013883
fihre,5.483002552013883
find,5.483002552013883
finde,5.483002552013883
finden,5.483002552013883
fische,5.483002552013883
fitzti,5.483002552013883
flattern,5.483002552013883
fliegen,5.483002552013883
for,5.483002552013883
fordere,5.483002552013883
fortfahrend,5.483002552013883
franken,5.483002552013883
frankrich,5.07753744390572
franzeesch,5.483002552013883
franzesch,5.483002552013883
franzesche,4.789855371453939
français,5.483002552013883
frau,3.9789251552376097
frauenherz,5.483002552013883
freia,5.07753744390572
fremde,5.483002552013883
fridda,5.07753744390572
friendlicher,5.07753744390572
frihschoppe,5.483002552013883
frijer,5.07753744390572
frinde,5.07753744390572
frindli,5.483002552013883
frisch,5.483002552013883
froh,5.483002552013883
froscheschenkel,5.483002552013883
fruchtbaren,5.483002552013883
fruchtbarerer,5.483002552013883
fräid,4.789855371453939
fräide,5.07753744390572
fröhlichen,5.483002552013883
fröit,5.483002552013883
fröjt,5.483002552013883
früchte,5.483002552013883
früher,5.483002552013883
frühschoppen,5.483002552013883
fuchs,5.483002552013883
funde,5.483002552013883
fur,4.0967081908939935
furt,4.789855371453939
furtgange,5.483002552013883
fuxt,5.483002552013883
fähle,5.483002552013883
füehl,5.483002552013883
fünfundzwanzigste,5.483002552013883
für,3.2857779746776643
fürsorgliche,5.483002552013883
füßsalat,5.483002552013883
gala,5.483002552013883
gald,5.07753744390572
gange,4.566711820139728
ganz,3.9789251552376097
ganze,5.07753744390572
ganzen,5.483002552013883
ganzi,5.483002552013883
gar,3.9789251552376097
gauen,5.07753744390572
geachteten,5.483002552013883
gebimmelt,5.483002552013883
gebirscht,5.483002552013883
gebliebene,5.483002552013883
gebliewe,5.483002552013883
gebliwwe,5.483002552013883
gebrocht,5.483002552013883
geburt,5.483002552013883
gedenkt,5.483002552013883
geduld,5.483002552013883
gedürt,5.483002552013883
gegangen,5.483002552013883
gegenwart,5.483002552013883
geh,4.789855371453939
gehabt,5.483002552013883
gehalten,5.483002552013883
gehn,3.5370924029585704
geht,4.230239583518516
gehört,5.07753744390572
geis,5.483002552013883
geistlichkeit,5.483002552013883
geje,5.483002552013883
gejeschts,5.483002552013883
gejäschts,5.483002552013883
gel,4.789855371453939
gele,5.483002552013883
gelehrt,4.789855371453939
gelejt,5.483002552013883
gelese,5.483002552013883
gelinge,5.483002552013883
gelitte,5.483002552013883
gellen,5.483002552013883
gelootst,5.483002552013883
gelte,4.789855371453939
gemachti,4.230239583518516
gemachtii,5.07753744390572
gemeint,5.07753744390572
gemerkt,5.07753744390572
gemäß,5.483002552013883
gemüthlich,5.483002552013883
gen,5.483002552013883
generation,5.483002552013883
genommen,5.483002552013883
genosse,5.483002552013883
genug,5.483002552013883
genähert,5.483002552013883
genü,5.07753744390572
genüe,5.07753744390572
gepappels,5.483002552013883
gerechte,5.483002552013883
geredt,4.566711820139728
geringsten,5.483002552013883
germanisiren,5.07753744390572
gern,4.230239583518516
geschichte,5.483002552013883
geschlossene,5.483002552013883
geschmückten,5.483002552013883
geselligen,5.483002552013883
gesellschaft,4.384390263345774
gesogen,5.483002552013883
gespräch,5.483002552013883
gestatten,5.483002552013883
gesteckt,5.483002552013883
gestern,5.07753744390572
gethan,5.483002552013883
getroffen,5.483002552013883
getrunke,5.483002552013883
gewachsen,5.483002552013883
gewandt,5.483002552013883
gewehnlich,5.483002552013883
gewehnlichi,5.483002552013883
gewellt,5.483002552013883
gewendet,5.07753744390572
gewesen,4.789855371453939
gewissenhafte,5.483002552013883
gewollt,5.483002552013883
geworden,5.07753744390572
ghet,4.789855371453939
gib,5.07753744390572
giebel,5.483002552013883
gipfelte,5.483002552013883
gjsin,5.483002552013883
glas,5.483002552013883
glaubsch,5.483002552013883
glich,4.789855371453939
glöüwe,5.07753744390572
goldenen,5.483002552013883
gott,5.07753744390572
gottes,5.483002552013883
grad,5.07753744390572
gradi,3.403561010334048
gradii,5.07753744390572
gross,5.483002552013883
große,5.483002552013883
grunde,4.789855371453939
größten,5.483002552013883
gründen,5.483002552013883
gsaat,5.483002552013883
gschmack,5.483002552013883
gsin,4.384390263345774
gsät,5.07753744390572
gueti,5.483002552013883
guets,5.483002552013883
guten,3.468099531471619
gutes,5.483002552013883
gwellt,5.483002552013883
gütebergplatz,5.483002552013883
hab,3.403561010334048
habe,4.789855371453939
haben,3.2857779746776643
habitués,5.483002552013883
habs,5.483002552013883
halb,5.483002552013883
halben,5.483002552013883
halbstund,5.483002552013883
halt,5.483002552013883
halte,3.7782544597754586
haltee,5.07753744390572
halteee,5.483002552013883
halten,4.384390263345774
halwer,5.07753744390572
han,3.468099531471619
handel,5.483002552013883
handhabung,5.483002552013883
hans,5.07753744390572
hat,4.230239583518516
hauptsach,5.483002552013883
hausbackenen,5.07753744390572
havre,5.483002552013883
havresac,4.789855371453939
haw,3.6112003751122925
heer,3.8735646395797834
heere,5.07753744390572
heert,5.07753744390572
heflich,5.483002552013883
heim,4.566711820139728
heimgehn,5.483002552013883
heißt,5.483002552013883
hel,4.789855371453939
