words,idf
200,7.4559844179974615
ab,3.6832234799028227
abend,7.4559844179974615
aber,7.4559844179974615
abfahrt,7.4559844179974615
abg,7.050519309889297
abgehen,7.4559844179974615
abgehend,6.3573721293293515
abgeleit,7.4559844179974615
abgenumme,7.4559844179974615
abgereist,7.4559844179974615
abgewöhne,7.4559844179974615
abglofa,7.4559844179974615
abküssend,7.4559844179974615
abreise,7.050519309889297
abreisen,7.4559844179974615
abschiedsvisit,7.4559844179974615
abseits,6.539693686123306
absichte,7.4559844179974615
absichtlich,7.4559844179974615
abstempfle,7.4559844179974615
abtrocknend,7.4559844179974615
abzestempfle,7.4559844179974615
abzulenken,7.4559844179974615
accent,7.4559844179974615
acceptiere,7.4559844179974615
accident,7.4559844179974615
accidents,7.4559844179974615
achdung,7.4559844179974615
actrice,7.050519309889297
adie,7.4559844179974615
adje,6.762837237437516
adress,7.4559844179974615
adressematerial,7.4559844179974615
aeh,7.4559844179974615
aelterer,5.846546505563361
aeltscht,7.4559844179974615
aerjer,6.539693686123306
aerm,7.4559844179974615
aerme,7.4559844179974615
aermel,6.762837237437516
affaire,6.762837237437516
affection,7.4559844179974615
affär,6.539693686123306
ah,4.25731130044678
ahnung,6.762837237437516
ai,6.762837237437516
aimable,7.4559844179974615
albert,3.186286968297499
alberts,7.4559844179974615
aline,6.762837237437516
alle,5.058089145199091
alledaa,6.762837237437516
allegelte,7.4559844179974615
allei,5.664224948769406
allem,5.751236325759036
allen,7.050519309889297
aller,6.3573721293293515
allerwenigschte,7.4559844179974615
alles,4.71514439407226
allewaj,7.4559844179974615
allewej,7.4559844179974615
allewil,5.846546505563361
allewäj,7.050519309889297
allez,7.050519309889297
alli,5.058089145199091
alors,7.4559844179974615
als,4.435559531853098
also,6.3573721293293515
alt,6.069690056877571
altar,7.4559844179974615
alter,5.510074268942148
alti,6.069690056877571
altmodischen,7.4559844179974615
alts,7.4559844179974615
am,4.853294732553078
amelie,7.050519309889297
amen,7.050519309889297
