words,idf
100,5.890349128221754
19,5.890349128221754
1918,5.890349128221754
500,5.890349128221754
80,5.890349128221754
aan,5.197201947661808
ab,4.280911215787654
abgewaschen,5.890349128221754
accident,5.890349128221754
acht,5.890349128221754
adjé,5.484884020113589
aelterer,5.484884020113589
ah,4.791736839553645
albert,3.875446107679489
all,5.890349128221754
alle,5.197201947661808
allei,5.890349128221754
allem,5.890349128221754
allen,5.484884020113589
alles,3.750282964725483
allewej,5.890349128221754
allewäj,5.890349128221754
allez,5.890349128221754
alli,4.974058396347599
als,4.637586159726386
also,5.484884020113589
alt,5.484884020113589
am,4.018546951320163
amüsiere,5.890349128221754
an,3.325399770760217
ande,5.890349128221754
ander,5.890349128221754
andere,5.197201947661808
anderi,4.791736839553645
andersch,5.484884020113589
andlig,5.890349128221754
ane,5.197201947661808
aneg,5.484884020113589
anegetrawe,5.890349128221754
ang,5.890349128221754
angschtpeter,5.890349128221754
angst,4.974058396347599
annahme,5.197201947661808
ans,5.890349128221754
ant,5.890349128221754
antwort,5.890349128221754
arich,5.197201947661808
arm,4.185601035983328
arme,5.197201947661808
armistice,5.890349128221754
au,3.810907586541918
auf,3.750282964725483
aufgeregter,5.890349128221754
aurevoir,5.484884020113589
aus,5.890349128221754
ausziehen,5.890349128221754
auto,4.974058396347599
auwe,5.890349128221754
auweliede,5.890349128221754
auwesblick,5.890349128221754
awer,3.4480020928525494
bal,5.197201947661808
be,5.890349128221754
bedrachtet,5.484884020113589
bedänke,5.890349128221754
beide,5.890349128221754
beiden,5.484884020113589
beim,5.484884020113589
beisammen,5.890349128221754
bekomm,5.484884020113589
bekummsch,5.890349128221754
bekummt,5.197201947661808
bekümmert,5.890349128221754
berüehigt,5.484884020113589
berührt,5.890349128221754
beschte,5.890349128221754
besser,5.890349128221754
bete,5.890349128221754
betiere,5.890349128221754
bezahle,5.890349128221754
bezahlt,5.890349128221754
bin,3.9444389791664403
bis,4.791736839553645
bisch,4.280911215787654
bissel,4.974058396347599
bissele,5.890349128221754
bitt,5.890349128221754
blie,5.890349128221754
blind,4.974058396347599
blinder,5.890349128221754
boden,5.890349128221754
boes,5.890349128221754
boesi,5.890349128221754
bonsoir,5.890349128221754
braun,1.920057214669632
bravaa,5.890349128221754
bringe,5.890349128221754
bringt,5.484884020113589
brüech,5.890349128221754
brüecht,5.484884020113589
brüesch,5.890349128221754
by,4.504054767101863
bynand,5.890349128221754
bäbbe,4.018546951320163
bäumchen,5.890349128221754
bückt,5.890349128221754
büe,4.185601035983328
bœss,5.890349128221754
cambrai,5.197201947661808
canapé,4.974058396347599
chance,5.890349128221754
charele,2.55814461804655
chrischtkindel,4.386271731445479
daa,5.484884020113589
damit,5.890349128221754
dann,5.890349128221754
das,4.974058396347599
dass,3.875446107679489
de,2.9459101490553135
debie,5.890349128221754
decke,5.197201947661808
dem,4.791736839553645
den,3.6390573296152584
dene,5.890349128221754
denk,5.197201947661808
denke,5.890349128221754
denksch,5.890349128221754
denn,3.1822989271195437
der,4.018546951320163
dere,5.484884020113589
derf,5.890349128221754
derfsch,5.484884020113589
dert,5.890349128221754
des,5.484884020113589
dess,3.6931245508855346
devun,5.890349128221754
dezüe,5.890349128221754
dich,4.974058396347599
die,3.216200478795225
dim,5.484884020113589
din,5.890349128221754
diner,5.484884020113589
dinere,5.890349128221754
dinge,5.890349128221754
dings,5.890349128221754
dini,5.197201947661808
dir,4.386271731445479
direckt,5.890349128221754
disch,5.890349128221754
do,3.4480020928525494
doch,3.4480020928525494
dodeweje,5.890349128221754
doktor,5.890349128221754
doochder,5.197201947661808
dort,4.791736839553645
dorte,5.890349128221754
