words,idf
1000,5.553876891600541
12,5.553876891600541
14,5.959341999708705
15,5.959341999708705
20,5.959341999708705
3e,5.959341999708705
50,5.959341999708705
89,5.553876891600541
ab,3.8192758362124346
abbe,5.26619481914876
abbé,4.455264602932431
aber,5.959341999708705
abg,5.553876891600541
abgehen,5.26619481914876
abgelenkt,5.959341999708705
abgeliefert,5.959341999708705
absahn,5.959341999708705
abschaffe,5.959341999708705
abseits,5.959341999708705
abwehrend,5.553876891600541
abwer,5.959341999708705
abwesend,5.959341999708705
abzehalte,5.959341999708705
ach,5.959341999708705
adjudant,5.959341999708705
adress,5.959341999708705
adventswunsch,5.959341999708705
aelterer,4.349904087274605
aeltschter,5.959341999708705
aepfel,5.959341999708705
ah,5.26619481914876
aha,5.26619481914876
ahhere,5.959341999708705
ahnung,5.959341999708705
al,5.959341999708705
all,5.26619481914876
alle,4.167582530480651
allei,4.860729711040595
allerdings,5.959341999708705
alles,3.8192758362124346
alleweg,5.26619481914876
alli,4.349904087274605
almose,5.959341999708705
als,4.013431850653392
also,4.860729711040595
alt,4.349904087274605
altar,5.04305126783455
altardiecher,5.959341999708705
altargstell,5.959341999708705
altarstaffle,5.959341999708705
altarstufe,5.959341999708705
alter,4.706579031213337
am,3.762117422372486
amen,5.553876891600541
ami,5.959341999708705
an,3.2851933502821766
anbettle,5.959341999708705
anblick,5.959341999708705
andacht,5.959341999708705
andanke,5.553876891600541
ander,5.26619481914876
andere,5.553876891600541
andlig,4.860729711040595
andre,5.553876891600541
andri,5.959341999708705
ane,5.26619481914876
anestelle,5.959341999708705
anfang,5.553876891600541
anfirholz,5.959341999708705
ang,5.553876891600541
angebote,5.959341999708705
angebrennt,5.959341999708705
angelangt,5.959341999708705
angele,5.26619481914876
angenumme,5.959341999708705
angschtlos,5.959341999708705
angst,4.573047638588815
anhöre,5.959341999708705
annekumme,5.553876891600541
ans,4.455264602932431
ansahn,5.959341999708705
ar,5.959341999708705
arbeitend,5.959341999708705
arcole,5.959341999708705
arglos,5.959341999708705
arich,5.553876891600541
arig,5.959341999708705
arigscht,5.959341999708705
aristocrats,5.553876891600541
aristokrate,5.553876891600541
aristokratenescht,5.959341999708705
aristokrateneschter,5.959341999708705
aristokratesitt,5.959341999708705
arm,5.04305126783455
arme,4.860729711040595
armi,5.959341999708705
arms,5.959341999708705
arretiert,5.959341999708705
arriviere,5.959341999708705
art,5.959341999708705
ass,4.860729711040595
atemlos,5.959341999708705
au,3.3943926422471686
auch,5.959341999708705
auf,3.762117422372486
aufgeregterer,5.959341999708705
aufhilft,5.959341999708705
aufspielen,5.959341999708705
augenblick,5.959341999708705
aus,5.553876891600541
ausser,5.959341999708705
aw,5.959341999708705
awebleck,5.959341999708705
awer,3.041571267624426
bach,5.959341999708705
bache,5.959341999708705
baimel,5.959341999708705
bal,5.04305126783455
ball,5.553876891600541
banne,5.959341999708705
barfuess,5.959341999708705
barsch,5.959341999708705
barth,5.553876891600541
barthel,5.959341999708705
barthelme,5.959341999708705
barthelmé,2.3758230612525955
barthemé,5.959341999708705
barthlemé,5.959341999708705
basse,5.959341999708705
bassiert,5.959341999708705
bastille,5.26619481914876
batet,5.959341999708705
bathelmé,5.959341999708705
baum,5.959341999708705
be,5.04305126783455
bebend,5.959341999708705
bedidde,5.959341999708705
befirchtunge,5.959341999708705
befreia,5.959341999708705
begange,5.959341999708705
begehn,5.553876891600541
begeisch,5.959341999708705
begeischterung,5.553876891600541
begeistert,5.959341999708705
begriesse,5.959341999708705
bei,5.959341999708705
beide,5.04305126783455
beidem,5.959341999708705
beiden,5.959341999708705
beim,5.959341999708705
bekannte,5.553876891600541
bekehre,5.959341999708705
bekomm,5.553876891600541
bekummt,5.959341999708705
bekümmert,5.553876891600541
beleidigt,5.959341999708705
bemächtigen,5.959341999708705
bemühe,5.959341999708705
ben,5.553876891600541
berechtigt,5.959341999708705
bereit,5.553876891600541
bereitet,5.959341999708705
beröje,5.959341999708705
berüef,5.959341999708705
berühiga,5.553876891600541
bes,5.553876891600541
besch,5.959341999708705
beschaut,5.959341999708705
beschte,5.04305126783455
beschwörend,5.959341999708705
beschäftigt,5.959341999708705
bess,4.860729711040595
besser,5.04305126783455
bestimmt,5.553876891600541
bet,5.959341999708705
bete,5.959341999708705
beten,5.959341999708705
