words,idf
10,5.666578814116735
14,5.666578814116735
aan,5.155753190350744
aanzelüeje,6.072043922224899
ab,4.567966525448625
aba,6.072043922224899
acht,5.666578814116735
aelterer,6.072043922224899
affaire,6.072043922224899
ah,5.155753190350744
aha,6.072043922224899
alle,5.666578814116735
allei,4.973431633556789
allem,6.072043922224899
allerbescht,6.072043922224899
allerdings,6.072043922224899
alles,4.567966525448625
allewej,6.072043922224899
allez,6.072043922224899
alli,4.567966525448625
als,5.155753190350744
also,4.819280953729532
alt,6.072043922224899
am,4.567966525448625
an,4.126133773169586
andere,5.666578814116735
andersch,6.072043922224899
andlig,6.072043922224899
andrs,5.666578814116735
anfangs,6.072043922224899
angefallen,6.072043922224899
angst,6.072043922224899
anhalte,6.072043922224899
anprob,6.072043922224899
anständigs,6.072043922224899
anzehalte,6.072043922224899
arich,4.685749561105009
arm,6.072043922224899
arme,6.072043922224899
art,6.072043922224899
au,3.3639937211226894
auch,5.666578814116735
auf,4.057140901682635
aufgeregter,5.666578814116735
augen,6.072043922224899
aus,4.973431633556789
ausgehen,6.072043922224899
auto,5.378896741664954
auwe,6.072043922224899
awer,3.7694588292308535
babble,6.072043922224899
bal,5.155753190350744
balle,6.072043922224899
beginnt,6.072043922224899
beide,6.072043922224899
beiden,6.072043922224899
bekomm,6.072043922224899
bekummsch,6.072043922224899
beleebt,6.072043922224899
beleidigsch,6.072043922224899
belle,5.378896741664954
beobachtet,6.072043922224899
berüehigt,6.072043922224899
bescht,6.072043922224899
beschta,6.072043922224899
beschte,5.666578814116735
besser,5.666578814116735
bessere,6.072043922224899
betrachtet,5.666578814116735
bett,6.072043922224899
bien,6.072043922224899
bilder,6.072043922224899
bin,4.685749561105009
bindet,6.072043922224899
bis,5.378896741664954
bisch,4.685749561105009
bissel,6.072043922224899
bittend,6.072043922224899
bleibt,6.072043922224899
blie,6.072043922224899
bliet,6.072043922224899
bliewe,6.072043922224899
boden,6.072043922224899
bonjour,6.072043922224899
bonne,6.072043922224899
bravoooo,6.072043922224899
bring,6.072043922224899
bringe,5.378896741664954
bringt,6.072043922224899
brüch,6.072043922224899
