words,idf
ab,5.590056548178043
abg,5.590056548178043
abz,5.1845914400698785
achdung,4.491444259509933
achsle,5.590056548178043
acht,4.896909367618098
adie,5.590056548178043
ag,4.896909367618098
ah,4.673765816303888
aha,4.673765816303888
aiie,5.590056548178043
aile,5.590056548178043
alaüfe,5.590056548178043
alle,3.1051498983900427
allei,5.590056548178043
allem,5.1845914400698785
alles,4.491444259509933
allewil,3.885308455939618
allons,4.896909367618098
als,4.491444259509933
also,4.203762187058153
alt,5.590056548178043
am,3.9806186357439426
amateurs,5.590056548178043
amerika,4.491444259509933
an,3.9806186357439426
ander,4.673765816303888
andere,4.337293579682675
anderer,4.491444259509933
anderm,5.590056548178043
andre,4.896909367618098
ane,4.085979151401769
anfang,3.798297078949988
angst,4.673765816303888
anstatt,5.590056548178043
antwort,5.590056548178043
arg,5.590056548178043
ariehre,5.590056548178043
arm,4.896909367618098
art,4.896909367618098
arucke,5.1845914400698785
aruckt,5.590056548178043
as,3.5751535276357784
ass,2.476541238967669
astrich,5.590056548178043
atreffe,5.590056548178043
attachiere,5.590056548178043
aventure,5.590056548178043
avertraüe,5.590056548178043
awe,5.590056548178043
awende,5.590056548178043
awer,3.192161275379673
az,4.896909367618098
aügesblick,4.491444259509933
backe,5.590056548178043
bandee,5.590056548178043
basson,2.849216524252842
bassonspieler,5.1845914400698785
be,5.590056548178043
befriedige,5.590056548178043
begryffe,5.590056548178043
bekannte,4.673765816303888
bekanntschaft,5.590056548178043
beklage,5.590056548178043
bekummennt,5.590056548178043
bergère,4.337293579682675
besser,4.203762187058153
beste,5.1845914400698785
bewegung,5.590056548178043
bi,3.3387647495715482
bien,4.203762187058153
bif,3.64414639912273
biku,5.590056548178043
bild,4.673765816303888
bim,5.590056548178043
bin,4.337293579682675
bis,4.491444259509933
bisch,4.673765816303888
bitrage,5.590056548178043
bitt,5.1845914400698785
blange,5.1845914400698785
blatt,5.590056548178043
blaü,5.1845914400698785
blechschmidt,5.590056548178043
bleiche,5.590056548178043
blibt,5.590056548178043
bloose,5.1845914400698785
blost,4.896909367618098
blättert,5.590056548178043
bodegra,5.590056548178043
bol,4.673765816303888
bonjour,5.590056548178043
bonne,5.590056548178043
bravo,5.590056548178043
brich,5.590056548178043
bring,5.1845914400698785
bringe,4.491444259509933
broche,5.590056548178043
brocht,5.590056548178043
bruche,5.590056548178043
brüch,5.590056548178043
brüche,3.9806186357439426
brücht,4.896909367618098
bscht,5.590056548178043
bàredràckwasser,5.590056548178043
bémols,5.1845914400698785
bös,5.590056548178043
changiere,5.590056548178043
changiert,5.590056548178043
charmante,5.590056548178043
chef,5.590056548178043
collodion,5.590056548178043
composiert,5.590056548178043
consultiere,5.590056548178043
cor,4.896909367618098
corbeau,5.590056548178043
danke,5.590056548178043
das,2.205666284832269
dasmol,5.590056548178043
dass,5.1845914400698785
de,3.64414639912273
dem,3.7182543712764518
denk,4.896909367618098
denke,5.590056548178043
denkt,5.1845914400698785
denn,3.192161275379673
der,4.896909367618098
derfir,4.673765816303888
dergege,4.896909367618098
derno,4.203762187058153
dert,4.896909367618098
dervo,4.491444259509933
derzüe,4.896909367618098
desto,5.1845914400698785
destoweniger,5.590056548178043
di,4.085979151401769
diable,5.590056548178043
dich,4.491444259509933
die,3.3387647495715482
diemol,5.590056548178043
diene,5.590056548178043
dim,4.896909367618098
ding,3.9806186357439426
dings,5.590056548178043
dir,5.1845914400698785
dièses,5.590056548178043
do,2.645617569011603
doch,3.2386812910145655
dohi,5.1845914400698785
doktor,4.085979151401769
doochder,3.9806186357439426
doochdermann,5.590056548178043
