words,idf
aagedruckt,7.4457198193855785
aagemolt,7.4457198193855785
aakaufe,7.4457198193855785
aam,7.4457198193855785
aan,5.740971727147153
aane,5.941642422609304
aaner,6.19295685089021
aanere,7.4457198193855785
aanerlei,7.4457198193855785
aanert,7.4457198193855785
aangebrüehdi,7.4457198193855785
aani,7.040254711277414
aanmol,6.529429087511423
aans,6.3471075307174685
ab,3.7200263921489256
abards,7.4457198193855785
abend,7.4457198193855785
abgerissen,7.4457198193855785
abgetragenem,7.4457198193855785
abgezehrten,7.4457198193855785
abgrund,7.4457198193855785
abgschnitte,7.4457198193855785
abreise,7.4457198193855785
abseits,5.740971727147153
abwechselnd,7.4457198193855785
abwehre,7.4457198193855785
abwehrend,7.040254711277414
abwendend,7.4457198193855785
abzulegen,7.4457198193855785
acephalus,7.4457198193855785
ach,4.960813169597579
acht,6.529429087511423
achteachtzig,7.4457198193855785
adam,7.040254711277414
adie,5.941642422609304
adieu,6.752572638825633
ae,7.4457198193855785
aehnlichkeit,7.4457198193855785
aehä,7.4457198193855785
aeker,7.040254711277414
aelterer,6.529429087511423
aepfel,7.4457198193855785
aepfele,7.4457198193855785
aerjer,6.752572638825633
aff,7.4457198193855785
affe,7.4457198193855785
agnès,7.040254711277414
ah,5.836281906951478
aha,6.3471075307174685
ahnung,7.4457198193855785
aim,5.941642422609304
ain,7.4457198193855785
aine,7.4457198193855785
ains,7.4457198193855785
ainse,7.4457198193855785
aje,7.4457198193855785
ajene,7.4457198193855785
ajetlich,7.4457198193855785
aladanda,7.4457198193855785
all,7.040254711277414
allabonheur,7.4457198193855785
alle,4.310225603456429
allefanz,6.752572638825633
allehopp,7.4457198193855785
allem,7.040254711277414
allen,7.040254711277414
aller,7.040254711277414
allererschte,7.4457198193855785
allerlei,7.4457198193855785
alles,4.354677366027262
allewil,5.836281906951478
allewäj,7.4457198193855785
alli,5.143134726391533
allmächtiger,6.752572638825633
allons,7.4457198193855785
als,4.267665989037633
alsin,7.4457198193855785
also,6.059425458265688
alt,6.19295685089021
altar,7.040254711277414
alter,5.836281906951478
alti,6.529429087511423
alts,7.4457198193855785
am,4.555348061489413
amand,7.4457198193855785
ambarra,7.4457198193855785
ambediere,7.4457198193855785
amelie,4.555348061489413
amend,5.941642422609304
amerika,5.430816798843313
amerikareis,7.4457198193855785
ami,7.040254711277414
amos,7.4457198193855785
amplatz,7.040254711277414
amérique,7.040254711277414
amüsiere,7.4457198193855785
an,3.9644797300498866
anbelangt,7.040254711277414
anblinzelt,7.4457198193855785
anbringe,7.4457198193855785
ander,6.3471075307174685
andere,6.3471075307174685
anderen,6.752572638825633
anderer,7.4457198193855785
anderi,7.4457198193855785
andern,7.4457198193855785
andersch,6.752572638825633
anderst,6.752572638825633
andlig,6.752572638825633
andrs,7.4457198193855785
anere,7.4457198193855785
anfanges,7.4457198193855785
angebrennt,7.4457198193855785
angebunde,7.4457198193855785
angeht,7.4457198193855785
angekommenen,7.4457198193855785
angele,6.752572638825633
angenes,2.9459101490553135
angericht,7.4457198193855785
angeschnallt,7.4457198193855785
angetroffe,7.4457198193855785
anhifti,7.4457198193855785
anhängen,7.4457198193855785
anne,6.3471075307174685
annekumme,7.4457198193855785
annzigs,7.4457198193855785
annüyrt,7.4457198193855785
ans,7.040254711277414
anschauen,7.4457198193855785
anstelle,7.4457198193855785
antwort,7.4457198193855785
anvertröuje,7.4457198193855785
anwesen,7.4457198193855785
anwüensche,7.4457198193855785
anzahl,7.4457198193855785
anziger,7.4457198193855785
anzuzünden,7.4457198193855785
apfel,7.4457198193855785
apostel,7.4457198193855785
appetit,7.4457198193855785
apropos,7.4457198193855785
arj,7.4457198193855785
arm,5.573917642483987
arme,7.4457198193855785
arnscht,7.4457198193855785
arrangez,7.4457198193855785
arrangiert,7.4457198193855785
arrewiere,7.4457198193855785
arrj,7.4457198193855785
artur,7.4457198193855785
artür,6.19295685089021
arwait,7.4457198193855785
arwar,7.4457198193855785
as,7.4457198193855785
ass,7.040254711277414
asse,7.4457198193855785
assez,7.4457198193855785
assure,7.4457198193855785
atem,6.752572638825633
atmend,7.4457198193855785
au,3.995732273553991
aue,6.19295685089021
auf,3.8903717578961645
aufatmend,7.4457198193855785
aufgeheitert,7.4457198193855785
aufgeputzt,7.4457198193855785
aufgeregter,6.752572638825633
aufgerichtet,7.4457198193855785
aufgetreten,7.4457198193855785
aufschnellend,7.4457198193855785
augen,7.040254711277414
augustin,7.4457198193855785
aunoch,6.752572638825633
aus,4.612506475329362
aussen,6.752572638825633
ausser,7.040254711277414
autsch,7.4457198193855785
avancez,7.4457198193855785
avec,6.529429087511423
awer,3.979983916585852
baan,6.19295685089021
baas,5.003372784016374
baase,7.040254711277414
babbel,7.4457198193855785
babbellung,7.4457198193855785
babbelsch,7.4457198193855785
babbelwasser,7.4457198193855785
babbesitt,7.4457198193855785
babble,7.4457198193855785
babscht,7.4457198193855785
bachstelz,7.4457198193855785
backe,7.4457198193855785
bade,7.040254711277414
baff,7.4457198193855785
baiser,7.4457198193855785
ball,5.653960350157523
balles,7.4457198193855785
bambelt,6.752572638825633
bank,6.752572638825633
bardessüplaisir,7.4457198193855785
baris,7.4457198193855785
barmhärzigkeit,7.040254711277414
bart,7.4457198193855785
bartelmost,5.305653655889308
bartelmoste,7.4457198193855785
baschtet,7.040254711277414
basiere,7.4457198193855785
basiert,7.040254711277414
bass,6.529429087511423
bassiert,7.040254711277414
bassledang,7.4457198193855785
batsche,7.4457198193855785
batt,7.4457198193855785
bauernkostüm,7.4457198193855785
baumelt,7.040254711277414
beauté,7.4457198193855785
bebbelenz,7.4457198193855785
becher,7.4457198193855785
bechmänneleböjdi,7.4457198193855785
bedidde,7.040254711277414
bedrachte,6.19295685089021
bedrachteet,7.4457198193855785
