words,idf
aaa,6.58724865840025
aaah,5.383275854074314
aah,6.992713766508414
aam,6.299566585948469
aan,6.076423034634259
aane,6.992713766508414
aaner,6.58724865840025
aangemacht,6.992713766508414
aase,6.58724865840025
ab,3.7540353143440335
abbutz,6.992713766508414
abc,6.992713766508414
abgenumme,6.58724865840025
abgschtüerzt,6.992713766508414
abgsetzt,6.992713766508414
abgsuecht,6.992713766508414
abgsäjte,6.992713766508414
abhaue,6.992713766508414
abhole,6.992713766508414
abrechne,6.992713766508414
absattle,6.992713766508414
abwechselnd,6.992713766508414
abzebutze,6.992713766508414
abzeklopfe,6.992713766508414
abzemarschiere,6.992713766508414
abzopfe,6.992713766508414
ach,6.992713766508414
acht,6.58724865840025
adje,6.992713766508414
aeid,6.299566585948469
aelterer,6.076423034634259
aerm,6.299566585948469
aescht,6.992713766508414
affront,6.992713766508414
afrik,6.992713766508414
ah,5.1209115896068225
aha,5.6064194053885235
ajener,6.992713766508414
akzeptiert,6.992713766508414
ali,6.992713766508414
alle,5.1209115896068225
allegelte,6.992713766508414
allehopp,6.58724865840025
aller,6.58724865840025
allerhand,6.992713766508414
alles,4.690128673514368
allewiel,6.58724865840025
allewil,5.6064194053885235
allewäj,6.992713766508414
allez,6.992713766508414
allezamme,6.992713766508414
alli,3.511473677172722
als,4.594818493710044
also,6.58724865840025
alt,6.992713766508414
alti,6.58724865840025
alts,6.992713766508414
am,4.7414219679019185
amesant,6.992713766508414
amüsiere,6.992713766508414
an,3.857219550579264
anbet,6.992713766508414
anbrennt,6.992713766508414
andere,6.299566585948469
anderer,6.992713766508414
anderi,6.299566585948469
andersmol,6.992713766508414
andlig,6.992713766508414
ang,6.992713766508414
angeht,6.992713766508414
angeklaaut,6.992713766508414
angele,6.58724865840025
angenehme,6.58724865840025
angsehn,6.992713766508414
angst,5.6064194053885235
anhalte,6.992713766508414
anne,6.076423034634259
anständig,6.992713766508414
antwort,6.076423034634259
anzefange,6.992713766508414
appetit,6.076423034634259
arawerhengscht,6.992713766508414
arcadin,5.48863636973214
arig,6.58724865840025
aristide,2.7658800212402346
ariwiert,6.992713766508414
arm,5.894101477840304
arme,5.739950798013046
armehüss,6.992713766508414
armi,6.992713766508414
arms,6.992713766508414
arte,6.992713766508414
asoh,6.992713766508414
ass,5.894101477840304
au,4.130512885578946
aue,5.383275854074314
auesblick,6.992713766508414
aurevoir,6.992713766508414
auweh,6.299566585948469
awer,4.353656436893155
ay,6.58724865840025
aye,6.299566585948469
baan,6.076423034634259
babilotte,5.1209115896068225
bachoffe,6.992713766508414
ball,6.299566585948469
ballett,6.992713766508414
bandit,6.992713766508414
barmherzig,6.992713766508414
baronesse,6.58724865840025
baronessliche,6.992713766508414
bas,6.992713766508414
bass,6.58724865840025
basse,6.992713766508414
bassiert,6.992713766508414
batscht,5.739950798013046
batt,6.992713766508414
batzle,6.992713766508414
bedank,6.992713766508414
bedenk,6.992713766508414
bedenkzitt,6.992713766508414
bediene,6.992713766508414
bedient,6.992713766508414
bedingung,6.58724865840025
bedrachte,6.299566585948469
befehl,6.992713766508414
begahra,6.299566585948469
begrüesse,6.58724865840025
beidi,6.992713766508414
beifall,6.992713766508414
beisammen,6.992713766508414
bekomm,5.739950798013046
bekummsch,6.076423034634259
bekummt,6.992713766508414
beleebt,6.992713766508414
beleidigt,6.992713766508414
bequemer,6.992713766508414
bequemlichkeite,6.992713766508414
bereje,6.992713766508414
bereuen,6.992713766508414
berj,6.58724865840025
bery,6.992713766508414
beschte,6.076423034634259
besser,5.894101477840304
betriebti,6.992713766508414
betriejt,6.992713766508414
bett,6.58724865840025
bettel,6.992713766508414
bewacht,6.992713766508414
beweise,6.992713766508414
bewirte,6.992713766508414
bezahlsch,6.992713766508414
bezahlt,6.992713766508414
bhäupte,6.992713766508414
biberon,5.1209115896068225
bie,5.383275854074314
biem,5.894101477840304
biet,6.992713766508414
bill,6.992713766508414
bin,4.220125044268633
bind,6.58724865840025
binde,6.58724865840025
bis,4.977810745966149
bisch,4.074943034424135
bissel,5.894101477840304
bissi,6.58724865840025
bisst,6.299566585948469
bitschelbubbel,6.992713766508414
bitt,5.287965674269989
bittschrift,6.992713766508414
blangt,6.992713766508414
bleiche,6.992713766508414
bleisoldate,6.992713766508414
blieb,6.992713766508414
bliebsch,6.992713766508414
bliebt,6.992713766508414
bliewe,6.299566585948469
blitz,6.992713766508414
block,6.992713766508414
blodere,6.58724865840025
bloss,6.992713766508414
bluehscht,6.992713766508414
bluemeglocke,6.992713766508414
bluet,6.299566585948469
bluethund,6.992713766508414
bluetig,6.076423034634259
bluetigig,6.992713766508414
blämbelkochere,6.58724865840025
blöuje,6.992713766508414
blüeme,6.992713766508414
bobo,6.992713766508414
bodde,6.58724865840025
bon,6.076423034634259
bonbonniere,6.58724865840025
bonbonnière,4.690128673514368
bonheur,6.992713766508414
bonjour,6.076423034634259
bossu,6.299566585948469
botschafte,5.739950798013046
brache,6.992713766508414
brachti,6.992713766508414
brava,6.992713766508414
bravo,5.200954297280359
brenne,6.992713766508414
brennt,6.992713766508414
bressant,6.992713766508414
bressiert,6.58724865840025
bretschtell,6.992713766508414
brief,6.992713766508414
bring,5.894101477840304
bringe,5.383275854074314
bringsch,6.58724865840025
bringt,6.076423034634259
brocke,6.992713766508414
brot,6.992713766508414
brote,6.992713766508414
brotwüerscht,6.992713766508414
browiere,6.992713766508414
bruscht,6.58724865840025
brödle,6.992713766508414
brüch,6.299566585948469
brüchsch,6.299566585948469
brücht,6.58724865840025
bscht,5.6064194053885235
bschüetze,6.992713766508414
bsorjt,6.992713766508414
bsunders,6.992713766508414
bubb,6.58724865840025
bubbe,6.58724865840025
bubbel,6.992713766508414
buck,6.992713766508414
buckel,6.992713766508414
buckt,6.992713766508414
bumbelts,6.992713766508414
burjer,6.992713766508414
buttert,6.992713766508414
butzemumel,6.992713766508414
butzemummel,6.992713766508414
butzt,6.992713766508414
bäbbe,6.992713766508414
bäbbelenz,4.3900240810640305
bärtel,6.992713766508414
bäume,5.739950798013046
böse,6.58724865840025
böser,6.58724865840025
böüje,6.58724865840025
büch,5.894101477840304
büesse,6.076423034634259
büschbere,6.992713766508414
chaise,6.992713766508414
chambre,6.58724865840025
champignon,6.992713766508414
chance,6.992713766508414
chantalem,4.0222993009387125
chantelem,6.992713766508414
chat,4.55036673113921
cher,6.992713766508414
chor,6.299566585948469
confitürhafe,6.992713766508414
coucou,5.48863636973214
da,6.299566585948469
daa,5.383275854074314
dada,6.992713766508414
damen,6.299566585948469
dampf,6.58724865840025
dampfnüdle,6.992713766508414
danke,5.383275854074314
dankegebet,6.992713766508414
dannetwann,6.992713766508414
danz,6.992713766508414
danzt,6.299566585948469
das,6.992713766508414
dass,3.5915163848462583
de,3.4962062050419336
dei,6.58724865840025
deifelsbruet,6.58724865840025
deller,6.992713766508414
dem,4.852647603012143
demnooch,6.992713766508414
demüetig,6.992713766508414
denk,6.299566585948469
denke,6.58724865840025
denkt,6.992713766508414
denn,4.048274787341974
denne,4.7414219679019185
der,4.130512885578946
dere,5.739950798013046
derf,5.48863636973214
derfsch,6.992713766508414
derno,6.299566585948469
desert,6.992713766508414
dessert,6.992713766508414
diamante,6.992713766508414
dich,3.4962062050419336
dick,6.992713766508414
die,4.0222993009387125
diefblöüj,6.992713766508414
diefi,6.299566585948469
diefschte,6.299566585948469
diener,6.58724865840025
dienere,6.299566585948469
