words,idf
10,7.119197913617533
120,7.119197913617533
14,6.713732805509369
150,7.119197913617533
16,7.119197913617533
17,7.119197913617533
20,6.713732805509369
25,6.202907181743378
25jährigen,7.119197913617533
30,7.119197913617533
40,7.119197913617533
66,7.119197913617533
70,7.119197913617533
ab,4.174758934451093
aber,4.8679061150110385
abermalige,7.119197913617533
abermals,6.713732805509369
abflatere,7.119197913617533
abg,6.426050733057588
abgehen,7.119197913617533
abgehend,6.202907181743378
abgehender,7.119197913617533
abgekarti,7.119197913617533
abgeschüttelt,7.119197913617533
abhandlung,7.119197913617533
abkocht,7.119197913617533
ablaufe,7.119197913617533
abord,7.119197913617533
abseits,7.119197913617533
abverlangt,7.119197913617533
abwehrend,7.119197913617533
abwischend,7.119197913617533
abzeverlange,7.119197913617533
abzählend,7.119197913617533
accent,6.713732805509369
accepteer,7.119197913617533
acceptiere,7.119197913617533
ach,5.61512051684126
achsel,6.713732805509369
achseln,7.119197913617533
acht,6.713732805509369
acker,6.426050733057588
adie,7.119197913617533
adjes,6.713732805509369
adjund,5.104294893075269
adjunt,7.119197913617533
ae,7.119197913617533
aecker,7.119197913617533
aegyptern,7.119197913617533
aelterer,6.426050733057588
aen,7.119197913617533
aeni,7.119197913617533
aenschdäels,7.119197913617533
aeu,6.713732805509369
aeue,7.119197913617533
aeueblick,5.866434945122165
aeujeblick,7.119197913617533
aeüsübung,7.119197913617533
aff,7.119197913617533
affaire,7.119197913617533
affektiert,7.119197913617533
ag,7.119197913617533
ah,4.028155460259217
aha,7.119197913617533
ahnung,6.713732805509369
ai,7.119197913617533
aime,7.119197913617533
ait,7.119197913617533
aktien,6.713732805509369
alle,3.7348076502717595
allei,6.713732805509369
allem,6.020585624949423
allemanischen,7.119197913617533
allemol,7.119197913617533
aller,7.119197913617533
allerdings,7.119197913617533
alles,4.201427181533255
allewaj,6.202907181743378
alleway,6.713732805509369
allewil,5.17328776456222
allewyl,7.119197913617533
allewäj,5.866434945122165
allewäy,7.119197913617533
allez,6.426050733057588
allgemeinen,7.119197913617533
alli,5.327438444389479
allmächtiger,7.119197913617533
als,4.098773027473172
also,5.866434945122165
alt,6.426050733057588
altbierel,6.713732805509369
alter,6.713732805509369
alterle,7.119197913617533
altes,7.119197913617533
alti,6.202907181743378
am,4.554248556155997
ambetant,7.119197913617533
amen,7.119197913617533
amusant,7.119197913617533
amüsiere,7.119197913617533
an,3.653462010817807
and,7.119197913617533
ander,6.202907181743378
andere,5.61512051684126
anderen,6.426050733057588
anderer,5.866434945122165
anderi,6.426050733057588
andern,5.414449821379108
andersch,5.247395736715942
andlig,6.713732805509369
andre,6.713732805509369
andrer,7.119197913617533
andri,7.119197913617533
andrs,6.713732805509369
anerkennung,7.119197913617533
ang,6.202907181743378
angehen,7.119197913617533
angele,6.426050733057588
angelegenheit,6.713732805509369
angelejeheit,6.713732805509369
angenehme,6.202907181743378
angetroffe,6.426050733057588
angetrunken,6.713732805509369
angezeigt,7.119197913617533
angezogen,6.713732805509369
angst,6.426050733057588
angélique,6.713732805509369
anhalt,6.713732805509369
anhenke,7.119197913617533
anhett,7.119197913617533
ankunft,7.119197913617533
anleijes,7.119197913617533
