,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr
Id_block,1.000,-0.040,0.062,-0.003,0.082,0.090,0.071,-0.039,0.014,0.039,-0.117,0.118,-0.126,0.175,0.111,0.139,0.008,0.119,0.138
valence_als,-0.040,1.000,-0.259,0.662,-0.402,-0.359,-0.478,0.412,-0.549,0.020,0.367,-0.151,0.185,-0.249,-0.137,-0.035,0.110,-0.130,0.112
arousal_als,0.062,-0.259,1.000,-0.042,0.382,0.234,0.358,0.158,0.158,0.109,-0.175,0.292,-0.044,0.141,0.004,0.016,-0.024,0.009,-0.012
dominance_als,-0.003,0.662,-0.042,1.000,-0.099,-0.273,-0.242,0.124,-0.439,0.069,0.256,-0.096,0.260,-0.194,-0.163,-0.071,0.090,-0.153,-0.004
anger_als,0.082,-0.402,0.382,-0.099,1.000,0.467,0.598,-0.081,0.331,0.035,-0.209,0.233,-0.029,0.201,0.070,0.137,-0.069,0.052,-0.054
disgust_als,0.090,-0.359,0.234,-0.273,0.467,1.000,0.522,-0.113,0.263,-0.056,-0.187,0.063,-0.159,0.124,0.167,0.054,-0.045,0.083,-0.105
fear_als,0.071,-0.478,0.358,-0.242,0.598,0.522,1.000,-0.096,0.510,0.112,-0.262,0.184,-0.142,0.230,0.130,0.156,-0.039,0.110,-0.078
joy_als,-0.039,0.412,0.158,0.124,-0.081,-0.113,-0.096,1.000,-0.151,0.029,-0.010,0.046,-0.104,0.047,0.048,0.090,-0.074,-0.016,0.139
sadness_als,0.014,-0.549,0.158,-0.439,0.331,0.263,0.510,-0.151,1.000,0.095,-0.184,0.067,-0.150,0.110,0.075,0.033,-0.000,0.170,-0.082
surprise_als,0.039,0.020,0.109,0.069,0.035,-0.056,0.112,0.029,0.095,1.000,0.013,0.128,0.114,-0.023,-0.030,0.020,-0.022,-0.000,-0.019
valence_fr,-0.117,0.367,-0.175,0.256,-0.209,-0.187,-0.262,-0.010,-0.184,0.013,1.000,-0.346,0.506,-0.582,-0.552,-0.282,0.160,-0.544,0.152
arousal_fr,0.118,-0.151,0.292,-0.096,0.233,0.063,0.184,0.046,0.067,0.128,-0.346,1.000,0.096,0.398,0.147,0.326,0.018,0.253,0.081
dominance_fr,-0.126,0.185,-0.044,0.260,-0.029,-0.159,-0.142,-0.104,-0.150,0.114,0.506,0.096,1.000,-0.300,-0.443,-0.199,-0.034,-0.267,-0.022
anger_fr,0.175,-0.249,0.141,-0.194,0.201,0.124,0.230,0.047,0.110,-0.023,-0.582,0.398,-0.300,1.000,0.577,0.431,-0.086,0.303,-0.024
disgust_fr,0.111,-0.137,0.004,-0.163,0.070,0.167,0.130,0.048,0.075,-0.030,-0.552,0.147,-0.443,0.577,1.000,0.331,-0.163,0.483,0.060
fear_fr,0.139,-0.035,0.016,-0.071,0.137,0.054,0.156,0.090,0.033,0.020,-0.282,0.326,-0.199,0.431,0.331,1.000,-0.086,0.419,0.425
joy_fr,0.008,0.110,-0.024,0.090,-0.069,-0.045,-0.039,-0.074,-0.000,-0.022,0.160,0.018,-0.034,-0.086,-0.163,-0.086,1.000,-0.022,-0.087
sadness_fr,0.119,-0.130,0.009,-0.153,0.052,0.083,0.110,-0.016,0.170,-0.000,-0.544,0.253,-0.267,0.303,0.483,0.419,-0.022,1.000,0.022
surprise_fr,0.138,0.112,-0.012,-0.004,-0.054,-0.105,-0.078,0.139,-0.082,-0.019,0.152,0.081,-0.022,-0.024,0.060,0.425,-0.087,0.022,1.000
