,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
Id_block,1.000,-0.034,0.044,0.001,0.107,0.123,0.052,-0.028,0.042,0.052,-0.037,0.008,-0.132,0.110,-0.000,0.185,0.136,0.108,-0.073,0.034,0.021,-0.046,-0.032
valence_als,-0.034,1.000,-0.241,0.652,-0.566,-0.484,-0.679,0.580,-0.654,0.067,0.463,0.116,0.480,-0.268,0.279,-0.330,-0.389,-0.318,0.266,-0.316,-0.031,0.304,0.000
arousal_als,0.044,-0.241,1.000,-0.022,0.375,0.192,0.333,0.135,0.240,0.097,-0.186,0.022,-0.177,0.356,-0.076,0.275,0.230,0.259,-0.048,0.175,-0.011,-0.137,-0.066
dominance_als,0.001,0.652,-0.022,1.000,-0.228,-0.311,-0.291,0.188,-0.477,0.035,0.520,-0.005,0.253,-0.104,0.346,-0.109,-0.214,-0.135,-0.017,-0.139,-0.073,0.277,-0.053
anger_als,0.107,-0.566,0.375,-0.228,1.000,0.565,0.596,-0.221,0.453,0.017,-0.262,-0.136,-0.331,0.294,-0.076,0.311,0.328,0.292,-0.111,0.208,-0.061,-0.204,-0.038
disgust_als,0.123,-0.484,0.192,-0.311,0.565,1.000,0.461,-0.313,0.227,-0.048,-0.306,-0.208,-0.258,0.082,-0.160,0.151,0.312,0.118,-0.073,0.224,-0.054,-0.159,-0.056
fear_als,0.052,-0.679,0.333,-0.291,0.596,0.461,1.000,-0.345,0.668,0.082,-0.384,-0.172,-0.340,0.242,-0.196,0.312,0.295,0.293,-0.135,0.272,0.020,-0.276,-0.057
joy_als,-0.028,0.580,0.135,0.188,-0.221,-0.313,-0.345,1.000,-0.308,0.171,0.082,0.145,0.183,0.031,0.018,-0.105,-0.097,-0.094,0.328,-0.131,0.051,0.035,0.071
sadness_als,0.042,-0.654,0.240,-0.477,0.453,0.227,0.668,-0.308,1.000,0.028,-0.323,-0.170,-0.274,0.256,-0.222,0.237,0.215,0.265,-0.089,0.243,0.035,-0.234,-0.012
surprise_als,0.052,0.067,0.097,0.035,0.017,-0.048,0.082,0.171,0.028,1.000,0.043,0.299,0.057,0.155,0.041,0.080,-0.015,0.024,0.121,0.021,0.194,0.022,0.039
trust_als,-0.037,0.463,-0.186,0.520,-0.262,-0.306,-0.384,0.082,-0.323,0.043,1.000,0.112,0.248,-0.174,0.234,-0.154,-0.178,-0.126,0.008,-0.102,0.023,0.312,-0.016
anticipation_als,0.008,0.116,0.022,-0.005,-0.136,-0.208,-0.172,0.145,-0.170,0.299,0.112,1.000,0.133,-0.083,-0.031,-0.057,-0.130,-0.186,0.151,-0.171,0.110,-0.032,0.222
valence_fr,-0.132,0.480,-0.177,0.253,-0.331,-0.258,-0.340,0.183,-0.274,0.057,0.248,0.133,1.000,-0.383,0.489,-0.608,-0.650,-0.576,0.567,-0.603,0.034,0.548,0.148
arousal_fr,0.110,-0.268,0.356,-0.104,0.294,0.082,0.242,0.031,0.256,0.155,-0.174,-0.083,-0.383,1.000,0.056,0.551,0.472,0.587,0.012,0.390,0.251,-0.306,0.077
dominance_fr,-0.000,0.279,-0.076,0.346,-0.076,-0.160,-0.196,0.018,-0.222,0.041,0.234,-0.031,0.489,0.056,1.000,-0.162,-0.265,-0.107,0.119,-0.339,0.029,0.460,-0.028
anger_fr,0.185,-0.330,0.275,-0.109,0.311,0.151,0.312,-0.105,0.237,0.080,-0.154,-0.057,-0.608,0.551,-0.162,1.000,0.672,0.811,-0.235,0.525,0.228,-0.376,-0.119
disgust_fr,0.136,-0.389,0.230,-0.214,0.328,0.312,0.295,-0.097,0.215,-0.015,-0.178,-0.130,-0.650,0.472,-0.265,0.672,1.000,0.611,-0.256,0.643,0.102,-0.354,-0.126
fear_fr,0.108,-0.318,0.259,-0.135,0.292,0.118,0.293,-0.094,0.265,0.024,-0.126,-0.186,-0.576,0.587,-0.107,0.811,0.611,1.000,-0.270,0.598,0.245,-0.333,-0.092
joy_fr,-0.073,0.266,-0.048,-0.017,-0.111,-0.073,-0.135,0.328,-0.089,0.121,0.008,0.151,0.567,0.012,0.119,-0.235,-0.256,-0.270,1.000,-0.293,0.150,0.081,0.309
sadness_fr,0.034,-0.316,0.175,-0.139,0.208,0.224,0.272,-0.131,0.243,0.021,-0.102,-0.171,-0.603,0.390,-0.339,0.525,0.643,0.598,-0.293,1.000,0.206,-0.363,-0.064
surprise_fr,0.021,-0.031,-0.011,-0.073,-0.061,-0.054,0.020,0.051,0.035,0.194,0.023,0.110,0.034,0.251,0.029,0.228,0.102,0.245,0.150,0.206,1.000,0.020,0.218
trust_fr,-0.046,0.304,-0.137,0.277,-0.204,-0.159,-0.276,0.035,-0.234,0.022,0.312,-0.032,0.548,-0.306,0.460,-0.376,-0.354,-0.333,0.081,-0.363,0.020,1.000,-0.074
anticipation_fr,-0.032,0.000,-0.066,-0.053,-0.038,-0.056,-0.057,0.071,-0.012,0.039,-0.016,0.222,0.148,0.077,-0.028,-0.119,-0.126,-0.092,0.309,-0.064,0.218,-0.074,1.000
