,Id_block,valence_elal,arousal_elal,dominance_elal,anger_elal,disgust_elal,fear_elal,joy_elal,sadness_elal,surprise_elal,valence_feel,arousal_feel,dominance_feel,anger_feel,disgust_feel,fear_feel,joy_feel,sadness_feel,surprise_feel
0,0,0.680,0.456,0.711,0.097,0.000,0.091,0.000,0.094,0.000,0.621,0.396,0.592,0.200,0.000,0.000,0.000,0.200,0.000
1,1,0.473,0.589,0.621,0.167,0.000,0.167,0.071,0.167,0.048,0.601,0.600,0.602,0.250,0.250,0.250,0.000,0.250,0.250
2,2,0.800,0.400,0.600,0.000,0.000,0.000,0.400,0.000,0.000,0.532,0.507,0.573,0.333,0.000,0.333,0.333,0.333,0.000
3,3,0.894,0.111,0.539,0.000,0.000,0.000,0.333,0.000,0.000,0.750,0.329,0.409,0.000,0.000,0.250,0.000,0.000,0.250
4,4,0.652,0.931,0.573,0.333,0.333,0.333,0.287,0.000,0.180,0.766,0.382,0.432,0.000,0.000,0.000,0.000,0.000,0.000
5,5,0.599,0.304,0.564,0.069,0.074,0.069,0.325,0.000,0.088,0.597,0.371,0.449,0.000,0.143,0.143,0.000,0.000,0.143
6,6,0.791,0.959,0.744,0.200,0.200,0.200,0.372,0.200,0.108,0.614,0.475,0.433,0.000,0.000,0.200,0.300,0.300,0.000
7,7,0.667,0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.666,0.429,0.728,0.333,0.000,0.000,0.000,0.000,0.000
8,8,0.752,0.108,0.557,0.000,0.000,0.000,0.200,0.000,0.000,0.583,0.312,0.425,0.250,0.250,0.250,0.000,0.000,0.250
9,9,0.614,0.297,0.558,0.000,0.000,0.000,0.071,0.000,0.134,0.665,0.436,0.625,0.000,0.000,0.000,0.000,0.000,0.300
10,10,0.601,0.781,0.598,0.000,0.000,0.000,0.333,0.000,0.333,0.570,0.369,0.551,0.333,0.333,0.333,0.000,0.000,0.000
11,11,0.965,0.255,0.891,0.000,0.000,0.042,0.559,0.000,0.081,0.668,0.479,0.574,0.000,0.000,0.167,0.000,0.000,0.167
12,12,0.667,0.333,0.667,0.000,0.000,0.000,0.333,0.000,0.000,0.660,0.427,0.505,0.000,0.000,0.500,0.000,0.000,0.250
13,13,0.358,0.274,0.483,0.143,0.000,0.000,0.424,0.000,0.000,0.425,0.411,0.418,0.429,0.429,0.000,0.000,0.000,0.000
14,14,0.494,0.270,0.658,0.000,0.000,0.013,0.068,0.000,0.024,0.685,0.419,0.672,0.125,0.125,0.000,0.000,0.125,0.125
15,15,0.617,0.707,0.893,0.250,0.000,0.297,0.094,0.000,0.094,0.620,0.437,0.672,0.000,0.125,0.250,0.000,0.000,0.125
16,16,0.753,0.353,0.795,0.136,0.000,0.000,0.125,0.000,0.000,0.623,0.416,0.633,0.143,0.000,0.000,0.000,0.000,0.000
17,17,0.898,0.461,0.664,0.000,0.000,0.000,0.198,0.000,0.201,0.636,0.468,0.587,0.111,0.000,0.111,0.000,0.000,0.111
18,18,0.702,0.494,0.582,0.038,0.000,0.119,0.213,0.143,0.049,0.603,0.429,0.515,0.133,0.067,0.267,0.133,0.133,0.067
19,19,0.848,0.382,0.732,0.103,0.122,0.000,0.000,0.000,0.000,0.654,0.458,0.508,0.111,0.056,0.056,0.167,0.000,0.056
20,21,0.858,0.102,0.862,0.000,0.000,0.000,0.000,0.000,0.000,0.432,0.331,0.438,0.000,0.000,0.250,0.000,0.500,0.250
21,22,0.832,0.345,0.821,0.143,0.000,0.000,0.047,0.143,0.000,0.586,0.414,0.589,0.125,0.125,0.000,0.125,0.000,0.000
22,23,0.806,0.304,0.762,0.000,0.000,0.000,0.266,0.000,0.077,0.692,0.433,0.599,0.000,0.000,0.000,0.222,0.000,0.111
23,24,0.905,0.429,0.845,0.000,0.000,0.000,0.405,0.000,0.107,0.671,0.454,0.636,0.200,0.000,0.200,0.000,0.000,0.200
24,25,0.500,0.750,1.000,0.250,0.500,0.500,0.500,0.500,0.250,0.564,0.392,0.450,0.000,0.000,0.000,0.000,0.000,0.000
25,26,0.934,0.115,0.598,0.000,0.000,0.000,0.000,0.000,0.000,0.812,0.333,0.824,0.000,0.000,0.000,0.000,0.000,0.000
26,27,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.562,0.446,0.668,0.000,0.000,0.000,0.000,0.000,0.000
27,28,0.624,0.417,0.532,0.000,0.000,0.000,0.000,0.000,0.000,0.597,0.456,0.578,0.000,0.000,0.250,0.000,0.000,0.000
28,29,0.809,0.282,0.788,0.000,0.000,0.016,0.241,0.099,0.090,0.665,0.355,0.611,0.200,0.200,0.200,0.000,0.000,0.000
29,31,0.587,0.111,0.833,0.333,0.000,0.000,0.164,0.000,0.000,0.735,0.469,0.576,0.125,0.000,0.000,0.125,0.125,0.000
30,32,0.790,0.335,0.639,0.000,0.000,0.000,0.000,0.000,0.000,0.561,0.433,0.512,0.167,0.083,0.167,0.083,0.083,0.000
31,33,0.582,0.570,0.652,0.090,0.000,0.167,0.000,0.000,0.000,0.314,0.488,0.460,0.286,0.000,0.286,0.000,0.286,0.286
32,34,0.635,0.357,0.469,0.000,0.000,0.250,0.250,0.250,0.000,0.717,0.446,0.558,0.000,0.000,0.167,0.167,0.000,0.167
33,35,0.737,0.349,0.424,0.000,0.000,0.000,0.000,0.000,0.000,0.718,0.418,0.610,0.000,0.000,0.000,0.000,0.000,0.000
34,36,0.837,0.263,0.670,0.000,0.080,0.000,0.102,0.000,0.021,0.568,0.444,0.561,0.053,0.053,0.105,0.105,0.000,0.000
35,37,0.620,0.608,0.654,0.000,0.000,0.239,0.000,0.168,0.256,0.651,0.391,0.596,0.250,0.125,0.000,0.000,0.125,0.125
36,38,0.517,0.505,0.647,0.150,0.000,0.185,0.000,0.000,0.000,0.484,0.460,0.562,0.200,0.000,0.200,0.000,0.000,0.000
37,39,0.757,0.235,0.708,0.000,0.000,0.053,0.266,0.106,0.000,0.679,0.445,0.472,0.000,0.000,0.250,0.250,0.000,0.250
38,40,0.500,0.500,1.000,0.000,0.500,0.500,0.500,0.500,0.000,0.542,0.374,0.562,0.000,0.000,0.000,0.000,0.000,0.333
39,41,0.778,0.379,0.592,0.000,0.333,0.167,0.093,0.167,0.000,0.630,0.305,0.535,0.000,0.000,0.000,0.000,0.000,0.000
40,42,0.848,0.374,0.401,0.049,0.051,0.068,0.231,0.048,0.051,0.696,0.392,0.566,0.158,0.053,0.105,0.158,0.158,0.158
41,43,0.786,0.493,0.654,0.091,0.000,0.105,0.357,0.034,0.000,0.711,0.453,0.645,0.000,0.000,0.071,0.286,0.143,0.143
42,44,0.850,0.503,0.573,0.000,0.000,0.000,0.601,0.000,0.062,0.712,0.559,0.647,0.000,0.000,0.200,0.200,0.000,0.200
43,45,0.694,0.139,0.602,0.000,0.091,0.000,0.273,0.000,0.000,0.639,0.361,0.484,0.000,0.100,0.100,0.100,0.100,0.100
44,46,1.000,0.500,1.000,0.000,0.000,0.000,0.750,0.000,0.000,0.835,0.536,0.683,0.000,0.250,0.000,0.000,0.250,0.500
45,47,0.850,0.217,0.607,0.000,0.000,0.000,0.000,0.000,0.000,0.770,0.363,0.681,0.000,0.000,0.000,0.000,0.000,0.000
46,48,0.478,0.516,0.530,0.000,0.000,0.371,0.000,0.113,0.000,0.437,0.518,0.524,0.000,0.000,0.500,0.000,0.500,0.000
47,49,0.668,0.069,0.638,0.000,0.250,0.000,0.140,0.000,0.000,0.599,0.300,0.626,0.000,0.000,0.000,0.000,0.000,0.000
48,50,0.581,0.635,0.877,0.176,0.164,0.188,0.200,0.164,0.124,0.639,0.441,0.576,0.200,0.000,0.200,0.100,0.100,0.100
49,51,0.780,0.495,0.771,0.049,0.049,0.000,0.165,0.000,0.000,0.625,0.446,0.630,0.000,0.000,0.125,0.000,0.000,0.125
50,52,0.831,0.502,0.681,0.000,0.000,0.000,0.200,0.100,0.000,0.515,0.391,0.421,0.111,0.111,0.444,0.000,0.222,0.111
51,53,0.848,0.444,0.826,0.000,0.000,0.000,0.344,0.000,0.000,0.618,0.436,0.603,0.000,0.000,0.000,0.143,0.000,0.000
52,54,0.564,0.475,0.725,0.167,0.000,0.167,0.167,0.167,0.000,0.581,0.479,0.476,0.143,0.286,0.143,0.000,0.143,0.143
53,55,0.858,0.102,0.862,0.000,0.000,0.000,0.333,0.000,0.000,0.652,0.379,0.623,0.000,0.000,0.000,0.000,0.000,0.000
54,56,0.903,0.570,0.900,0.000,0.000,0.000,0.750,0.000,0.000,0.753,0.356,0.584,0.000,0.000,0.143,0.143,0.000,0.286
55,58,0.685,0.647,0.903,0.000,0.250,0.250,0.567,0.250,0.000,0.716,0.382,0.529,0.000,0.000,0.167,0.333,0.000,0.167
56,59,0.773,0.739,0.531,0.000,0.200,0.200,0.366,0.400,0.000,0.628,0.347,0.481,0.000,0.000,0.000,0.000,0.000,0.000
57,60,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.644,0.491,0.620,0.000,0.000,0.000,0.000,0.000,0.000
58,62,0.925,0.171,0.879,0.000,0.000,0.000,0.472,0.000,0.000,0.640,0.319,0.582,0.200,0.200,0.200,0.000,0.000,0.000
59,63,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.603,0.363,0.465,0.000,0.000,0.333,0.000,0.333,0.000
60,64,0.832,0.520,0.823,0.000,0.000,0.000,0.111,0.000,0.000,0.715,0.422,0.557,0.000,0.100,0.100,0.000,0.000,0.200
61,65,0.715,0.661,0.717,0.000,0.200,0.200,0.400,0.200,0.000,0.602,0.441,0.555,0.000,0.200,0.000,0.000,0.200,0.000
62,66,0.765,0.257,0.683,0.000,0.000,0.000,0.121,0.000,0.000,0.656,0.326,0.635,0.000,0.000,0.000,0.000,0.000,0.000
