,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
Id_block,1.000,-0.144,0.111,-0.018,0.193,0.146,0.125,-0.074,0.076,0.017,-0.065,-0.020,-0.132,0.063,-0.101,0.179,0.119,0.099,-0.048,0.117,0.067,-0.028,-0.039
valence_als,-0.144,1.000,-0.375,0.509,-0.609,-0.646,-0.581,0.573,-0.638,0.065,0.591,0.160,0.712,-0.164,0.507,-0.499,-0.483,-0.390,0.402,-0.391,-0.155,0.323,0.048
arousal_als,0.111,-0.375,1.000,0.051,0.573,0.503,0.613,0.008,0.384,0.235,-0.304,0.100,-0.251,0.532,-0.015,0.355,0.305,0.326,-0.090,0.212,0.231,-0.133,0.091
dominance_als,-0.018,0.509,0.051,1.000,-0.175,-0.263,-0.118,0.134,-0.353,0.035,0.469,-0.005,0.403,0.002,0.605,-0.173,-0.239,-0.066,0.018,-0.176,0.034,0.321,-0.013
anger_als,0.193,-0.609,0.573,-0.175,1.000,0.698,0.827,-0.239,0.547,0.202,-0.391,-0.100,-0.491,0.324,-0.215,0.600,0.481,0.436,-0.152,0.400,0.217,-0.216,-0.064
disgust_als,0.146,-0.646,0.503,-0.263,0.698,1.000,0.643,-0.261,0.644,0.081,-0.371,-0.106,-0.527,0.246,-0.355,0.562,0.614,0.354,-0.269,0.328,0.160,-0.242,-0.110
fear_als,0.125,-0.581,0.613,-0.118,0.827,0.643,1.000,-0.271,0.611,0.207,-0.344,-0.074,-0.413,0.331,-0.142,0.409,0.342,0.441,-0.125,0.347,0.130,-0.171,-0.092
joy_als,-0.074,0.573,0.008,0.134,-0.239,-0.261,-0.271,1.000,-0.315,0.173,0.132,0.325,0.472,0.091,0.258,-0.203,-0.188,-0.214,0.555,-0.210,-0.037,0.041,0.051
sadness_als,0.076,-0.638,0.384,-0.353,0.547,0.644,0.611,-0.315,1.000,0.154,-0.407,-0.077,-0.442,0.207,-0.301,0.359,0.415,0.373,-0.192,0.502,0.131,-0.235,-0.101
surprise_als,0.017,0.065,0.235,0.035,0.202,0.081,0.207,0.173,0.154,1.000,0.037,0.227,0.017,0.215,0.110,0.077,0.069,0.080,0.133,0.080,0.214,-0.082,-0.002
trust_als,-0.065,0.591,-0.304,0.469,-0.391,-0.371,-0.344,0.132,-0.407,0.037,1.000,-0.056,0.384,-0.129,0.380,-0.285,-0.316,-0.212,0.047,-0.260,-0.136,0.518,-0.094
anticipation_als,-0.020,0.160,0.100,-0.005,-0.100,-0.106,-0.074,0.325,-0.077,0.227,-0.056,1.000,0.084,0.059,0.140,-0.100,-0.005,-0.019,0.072,-0.047,0.024,-0.094,0.503
valence_fr,-0.132,0.712,-0.251,0.403,-0.491,-0.527,-0.413,0.472,-0.442,0.017,0.384,0.084,1.000,-0.211,0.659,-0.649,-0.613,-0.539,0.582,-0.494,-0.226,0.470,0.074
arousal_fr,0.063,-0.164,0.532,0.002,0.324,0.246,0.331,0.091,0.207,0.215,-0.129,0.059,-0.211,1.000,0.145,0.494,0.388,0.485,0.064,0.377,0.294,-0.243,0.010
dominance_fr,-0.101,0.507,-0.015,0.605,-0.215,-0.355,-0.142,0.258,-0.301,0.110,0.380,0.140,0.659,0.145,1.000,-0.228,-0.330,-0.115,0.182,-0.148,-0.017,0.488,0.037
anger_fr,0.179,-0.499,0.355,-0.173,0.600,0.562,0.409,-0.203,0.359,0.077,-0.285,-0.100,-0.649,0.494,-0.228,1.000,0.816,0.708,-0.289,0.636,0.285,-0.309,-0.134
disgust_fr,0.119,-0.483,0.305,-0.239,0.481,0.614,0.342,-0.188,0.415,0.069,-0.316,-0.005,-0.613,0.388,-0.330,0.816,1.000,0.730,-0.270,0.678,0.276,-0.349,-0.093
fear_fr,0.099,-0.390,0.326,-0.066,0.436,0.354,0.441,-0.214,0.373,0.080,-0.212,-0.019,-0.539,0.485,-0.115,0.708,0.730,1.000,-0.271,0.776,0.342,-0.278,0.009
joy_fr,-0.048,0.402,-0.090,0.018,-0.152,-0.269,-0.125,0.555,-0.192,0.133,0.047,0.072,0.582,0.064,0.182,-0.289,-0.270,-0.271,1.000,-0.185,-0.102,0.053,0.039
sadness_fr,0.117,-0.391,0.212,-0.176,0.400,0.328,0.347,-0.210,0.502,0.080,-0.260,-0.047,-0.494,0.377,-0.148,0.636,0.678,0.776,-0.185,1.000,0.336,-0.272,-0.062
surprise_fr,0.067,-0.155,0.231,0.034,0.217,0.160,0.130,-0.037,0.131,0.214,-0.136,0.024,-0.226,0.294,-0.017,0.285,0.276,0.342,-0.102,0.336,1.000,-0.152,0.140
trust_fr,-0.028,0.323,-0.133,0.321,-0.216,-0.242,-0.171,0.041,-0.235,-0.082,0.518,-0.094,0.470,-0.243,0.488,-0.309,-0.349,-0.278,0.053,-0.272,-0.152,1.000,-0.033
anticipation_fr,-0.039,0.048,0.091,-0.013,-0.064,-0.110,-0.092,0.051,-0.101,-0.002,-0.094,0.503,0.074,0.010,0.037,-0.134,-0.093,0.009,0.039,-0.062,0.140,-0.033,1.000
