,Id_block,valence_nrc,arousal_nrc,dominance_nrc,anger_nrc,disgust_nrc,fear_nrc,joy_nrc,sadness_nrc,surprise_nrc,valence_feel,arousal_feel,dominance_feel,anger_feel,disgust_feel,fear_feel,joy_feel,sadness_feel,surprise_feel
0,0,0.062,0.490,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.396,0.592,0.200,0.000,0.000,0.000,0.200,0.000
1,1,0.624,0.609,0.548,0.333,0.000,0.333,0.333,0.000,0.000,0.601,0.600,0.602,0.250,0.250,0.250,0.000,0.250,0.250
2,2,0.906,0.717,0.615,0.000,0.000,0.000,1.000,0.000,0.000,0.532,0.507,0.573,0.333,0.000,0.333,0.333,0.333,0.000
3,3,0.938,0.368,0.534,0.000,0.000,0.000,1.000,0.000,0.000,0.750,0.329,0.409,0.000,0.000,0.250,0.000,0.000,0.250
4,4,0.714,0.635,0.601,0.000,0.000,0.000,1.000,0.000,0.500,0.766,0.382,0.432,0.000,0.000,0.000,0.000,0.000,0.000
5,5,0.495,0.344,0.482,0.000,0.250,0.000,0.500,0.000,0.250,0.597,0.371,0.449,0.000,0.143,0.143,0.000,0.000,0.143
6,6,0.659,0.468,0.470,0.000,0.000,0.000,0.400,0.000,0.200,0.614,0.475,0.433,0.000,0.000,0.200,0.300,0.300,0.000
7,8,0.669,0.461,0.448,0.000,0.000,0.000,0.000,0.000,0.000,0.583,0.312,0.425,0.250,0.250,0.250,0.000,0.000,0.250
8,9,0.815,0.541,0.719,0.000,0.000,0.000,0.333,0.000,0.333,0.665,0.436,0.625,0.000,0.000,0.000,0.000,0.000,0.300
9,11,0.781,0.503,0.558,0.000,0.000,0.000,0.667,0.000,0.000,0.668,0.479,0.574,0.000,0.000,0.167,0.000,0.000,0.167
10,12,0.909,0.520,0.605,0.000,0.000,0.000,0.500,0.000,0.000,0.660,0.427,0.505,0.000,0.000,0.500,0.000,0.000,0.250
11,13,0.530,0.516,0.529,0.167,0.167,0.167,0.167,0.000,0.000,0.425,0.411,0.418,0.429,0.429,0.000,0.000,0.000,0.000
12,14,0.786,0.524,0.627,0.000,0.000,0.000,0.333,0.000,0.333,0.685,0.419,0.672,0.125,0.125,0.000,0.000,0.125,0.125
13,15,0.695,0.500,0.777,0.000,0.000,0.000,0.333,0.000,0.000,0.620,0.437,0.672,0.000,0.125,0.250,0.000,0.000,0.125
14,16,0.551,0.556,0.617,0.000,0.000,0.000,0.000,0.000,0.000,0.623,0.416,0.633,0.143,0.000,0.000,0.000,0.000,0.000
15,17,0.724,0.619,0.548,0.000,0.000,0.000,0.000,0.000,0.500,0.636,0.468,0.587,0.111,0.000,0.111,0.000,0.000,0.111
16,18,0.517,0.497,0.509,0.000,0.000,0.400,0.400,0.400,0.000,0.603,0.429,0.515,0.133,0.067,0.267,0.133,0.133,0.067
17,19,0.755,0.550,0.622,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.458,0.508,0.111,0.056,0.056,0.167,0.000,0.056
18,20,0.922,0.461,0.552,0.000,0.000,0.000,1.000,0.000,0.000,0.667,0.471,0.537,0.000,0.000,0.000,0.000,0.000,0.000
19,21,0.145,0.392,0.310,0.000,0.000,0.000,0.000,1.000,0.000,0.432,0.331,0.438,0.000,0.000,0.250,0.000,0.500,0.250
20,22,0.353,0.520,0.439,0.000,0.000,0.000,0.000,0.000,0.000,0.586,0.414,0.589,0.125,0.125,0.000,0.125,0.000,0.000
21,23,0.717,0.548,0.626,0.000,0.000,0.000,0.667,0.000,0.333,0.692,0.433,0.599,0.000,0.000,0.000,0.222,0.000,0.111
22,24,0.854,0.576,0.740,0.000,0.000,0.000,0.667,0.000,0.000,0.671,0.454,0.636,0.200,0.000,0.200,0.000,0.000,0.200
23,25,0.292,0.558,0.433,0.000,0.000,0.000,0.000,0.000,0.000,0.564,0.392,0.450,0.000,0.000,0.000,0.000,0.000,0.000
24,29,0.696,0.278,0.583,0.000,0.000,0.000,0.667,0.333,0.000,0.665,0.355,0.611,0.200,0.200,0.200,0.000,0.000,0.000
25,31,0.630,0.299,0.485,0.000,0.000,0.000,0.000,0.000,0.000,0.735,0.469,0.576,0.125,0.000,0.000,0.125,0.125,0.000
26,32,0.375,0.602,0.426,0.500,0.000,0.500,0.000,0.000,0.000,0.561,0.433,0.512,0.167,0.083,0.167,0.083,0.083,0.000
27,33,0.194,0.533,0.367,0.200,0.200,0.200,0.000,0.200,0.000,0.314,0.488,0.460,0.286,0.000,0.286,0.000,0.286,0.286
28,34,0.656,0.401,0.460,0.000,0.000,0.000,0.500,0.000,0.000,0.717,0.446,0.558,0.000,0.000,0.167,0.167,0.000,0.167
29,36,0.460,0.596,0.514,0.250,0.250,0.250,0.000,0.000,0.000,0.568,0.444,0.561,0.053,0.053,0.105,0.105,0.000,0.000
30,37,0.435,0.581,0.523,0.000,0.000,0.333,0.000,0.333,0.333,0.651,0.391,0.596,0.250,0.125,0.000,0.000,0.125,0.125
31,38,0.329,0.900,0.718,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.460,0.562,0.200,0.000,0.200,0.000,0.000,0.000
32,39,0.587,0.324,0.359,0.000,0.000,0.000,0.500,0.500,0.000,0.679,0.445,0.472,0.000,0.000,0.250,0.250,0.000,0.250
33,40,0.710,0.216,0.473,0.000,0.000,0.000,0.000,0.000,0.000,0.542,0.374,0.562,0.000,0.000,0.000,0.000,0.000,0.333
34,41,0.587,0.135,0.533,0.000,0.000,0.000,1.000,0.000,0.000,0.630,0.305,0.535,0.000,0.000,0.000,0.000,0.000,0.000
35,42,0.650,0.568,0.612,0.200,0.200,0.200,0.400,0.200,0.200,0.696,0.392,0.566,0.158,0.053,0.105,0.158,0.158,0.158
36,43,0.773,0.560,0.745,0.000,0.000,0.000,0.600,0.000,0.000,0.711,0.453,0.645,0.000,0.000,0.071,0.286,0.143,0.143
37,44,0.812,0.490,0.587,0.000,0.000,0.000,0.500,0.000,0.000,0.712,0.559,0.647,0.000,0.000,0.200,0.200,0.000,0.200
38,45,0.535,0.357,0.432,0.000,0.250,0.000,0.250,0.000,0.000,0.639,0.361,0.484,0.000,0.100,0.100,0.100,0.100,0.100
39,46,0.801,0.497,0.651,0.000,0.000,0.000,0.500,0.000,0.000,0.835,0.536,0.683,0.000,0.250,0.000,0.000,0.250,0.500
40,48,0.062,0.704,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.437,0.518,0.524,0.000,0.000,0.500,0.000,0.500,0.000
41,49,0.587,0.135,0.533,0.000,0.000,0.000,1.000,0.000,0.000,0.599,0.300,0.626,0.000,0.000,0.000,0.000,0.000,0.000
42,50,0.544,0.544,0.540,0.333,0.000,0.333,0.333,0.333,0.000,0.639,0.441,0.576,0.200,0.000,0.200,0.100,0.100,0.100
43,51,0.591,0.525,0.648,0.000,0.000,0.000,0.250,0.250,0.000,0.625,0.446,0.630,0.000,0.000,0.125,0.000,0.000,0.125
44,52,0.496,0.450,0.452,0.000,0.000,0.000,0.200,0.000,0.000,0.515,0.391,0.421,0.111,0.111,0.444,0.000,0.222,0.111
45,53,0.684,0.446,0.656,0.000,0.000,0.000,0.500,0.000,0.000,0.618,0.436,0.603,0.000,0.000,0.000,0.143,0.000,0.000
46,54,0.377,0.596,0.253,0.333,0.000,0.667,0.000,0.333,0.000,0.581,0.479,0.476,0.143,0.286,0.143,0.000,0.143,0.143
47,55,0.811,0.466,0.594,0.000,0.000,0.000,1.000,0.000,0.000,0.652,0.379,0.623,0.000,0.000,0.000,0.000,0.000,0.000
48,56,0.909,0.488,0.722,0.000,0.000,0.000,1.000,0.000,0.000,0.753,0.356,0.584,0.000,0.000,0.143,0.143,0.000,0.286
49,58,0.903,0.486,0.670,0.000,0.000,0.000,0.667,0.000,0.000,0.716,0.382,0.529,0.000,0.000,0.167,0.333,0.000,0.167
50,59,0.782,0.605,0.650,0.000,0.000,0.000,0.500,0.000,0.000,0.628,0.347,0.481,0.000,0.000,0.000,0.000,0.000,0.000
51,61,0.395,0.351,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.566,0.424,0.426,0.000,0.000,0.333,0.000,0.333,0.000
52,62,0.939,0.740,0.682,0.000,0.000,0.000,1.000,0.000,0.000,0.640,0.319,0.582,0.200,0.200,0.200,0.000,0.000,0.000
53,63,0.395,0.351,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.363,0.465,0.000,0.000,0.333,0.000,0.333,0.000
54,64,0.798,0.459,0.541,0.000,0.000,0.000,0.200,0.000,0.000,0.715,0.422,0.557,0.000,0.100,0.100,0.000,0.000,0.200
55,65,0.590,0.445,0.456,0.000,0.000,0.000,0.333,0.000,0.000,0.602,0.441,0.555,0.000,0.200,0.000,0.000,0.200,0.000
56,66,0.552,0.358,0.473,0.000,0.000,0.000,0.000,0.000,0.000,0.656,0.326,0.635,0.000,0.000,0.000,0.000,0.000,0.000
57,67,0.552,0.358,0.473,0.000,0.000,0.000,0.000,0.000,0.000,0.633,0.434,0.498,0.000,0.000,0.125,0.125,0.125,0.000
58,68,0.770,0.359,0.478,0.000,0.000,0.000,0.667,0.000,0.000,0.734,0.420,0.546,0.000,0.000,0.500,0.000,0.000,0.500
59,69,0.938,0.368,0.534,0.000,0.000,0.000,1.000,0.000,0.000,0.737,0.391,0.450,0.250,0.250,0.500,0.000,0.000,0.250
60,70,0.635,0.590,0.427,0.000,0.000,0.000,0.500,0.000,0.000,0.606,0.437,0.429,0.250,0.250,0.250,0.000,0.000,0.250
61,71,0.818,0.391,0.677,0.000,0.000,0.000,1.000,0.000,0.000,0.647,0.388,0.574,0.000,0.000,0.000,0.167,0.000,0.000
62,72,0.749,0.517,0.586,0.000,0.000,0.000,0.250,0.000,0.000,0.659,0.418,0.538,0.143,0.000,0.286,0.000,0.143,0.143
63,76,0.667,0.338,0.458,0.000,0.000,0.000,0.500,0.000,0.000,0.568,0.385,0.532,0.250,0.250,0.500,0.000,0.250,0.250
64,77,0.320,0.790,0.689,1.000,0.000,1.000,0.000,1.000,1.000,0.562,0.464,0.469,0.167,0.000,0.167,0.000,0.000,0.000
65,79,0.418,0.675,0.474,0.500,0.500,0.500,0.500,0.000,0.000,0.646,0.485,0.555,0.500,0.000,0.500,0.000,0.000,0.000
66,80,0.755,0.494,0.531,0.000,0.000,0.000,0.400,0.000,0.200,0.869,0.322,0.462,0.000,0.000,0.000,0.000,0.000,0.000
67,81,0.632,0.429,0.436,0.000,0.000,0.000,0.500,0.000,0.000,0.505,0.503,0.499,0.333,0.333,0.667,0.000,0.333,0.333
68,83,0.762,0.252,0.534,0.000,0.000,0.000,1.000,0.000,0.000,0.725,0.340,0.572,0.000,0.000,0.167,0.000,0.000,0.167
69,84,0.935,0.427,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.935,0.427,0.551,0.000,0.000,0.000,1.000,0.000,0.000
70,86,0.690,0.432,0.489,0.250,0.000,0.000,0.250,0.250,0.000,0.664,0.395,0.501,0.000,0.100,0.200,0.100,0.000,0.100
71,87,0.645,0.439,0.447,0.000,0.000,0.000,0.000,0.000,0.000,0.686,0.406,0.434,0.000,0.000,0.333,0.333,0.333,0.000
72,88,0.604,0.540,0.558,0.000,0.000,0.000,0.000,0.000,0.000,0.708,0.387,0.525,0.000,0.000,0.000,0.333,0.000,0.000
73,89,0.922,0.461,0.552,0.000,0.000,0.000,1.000,0.000,0.000,0.094,0.522,0.241,0.000,1.000,0.000,0.000,1.000,0.000
74,90,0.906,0.413,0.573,0.000,0.000,0.000,0.000,0.000,0.000,0.783,0.362,0.581,0.000,0.000,0.000,0.000,0.000,0.000
75,91,0.167,0.712,0.422,1.000,0.000,1.000,0.000,1.000,0.000,0.586,0.431,0.575,0.182,0.091,0.182,0.000,0.182,0.000
76,92,0.667,0.490,0.654,0.000,0.000,0.000,0.000,0.000,0.000,0.674,0.434,0.610,0.000,0.000,0.000,0.000,0.000,0.000
77,93,0.610,0.604,0.571,0.333,0.333,0.333,0.333,0.333,0.000,0.573,0.522,0.507,0.200,0.200,0.200,0.000,0.200,0.000
78,94,0.812,0.373,0.550,0.000,0.000,0.000,1.000,0.000,0.000,0.759,0.384,0.521,0.000,0.000,0.000,0.000,0.000,0.200
79,95,0.906,0.413,0.573,0.000,0.000,0.000,0.000,0.000,0.000,0.724,0.363,0.503,0.000,0.000,0.000,0.000,0.000,0.000
80,96,0.800,0.400,0.620,0.000,0.000,0.000,1.000,0.000,0.000,0.708,0.443,0.564,0.000,0.000,0.000,0.000,0.000,0.000
81,97,0.719,0.528,0.566,0.000,0.000,0.000,0.500,0.000,0.500,0.713,0.459,0.520,0.000,0.000,0.000,0.000,0.000,0.000
82,98,0.828,0.577,0.708,0.000,0.000,0.143,0.714,0.000,0.000,0.851,0.531,0.574,0.000,0.000,0.000,0.000,0.000,0.000
83,99,0.938,0.368,0.534,0.000,0.000,0.000,1.000,0.000,0.000,0.679,0.522,0.496,0.000,0.000,0.333,0.000,0.000,0.333
84,100,0.233,0.459,0.210,0.500,0.000,0.000,0.500,0.000,0.000,0.233,0.459,0.210,1.000,1.000,0.000,0.000,0.000,0.000
85,101,0.364,0.557,0.453,0.333,0.333,0.333,0.333,0.333,0.000,0.549,0.587,0.554,0.000,0.000,0.000,0.250,0.250,0.000
86,102,0.575,0.481,0.497,0.000,0.000,0.000,0.333,0.000,0.000,0.721,0.556,0.563,0.000,0.000,0.000,0.250,0.000,0.000
87,103,0.547,0.502,0.461,0.667,0.000,0.333,0.667,0.333,0.333,0.616,0.472,0.504,0.333,0.167,0.333,0.000,0.000,0.333
88,104,0.701,0.471,0.636,0.000,0.000,0.000,1.000,0.000,0.000,0.680,0.411,0.593,0.000,0.000,0.000,0.000,0.000,0.000
89,105,0.512,0.514,0.428,0.333,0.000,0.000,0.000,0.333,0.000,0.539,0.489,0.471,0.250,0.250,0.250,0.250,0.500,0.250
90,106,0.161,0.900,0.611,1.000,1.000,1.000,0.000,1.000,0.000,0.382,0.653,0.641,0.500,0.500,0.500,0.000,0.500,0.000
91,107,0.447,0.699,0.599,0.500,0.500,0.500,0.500,0.000,0.000,0.641,0.392,0.540,0.000,0.000,0.000,0.000,0.000,0.000
92,108,0.286,0.361,0.325,0.000,1.000,0.000,0.000,0.000,0.000,0.378,0.406,0.434,0.500,0.500,0.500,0.000,0.000,0.000
93,109,0.836,0.331,0.435,0.000,0.000,0.000,0.500,0.000,0.000,0.789,0.360,0.532,0.000,0.000,0.250,0.000,0.000,0.250
94,110,0.484,0.464,0.408,0.000,0.250,0.000,0.250,0.250,0.250,0.661,0.418,0.479,0.091,0.091,0.091,0.000,0.091,0.182
95,111,0.581,0.477,0.555,0.333,0.000,0.333,0.667,0.000,0.000,0.554,0.487,0.583,0.143,0.000,0.429,0.000,0.000,0.143
96,112,0.295,0.607,0.462,0.667,0.000,0.333,0.000,0.000,0.000,0.465,0.555,0.500,0.167,0.000,0.333,0.000,0.167,0.167
97,113,0.400,0.547,0.519,0.400,0.200,0.400,0.200,0.200,0.000,0.550,0.496,0.519,0.100,0.000,0.200,0.000,0.200,0.200
