,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
0,0,0.599,0.409,0.572,0.124,0.078,0.088,0.171,0.069,0.020,0.200,0.244,0.539,0.451,0.576,0.097,0.086,0.159,0.000,0.094,0.000,0.117,0.244
1,1,0.501,0.409,0.470,0.051,0.000,0.168,0.201,0.141,0.000,0.000,0.236,0.473,0.564,0.540,0.216,0.145,0.182,0.121,0.249,0.091,0.173,0.186
2,2,0.585,0.544,0.535,0.083,0.055,0.167,0.330,0.187,0.055,0.128,0.117,0.689,0.536,0.569,0.000,0.000,0.000,0.370,0.000,0.153,0.097,0.220
3,3,0.644,0.385,0.550,0.000,0.000,0.000,0.280,0.000,0.000,0.308,0.000,0.680,0.416,0.577,0.000,0.000,0.000,0.226,0.000,0.000,0.435,0.000
4,4,0.579,0.408,0.627,0.076,0.188,0.141,0.000,0.000,0.000,0.000,0.000,0.692,0.673,0.611,0.240,0.263,0.224,0.424,0.000,0.180,0.341,0.372
5,5,0.605,0.436,0.549,0.111,0.000,0.090,0.303,0.070,0.000,0.158,0.133,0.630,0.422,0.576,0.069,0.136,0.118,0.256,0.000,0.088,0.181,0.064
6,6,0.538,0.490,0.478,0.098,0.105,0.161,0.207,0.113,0.142,0.193,0.352,0.641,0.669,0.567,0.118,0.126,0.147,0.338,0.135,0.189,0.228,0.323
7,7,0.659,0.337,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.531,0.568,0.447,0.547,0.049,0.047,0.187,0.120,0.057,0.120,0.173,0.586
8,8,0.656,0.425,0.643,0.000,0.000,0.000,0.186,0.000,0.000,0.380,0.000,0.715,0.456,0.574,0.000,0.000,0.047,0.327,0.000,0.000,0.239,0.311
9,9,0.643,0.415,0.602,0.008,0.019,0.024,0.148,0.000,0.045,0.230,0.218,0.641,0.420,0.563,0.042,0.072,0.093,0.071,0.000,0.134,0.077,0.271
10,10,0.758,0.393,0.725,0.000,0.000,0.000,0.274,0.000,0.000,0.293,0.000,0.657,0.534,0.611,0.000,0.000,0.000,0.172,0.000,0.258,0.195,0.107
11,11,0.494,0.388,0.339,0.000,0.422,0.000,0.000,0.000,0.000,0.000,0.000,0.826,0.557,0.664,0.000,0.143,0.155,0.451,0.000,0.081,0.198,0.198
12,12,0.802,0.435,0.646,0.000,0.000,0.000,0.596,0.000,0.000,0.000,0.000,0.732,0.504,0.596,0.000,0.000,0.078,0.363,0.000,0.000,0.167,0.359
13,13,0.575,0.450,0.535,0.008,0.019,0.014,0.363,0.000,0.000,0.157,0.000,0.469,0.474,0.448,0.074,0.061,0.020,0.348,0.000,0.000,0.061,0.071
14,14,0.625,0.431,0.603,0.056,0.000,0.078,0.069,0.078,0.000,0.336,0.150,0.623,0.439,0.580,0.020,0.067,0.046,0.109,0.002,0.084,0.250,0.201
15,15,0.674,0.459,0.697,0.000,0.000,0.047,0.109,0.000,0.000,0.472,0.197,0.597,0.498,0.720,0.141,0.000,0.230,0.094,0.000,0.094,0.290,0.174
16,16,0.594,0.479,0.629,0.078,0.000,0.068,0.213,0.070,0.000,0.231,0.117,0.696,0.474,0.732,0.136,0.000,0.000,0.125,0.000,0.000,0.357,0.000
17,17,0.729,0.453,0.555,0.000,0.000,0.000,0.469,0.000,0.000,0.436,0.414,0.718,0.551,0.608,0.000,0.086,0.068,0.296,0.000,0.201,0.000,0.350
18,18,0.428,0.570,0.546,0.149,0.070,0.283,0.195,0.080,0.000,0.000,0.134,0.570,0.534,0.561,0.077,0.069,0.188,0.182,0.115,0.049,0.000,0.201
19,19,0.634,0.522,0.556,0.095,0.031,0.020,0.145,0.000,0.079,0.263,0.242,0.620,0.480,0.568,0.104,0.166,0.077,0.106,0.046,0.053,0.252,0.119
20,21,0.531,0.379,0.643,0.000,0.000,0.000,0.000,0.000,0.000,0.490,0.414,0.642,0.397,0.557,0.000,0.000,0.072,0.000,0.000,0.060,0.156,0.591
21,22,0.627,0.478,0.554,0.013,0.031,0.023,0.383,0.000,0.043,0.132,0.107,0.613,0.446,0.569,0.099,0.123,0.049,0.142,0.085,0.093,0.266,0.342
22,23,0.662,0.444,0.686,0.011,0.027,0.020,0.194,0.000,0.000,0.355,0.000,0.694,0.477,0.626,0.025,0.000,0.033,0.201,0.000,0.077,0.427,0.268
