,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
Id_block,1.000,-0.037,0.045,-0.009,0.115,0.133,0.054,-0.022,0.051,0.051,-0.053,0.007,-0.122,0.079,-0.090,0.175,0.106,0.086,-0.049,0.088,0.063,-0.024,-0.056
valence_als,-0.037,1.000,-0.242,0.658,-0.553,-0.474,-0.666,0.572,-0.655,0.052,0.486,0.099,0.484,-0.157,0.316,-0.346,-0.334,-0.227,0.271,-0.228,-0.116,0.227,-0.058
arousal_als,0.045,-0.242,1.000,-0.031,0.378,0.197,0.332,0.145,0.242,0.103,-0.199,0.024,-0.149,0.391,-0.082,0.262,0.219,0.165,0.087,0.146,0.061,-0.105,-0.008
dominance_als,-0.009,0.658,-0.031,1.000,-0.213,-0.298,-0.273,0.179,-0.488,0.018,0.529,-0.039,0.221,-0.094,0.321,-0.124,-0.185,-0.054,-0.016,-0.109,-0.013,0.282,-0.044
anger_als,0.115,-0.553,0.378,-0.213,1.000,0.569,0.607,-0.204,0.434,0.012,-0.270,-0.156,-0.322,0.178,-0.180,0.405,0.311,0.289,-0.178,0.191,0.099,-0.187,-0.032
disgust_als,0.133,-0.474,0.197,-0.298,0.569,1.000,0.471,-0.295,0.215,-0.053,-0.335,-0.220,-0.254,0.033,-0.342,0.224,0.326,0.124,-0.033,0.053,0.057,-0.182,-0.081
fear_als,0.054,-0.666,0.332,-0.273,0.607,0.471,1.000,-0.336,0.653,0.076,-0.382,-0.197,-0.403,0.187,-0.241,0.398,0.348,0.303,-0.174,0.250,0.085,-0.248,-0.035
joy_als,-0.022,0.572,0.145,0.179,-0.204,-0.295,-0.336,1.000,-0.300,0.172,0.096,0.144,0.228,0.119,0.148,-0.081,-0.062,-0.061,0.331,-0.057,-0.037,-0.021,-0.023
sadness_als,0.051,-0.655,0.242,-0.488,0.434,0.215,0.653,-0.300,1.000,0.057,-0.343,-0.150,-0.341,0.183,-0.232,0.265,0.225,0.210,-0.122,0.303,0.053,-0.224,0.054
surprise_als,0.051,0.052,0.103,0.018,0.012,-0.053,0.076,0.172,0.057,1.000,0.036,0.314,0.042,0.114,0.053,0.055,0.038,0.050,0.117,0.118,0.151,-0.058,0.026
trust_als,-0.053,0.486,-0.199,0.529,-0.270,-0.335,-0.382,0.096,-0.343,0.036,1.000,0.102,0.238,-0.237,0.240,-0.189,-0.239,-0.149,-0.015,-0.143,-0.169,0.342,-0.060
anticipation_als,0.007,0.099,0.024,-0.039,-0.156,-0.220,-0.197,0.144,-0.150,0.314,0.102,1.000,0.046,-0.052,0.044,-0.011,-0.023,-0.036,0.045,0.030,0.172,-0.001,0.257
valence_fr,-0.122,0.484,-0.149,0.221,-0.322,-0.254,-0.403,0.228,-0.341,0.042,0.238,0.046,1.000,-0.254,0.649,-0.654,-0.605,-0.528,0.571,-0.481,-0.249,0.472,0.062
arousal_fr,0.079,-0.157,0.391,-0.094,0.178,0.033,0.187,0.119,0.183,0.114,-0.237,-0.052,-0.254,1.000,0.110,0.494,0.409,0.488,0.035,0.447,0.289,-0.285,-0.008
dominance_fr,-0.090,0.316,-0.082,0.321,-0.180,-0.342,-0.241,0.148,-0.232,0.053,0.240,0.044,0.649,0.110,1.000,-0.226,-0.317,-0.095,0.167,-0.100,-0.042,0.494,0.009
anger_fr,0.175,-0.346,0.262,-0.124,0.405,0.224,0.398,-0.081,0.265,0.055,-0.189,-0.011,-0.654,0.494,-0.226,1.000,0.816,0.716,-0.290,0.654,0.274,-0.298,-0.137
disgust_fr,0.106,-0.334,0.219,-0.185,0.311,0.326,0.348,-0.062,0.225,0.038,-0.239,-0.023,-0.605,0.409,-0.317,0.816,1.000,0.734,-0.265,0.670,0.268,-0.334,-0.089
fear_fr,0.086,-0.227,0.165,-0.054,0.289,0.124,0.303,-0.061,0.210,0.050,-0.149,-0.036,-0.528,0.488,-0.095,0.716,0.734,1.000,-0.256,0.802,0.339,-0.273,-0.006
joy_fr,-0.049,0.271,0.087,-0.016,-0.178,-0.033,-0.174,0.331,-0.122,0.117,-0.015,0.045,0.571,0.035,0.167,-0.290,-0.265,-0.256,1.000,-0.175,-0.122,0.071,0.003
sadness_fr,0.088,-0.228,0.146,-0.109,0.191,0.053,0.250,-0.057,0.303,0.118,-0.143,0.030,-0.481,0.447,-0.100,0.654,0.670,0.802,-0.175,1.000,0.361,-0.258,-0.047
surprise_fr,0.063,-0.116,0.061,-0.013,0.099,0.057,0.085,-0.037,0.053,0.151,-0.169,0.172,-0.249,0.289,-0.042,0.274,0.268,0.339,-0.122,0.361,1.000,-0.165,0.132
trust_fr,-0.024,0.227,-0.105,0.282,-0.187,-0.182,-0.248,-0.021,-0.224,-0.058,0.342,-0.001,0.472,-0.285,0.494,-0.298,-0.334,-0.273,0.071,-0.258,-0.165,1.000,-0.074
anticipation_fr,-0.056,-0.058,-0.008,-0.044,-0.032,-0.081,-0.035,-0.023,0.054,0.026,-0.060,0.257,0.062,-0.008,0.009,-0.137,-0.089,-0.006,0.003,-0.047,0.132,-0.074,1.000
