,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
Id_block,1.000,-0.040,0.062,-0.003,0.111,0.132,0.061,-0.040,0.059,0.043,-0.048,-0.005,-0.117,0.118,-0.126,0.203,0.115,0.132,0.016,0.120,0.140,-0.010,0.036
valence_als,-0.040,1.000,-0.259,0.662,-0.558,-0.483,-0.667,0.581,-0.656,0.055,0.476,0.104,0.367,-0.151,0.185,-0.257,-0.157,-0.067,0.194,-0.151,0.086,0.260,0.047
arousal_als,0.062,-0.259,1.000,-0.042,0.392,0.219,0.348,0.134,0.269,0.095,-0.198,0.022,-0.175,0.292,-0.044,0.156,0.019,0.044,-0.087,0.006,-0.013,-0.141,0.038
dominance_als,-0.003,0.662,-0.042,1.000,-0.218,-0.304,-0.277,0.197,-0.485,0.010,0.530,-0.031,0.256,-0.096,0.260,-0.207,-0.185,-0.095,0.006,-0.178,-0.032,0.210,-0.019
anger_als,0.111,-0.558,0.392,-0.218,1.000,0.581,0.610,-0.215,0.446,-0.005,-0.262,-0.166,-0.246,0.206,-0.093,0.214,0.067,0.119,-0.114,0.076,-0.064,-0.194,-0.112
disgust_als,0.132,-0.483,0.219,-0.304,0.581,1.000,0.478,-0.309,0.248,-0.065,-0.326,-0.231,-0.196,0.065,-0.169,0.168,0.181,0.112,-0.049,0.135,-0.045,-0.219,-0.081
fear_als,0.061,-0.667,0.348,-0.277,0.610,0.478,1.000,-0.345,0.660,0.058,-0.377,-0.205,-0.190,0.108,-0.093,0.148,0.063,0.070,-0.095,0.085,-0.059,-0.235,-0.145
joy_als,-0.040,0.581,0.134,0.197,-0.215,-0.309,-0.345,1.000,-0.312,0.164,0.094,0.135,0.036,0.050,-0.056,0.041,-0.001,0.089,0.169,-0.053,0.117,-0.008,0.087
sadness_als,0.059,-0.656,0.269,-0.485,0.446,0.248,0.660,-0.312,1.000,0.028,-0.339,-0.164,-0.207,0.074,-0.133,0.107,0.067,0.049,-0.104,0.117,-0.068,-0.198,-0.111
surprise_als,0.043,0.055,0.095,0.010,-0.005,-0.065,0.058,0.164,0.028,1.000,0.031,0.318,0.045,0.039,0.033,-0.056,-0.096,0.026,0.072,-0.021,0.134,0.051,0.014
trust_als,-0.048,0.476,-0.198,0.530,-0.262,-0.326,-0.377,0.094,-0.339,0.031,1.000,0.102,0.209,-0.150,0.117,-0.201,-0.116,-0.082,0.075,-0.151,0.027,0.344,0.010
anticipation_als,-0.005,0.104,0.022,-0.031,-0.166,-0.231,-0.205,0.135,-0.164,0.318,0.102,1.000,0.017,-0.036,0.028,0.003,-0.087,-0.115,0.118,-0.038,0.112,0.112,0.288
valence_fr,-0.117,0.367,-0.175,0.256,-0.246,-0.196,-0.190,0.036,-0.207,0.045,0.209,0.017,1.000,-0.346,0.506,-0.611,-0.573,-0.350,0.332,-0.541,0.149,0.470,-0.002
arousal_fr,0.118,-0.151,0.292,-0.096,0.206,0.065,0.108,0.050,0.074,0.039,-0.150,-0.036,-0.346,1.000,0.096,0.428,0.165,0.356,-0.065,0.262,0.092,-0.092,0.068
dominance_fr,-0.126,0.185,-0.044,0.260,-0.093,-0.169,-0.093,-0.056,-0.133,0.033,0.117,0.028,0.506,0.096,1.000,-0.305,-0.446,-0.265,-0.044,-0.264,-0.019,0.373,0.075
anger_fr,0.203,-0.257,0.156,-0.207,0.214,0.168,0.148,0.041,0.107,-0.056,-0.201,0.003,-0.611,0.428,-0.305,1.000,0.584,0.506,-0.082,0.350,0.018,-0.218,0.058
disgust_fr,0.115,-0.157,0.019,-0.185,0.067,0.181,0.063,-0.001,0.067,-0.096,-0.116,-0.087,-0.573,0.165,-0.446,0.584,1.000,0.446,-0.142,0.508,0.041,-0.179,-0.080
fear_fr,0.132,-0.067,0.044,-0.095,0.119,0.112,0.070,0.089,0.049,0.026,-0.082,-0.115,-0.350,0.356,-0.265,0.506,0.446,1.000,0.085,0.429,0.422,0.031,-0.091
joy_fr,0.016,0.194,-0.087,0.006,-0.114,-0.049,-0.095,0.169,-0.104,0.072,0.075,0.118,0.332,-0.065,-0.044,-0.082,-0.142,0.085,1.000,-0.111,0.320,0.265,0.144
sadness_fr,0.120,-0.151,0.006,-0.178,0.076,0.135,0.085,-0.053,0.117,-0.021,-0.151,-0.038,-0.541,0.262,-0.264,0.350,0.508,0.429,-0.111,1.000,0.038,-0.182,-0.034
surprise_fr,0.140,0.086,-0.013,-0.032,-0.064,-0.045,-0.059,0.117,-0.068,0.134,0.027,0.112,0.149,0.092,-0.019,0.018,0.041,0.422,0.320,0.038,1.000,0.253,0.081
trust_fr,-0.010,0.260,-0.141,0.210,-0.194,-0.219,-0.235,-0.008,-0.198,0.051,0.344,0.112,0.470,-0.092,0.373,-0.218,-0.179,0.031,0.265,-0.182,0.253,1.000,0.031
anticipation_fr,0.036,0.047,0.038,-0.019,-0.112,-0.081,-0.145,0.087,-0.111,0.014,0.010,0.288,-0.002,0.068,0.075,0.058,-0.080,-0.091,0.144,-0.034,0.081,0.031,1.000
