Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
0,peine,0.062,0.49,0.24,0,0,0,0,1,0,0.0,0.0
0,moment,0.604,0.435,0.509,0,0,0,0,0,0,0.0,0.0
0,ville,0.551,0.299,0.627,0,0,0,0,0,0,0.0,0.0
0,demander,0.625,0.51,0.731,1,0,0,0,0,0,0.0,1
0,main,0.542,0.314,0.434,0,0,0,0,0,0,0.0,0.0
0,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
0,histoire,0.729,0.382,0.754,1,0,0,0,1,0,0.0,0.0
0,entendre,0.76,0.429,0.444,0,0,0,0,0,0,0.0,0.0
0,parler,0.833,0.346,0.594,0,0,0,0,0,0,0.0,0.0
0,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
1,malchance,0.673,0.657,0.864,0,0,1,0,1,0,0.0,0.0
1,furieux,0.219,0.873,0.277,1,1,1,0,0,0,0.0,0.0
1,médaille,0.854,0.555,0.746,0,0,0,0,0,1,0.461,0.477
1,classe,0.656,0.314,0.522,0,0,0,0,0,0,0.0,0.0
2,nouveau,0.745,0.741,0.52,0,0,0,0,0,0,0.0,0.0
2,congé,0.531,0.432,0.772,0,0,0,1,0,0,0.0,0.6843790034020676
2,laisse,0.32,0.347,0.427,1,0,1,0,1,0,0.0,0.0
3,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
3,jus,0.776,0.281,0.352,0,0,0,0,0,0,0.0,0.0
3,soupe,0.602,0.245,0.269,0,0,0,0,0,0,0.0,0.0
3,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
4,dîner,0.823,0.392,0.379,0,0,0,0,0,0,0.0,0.0
4,jus,0.776,0.281,0.352,0,0,0,0,0,0,0.0,0.0
4,soupe,0.602,0.245,0.269,0,0,0,0,0,0,0.0,0.0
4,vivant,0.865,0.608,0.727,0,0,0,1,0,0,0.5,0.461
5,femme,0.865,0.5,0.578,0,0,0,0,0,0,0.0,0.0
5,bizarre,0.173,0.539,0.328,0,1,1,0,0,1,0.0,0.0
5,maison,0.587,0.135,0.533,0,0,0,1,0,0,0.0,0.0
5,indulgence,0.479,0.49,0.517,0,0,0,0,0,0,0.0,0.0
5,jus,0.776,0.281,0.352,0,0,0,0,0,0,0.0,0.0
5,lieu,0.727,0.316,0.395,0,0,0,0,0,0,0.0,0.0
5,livre,0.57,0.337,0.443,0,0,0,0,0,0,0.0,0.0
6,poupée,0.729,0.321,0.33,0,0,0,1,0,0,0.0,0.0
6,soie,0.594,0.383,0.34,0,0,0,0,0,0,0.0,0.0
6,pension,0.612,0.477,0.464,0,0,0,0,0,0,0.0,0.0
6,jouer,0.812,0.765,0.358,0,0,0,1,0,0,0.0,0.57
6,insuffisant,0.188,0.38,0.093,0,0,1,0,1,0,0.0,0.0
6,jus,0.776,0.281,0.352,0,0,0,0,0,0,0.0,0.0
6,patient,0.583,0.193,0.34,0,0,1,0,1,0,0.0,0.0
6,veau,0.438,0.337,0.41,0,0,0,0,1,0,0.0,0.0
6,joie,0.98,0.824,0.794,0,0,0,1,0,0,0.0,0.0
6,commander,0.427,0.79,0.849,0,0,0,0,0,0,0.0,0.0
7,opinion,0.594,0.482,0.638,0,0,0,0,0,0,0.518,0.555
7,demander,0.625,0.51,0.731,1,0,0,0,0,0,0.0,1
7,commande,0.78,0.295,0.814,0,0,0,0,0,0,0.0,0.0
8,chose,0.449,0.222,0.26,1,1,1,0,0,0,0.0,0.0
8,vingt,0.52,0.292,0.286,0,0,0,0,0,0,0.0,0.0
8,bon,0.622,0.416,0.601,0,0,0,0,0,1,0.0,0.0
8,justice,0.74,0.317,0.552,0,0,0,0,0,0,0.711,0.0
9,raison,0.781,0.455,0.712,0,0,0,0,0,0,0.0,0.0
9,médaille,0.854,0.555,0.746,0,0,0,0,0,1,0.461,0.477
9,chien,0.417,0.528,0.582,0,0,0,0,0,0,0.0,0.0
9,temps,0.604,0.288,0.609,0,0,0,0,0,0,0.0,1
9,chance,0.833,0.551,0.525,0,0,0,0,0,1,0.0,0.0
9,moment,0.604,0.435,0.509,0,0,0,0,0,0,0.0,0.0
9,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
9,ville,0.551,0.299,0.627,0,0,0,0,0,0,0.0,0.0
9,épouse,0.632,0.509,0.63,0,0,0,0,0,0,0.0,0.0
9,possible,0.688,0.316,0.548,0,0,0,0,0,1,0.0,0.0
10,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
10,chose,0.449,0.222,0.26,1,1,1,0,0,0,0.0,0.0
10,idée,0.448,0.551,0.57,0,0,0,0,0,0,0.0,0.32
11,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
11,voie,0.449,0.49,0.451,0,0,0,0,0,0,0.0,0.0
11,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
11,langage,0.51,0.35,0.462,0,0,0,0,0,0,0.0,0.0
11,marier,0.896,0.765,0.673,0,0,0,1,0,0,1,1
11,tête,0.53,0.472,0.558,0,0,0,0,0,0,0.0,0.0
12,épouse,0.632,0.509,0.63,0,0,0,0,0,0,0.0,0.0
12,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
12,tenir,0.448,0.29,0.364,0,0,0,0,0,0,0.0,0.0
12,montrer,0.622,0.54,0.491,0,0,1,0,0,0,0.0,0.0
13,richesse,0.857,0.637,0.858,0,0,0,0,0,0,0.43,0.0
13,bête,0.255,0.459,0.175,1,1,1,0,0,0,0.0,0.0
