Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise
0,peine,0.062,0.49,0.24,0,0.0,0,0.0,0,0.0
1,furieux,0.219,0.873,0.277,1,0,1,0.0,0,0.0
1,médaille,0.854,0.555,0.746,0.0,0.0,0.0,0,0.0,0
1,Jésus,0.8,0.4,0.62,0.0,0.0,0.0,1,0.0,0.0
2,Noël,0.906,0.717,0.615,0.0,0.0,0.0,1,0.0,0.0
3,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
4,fête,0.564,0.663,0.474,0.0,0.0,0.0,1,0.0,1
4,vivant,0.865,0.608,0.727,0.0,0.0,0.0,1,0.0,0.0
5,bizarre,0.173,0.539,0.328,0.0,1,0,0.0,0.0,1
5,maison,0.587,0.135,0.533,0.0,0.0,0.0,1,0.0,0.0
5,parfait,0.65,0.363,0.625,0.0,0.0,0.0,1,0.0,0.0
5,livre,0.57,0.337,0.443,0,0.0,0.0,0.0,0.0,0.0
6,poupée,0.729,0.321,0.33,0.0,0.0,0.0,0,0.0,0.0
6,fête,0.564,0.663,0.474,0.0,0.0,0.0,1,0.0,1
6,patient,0.583,0.193,0.34,0.0,0.0,0.0,0,0.0,0.0
6,veau,0.438,0.337,0.41,0.0,0.0,0.0,0,0,0.0
6,joie,0.98,0.824,0.794,0.0,0.0,0.0,1,0.0,0.0
8,souvenirs,0.963,0.487,0.51,0.0,0.0,0.0,0.0,0,0.0
8,tous,0.375,0.434,0.385,0.0,0.0,0.0,0.0,0,0.0
9,médaille,0.854,0.555,0.746,0.0,0.0,0.0,0,0.0,0
9,Dieu,0.758,0.518,0.886,0.0,0.0,0,1,0.0,0.0
9,chance,0.833,0.551,0.525,0.0,0.0,0.0,0.0,0.0,1
11,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
11,marier,0.896,0.765,0.673,0.0,0.0,0,1,0.0,0
11,entre,0.51,0.375,0.466,0.0,0.0,0.0,0.0,0,0.0
12,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
12,vivre,0.88,0.673,0.676,0.0,0.0,0.0,0,0.0,0.0
13,richesse,0.857,0.637,0.858,0.0,0.0,0.0,0,0.0,0.0
13,bête,0.255,0.459,0.175,1,0.0,1,0.0,0.0,0.0
13,maîtresse,0.63,0.796,0.694,0,1,0.0,0.0,0.0,0.0
13,maison,0.587,0.135,0.533,0.0,0.0,0.0,1,0.0,0.0
13,imbécile,0.082,0.569,0.26,0.0,0,0.0,0.0,0.0,0.0
13,mari,0.771,0.5,0.655,0.0,0.0,0.0,0,0.0,0.0
14,mère,0.931,0.408,0.725,0.0,0.0,0.0,0,0,0.0
14,marier,0.896,0.765,0.673,0.0,0.0,0,1,0.0,0
14,tour,0.531,0.398,0.482,0,0,0.0,0.0,0.0,1
15,Dieu,0.758,0.518,0.886,0.0,0.0,0,1,0.0,0.0
15,garde,0.653,0.51,0.586,0.0,0.0,0,0.0,0.0,0.0
15,avance,0.673,0.472,0.858,0.0,0.0,0,0,0.0,0
16,opposition,0.135,0.729,0.592,0,0.0,0.0,0.0,0.0,0.0
16,famille,0.968,0.383,0.643,0.0,0.0,0.0,0,0.0,0.0
17,étonner,0.729,0.675,0.474,0.0,0.0,0.0,0.0,0.0,1
17,recevoir,0.719,0.562,0.623,0.0,0.0,0.0,0,0.0,0
18,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
18,malheur,0.34,0.606,0.204,0.0,0,1,0.0,1,0.0
18,maison,0.587,0.135,0.533,0.0,0.0,0.0,1,0.0,0.0
18,fusil,0.329,0.9,0.718,0,0.0,0,0.0,0.0,0.0
18,chargé,0.392,0.478,0.554,0.0,0.0,1,0.0,1,0.0
19,dame,0.694,0.48,0.5,0,0,0.0,0.0,0.0,0.0
19,théâtre,0.76,0.635,0.516,0.0,0.0,0.0,0,0.0,0.0
19,organisation,0.81,0.535,0.851,0.0,0.0,0.0,0,0.0,0
20,Bonjour,0.922,0.461,0.552,0.0,0.0,0.0,1,0.0,0.0
21,démission,0.145,0.392,0.31,0.0,0.0,0.0,0.0,1,0
22,demande,0.625,0.471,0.618,0,0.0,0.0,0.0,0.0,0.0
22,imbécile,0.082,0.569,0.26,0.0,0,0.0,0.0,0.0,0.0
23,cœur,0.823,0.41,0.805,0.0,0.0,0.0,1,0.0,0.0
23,banquet,0.765,0.571,0.6,0.0,0.0,0.0,0,0.0,0.0
23,fête,0.564,0.663,0.474,0.0,0.0,0.0,1,0.0,1
24,prix,0.885,0.763,0.67,0.0,0.0,0.0,1,0.0,0
24,médaille,0.854,0.555,0.746,0.0,0.0,0.0,0,0.0,0
24,cœur,0.823,0.41,0.805,0.0,0.0,0.0,1,0.0,0.0
25,curieux,0.292,0.558,0.433,0,0.0,0.0,0.0,0.0,0.0
29,désir,0.604,0.434,0.56,0.0,0.0,0.0,0.0,1,0.0
29,fidèle,0.896,0.265,0.657,0.0,0.0,0,1,0.0,0
29,maison,0.587,0.135,0.533,0.0,0.0,0.0,1,0.0,0.0
31,cheminée,0.5,0.265,0.471,0.0,0.0,0.0,0,0.0,0.0
31,aura,0.76,0.333,0.5,0.0,0.0,0.0,0,0.0,0.0
32,ruban,0.531,0.277,0.254,0,0.0,0.0,0,0.0,0.0
32,rage,0.219,0.927,0.598,1,0,1,0.0,0.0,0.0
33,démission,0.145,0.392,0.31,0.0,0.0,0.0,0.0,1,0
33,peur,0.073,0.84,0.293,1,0.0,1,0.0,0.0,0.0
33,opposition,0.135,0.729,0.592,0,0.0,0.0,0.0,0.0,0.0
33,couvert,0.417,0.25,0.475,0.0,0.0,0.0,0.0,0,0.0
33,ordures,0.198,0.454,0.164,0.0,1,0.0,0.0,0.0,0.0
34,tous,0.375,0.434,0.385,0.0,0.0,0.0,0.0,0,0.0
34,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
36,gras,0.286,0.361,0.325,0.0,1,0.0,0.0,0,0.0
36,saut,0.75,0.663,0.667,0.0,0.0,0.0,0,0.0,0.0
36,enfin,0.583,0.433,0.465,0.0,0,0.0,0,0.0,0
36,rage,0.219,0.927,0.598,1,0,1,0.0,0.0,0.0
37,disparu,0.208,0.566,0.255,0.0,0.0,1,0.0,1,1
37,courage,0.667,0.529,0.75,0.0,0.0,0.0,0,0.0,0.0
37,prévenir,0.429,0.647,0.564,0.0,0.0,0,0.0,0.0,0
38,fusil,0.329,0.9,0.718,0,0.0,0,0.0,0.0,0.0
39,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
39,oublié,0.235,0.28,0.184,0.0,0.0,0,0.0,1,0.0
40,mots,0.71,0.216,0.473,0,0.0,0.0,0.0,0.0,0.0
41,maison,0.587,0.135,0.533,0.0,0.0,0.0,1,0.0,0.0
42,jeunesse,0.938,0.608,0.736,0,0.0,0,0,0.0,0
42,heureux,0.939,0.548,0.795,0.0,0.0,0.0,1,0.0,0.0
42,fête,0.564,0.663,0.474,0.0,0.0,0.0,1,0.0,1
42,tranquille,0.75,0.213,0.653,0.0,0.0,0.0,0,0.0,0.0
42,empoisonné,0.057,0.808,0.402,1,1,1,0.0,1,0.0
43,robuste,0.561,0.569,0.793,0.0,0.0,0.0,0,0.0,0.0
43,sincère,0.918,0.265,0.725,0.0,0.0,0.0,1,0,0.0
43,bonheur,0.96,0.732,0.85,0.0,0.0,0.0,1,0.0,0.0
43,retraite,0.448,0.412,0.562,0.0,0.0,0,0,0,0.0
43,joie,0.98,0.824,0.794,0.0,0.0,0.0,1,0.0,0.0
44,liberté,0.938,0.579,0.836,0.0,0.0,0.0,1,0.0,0
44,bouquet,0.552,0.358,0.473,0.0,0.0,0.0,0,0.0,0.0
44,fleurs,0.875,0.324,0.33,0.0,0.0,0.0,0,0.0,0.0
44,adoration,0.885,0.699,0.708,0.0,0.0,0.0,1,0.0,0.0
45,gras,0.286,0.361,0.325,0.0,1,0.0,0.0,0,0.0
45,charmant,0.816,0.52,0.637,0.0,0.0,0.0,1,0,0
45,doute,0.395,0.351,0.231,0.0,0.0,0,0.0,0,0.0
45,classique,0.643,0.198,0.536,0.0,0.0,0.0,0,0.0,0.0
46,charmant,0.816,0.52,0.637,0.0,0.0,0.0,1,0,0
46,originalité,0.898,0.5,0.824,0.0,0.0,0.0,0.0,0.0,0
46,simplicité,0.667,0.25,0.337,0.0,0.0,0.0,0,0.0,0.0
46,enthousiaste,0.823,0.719,0.806,0.0,0.0,0.0,1,0.0,0.0
48,pire,0.062,0.704,0.225,0.0,0.0,0,0.0,0,0.0
49,maison,0.587,0.135,0.533,0.0,0.0,0.0,1,0.0,0.0
50,critique,0.562,0.344,0.5,0,0.0,0.0,0,0,0.0
50,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
50,tuer,0.133,0.92,0.585,1,0.0,1,0.0,1,0.0
51,engageant,0.948,0.612,0.862,0.0,0.0,0.0,0,0.0,0.0
51,Jésus,0.8,0.4,0.62,0.0,0.0,0.0,1,0.0,0.0
51,perdu,0.188,0.558,0.259,0,0,0.0,0.0,1,0.0
51,gouvernement,0.427,0.53,0.85,0.0,0.0,0,0.0,0.0,0.0
52,doute,0.395,0.351,0.231,0.0,0.0,0,0.0,0,0.0
52,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
52,simple,0.327,0.491,0.339,0.0,0.0,0.0,0,0.0,0.0
52,impossible,0.153,0.51,0.407,0.0,0.0,0.0,0.0,0,0.0
52,courage,0.667,0.529,0.75,0.0,0.0,0.0,0,0.0,0.0
53,Jésus,0.8,0.4,0.62,0.0,0.0,0.0,1,0.0,0.0
53,entre,0.51,0.375,0.466,0.0,0.0,0.0,0.0,0,0.0
53,cour,0.667,0.49,0.654,0.0,0.0,0.0,0,0.0,0.0
53,Dieu,0.758,0.518,0.886,0.0,0.0,0,1,0.0,0.0
54,furieux,0.219,0.873,0.277,1,0,1,0.0,0,0.0
54,malheur,0.34,0.606,0.204,0.0,0,1,0.0,1,0.0
54,Hélas,0.571,0.31,0.279,0.0,0.0,0.0,0.0,0,0.0
55,beau,0.701,0.471,0.636,0.0,0.0,0.0,1,0.0,0.0
55,Bonjour,0.922,0.461,0.552,0.0,0.0,0.0,1,0.0,0.0
56,Dieu,0.758,0.518,0.886,0.0,0.0,0,1,0.0,0.0
56,amour,1.0,0.519,0.673,0.0,0.0,0.0,1,0.0,0.0
56,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
56,heureux,0.939,0.548,0.795,0.0,0.0,0.0,1,0.0,0.0
57,honoré,0.938,0.447,0.732,0.0,0.0,0.0,1,0.0,0.0
58,saluer,0.833,0.542,0.681,0.0,0.0,0.0,0,0.0,0.0
58,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
58,heureux,0.939,0.548,0.795,0.0,0.0,0.0,1,0.0,0.0
59,plaisir,0.939,0.74,0.682,0.0,0.0,0.0,1,0.0,0.0
59,demande,0.625,0.471,0.618,0,0.0,0.0,0.0,0.0,0.0
61,doute,0.395,0.351,0.231,0.0,0.0,0,0.0,0,0.0
62,plaisir,0.939,0.74,0.682,0.0,0.0,0.0,1,0.0,0.0
63,doute,0.395,0.351,0.231,0.0,0.0,0,0.0,0,0.0
64,bien,0.938,0.368,0.534,0.0,0.0,0.0,1,0.0,0
64,café,0.694,0.357,0.307,0.0,0.0,0.0,0,0.0,0.0
64,apprendre,0.84,0.51,0.852,0.0,0.0,0.0,0,0.0,0
64,garçon,0.637,0.388,0.336,0.0,0,0.0,0.0,0.0,0.0
64,vivre,0.88,0.673,0.676,0.0,0.0,0.0,0,0.0,0.0
65,tous,0.375,0.434,0.385,0.0,0.0,0.0,0.0,0,0.0
65,content,1.0,0.735,0.772,0.0,0.0,0.0,1,0.0,0.0
