Mots,frequence
Herr,4985 # freq*IDF*coef_emo 
uff,1669
Ja,1426
uf,1417
Madame,1029
Mann,797
kumme,791
grad,787
halt,687
guet,602
lang,592
Madam,476
wohr,440
güet,437
Jumpfer,411
ku,407
gern,406
Kind,397
recht,382
Vater,368
kumm,365
gemacht,335
Geld,331
Eh,313
Gott,306
Herz,298
Hüs,297
Mame,295
Wort,289
sicher,288
liewer,285
Kinder,277
schnell,265
unter,265
Babbe,264
mine,249
miner,239
Mamme,236
wohl,234
viellicht,210
Dokter,209
Zit,202
schön,200
allewil,198
mein,195
Freundlich,193
lon,189
meine,185
lacht,183
mitnander,182
saat,178
Schimmel,178
Tochter,177
Babe,176
glaüb,175
Himmel,168
Zitt,163
sehr,162
lüt,153
loss,148
Kalt,147
warte,146
G'sang,143
Dampf,143
voll,142
verlore,141
Herre,140
geje,140
Frind,140
genn,137
still,136
Fir,136
lieb,135
halte,133
allei,133
lo,133
alte,130
laut,129
Angscht,128
Guet,127
gà,126
Kumm,125
hin,125
Chrischtian,125
glaub,124
spiele,124
junge,123
lachend,123
lonn,122
hoch,121
Deifel,120
bekumme,119
vergesse,117
lehre,116
Ehr,114
lache,114
Fraid,113
Lehrer,113
gänn,112
Müsik,112
Maidel,111
ellein,110
froh,109
morje,106
Hoor,106
Brüeder,105
Lieb,104
güete,104
Glick,104
Mitnander,103
gän,102
allewyl,101
helfe,101
g'macht,101
Streifer,100
Glück,99
Hüss,99
schöne,98
Freid,98
Franz,98
gross,96
Gald,96
Ganz,95
Dank,95
zamme,95
bitt,94
hält,93
Fall,92
krank,91
Recht,90
dumm,90
Mül,90
güeter,89
jung,88
Angst,87
scheen,87
Dame,86
wart,84
junger,84
stille,82
Pause,82
einfach,81
gueti,81
Silwer,81
weh,80
Frisch,80
schlecht,79
singe,78
Vadder,78
erfahre,78
arm,77
alter,77
Alter,77
hie,76
Liewer,75
Morje,75
schwer,74
Jesses,74
Schmutz,74
Gsicht,73
anders,73
verruckt,73
lange,72
fehlt,72
Schuld,72
Güet,72
Land,71
brav,71
zornig,71
frisch,70
stelle,69
Patron,69
gege,69
gegen,68
lütt,68
Maidle,67
Andrees,66
stolz,65
gueter,65
Fränz,65
Seel,64
Schnell,64
Gsundheit,64
stark,63
komme,63
Narr,63
Stock,63
Haus,61
Wunder,61
Männel,61
racht,61
Morge,61
glicklig,61
Schaber,61
Guete,60
Schand,59
Hochzitt,59
morn,58
guete,58
versproche,58
kleine,58
Meister,57
Hochzitter,56
allein,55
liewe,55
süeche,55
Liewe,55
hol,54
Herze,54
dank,54
Still,54
hoffe,54
spot,54
richtig,54
Familie,54
spoot,53
Achtung,53
anderscht,53
Fanfare,53
Macht,52
Maischter,52
Musik,52
Grossbabbe,52
Man,51
schwarz,51
Dochter,51
Hunger,51
heiss,51
Plän,51
läwe,51
Doktr,51
frei,50
bekumm,50
Leid,50
Kleine,50
heisse,50
