drama_type,speaker,sex,job,social_class,text
comedy,Jean,M,valet,lower_class,"Jean :
(kummt mit-em Meyer sine gewichste Schueh v. 1. un reicht se zue dr Düer r. nin.)
Do Patron sinn d' Schueh! 
          
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
(v.r.)
Uutsch — ah min-r Kopf, min-r Kopf! Do hinne brummt's grad as wenn lütter Maikafer drinne rum däte
          surre.
"
comedy,Jean,M,valet,lower_class,"Jean :
(f. s.)
Hattsch weniger gedrunke 
          
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Was hesch dänn Guet's? 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
Jo, sie wäre genuej gebüerscht hann gescht Nacht. Sie sinn gemutzt gsinn — hahaha, e Nuntebuckel
          !
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Was haw-i denn alles angschtellt in minere Kischt — hä?
"
comedy,Jean,M,valet,lower_class,"Jean :
Ich muess jetz noch lache, wenn i dran dänk, wie se uf Händ un Fües d'Stäj eruf gegrobelt sinn — un
          e Arweit haw-i ghett mit-ne bis Sie im Bett sinn gläje. Sie hann als mit-mr welle danze un no hann se
          im Anglais un de Cilinder uf-em Kopf in's Bett welle leje — Sie hann als gsaat: ""Ich hab kalti Fües""
          !
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Ei, ei — uuh min-r Kopf — was der kaiwe Risling nitt alles anstellt — — puh ich schwitz ganz —
          schenk mr e Soda in! Wenn numme dr Deifel alli Süffereje hole dät...
"
comedy,Jean,M,valet,lower_class,"Jean :
Wo Sie nitt d'rbi sinn — gelle Patron !
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Verschon mich um's Himmelswille mit dine füle Witz hit. 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
Derf ich no au mit, Patron, wenn se emol uf Strosburri kumme ?
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Ich well noch sähne. Dü besch e bissel lichtsinni un hesch mr schun e manicher dummer Streich
          angstellt.
"
comedy,Jean,M,valet,lower_class,"Jean :
E ""bissel"" lichtsinni isch jo nitt viel un ich versprech ne, nie meh e Dummheit ze mache.
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Na — will de mir diss verspreche duesch, will i dich mitnämme. — Was isch im Briefkäschtel
          gsinn?
"
comedy,Jean,M,valet,lower_class,"Jean :
D'Zittunge — ah, un e Brief. Der isch schun gescht Owe kumme. 
          
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer:
Vun Nanci, vun dr General-Direction. 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
Voila, Patron, dr Fahrplan. 
          
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
(riebt sich d'Aue)
Es danzt mer alles vor de Aue — 9,40 fahrt dr Schnellzugg, do kennt's noch lange, dene kennt i
          nämme. Wieviel Ühr isch denn? 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
(luejt uf sinere Ühr)
Es isch jetzt genau noch e Viertel üewer Nien.
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Schnell, es langt noch, ich nämm 's Velo. Lang mr miner Frack, dr Panamahuet un dr hell Bardessü im
          Kaschte. 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
Sie brüche kenn Angscht ze hann, Patron — Sie kenne ruehj reise.
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
Bon — also, adje Jean, un mach wie ich gsaat hab. 
          
"
comedy,Jean,M,valet,lower_class,"Jean:
Ja, ja, Patron, gebutzt un ganz frischi Luft nin gebummbert.
"
comedy,J. Meyer,M,insurance_inspector,upper_middle_class,"Meyer :
No isch guet. 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
(luschti)
E ganzer Daa ellein. Was kennt mr do alles anstelle? Ah, ich sell jo gründlich brobber mache. 
          
"
comedy,Schakob,M,messenger/deliverer/helper,lower_class,"Schakob :
Aah, do bin i drbie, denn ich hab e Hunger, ass mr 's Wisse in de Aue gixt. 
          
"
comedy,Jean,M,valet,lower_class,"Jean :
Männel, Männel ! Dich möecht ich emol sähne, wenn dü kenn Hunger hesch.
"
